id,home_team,home_classification,home_conference,home_VoA_rating,away_team,away_classification,away_conference,away_VoA_rating,Proj_Winner,Proj_Margin,win_prob
401858464,Michigan State,fbs,Big Ten,-8.439240763586762,Nebraska,fbs,Big Ten,2.59195130960727,Nebraska,9.031192073194031,0.7170098786132204
401858466,Penn State,fbs,Big Ten,9.600683143126025,Wisconsin,fbs,Big Ten,-11.521492608761687,Penn State,23.12217575188771,0.8912394227885319
401862785,Bowling Green,fbs,Mid-American,-30.271873930499385,South Florida,fbs,American Athletic,-0.12150571024049178,South Florida,28.150368220258894,0.9256855576454165
401867847,Northern Iowa,fcs,MVFC,-3.770904762165656,Illinois State,fcs,MVFC,-0.7463727235932606,Illinois State,1.0245320385723957,0.5651268527100803
401858239,Virginia,fbs,ACC,-7.175113905869546,Delaware,fbs,Conference USA,-20.21501132684224,Virginia,15.039897420972695,0.8069030635967451
401860892,Texas State,fbs,Pac-12,8.98742692956652,Incarnate Word,fcs,Southland,-15.029441507598115,Texas State,26.016868437164636,0.9125053754565904
401866645,Hampton,fcs,Coastal Athletic,-4.168789314373757,Campbell,fcs,Coastal Athletic,-5.566411535369791,Hampton,3.397622220996034,0.6129402942253953
401866649,Delaware State,fcs,MEAC,1.293247579457459,Towson,fcs,Coastal Athletic,0.5559218721128676,Delaware State,2.737325707344591,0.5998009248269012
401867909,Florida International,fbs,Conference USA,-5.941304143516806,Long Island University,fcs,NEC,-16.591151952714046,Florida International,12.64984780919724,0.7740257165800666
401868327,Alabama State,fcs,SWAC,9.816491562935514,Mississippi Valley State,fcs,SWAC,-8.134684225902959,Alabama State,19.951175788838473,0.8628472388578281
401869961,Old Dominion,fbs,Sun Belt,-7.252269419885285,James Madison,fbs,Sun Belt,-4.866562528475261,James Madison,0.3857068914100239,0.5519943152341704
401858238,Miami,fbs,ACC,15.606654271111593,Central Michigan,fbs,Mid-American,-24.498230500809317,Miami,42.10488477192091,0.9755230344346628
401862780,Charlotte,fbs,American Athletic,-31.365646404103178,Louisiana,fbs,Sun Belt,-17.606219573170197,Louisiana,11.75942683093298,0.7607955643479639
401856696,Alabama,fbs,SEC,17.579316023103168,South Carolina,fbs,SEC,2.8769669638027366,Alabama,16.70234905930043,0.8275743806848869
401856814,Cincinnati,fbs,Big 12,9.587951206032143,Kansas State,fbs,Big 12,5.897268902011678,Cincinnati,5.690682304020465,0.6572260390769713
401856881,West Virginia,fbs,Big 12,-7.4067810922607755,Oklahoma State,fbs,Big 12,-17.445892397949915,West Virginia,12.03911130568914,0.7650006443924322
401862784,Tulane,fbs,American Athletic,-8.332251808845689,Southern Miss,fbs,Sun Belt,-25.577429091377805,Tulane,19.24517728253212,0.8557340213142401
401867868,Murray State,fcs,MVFC,-7.37468487005912,Southern Illinois,fcs,MVFC,1.072049447667287,Southern Illinois,6.446734317726407,0.6713276617833946
401867985,Bethune-Cookman,fcs,SWAC,-3.449697709892792,South Carolina State,fcs,MEAC,5.511583723647228,South Carolina State,6.96128143354002,0.6807556851901828
401868076,Eastern Washington,fcs,Big Sky,-5.9979139883415415,Cal Poly,fcs,Big Sky,-1.0599992240354204,Cal Poly,2.937914764306121,0.6038092630546357
401868179,South Dakota State,fcs,MVFC,1.7814531561585283,Eastern Illinois,fcs,OVC,-4.266060590225627,South Dakota State,8.047513746384155,0.7000983314812774
401868299,Florida A&M,fcs,SWAC,-4.907627295650746,Alabama A&M,fcs,SWAC,-1.0703086840390934,Alabama A&M,1.8373186116116529,0.5816414407226246
401868318,Northwestern State,fcs,Southland,-15.851141587354231,SE Louisiana,fcs,Southland,3.8928523662898593,SE Louisiana,17.74399395364409,0.8395996258012486
401868954,Grambling,fcs,SWAC,-2.8797155674405217,Prairie View A&M,fcs,SWAC,1.332835635173868,Prairie View A&M,4.21255120261439,0.6289171795463815
401868960,Jackson State,fcs,SWAC,8.481217025266439,Southern,fcs,SWAC,-4.080625167012399,Jackson State,14.561842192278839,0.8006147320327122
401869137,McNeese,fcs,Southland,-0.3414731043791676,East Texas A&M,fcs,Southland,-2.277570400286889,McNeese,3.936097295907721,0.6235410259419896
401869931,Arkansas State,fbs,Sun Belt,-27.425657683908476,Kennesaw State,fbs,Conference USA,-26.606180034503204,Arkansas State,1.1805223505947282,0.5682954647705318
401871048,Jacksonville State,fbs,Conference USA,-14.020209667228768,Middle Tennessee,fbs,Conference USA,-25.684408127332283,Jacksonville State,13.664198460103515,0.7884253240200974
401856702,LSU,fbs,SEC,10.46549522572399,Texas A&M,fbs,SEC,15.94478130997268,Texas A&M,3.47928608424869,0.6145640603052163
401856804,Washington State,fbs,Pac-12,-16.310871413072725,Arizona,fbs,Big 12,1.4458675917926223,Arizona,15.756739004865347,0.8160261412213559
401858469,USC,fbs,Big Ten,15.650588879362743,Oregon,fbs,Big Ten,20.869000242192506,Oregon,3.2184113628297624,0.6093817590441708
401860894,Utah State,fbs,Pac-12,-16.041712250655944,Troy,fbs,Sun Belt,-22.05705329044019,Utah State,8.015341039784246,0.6995342788744187
401862783,North Texas,fbs,American Athletic,5.458083937804682,Houston Christian,fcs,Southland,-19.953213541169273,North Texas,27.411297478973957,0.9213453819085922
401864572,NC State,fbs,ACC,-1.8770871484578429,App State,fbs,Sun Belt,-17.157641547440562,NC State,17.28055439898272,0.8343354445036193
401856703,Mississippi State,fbs,SEC,4.339784866640745,Missouri,fbs,SEC,10.413055061388464,Missouri,4.073270194747719,0.6262205172345388
