id,home,away,predicted
401757275,New Mexico State,Sam Houston,-13.063313916467422
401767320,Brown,Rhode Island,3.6999999999999993
401762475,South Florida,Charlotte,-6.993621892310112
401757276,Delaware,Western Kentucky,2.354971251197168
401767681,Princeton,Columbia,-17.199999999999996
401760384,San José State,New Mexico,0.6478220551954395
401756909,BYU,West Virginia,-14.352252140369522
401760382,San Diego State,Colorado State,-8.16016552815758
401756912,Cincinnati,Iowa State,-2.5326658817769
401767735,Lehigh,Yale,5.800000000000001
401752856,Michigan,Wisconsin,-11.818526412205708
401767666,Bucknell,Richmond,7.5000000000000036
401767628,Marist,San Diego,12.799999999999997
401767660,Central Connecticut,Sacred Heart,-1.7000000000000028
401767751,Duquesne,Stonehill,3.8999999999999986
401762830,Ball State,Ohio,11.892357676095337
401760381,Navy,Air Force,-15.124289012956742
401752728,Georgia,Kentucky,-14.143637000801712
401762476,UAB,Army,4.010665637464266
401756911,Baylor,Kansas State,-2.4937764900440413
401754552,North Carolina,Clemson,0.9388447664121227
401754550,Pittsburgh,Boston College,0.11769786981983898
401752861,Purdue,Illinois,6.857433445826722
401767674,Lafayette,Fordham,-21.799999999999997
401767757,Mercyhurst,Long Island University,-9.2
401777983,New Haven,Pace,-6.895933393002416
401762479,Temple,UTSA,-4.178220722070178
401754556,Virginia Tech,Wake Forest,-1.826126881623097
401767259,Monmouth,Delaware State,-3.6000000000000014
401767269,New Hampshire,Villanova,-12.5
401767399,Georgetown,Morgan State,4.800000000000004
401767233,Tennessee Tech,Western Illinois,-23.200000000000003
401767604,Stetson,Davidson,-0.8999999999999986
401767615,Morehead State,Dayton,4.100000000000001
401767621,Drake,Valparaiso,-14.599999999999994
401767698,Pennsylvania,Dartmouth,10.699999999999996
401767763,Merrimack,Robert Morris,-15.2
401767436,South Carolina State,Savannah St,-37.49991469675128
401767531,VMI,Chattanooga,9.899999999999999
401767592,Wofford,Western Carolina,-4.900000000000002
401767164,Gardner-Webb,Charleston Southern,-10.600000000000001
401754557,NC State,Campbell,-39.01592823249843
401767033,Bryant,Maine,-11.600000000000001
401767211,Lindenwood,UT Martin,-1.2000000000000028
401767559,Furman,East Tennessee State,1
401767690,Cornell,Colgate,-2.200000000000003
401767727,Holy Cross,Harvard,11.599999999999998
401767595,St. Thomas (MN),Butler,-29.599999999999998
401762832,Massachusetts,Western Michigan,4.191058299849672
401767496,South Dakota,Murray State,-15.099999999999998
401767175,Eastern Illinois,Tennessee State,-9.900000000000006
401756910,Arizona,Oklahoma State,-12.711891735786168
401767241,Abilene Christian,North Alabama,-17.900000000000002
401767362,Alabama State,Bethune-Cookman,-15.100000000000001
401767428,Mississippi Valley State,Florida A&M,-4.200000000000003
401752726,Alabama,Vanderbilt,-1.0936101649530485
401761618,Georgia State,James Madison,22.920102108237927
401752727,Florida,Texas,12.68329427998371
401752855,UCLA,Penn State,22.90812123307483
401752857,Maryland,Washington,3.3713523264711807
401752858,Northwestern,UL Monroe,-1.7211029679837802
401762829,Akron,Central Michigan,5.9606021507685565
401762831,Buffalo,Eastern Michigan,-7.681504935519184
401762873,Northern Illinois,Miami (OH),-2.422506287659348
401757165,Notre Dame,Boise State,-11.793218568457252
401757171,UConn,Florida International,-8.036344529086769
401767273,William & Mary,North Carolina A&T,-26.599999999999998
401767324,UAlbany,Stony Brook,4.299999999999997
401752940,App State,Oregon State,-7.4545356435821075
401754554,Louisville,Virginia,-6.323194130431329
401754555,SMU,Syracuse,-8.940505757449184
401752729,Oklahoma,Kent State,-39.5348285015006
401761620,Arkansas State,Texas State,13.544442405462405
401752860,Nebraska,Michigan State,-15.568729394605949
401767371,Alcorn State,Prairie View A&M,10.5
401767183,Hampton,Norfolk State,2.1999999999999957
401767484,Lamar,Nicholls,-5.199999999999999
401767153,Towson,Elon,-5.300000000000001
401767250,Austin Peay,West Georgia,-3.1999999999999993
401767575,Mercer,Samford,-29.1
401767503,Northern Iowa,North Dakota,21.9
401769869,Central Arkansas,Utah Tech,5.799999999999997
401767108,Northern Arizona,Montana State,2.3000000000000007
401761619,Old Dominion,Coastal Carolina,-13.764600377974263
401767312,Alabama A&M,Jackson State,12.500000000000004
401767546,Youngstown State,South Dakota State,8
401762477,Rice,Florida Atlantic,-2.5671658493981266
401767438,Illinois State,North Dakota State,13.4
401767381,Texas Southern,Arkansas-Pine Bluff,-5.800000000000004
401767294,Tarleton State,Southern Utah,-14.6
401767063,Eastern Washington,Portland State,-3.8999999999999986
401756913,Houston,Texas Tech,15.451203468581195
401767447,Southern Illinois,Indiana State,-19.4
401767460,Northwestern State,East Texas A&M,5.200000000000003
401767477,Incarnate Word,Stephen F. Austin,2.5
401761621,Troy,South Alabama,-1.7279919708978486
401767492,McNeese,SE Louisiana,16.3
401760385,Wyoming,UNLV,5.023120024978429
401754553,Florida State,Miami,3.5725443981391045
401752730,Texas A&M,Mississippi State,-1.7182902445673882
401756915,UCF,Kansas,-7.462287181890845
401756914,TCU,Colorado,-4.25217818000991
401752859,Ohio State,Minnesota,-18.82832546170006
401767083,Idaho State,Montana,15.1
401767074,Cal Poly,UC Davis,-2.3000000000000007
401767469,UT Rio Grande Valley,Houston Christian,-7.300000000000001
401762478,Memphis,Tulsa,-19.944021023277877
401760383,Fresno State,Nevada,-8.570781739385524
401754551,California,Duke,-1.9262314575120385
