Rank,Team,G,W-L,Pass Att,Pass Com,Int,Pass Yds,Yds/Att,Yds/Comp,Pass TD,YPG
1,Western Caro. (SoCon),12,7-5,516,335,10,"4,029",7.81,12.03,24,335.8
2,Monmouth (CAA),12,6-6,440,287,6,"3,990",9.07,13.90,33,332.5
3,UC Davis (Big Sky),14,11-3,539,380,14,"4,643",8.61,12.22,39,331.6
4,Southeast Mo. St. (OVC),13,9-4,635,378,15,"4,187",6.59,11.08,33,322.1
5,Missouri St. (MVFC),12,8-4,384,267,6,"3,674",9.57,13.76,27,306.2
6,Western Ill. (OVC),12,4-8,439,285,9,"3,652",8.32,12.81,26,304.3
7,Abilene Christian (ASUN),14,9-5,560,347,12,"4,259",7.61,12.27,34,304.2
8,Idaho St. (Big Sky),12,5-7,521,314,15,"3,581",6.87,11.40,31,298.4
9,Brown (Ivy League),10,3-7,441,283,14,"2,907",6.59,10.27,13,290.7
10,UIW (Southland),14,11-3,540,353,10,"3,859",7.15,10.93,37,275.6
11,SFA (Southland),12,7-5,384,251,6,"3,258",8.48,12.98,33,271.5
12,Bucknell (Patriot),12,6-6,421,277,8,"3,220",7.65,11.62,28,268.3
13,Eastern Ill. (OVC),12,3-9,425,257,14,"3,194",7.52,12.43,19,266.2
14,South Carolina St. (MEAC),12,9-3,354,227,10,"3,184",8.99,14.03,25,265.3
15,Harvard (Ivy League),10,8-2,307,188,3,"2,650",8.63,14.10,25,265
16,Cornell (Ivy League),10,4-6,383,248,11,"2,644",6.90,10.66,24,264.4
17,Stetson (Pioneer),11,2-9,492,267,27,"2,902",5.90,10.87,22,263.8
18,Sacramento St. (Big Sky),12,3-9,476,287,13,"3,157",6.63,11.00,29,263.1
19,Alabama A&M (SWAC),12,6-6,419,235,15,"3,126",7.46,13.30,22,260.5
20,Bryant (CAA),12,2-10,447,269,13,"3,084",6.90,11.46,26,257
21,Delaware (CAA),11,9-2,393,237,6,"2,789",7.10,11.77,29,253.5
22,North Ala. (ASUN),12,3-9,375,219,17,"2,951",7.87,13.47,19,245.9
23,Samford (SoCon),11,4-7,400,277,12,"2,689",6.72,9.71,18,244.5
24,Drake (Pioneer),11,8-3,402,265,10,"2,674",6.65,10.09,17,243.1
25,Stony Brook (CAA),12,8-4,385,242,6,"2,858",7.42,11.81,19,238.2
26,Florida A&M (SWAC),12,7-5,377,253,12,"2,857",7.58,11.29,24,238.1
27,Illinois St. (MVFC),14,10-4,473,304,9,"3,333",7.05,10.96,21,238.1
28,Cal Poly (Big Sky),11,3-8,371,231,12,"2,588",6.98,11.20,17,235.3
29,Presbyterian (Pioneer),12,6-6,336,214,6,"2,821",8.40,13.18,23,235.1
30,Southern Ill. (MVFC),12,4-8,414,238,13,"2,815",6.80,11.83,19,234.6
31,Tennessee St. (OVC),13,9-4,420,259,8,"3,043",7.25,11.75,24,234.1
32,Yale (Ivy League),10,7-3,309,200,4,"2,337",7.56,11.69,24,233.7
33,Central Ark. (ASUN),12,6-6,367,233,12,"2,778",7.57,11.92,21,231.5
34,Gardner-Webb (OVC),12,4-8,395,241,12,"2,770",7.01,11.49,17,230.8
35,Duquesne (NEC),11,8-3,322,188,16,"2,538",7.88,13.50,32,230.7
36,Robert Morris (NEC),12,7-5,356,229,10,"2,734",7.68,11.94,19,227.8
37,Campbell (CAA),12,3-9,339,206,11,"2,729",8.05,13.25,24,227.4
38,San Diego (Pioneer),11,8-3,329,195,5,"2,487",7.56,12.75,27,226.1
39,UAlbany (CAA),12,4-8,415,227,11,"2,712",6.53,11.95,16,226
40,Furman (SoCon),11,3-8,358,222,13,"2,477",6.92,11.16,16,225.2
41,Idaho (Big Sky),14,10-4,371,218,10,"3,150",8.49,14.45,28,225
42,Tarleton St. (ASUN),14,10-4,360,217,13,"3,146",8.74,14.50,26,224.7
43,North Dakota St. (MVFC),16,14-2,390,280,5,"3,588",9.20,12.81,38,224.3
44,Columbia (Ivy League),10,7-3,284,167,9,"2,239",7.88,13.41,16,223.9
45,South Dakota (MVFC),14,11-3,324,217,6,"3,093",9.55,14.25,21,220.9
46,Ark.-Pine Bluff (SWAC),12,3-9,347,184,8,"2,634",7.59,14.32,17,219.5
47,Chattanooga (SoCon),12,7-5,329,189,11,"2,624",7.98,13.88,15,218.7
48,Northern Ariz. (Big Sky),13,8-5,345,223,5,"2,818",8.17,12.64,19,216.8
49,Montana (Big Sky),14,9-5,458,279,8,"3,011",6.57,10.79,21,215.1
50,Eastern Wash. (Big Sky),12,4-8,334,247,4,"2,579",7.72,10.44,25,214.9
50,Weber St. (Big Sky),12,4-8,390,237,6,"2,579",6.61,10.88,24,214.9
52,Elon (CAA),12,6-6,322,194,6,"2,575",8.00,13.27,17,214.6
53,Towson (CAA),12,7-5,360,223,10,"2,574",7.15,11.54,15,214.5
54,Penn (Ivy League),10,4-6,288,176,7,"2,126",7.38,12.08,19,212.6
55,ETSU (SoCon),12,7-5,339,184,21,"2,547",7.51,13.84,16,212.3
56,Dartmouth (Ivy League),10,8-2,282,184,4,"2,109",7.48,11.46,18,210.9
57,Utah Tech (ASUN),12,1-11,431,229,9,"2,526",5.86,11.03,17,210.5
58,UT Martin (OVC),14,9-5,383,230,8,"2,945",7.69,12.80,24,210.4
59,Rhode Island (CAA),14,11-3,386,229,17,"2,940",7.62,12.84,16,210
60,Lafayette (Patriot),12,6-6,364,235,13,"2,514",6.91,10.70,15,209.5
61,Mercer (SoCon),14,11-3,360,228,12,"2,916",8.10,12.79,23,208.3
62,Southern U. (SWAC),13,8-5,394,203,13,"2,701",6.86,13.31,15,207.8
63,Maine (CAA),12,5-7,337,221,5,"2,454",7.28,11.10,18,204.5
64,N.C. Central (MEAC),11,8-3,266,161,10,"2,246",8.44,13.95,22,204.2
