Rank,Team,G,W-L,Opp KO Ret,KO TB,Opp KO Ret Yds,Opp Kick Ret TDs,Avg
1,Abilene Christian (WAC),11,7-4,15,39,176,0,11.73
2,Norfolk St. (MEAC),11,2-9,26,1,331,0,12.73
3,Alcorn (SWAC),11,5-6,41,6,561,0,13.68
4,Saint Francis (PA) (NEC),12,9-3,40,29,556,0,13.90
5,Cornell (Ivy League),10,5-5,16,23,231,1,14.44
6,Alabama A&M (SWAC),11,4-7,37,2,545,0,14.73
7,Delaware St. (MEAC),11,5-6,31,6,467,1,15.06
8,Duquesne (NEC),11,4-7,35,5,531,0,15.17
9,Dayton (Pioneer),11,8-3,30,28,471,0,15.70
10,The Citadel (SoCon),11,4-7,28,11,441,0,15.75
11,Mercer (SoCon),11,7-4,54,1,858,0,15.89
12,Montana (Big Sky),13,8-5,41,24,656,0,16.00
13,New Hampshire (CAA),13,9-4,39,12,629,0,16.13
14,Davidson (Pioneer),12,8-4,59,3,956,0,16.20
15,Stony Brook (CAA),11,2-9,22,8,360,0,16.36
16,Drake (Pioneer),11,3-8,29,3,477,1,16.45
17,Texas Southern (SWAC),11,5-6,40,10,659,1,16.48
18,Cal Poly (Big Sky),11,2-9,28,9,462,0,16.50
19,Portland St. (Big Sky),11,4-7,24,18,397,1,16.54
20,Hampton (CAA),11,4-7,14,26,234,0,16.71
21,Delaware (CAA),13,8-5,50,8,855,0,17.10
22,South Carolina St. (MEAC),11,3-8,46,0,790,0,17.17
23,Yale (Ivy League),10,8-2,23,23,398,0,17.30
24,Illinois St. (MVFC),11,6-5,24,5,418,0,17.42
25,Butler (Pioneer),11,7-4,35,17,615,0,17.57
26,Villanova (CAA),11,6-5,42,2,739,0,17.60
27,Lafayette (Patriot),11,4-7,21,2,376,0,17.90
28,Nicholls (Southland),11,3-8,20,13,359,0,17.95
29,Sam Houston (WAC),9,5-4,21,10,377,0,17.95
30,Western Ill. (MVFC),11,0-11,17,14,308,0,18.12
31,SFA (WAC),11,6-5,35,23,640,0,18.29
32,Jackson St. (SWAC),13,12-1,54,29,989,0,18.31
33,Eastern Ill. (OVC),11,2-9,22,11,403,0,18.32
34,Columbia (Ivy League),10,6-4,16,29,295,0,18.44
35,VMI (SoCon),11,1-10,25,13,462,0,18.48
36,Austin Peay (ASUN),11,7-4,22,34,407,0,18.50
37,Harvard (Ivy League),10,6-4,15,28,278,0,18.53
38,William & Mary (CAA),13,11-2,37,33,687,0,18.57
39,UAlbany (CAA),11,3-8,29,6,539,0,18.59
40,Youngstown St. (MVFC),11,7-4,29,26,541,0,18.66
41,Charleston So. (Big South),10,2-8,24,5,451,1,18.79
42,Bucknell (Patriot),11,3-8,27,0,508,0,18.81
43,LIU (NEC),11,4-7,33,17,623,0,18.88
44,Holy Cross (Patriot),13,12-1,44,30,833,0,18.93
45,Florida A&M (SWAC),11,9-2,30,22,570,0,19.00
46,Monmouth (CAA),11,5-6,43,15,818,1,19.02
47,Colgate (Patriot),11,3-8,17,25,325,0,19.12
48,Tennessee Tech (OVC),11,4-7,28,17,538,0,19.21
49,Southern Utah (WAC),11,5-6,26,32,500,0,19.23
50,Howard (MEAC),11,5-6,43,8,830,0,19.30
51,Alabama St. (SWAC),11,6-5,45,1,870,0,19.33
52,Chattanooga (SoCon),11,7-4,42,10,815,1,19.40
53,Maine (CAA),11,2-9,31,13,602,0,19.42
54,Southern U. (SWAC),12,7-5,32,31,623,0,19.47
55,Sacred Heart (NEC),11,5-6,23,17,449,0,19.52
56,N.C. Central (MEAC),12,10-2,56,10,"1,095",2,19.55
57,Campbell (Big South),11,5-6,45,10,881,0,19.58
58,Sacramento St. (Big Sky),13,12-1,52,32,"1,026",1,19.73
59,Morgan St. (MEAC),11,4-7,33,7,652,0,19.76
60,UC Davis (Big Sky),11,6-5,33,33,653,0,19.79
61,UIW (Southland),14,12-2,66,39,"1,308",0,19.82
62,Towson (CAA),11,6-5,31,9,615,0,19.84
63,Fordham (Patriot),12,9-3,68,11,"1,350",2,19.85
64,Elon (CAA),12,8-4,14,47,279,0,19.93
65,Northwestern St. (Southland),11,4-7,24,13,483,0,20.13
66,Kennesaw St. (ASUN),11,5-6,19,26,384,0,20.21
67,Southern Ill. (MVFC),11,5-6,31,17,627,0,20.23
68,Richmond (CAA),13,9-4,51,15,"1,032",2,20.24
69,Samford (SoCon),13,11-2,35,33,711,0,20.31
70,Princeton (Ivy League),10,8-2,31,12,632,0,20.39
71,Gardner-Webb (Big South),13,7-6,43,13,877,1,20.40
72,South Dakota (MVFC),11,3-8,13,25,266,0,20.46
73,Furman (SoCon),13,10-3,28,50,580,0,20.71
74,Stetson (Pioneer),10,4-6,48,3,996,0,20.75
75,UNI (MVFC),11,6-5,31,34,650,0,20.97
76,Dartmouth (Ivy League),10,3-7,25,7,528,1,21.12
77,Bethune-Cookman (SWAC),11,2-9,46,2,976,1,21.22
78,UT Martin (OVC),11,7-4,34,25,724,0,21.29
