Rank,Team,G,W-L,Opp KO Ret,KO TB,Opp KO Ret Yds,Opp Kick Ret TDs,Avg
1,Columbia (Ivy League),10,3-7,15,9,193,0,12.87
2,Alcorn (SWAC),11,7-4,44,4,599,0,13.61
3,The Citadel (SoCon),11,0-11,17,6,244,0,14.35
4,South Carolina St. (MEAC),11,5-6,39,3,604,1,15.49
5,Western Ill. (MVFC),11,0-11,12,3,186,0,15.50
6,Grambling (SWAC),11,5-6,50,3,777,0,15.54
7,Morgan St. (MEAC),10,4-6,25,6,390,0,15.60
8,Dayton (Pioneer),11,4-7,33,12,515,0,15.61
9,Sacred Heart (NEC),11,2-9,27,1,422,0,15.63
10,Monmouth (CAA),11,4-7,37,9,581,0,15.70
11,Northern Colo. (Big Sky),11,0-11,2,35,32,0,16.00
12,Texas Southern (SWAC),11,3-8,42,7,695,0,16.55
13,Mercer (SoCon),13,9-4,51,4,854,0,16.75
14,Southern Ill. (MVFC),13,8-5,34,5,570,0,16.76
15,Delaware St. (MEAC),11,1-10,26,8,437,0,16.81
16,Duquesne (NEC),12,7-5,47,2,790,0,16.81
17,McNeese (Southland),10,0-10,21,11,353,0,16.81
18,Idaho (Big Sky),13,9-4,26,43,439,0,16.88
19,Central Ark. (ASUN),11,7-4,41,18,699,0,17.05
20,Holy Cross (Patriot),11,7-4,35,8,597,0,17.06
21,Alabama St. (SWAC),11,7-4,24,17,412,0,17.17
22,N.C. Central (MEAC),12,9-3,49,8,843,1,17.20
23,South Dakota St. (MVFC),15,15-0,39,40,672,0,17.23
24,Murray St. (MVFC),11,2-9,15,16,260,0,17.33
25,Penn (Ivy League),10,6-4,26,15,452,0,17.38
26,San Diego (Pioneer),11,4-7,33,13,576,0,17.45
27,Indiana St. (MVFC),11,1-10,21,9,374,0,17.81
28,Towson (CAA),11,5-6,34,11,606,0,17.82
29,VMI (SoCon),11,5-6,23,11,411,1,17.87
30,Valparaiso (Pioneer),11,3-8,17,21,304,0,17.88
31,Southern U. (SWAC),11,6-5,21,24,377,0,17.95
32,Missouri St. (MVFC),11,4-7,25,26,450,0,18.00
32,Rhode Island (CAA),11,6-5,35,12,630,0,18.00
34,SFA (ASUN),11,3-8,37,15,670,0,18.11
35,Illinois St. (MVFC),11,6-5,20,42,363,0,18.15
36,Mississippi Val. (SWAC),11,1-10,23,5,418,0,18.17
37,Norfolk St. (MEAC),11,3-8,40,1,731,1,18.28
38,Southeast Mo. St. (OVC),11,4-7,35,9,640,0,18.29
39,UNI (MVFC),11,6-5,20,24,366,0,18.30
40,Wagner (NEC),11,4-7,24,11,440,1,18.33
41,Austin Peay (ASUN),12,9-3,21,47,387,0,18.43
42,Richmond (CAA),13,9-4,50,10,922,1,18.44
43,Delaware (CAA),13,9-4,38,21,703,1,18.50
44,Yale (Ivy League),10,7-3,28,8,523,0,18.68
45,Sacramento St. (Big Sky),13,8-5,45,20,843,0,18.73
46,Butler (Pioneer),11,7-4,36,13,675,0,18.75
47,Merrimack (NEC),11,5-6,37,17,694,0,18.76
48,Lamar University (Southland),11,6-5,29,17,545,0,18.79
49,New Hampshire (CAA),11,6-5,44,15,827,1,18.80
50,Abilene Christian (ASUN),11,5-6,11,41,207,0,18.82
51,Youngstown St. (MVFC),13,8-5,53,9,999,0,18.85
52,Fordham (Patriot),11,6-5,45,0,849,0,18.87
53,Harvard (Ivy League),10,8-2,23,25,435,0,18.91
54,Kennesaw St. (FCS Independent),9,3-6,19,20,362,0,19.05
55,North Dakota (MVFC),12,7-5,29,24,555,0,19.14
56,LIU (NEC),11,4-7,29,13,556,1,19.17
57,Campbell (CAA),11,5-6,22,27,424,0,19.27
58,Hampton (CAA),11,5-6,40,4,771,1,19.28
59,Tennessee St. (OVC),11,6-5,32,15,617,0,19.28
60,William & Mary (CAA),11,6-5,34,6,656,1,19.29
61,Elon (CAA),11,6-5,44,8,853,0,19.39
62,Charleston So. (OVC),11,4-7,22,14,427,0,19.41
63,Davidson (Pioneer),11,7-4,51,13,991,0,19.43
64,Florida A&M (SWAC),13,12-1,42,28,818,0,19.48
65,Alabama A&M (SWAC),11,5-6,36,17,703,0,19.53
66,Colgate (Patriot),11,6-5,34,7,666,0,19.59
67,Weber St. (Big Sky),11,6-5,28,15,550,0,19.64
68,Prairie View (SWAC),12,6-6,41,1,809,0,19.73
69,Dartmouth (Ivy League),10,6-4,16,27,316,0,19.75
70,Bethune-Cookman (SWAC),11,3-8,37,2,731,0,19.76
71,UIW (Southland),10,8-2,22,29,435,0,19.77
72,Southeastern La. (Southland),11,3-8,22,27,437,0,19.86
73,Eastern Ill. (OVC),11,8-3,31,9,619,0,19.97
74,Montana (Big Sky),15,13-2,25,55,501,0,20.04
75,UAlbany (CAA),15,11-4,63,2,"1,266",0,20.10
76,Saint Francis (PA) (NEC),10,4-6,37,9,748,0,20.22
77,Chattanooga (SoCon),13,8-5,32,32,649,0,20.28
78,Marist (Pioneer),11,4-7,34,1,696,0,20.47
79,Howard (MEAC),12,6-6,51,6,"1,046",2,20.51
80,Drake (Pioneer),12,8-4,27,11,554,0,20.52
81,Eastern Ky. (ASUN),11,5-6,27,26,557,0,20.63
82,Bucknell (Patriot),11,4-7,40,6,831,1,20.78
83,Morehead St. (Pioneer),11,4-7,35,6,729,0,20.83
84,Portland St. (Big Sky),11,5-6,17,47,355,0,20.88
85,Wofford (SoCon),11,2-9,20,13,419,0,20.95
86,Samford (SoCon),11,6-5,40,11,843,0,21.08
87,Georgetown (Patriot),11,5-6,41,1,865,0,21.10
88,Gardner-Webb (OVC),12,7-5,29,23,612,0,21.10
89,Maine (CAA),11,2-9,31,13,657,0,21.19
90,Western Caro. (SoCon),11,7-4,38,19,807,0,21.24
91,Presbyterian (Pioneer),11,4-7,32,9,682,0,21.31
92,ETSU (SoCon),11,3-8,26,16,556,0,21.38
93,South Dakota (MVFC),13,10-3,31,16,664,1,21.42
94,Idaho St. (Big Sky),11,3-8,30,12,645,0,21.50
95,North Ala. (ASUN),11,3-8,19,19,412,0,21.68
96,Central Conn. St. (NEC),11,3-8,42,8,914,1,21.76
97,Nicholls (Southland),11,6-5,37,10,812,0,21.95
