Rank,Team,G,W-L,Opp KO Ret,KO TB,Opp KO Ret Yds,Opp Kick Ret TDs,Avg
98,Lehigh (Patriot),11,2-9,27,3,596,1,22.07
99,Robert Morris (OVC),11,4-7,27,10,597,1,22.11
100,Jackson St. (SWAC),11,7-4,35,14,782,1,22.34
101,Lafayette (Patriot),12,9-3,43,4,961,0,22.35
102,Princeton (Ivy League),10,5-5,12,17,269,0,22.42
103,North Dakota St. (MVFC),15,11-4,55,34,"1,234",1,22.44
104,Bryant (OVC),11,6-5,42,13,944,0,22.48
105,Cornell (Ivy League),10,3-7,17,11,385,0,22.65
106,Stetson (Pioneer),11,3-8,40,3,910,2,22.75
107,Stony Brook (CAA),10,0-10,17,11,387,0,22.76
108,Furman (SoCon),13,10-3,15,54,342,1,22.80
109,UT Martin (OVC),11,8-3,16,42,366,0,22.88
110,UC Davis (Big Sky),11,7-4,22,26,506,0,23.00
111,N.C. A&T (CAA),11,1-10,29,7,669,1,23.07
112,Eastern Wash. (Big Sky),11,4-7,41,16,953,0,23.24
113,Villanova (CAA),13,10-3,46,13,"1,074",2,23.35
114,Ark.-Pine Bluff (SWAC),11,2-9,25,8,587,0,23.48
115,Houston Christian (Southland),10,5-5,25,20,598,1,23.92
116,Cal Poly (Big Sky),11,3-8,33,6,790,1,23.94
117,Tennessee Tech (OVC),11,4-7,17,12,407,1,23.94
118,Southern Utah (ASUN),11,6-5,18,37,441,0,24.50
119,Montana St. (Big Sky),12,8-4,8,72,197,0,24.63
120,Brown (Ivy League),10,5-5,25,23,620,1,24.80
121,Northern Ariz. (Big Sky),11,5-6,19,25,491,0,25.84
122,Northwestern St. (Southland),6,0-6,11,7,351,1,31.91
