Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,Opp TDs,YPG
1,South Dakota St. (MVFC),15,15-0,869,"3,858",4.44,15,15,257.2
2,Florida A&M (SWAC),13,12-1,812,"3,391",4.18,25,26,260.8
3,Alabama St. (SWAC),11,7-4,684,"3,101",4.53,18,19,281.9
4,Southern Ill. (MVFC),13,8-5,824,"3,670",4.45,21,23,282.3
5,Merrimack (NEC),11,5-6,622,"3,115",5.01,32,33,283.2
6,UIW (Southland),10,8-2,656,"2,982",4.55,21,24,298.2
7,Villanova (CAA),13,10-3,795,"3,904",4.91,27,30,300.3
8,Princeton (Ivy League),10,5-5,712,"3,021",4.24,18,20,302.1
9,North Dakota St. (MVFC),15,11-4,848,"4,539",5.35,34,36,302.6
10,William & Mary (CAA),11,6-5,629,"3,342",5.31,22,24,303.8
11,Penn (Ivy League),10,6-4,705,"3,040",4.31,25,25,304
12,Dartmouth (Ivy League),10,6-4,657,"3,055",4.65,22,24,305.5
13,Tennessee Tech (OVC),11,4-7,662,"3,367",5.09,31,37,306.1
14,Idaho (Big Sky),13,9-4,796,"3,989",5.01,35,35,306.8
15,Kennesaw St. (FCS Independent),9,3-6,592,"2,774",4.69,19,19,308.2
16,Morgan St. (MEAC),10,4-6,651,"3,085",4.74,22,26,308.5
17,Presbyterian (Pioneer),11,4-7,733,"3,460",4.72,28,34,314.5
18,Montana (Big Sky),15,13-2,973,"4,720",4.85,34,34,314.7
19,Furman (SoCon),13,10-3,834,"4,108",4.93,27,31,316
20,Valparaiso (Pioneer),11,3-8,712,"3,504",4.92,33,35,318.5
21,Howard (MEAC),12,6-6,702,"3,827",5.45,32,35,318.9
22,Butler (Pioneer),11,7-4,652,"3,520",5.40,24,25,320
23,UAlbany (CAA),15,11-4,990,"4,838",4.89,33,36,322.5
24,South Carolina St. (MEAC),11,5-6,651,"3,549",5.45,33,36,322.6
25,South Dakota (MVFC),13,10-3,799,"4,203",5.26,26,28,323.3
26,Georgetown (Patriot),11,5-6,664,"3,565",5.37,35,37,324.1
27,Illinois St. (MVFC),11,6-5,729,"3,574",4.90,29,30,324.9
28,Columbia (Ivy League),10,3-7,694,"3,259",4.70,21,23,325.9
29,Southern U. (SWAC),11,6-5,770,"3,600",4.68,25,28,327.3
30,Central Ark. (ASUN),11,7-4,734,"3,639",4.96,30,31,330.8
31,Montana St. (Big Sky),12,8-4,759,"3,977",5.24,34,34,331.4
32,Dayton (Pioneer),11,4-7,684,"3,647",5.33,34,36,331.5
33,Gardner-Webb (OVC),12,7-5,854,"4,002",4.69,39,42,333.5
34,Tennessee St. (OVC),11,6-5,742,"3,672",4.95,34,36,333.8
35,San Diego (Pioneer),11,4-7,678,"3,701",5.46,33,34,336.5
36,UNI (MVFC),11,6-5,666,"3,703",5.56,35,37,336.6
37,Jackson St. (SWAC),11,7-4,677,"3,720",5.49,36,37,338.2
38,Richmond (CAA),13,9-4,790,"4,400",5.57,35,38,338.5
39,Sacred Heart (NEC),11,2-9,693,"3,726",5.38,32,34,338.7
40,UC Davis (Big Sky),11,7-4,723,"3,740",5.17,30,33,340
41,Cornell (Ivy League),10,3-7,589,"3,412",5.79,32,34,341.2
42,Eastern Ill. (OVC),11,8-3,730,"3,759",5.15,29,29,341.7
43,Alcorn (SWAC),11,7-4,672,"3,762",5.60,28,30,342
44,Youngstown St. (MVFC),13,8-5,721,"4,456",6.18,43,43,342.8
45,Robert Morris (OVC),11,4-7,646,"3,772",5.84,38,43,342.9
46,Lafayette (Patriot),12,9-3,801,"4,119",5.14,37,37,343.3
47,Harvard (Ivy League),10,8-2,738,"3,438",4.66,25,25,343.8
48,Mercer (SoCon),13,9-4,852,"4,474",5.25,36,37,344.2
49,Southern Utah (ASUN),11,6-5,745,"3,803",5.10,32,33,345.7
50,Alabama A&M (SWAC),11,5-6,696,"3,805",5.47,35,38,345.9
51,Yale (Ivy League),10,7-3,725,"3,476",4.79,24,25,347.6
52,Delaware (CAA),13,9-4,839,"4,541",5.41,34,38,349.3
53,UT Martin (OVC),11,8-3,776,"3,863",4.98,30,34,351.2
54,Drake (Pioneer),12,8-4,768,"4,232",5.51,38,41,352.7
55,Saint Francis (PA) (NEC),10,4-6,659,"3,536",5.37,32,35,353.6
56,Wofford (SoCon),11,2-9,747,"3,897",5.22,28,31,354.3
57,Chattanooga (SoCon),13,8-5,796,"4,621",5.81,37,39,355.5
58,Monmouth (CAA),11,4-7,709,"3,915",5.52,41,41,355.9
59,Grambling (SWAC),11,5-6,715,"3,924",5.49,40,43,356.7
60,LIU (NEC),11,4-7,746,"3,938",5.28,34,36,358
61,Nicholls (Southland),11,6-5,724,"3,990",5.51,31,34,362.7
62,Davidson (Pioneer),11,7-4,633,"3,994",6.31,41,43,363.1
63,Duquesne (NEC),12,7-5,780,"4,385",5.62,45,49,365.4
64,Wagner (NEC),11,4-7,705,"4,021",5.70,40,45,365.5
65,Marist (Pioneer),11,4-7,686,"4,061",5.92,43,44,369.2
66,Weber St. (Big Sky),11,6-5,775,"4,062",5.24,33,35,369.3
67,Elon (CAA),11,6-5,746,"4,063",5.45,34,34,369.4
68,Lamar University (Southland),11,6-5,705,"4,079",5.79,33,34,370.8
69,Western Caro. (SoCon),11,7-4,724,"4,101",5.66,36,40,372.8
