Rank,Team,G,W-L,Fum Lost,Int,Turn Lost
1,North Dakota St. (MVFC),16,14-2,1,5,6
2,Eastern Wash. (Big Sky),12,4-8,3,4,7
3,Davidson (Pioneer),11,6-5,4,4,8
4,Dartmouth (Ivy League),10,8-2,5,4,9
4,Harvard (Ivy League),10,8-2,6,3,9
4,Indiana St. (MVFC),12,4-8,4,5,9
4,Montana St. (Big Sky),16,15-1,7,2,9
4,Norfolk St. (MEAC),12,4-8,5,4,9
4,San Diego (Pioneer),11,8-3,4,5,9
10,South Dakota (MVFC),14,11-3,4,6,10
10,Southern Utah (ASUN),12,7-5,2,8,10
10,Yale (Ivy League),10,7-3,6,4,10
13,Maine (CAA),12,5-7,6,5,11
13,Merrimack (FCS Independent),11,5-6,7,4,11
13,Texas Southern (SWAC),11,5-6,3,8,11
13,UNI (MVFC),12,3-9,6,5,11
17,Delaware (CAA),11,9-2,6,6,12
17,Elon (CAA),12,6-6,6,6,12
17,Holy Cross (Patriot),12,6-6,5,7,12
17,Morehead St. (Pioneer),12,7-5,3,9,12
17,Penn (Ivy League),10,4-6,5,7,12
17,Sacred Heart (FCS Independent),11,5-6,6,6,12
17,Valparaiso (Pioneer),11,4-7,6,6,12
24,Butler (Pioneer),12,9-3,6,7,13
24,Cornell (Ivy League),10,4-6,2,11,13
24,Marist (Pioneer),11,1-10,2,11,13
24,Missouri St. (MVFC),12,8-4,7,6,13
24,North Dakota (MVFC),12,5-7,5,8,13
24,Richmond (CAA),13,10-3,5,8,13
24,South Dakota St. (MVFC),15,12-3,6,7,13
24,Southeastern La. (Southland),12,7-5,3,10,13
32,Austin Peay (ASUN),12,4-8,5,9,14
32,Columbia (Ivy League),10,7-3,5,9,14
32,LIU (NEC),12,4-8,9,5,14
32,Monmouth (CAA),12,6-6,8,6,14
32,Northern Ariz. (Big Sky),13,8-5,9,5,14
32,Presbyterian (Pioneer),12,6-6,8,6,14
32,Robert Morris (NEC),12,7-5,4,10,14
32,Villanova (CAA),14,10-4,9,5,14
32,Weber St. (Big Sky),12,4-8,8,6,14
41,Bethune-Cookman (SWAC),12,2-10,8,7,15
41,Eastern Ky. (ASUN),13,8-5,7,8,15
41,Idaho (Big Sky),14,10-4,5,10,15
41,Montana (Big Sky),14,9-5,7,8,15
41,Morgan St. (MEAC),12,6-6,10,5,15
41,Portland St. (Big Sky),11,3-8,6,9,15
41,Prairie View (SWAC),12,5-7,6,9,15
48,Cal Poly (Big Sky),11,3-8,4,12,16
48,Chattanooga (SoCon),12,7-5,5,11,16
48,Drake (Pioneer),11,8-3,6,10,16
48,Hampton (CAA),12,5-7,8,8,16
48,Lafayette (Patriot),12,6-6,3,13,16
48,N.C. Central (MEAC),11,8-3,6,10,16
48,New Hampshire (CAA),13,8-5,8,8,16
48,Northern Colo. (Big Sky),12,1-11,6,10,16
48,SFA (Southland),12,7-5,10,6,16
48,Samford (SoCon),11,4-7,4,12,16
48,Southern Ill. (MVFC),12,4-8,3,13,16
48,Stony Brook (CAA),12,8-4,10,6,16
48,Tarleton St. (ASUN),14,10-4,3,13,16
48,Tennessee St. (OVC),13,9-4,8,8,16
48,The Citadel (SoCon),12,5-7,8,8,16
48,UT Martin (OVC),14,9-5,8,8,16
48,Wagner (NEC),12,4-8,5,11,16
65,Bryant (CAA),12,2-10,4,13,17
65,Bucknell (Patriot),12,6-6,9,8,17
65,Campbell (CAA),12,3-9,6,11,17
65,Delaware St. (MEAC),12,1-11,7,10,17
65,Gardner-Webb (OVC),12,4-8,5,12,17
65,Grambling (SWAC),12,5-7,5,12,17
65,Howard (MEAC),12,4-8,3,14,17
65,Tennessee Tech (OVC),12,7-5,8,9,17
73,Alabama St. (SWAC),12,7-5,10,8,18
73,Central Conn. St. (NEC),13,7-6,5,13,18
73,Illinois St. (MVFC),14,10-4,9,9,18
73,Nicholls (Southland),12,4-8,7,11,18
73,UAlbany (CAA),12,4-8,7,11,18
73,Youngstown St. (MVFC),12,4-8,6,12,18
79,Ark.-Pine Bluff (SWAC),12,3-9,11,8,19
79,Idaho St. (Big Sky),12,5-7,4,15,19
79,Jackson St. (SWAC),14,12-2,9,10,19
79,Lamar University (Southland),12,7-5,10,9,19
79,Lehigh (Patriot),13,9-4,7,12,19
79,South Carolina St. (MEAC),12,9-3,9,10,19
79,UIW (Southland),14,11-3,9,10,19
79,Western Ill. (OVC),12,4-8,10,9,19
87,Central Ark. (ASUN),12,6-6,8,12,20
87,Eastern Ill. (OVC),12,3-9,6,14,20
87,Georgetown (Patriot),11,5-6,6,14,20
87,Utah Tech (ASUN),12,1-11,11,9,20
87,Western Caro. (SoCon),12,7-5,10,10,20
87,William & Mary (CAA),12,7-5,10,10,20
87,Wofford (SoCon),12,5-7,6,14,20
94,Alcorn (SWAC),12,6-6,9,12,21
94,Brown (Ivy League),10,3-7,7,14,21
94,Colgate (Patriot),12,2-10,6,15,21
94,Duquesne (NEC),11,8-3,5,16,21
94,Fordham (Patriot),12,2-10,11,10,21
94,Houston Christian (Southland),12,5-7,9,12,21
94,Northwestern St. (Southland),12,0-12,7,14,21
94,Princeton (Ivy League),10,3-7,6,15,21
94,Towson (CAA),12,7-5,11,10,21
103,Abilene Christian (ASUN),14,9-5,10,12,22
103,Charleston So. (OVC),12,1-11,9,13,22
103,Mercer (SoCon),14,11-3,10,12,22
103,UC Davis (Big Sky),14,11-3,8,14,22
103,VMI (SoCon),12,1-11,7,15,22
108,Alabama A&M (SWAC),12,6-6,8,15,23
108,Dayton (Pioneer),11,6-5,13,10,23
108,Furman (SoCon),11,3-8,10,13,23
108,N.C. A&T (CAA),12,1-11,11,12,23
108,Saint Francis (NEC),11,4-7,17,6,23
113,McNeese (Southland),12,6-6,13,11,24
113,Sacramento St. (Big Sky),12,3-9,11,13,24
113,Southeast Mo. St. (OVC),13,9-4,9,15,24
113,Southern U. (SWAC),13,8-5,11,13,24
117,ETSU (SoCon),12,7-5,4,21,25
117,Florida A&M (SWAC),12,7-5,13,12,25
119,Murray St. (MVFC),12,1-11,7,19,26
119,North Ala. (ASUN),12,3-9,9,17,26
121,Mississippi Val. (SWAC),12,1-11,6,21,27
121,Rhode Island (CAA),14,11-3,10,17,27
123,Stetson (Pioneer),11,2-9,4,27,31
