Rank,Team,G,W-L,Opp 4th Conv,Opp 4th Att,Pct
1,Ark.-Pine Bluff (SWAC),11,2-9,1,13,0.077
2,Alabama A&M (SWAC),11,5-6,4,17,0.235
3,Maine (CAA),11,2-9,4,14,0.286
4,North Ala. (ASUN),11,3-8,6,20,0.3
5,Robert Morris (OVC),11,4-7,5,16,0.313
6,Marist (Pioneer),11,4-7,6,19,0.316
6,Tennessee St. (OVC),11,6-5,6,19,0.316
8,Morehead St. (Pioneer),11,4-7,7,21,0.333
8,Southern Ill. (MVFC),13,8-5,7,21,0.333
10,Dartmouth (Ivy League),10,6-4,8,23,0.348
11,Brown (Ivy League),10,5-5,4,11,0.364
12,Bucknell (Patriot),11,4-7,7,19,0.368
13,Furman (SoCon),13,10-3,10,26,0.385
14,Mississippi Val. (SWAC),11,1-10,7,18,0.389
14,San Diego (Pioneer),11,4-7,7,18,0.389
16,UAlbany (CAA),15,11-4,15,37,0.405
17,Southern U. (SWAC),11,6-5,11,27,0.407
18,Eastern Ill. (OVC),11,8-3,9,22,0.409
19,Lamar University (Southland),11,6-5,7,17,0.412
20,Montana (Big Sky),15,13-2,17,41,0.415
21,Indiana St. (MVFC),11,1-10,5,12,0.417
21,UC Davis (Big Sky),11,7-4,10,24,0.417
21,Yale (Ivy League),10,7-3,10,24,0.417
24,Northern Ariz. (Big Sky),11,5-6,13,30,0.433
25,Hampton (CAA),11,5-6,7,16,0.438
26,SFA (ASUN),11,3-8,8,18,0.444
27,Abilene Christian (ASUN),11,5-6,9,20,0.45
27,Elon (CAA),11,6-5,9,20,0.45
29,Delaware (CAA),13,9-4,10,22,0.455
29,Morgan St. (MEAC),10,4-6,5,11,0.455
31,Gardner-Webb (OVC),12,7-5,11,24,0.458
32,Nicholls (Southland),11,6-5,13,28,0.464
33,Cal Poly (Big Sky),11,3-8,8,17,0.471
33,Chattanooga (SoCon),13,8-5,8,17,0.471
35,Central Ark. (ASUN),11,7-4,9,19,0.474
36,Drake (Pioneer),12,8-4,11,23,0.478
36,North Dakota (MVFC),12,7-5,11,23,0.478
38,Colgate (Patriot),11,6-5,13,27,0.481
39,Butler (Pioneer),11,7-4,14,29,0.483
39,Villanova (CAA),13,10-3,14,29,0.483
41,Bryant (OVC),11,6-5,15,30,0.5
41,Cornell (Ivy League),10,3-7,4,8,0.5
41,Florida A&M (SWAC),13,12-1,16,32,0.5
41,Grambling (SWAC),11,5-6,11,22,0.5
41,Holy Cross (Patriot),11,7-4,15,30,0.5
41,Houston Christian (Southland),10,5-5,6,12,0.5
41,North Dakota St. (MVFC),15,11-4,13,26,0.5
41,Northern Colo. (Big Sky),11,0-11,9,18,0.5
41,Richmond (CAA),13,9-4,9,18,0.5
41,Samford (SoCon),11,6-5,13,26,0.5
41,South Carolina St. (MEAC),11,5-6,8,16,0.5
41,South Dakota St. (MVFC),15,15-0,13,26,0.5
41,Weber St. (Big Sky),11,6-5,11,22,0.5
54,N.C. Central (MEAC),12,9-3,14,27,0.519
55,Stetson (Pioneer),11,3-8,13,25,0.52
56,Davidson (Pioneer),11,7-4,12,23,0.522
56,Dayton (Pioneer),11,4-7,12,23,0.522
56,Lehigh (Patriot),11,2-9,12,23,0.522
59,Duquesne (NEC),12,7-5,11,21,0.524
59,Fordham (Patriot),11,6-5,11,21,0.524
59,Montana St. (Big Sky),12,8-4,11,21,0.524
62,Southern Utah (ASUN),11,6-5,10,19,0.526
63,Delaware St. (MEAC),11,1-10,9,17,0.529
64,Sacramento St. (Big Sky),13,8-5,16,30,0.533
65,New Hampshire (CAA),11,6-5,15,28,0.536
66,Lafayette (Patriot),12,9-3,22,41,0.537
67,Campbell (CAA),11,5-6,18,33,0.545
67,Portland St. (Big Sky),11,5-6,6,11,0.545
69,Harvard (Ivy League),10,8-2,17,31,0.548
70,South Dakota (MVFC),13,10-3,11,20,0.55
71,Murray St. (MVFC),11,2-9,10,18,0.556
71,UNI (MVFC),11,6-5,10,18,0.556
71,Youngstown St. (MVFC),13,8-5,10,18,0.556
74,Idaho (Big Sky),13,9-4,14,25,0.56
75,Georgetown (Patriot),11,5-6,9,16,0.563
75,Western Caro. (SoCon),11,7-4,9,16,0.563
77,Wagner (NEC),11,4-7,13,23,0.565
78,Mercer (SoCon),13,9-4,16,28,0.571
78,Merrimack (NEC),11,5-6,8,14,0.571
78,Sacred Heart (NEC),11,2-9,8,14,0.571
81,Bethune-Cookman (SWAC),11,3-8,11,19,0.579
81,Southeastern La. (Southland),11,3-8,11,19,0.579
81,VMI (SoCon),11,5-6,11,19,0.579
84,Northwestern St. (Southland),6,0-6,7,12,0.583
84,Valparaiso (Pioneer),11,3-8,14,24,0.583
86,Idaho St. (Big Sky),11,3-8,10,17,0.588
86,Tennessee Tech (OVC),11,4-7,10,17,0.588
86,UIW (Southland),10,8-2,10,17,0.588
89,Charleston So. (OVC),11,4-7,13,22,0.591
89,Jackson St. (SWAC),11,7-4,13,22,0.591
89,Penn (Ivy League),10,6-4,13,22,0.591
92,Missouri St. (MVFC),11,4-7,16,27,0.593
93,Austin Peay (ASUN),12,9-3,18,30,0.6
93,Illinois St. (MVFC),11,6-5,12,20,0.6
93,N.C. A&T (CAA),11,1-10,9,15,0.6
93,Prairie View (SWAC),12,6-6,9,15,0.6
93,Rhode Island (CAA),11,6-5,9,15,0.6
98,Central Conn. St. (NEC),11,3-8,11,18,0.611
99,Southeast Mo. St. (OVC),11,4-7,19,31,0.613
100,Columbia (Ivy League),10,3-7,16,26,0.615
101,Howard (MEAC),12,6-6,10,16,0.625
101,Towson (CAA),11,5-6,10,16,0.625
103,Eastern Ky. (ASUN),11,5-6,19,30,0.633
104,McNeese (Southland),10,0-10,7,11,0.636
104,Stony Brook (CAA),10,0-10,7,11,0.636
106,LIU (NEC),11,4-7,16,25,0.64
107,Wofford (SoCon),11,2-9,9,14,0.643
108,Eastern Wash. (Big Sky),11,4-7,11,17,0.647
109,The Citadel (SoCon),11,0-11,13,20,0.65
109,UT Martin (OVC),11,8-3,13,20,0.65
111,Kennesaw St. (FCS Independent),9,3-6,10,15,0.667
111,Princeton (Ivy League),10,5-5,14,21,0.667
111,Saint Francis (PA) (NEC),10,4-6,10,15,0.667
111,Western Ill. (MVFC),11,0-11,8,12,0.667
115,Alabama St. (SWAC),11,7-4,15,22,0.682
115,Texas Southern (SWAC),11,3-8,15,22,0.682
117,Monmouth (CAA),11,4-7,16,23,0.696
118,ETSU (SoCon),11,3-8,12,17,0.706
119,Presbyterian (Pioneer),11,4-7,16,22,0.727
120,Norfolk St. (MEAC),11,3-8,12,16,0.75
121,Alcorn (SWAC),11,7-4,11,14,0.786
121,William & Mary (CAA),11,6-5,11,14,0.786
