Rank,Team,G,W-L,4th Conv,4th Att,Pct
1,Duquesne (NEC),11,8-3,18,20,0.9
2,Southeast Mo. St. (OVC),13,9-4,15,19,0.789
2,Youngstown St. (MVFC),12,4-8,15,19,0.789
4,Jackson St. (SWAC),14,12-2,16,22,0.727
4,N.C. Central (MEAC),11,8-3,8,11,0.727
6,Davidson (Pioneer),11,6-5,23,32,0.719
7,Penn (Ivy League),10,4-6,13,19,0.684
8,North Dakota St. (MVFC),16,14-2,15,22,0.682
9,Harvard (Ivy League),10,8-2,16,24,0.667
9,Western Ill. (OVC),12,4-8,16,24,0.667
9,Abilene Christian (ASUN),14,9-5,14,21,0.667
12,Alabama A&M (SWAC),12,6-6,19,29,0.655
13,Portland St. (Big Sky),11,3-8,9,14,0.643
14,Stony Brook (CAA),12,8-4,14,22,0.636
15,Monmouth (CAA),12,6-6,25,40,0.625
15,Hampton (CAA),12,5-7,15,24,0.625
15,South Dakota (MVFC),14,11-3,5,8,0.625
18,Brown (Ivy League),10,3-7,23,37,0.622
19,Cornell (Ivy League),10,4-6,13,21,0.619
20,Delaware (CAA),11,9-2,21,34,0.618
21,Holy Cross (Patriot),12,6-6,8,13,0.615
21,San Diego (Pioneer),11,8-3,8,13,0.615
23,Samford (SoCon),11,4-7,11,18,0.611
23,South Carolina St. (MEAC),12,9-3,11,18,0.611
25,UT Martin (OVC),14,9-5,14,23,0.609
26,Montana (Big Sky),14,9-5,17,28,0.607
27,Indiana St. (MVFC),12,4-8,13,22,0.591
27,Richmond (CAA),13,10-3,13,22,0.591
27,William & Mary (CAA),12,7-5,13,22,0.591
30,Butler (Pioneer),12,9-3,10,17,0.588
31,Gardner-Webb (OVC),12,4-8,21,36,0.583
31,Merrimack (FCS Independent),11,5-6,7,12,0.583
33,Elon (CAA),12,6-6,11,19,0.579
33,Yale (Ivy League),10,7-3,11,19,0.579
35,Bethune-Cookman (SWAC),12,2-10,12,21,0.571
36,Towson (CAA),12,7-5,9,16,0.563
37,Morgan St. (MEAC),12,6-6,14,25,0.56
38,Villanova (CAA),14,10-4,10,18,0.556
39,McNeese (Southland),12,6-6,11,20,0.55
40,Idaho St. (Big Sky),12,5-7,12,22,0.545
41,Central Ark. (ASUN),12,6-6,7,13,0.538
42,Southeastern La. (Southland),12,7-5,15,28,0.536
43,Morehead St. (Pioneer),12,7-5,8,15,0.533
