Rank,Team,G,W-L,KO Ret,KO Ret Yds,Kick Ret TDs,Avg
100,Hampton (CAA),11,5-6,35,600,1,17.14
101,SFA (ASUN),11,3-8,31,530,0,17.10
102,South Carolina St. (MEAC),11,5-6,21,359,0,17.10
103,Houston Christian (Southland),10,5-5,14,239,0,17.07
104,William & Mary (CAA),11,6-5,30,509,0,16.97
105,Northwestern St. (Southland),6,0-6,19,322,0,16.95
106,Grambling (SWAC),11,5-6,48,809,0,16.85
107,Prairie View (SWAC),12,6-6,39,657,0,16.85
108,ETSU (SoCon),11,3-8,26,436,0,16.77
109,Eastern Ill. (OVC),11,8-3,29,486,0,16.76
110,Southern U. (SWAC),11,6-5,37,618,1,16.70
111,Davidson (Pioneer),11,7-4,38,628,0,16.53
112,Youngstown St. (MVFC),13,8-5,29,479,0,16.52
113,Southern Utah (ASUN),11,6-5,26,428,0,16.46
114,Western Ill. (MVFC),11,0-11,36,590,0,16.39
115,South Dakota (MVFC),13,10-3,20,325,0,16.25
116,Presbyterian (Pioneer),11,4-7,29,468,0,16.14
117,Alcorn (SWAC),11,7-4,23,364,0,15.83
118,Jackson St. (SWAC),11,7-4,34,521,0,15.32
119,N.C. Central (MEAC),12,9-3,35,536,0,15.31
120,North Ala. (ASUN),11,3-8,21,315,0,15.00
121,Illinois St. (MVFC),11,6-5,12,144,0,12.00
122,Tennessee Tech (OVC),11,4-7,9,107,0,11.89
