Rank,Team,G,W-L,TDs,PAT,2PT,Def Pts,FG,Saf,Pts,PPG
106,Eastern Ill. (OVC),12,3-9,29,25,1,0,7,0,222,18.5
107,Murray St. (MVFC),12,1-11,25,23,2,0,14,0,219,18.3
107,Utah Tech (ASUN),12,1-11,28,27,0,0,8,0,219,18.3
109,Georgetown (Patriot),11,5-6,26,24,0,0,6,1,200,18.2
110,Fordham (Patriot),12,2-10,26,20,3,0,10,1,214,17.8
111,Sacred Heart (FCS Independent),11,5-6,24,22,0,0,10,0,196,17.8
112,Delaware St. (MEAC),12,1-11,28,26,0,0,6,0,212,17.7
113,Morehead St. (Pioneer),12,7-5,27,24,0,1,7,0,207,17.4
114,Marist (Pioneer),11,1-10,27,15,2,0,3,0,190,17.3
115,Mississippi Val. (SWAC),12,1-11,27,25,1,0,4,0,201,16.8
116,Wofford (SoCon),12,5-7,22,16,2,0,14,1,196,16.3
117,Saint Francis (NEC),11,4-7,22,18,1,0,8,0,176,16
118,N.C. A&T (CAA),12,1-11,22,15,2,0,12,0,187,15.6
119,Valparaiso (Pioneer),11,4-7,19,16,3,0,11,1,171,15.5
120,Charleston So. (OVC),12,1-11,22,18,1,0,6,0,170,14.2
121,VMI (SoCon),12,1-11,18,17,0,0,8,0,149,12.4
122,Northwestern St. (Southland),12,0-12,18,18,0,0,6,0,144,12
123,Northern Colo. (Big Sky),12,1-11,18,14,1,0,4,0,136,11.3
