Rank,Team,G,W-L,TDs,PAT,2PT,Def Pts,FG,Saf,Pts,PPG
1,UIW (Southland),14,12-2,99,90,3,0,9,2,721,51.5
2,Fordham (Patriot),12,9-3,80,76,1,0,12,0,594,49.5
3,Montana St. (Big Sky),14,12-2,75,71,0,0,24,4,601,42.9
4,Sacramento St. (Big Sky),13,12-1,72,71,1,0,17,1,558,42.9
5,N.C. Central (MEAC),12,10-2,61,52,2,0,13,1,463,38.6
6,Mercer (SoCon),11,7-4,56,54,0,0,10,0,420,38.2
7,Jackson St. (SWAC),13,12-1,64,55,3,0,13,3,490,37.7
8,Holy Cross (Patriot),13,12-1,64,57,1,0,13,2,486,37.4
9,Monmouth (CAA),11,5-6,54,41,7,0,7,0,400,36.4
10,Jacksonville St. (ASUN),11,9-2,51,49,1,0,13,1,398,36.2
11,Eastern Ky. (ASUN),12,7-5,55,48,7,0,14,0,434,36.2
12,Montana (Big Sky),13,8-5,63,53,1,0,11,2,470,36.2
13,Idaho (Big Sky),12,7-5,55,48,3,0,15,1,431,35.9
13,Saint Francis (PA) (NEC),12,9-3,54,49,1,0,18,1,431,35.9
15,UC Davis (Big Sky),11,6-5,49,41,3,0,18,0,395,35.9
16,Southeast Mo. St. (OVC),12,9-3,54,53,1,0,16,0,427,35.6
17,Southeastern La. (Southland),13,9-4,59,50,2,0,17,0,459,35.3
18,Weber St. (Big Sky),13,10-3,57,52,3,0,19,0,457,35.2
19,UT Martin (OVC),11,7-4,51,49,0,0,9,0,382,34.7
20,North Dakota St. (MVFC),15,12-3,69,67,2,0,10,0,515,34.3
21,SFA (WAC),11,6-5,46,43,1,0,18,1,377,34.3
22,South Dakota St. (MVFC),15,14-1,65,61,4,0,18,0,513,34.2
23,William & Mary (CAA),13,11-2,55,51,0,0,18,0,435,33.5
24,Bryant (Big South),11,4-7,47,40,1,0,14,0,366,33.3
25,Furman (SoCon),13,10-3,54,52,0,0,18,0,430,33.1
26,UNI (MVFC),11,6-5,46,45,0,0,14,0,363,33
27,Samford (SoCon),13,11-2,58,51,0,0,9,0,426,32.8
28,Gardner-Webb (Big South),13,7-6,56,53,1,0,9,0,418,32.2
29,Central Ark. (ASUN),11,5-6,45,45,0,0,12,1,353,32.1
30,Davidson (Pioneer),12,8-4,52,48,1,0,7,0,383,31.9
31,Western Caro. (SoCon),11,6-5,43,40,1,0,17,0,351,31.9
32,Southern U. (SWAC),12,7-5,51,48,0,0,8,1,380,31.7
33,Austin Peay (ASUN),11,7-4,45,44,0,0,11,0,347,31.5
34,Richmond (CAA),13,9-4,49,45,0,0,22,1,407,31.3
35,Campbell (Big South),11,5-6,43,39,1,0,14,0,341,31
36,Rhode Island (CAA),11,7-4,46,41,3,0,4,1,337,30.6
37,Yale (Ivy League),10,8-2,38,36,0,0,13,1,305,30.5
38,North Dakota (MVFC),12,7-5,48,45,2,0,9,0,364,30.3
39,Southern Utah (WAC),11,5-6,42,34,2,0,13,1,331,30.1
40,Prairie View (SWAC),11,6-5,43,37,0,0,11,0,328,29.8
41,New Hampshire (CAA),13,9-4,50,45,2,0,11,2,386,29.7
42,UAlbany (CAA),11,3-8,43,39,0,0,9,1,326,29.6
43,ETSU (SoCon),11,3-8,39,38,0,0,17,0,323,29.4
44,Chattanooga (SoCon),11,7-4,41,39,0,0,11,1,320,29.1
45,N.C. A&T (Big South),11,7-4,39,35,1,0,14,1,315,28.6
46,North Ala. (ASUN),11,1-10,42,40,2,0,6,0,314,28.5
46,Youngstown St. (MVFC),11,7-4,38,32,3,0,16,0,314,28.5
48,Dayton (Pioneer),11,8-3,39,33,0,0,14,2,313,28.5
49,Howard (MEAC),11,5-6,42,37,2,0,6,0,311,28.3
49,Southern Ill. (MVFC),11,5-6,40,33,1,0,12,0,311,28.3
51,Abilene Christian (WAC),11,7-4,41,40,0,0,8,0,310,28.2
52,Delaware (CAA),13,8-5,50,44,2,0,6,0,366,28.2
53,San Diego (Pioneer),10,5-5,36,34,0,0,9,1,279,27.9
53,Stetson (Pioneer),10,4-6,36,36,0,0,9,0,279,27.9
55,Princeton (Ivy League),10,8-2,37,28,0,0,8,1,276,27.6
56,Kennesaw St. (ASUN),11,5-6,38,35,0,0,13,0,302,27.5
57,Missouri St. (MVFC),11,5-6,38,35,1,0,12,0,301,27.4
58,Butler (Pioneer),11,7-4,38,36,0,0,12,0,300,27.3
59,Harvard (Ivy League),10,6-4,34,33,1,0,10,0,269,26.9
60,Penn (Ivy League),10,8-2,35,29,0,0,9,0,266,26.6
61,Columbia (Ivy League),10,6-4,33,28,3,0,11,0,265,26.5
62,Villanova (CAA),11,6-5,37,35,1,0,10,0,289,26.3
63,Elon (CAA),12,8-4,37,31,1,0,18,0,309,25.8
64,Portland St. (Big Sky),11,4-7,38,37,0,0,5,1,282,25.6
65,Florida A&M (SWAC),11,9-2,33,30,0,0,17,1,281,25.5
65,Texas Southern (SWAC),11,5-6,37,26,3,0,9,0,281,25.5
67,Eastern Wash. (Big Sky),11,3-8,37,33,2,0,4,0,271,24.6
67,Sacred Heart (NEC),11,5-6,34,33,0,0,10,2,271,24.6
69,Duquesne (NEC),11,4-7,34,31,1,0,11,0,270,24.5
70,LIU (NEC),11,4-7,32,28,1,0,14,1,266,24.2
70,Tennessee Tech (OVC),11,4-7,34,32,0,0,10,0,266,24.2
72,Ark.-Pine Bluff (SWAC),11,3-8,34,31,0,0,9,0,262,23.8
73,Bethune-Cookman (SWAC),11,2-9,34,25,2,0,8,1,259,23.5
74,Maine (CAA),11,2-9,33,29,1,0,9,0,256,23.3
75,Brown (Ivy League),10,3-7,29,25,1,0,10,0,231,23.1
76,Morehead St. (Pioneer),11,2-9,32,28,0,0,11,0,253,23
77,Morgan St. (MEAC),11,4-7,34,29,0,0,5,1,250,22.7
78,Georgetown (Patriot),11,2-9,32,27,0,0,10,0,249,22.6
78,McNeese (Southland),11,4-7,31,25,3,0,10,1,249,22.6
78,Grambling (SWAC),11,3-8,33,27,2,0,6,1,249,22.6
81,South Carolina St. (MEAC),11,3-8,31,28,0,0,8,0,238,21.6
82,Eastern Ill. (OVC),11,2-9,30,28,2,0,11,0,245,22.3
82,Northern Ariz. (Big Sky),11,3-8,30,27,1,0,12,0,245,22.3
84,Valparaiso (Pioneer),12,5-7,35,28,1,0,9,0,267,22.3
85,Cal Poly (Big Sky),11,2-9,33,31,0,0,4,0,241,21.9
86,Cornell (Ivy League),10,5-5,28,25,1,0,7,0,216,21.6
87,Colgate (Patriot),11,3-8,28,23,2,0,14,0,237,21.5
87,Northwestern St. (Southland),11,4-7,33,28,1,0,3,0,237,21.5
89,Marist (Pioneer),11,4-7,29,26,0,0,12,0,236,21.5
90,Towson (CAA),11,6-5,29,25,0,0,12,0,235,21.4
91,Lamar University (Southland),11,1-10,29,28,0,0,10,0,232,21.1
92,Northern Colo. (Big Sky),11,3-8,31,27,2,0,4,0,229,20.8
93,Alcorn (SWAC),11,5-6,27,24,0,0,14,0,228,20.7
94,Charleston So. (Big South),10,2-8,26,25,0,0,8,1,207,20.7
95,Alabama A&M (SWAC),11,4-7,28,25,0,0,10,1,225,20.5
96,Dartmouth (Ivy League),10,3-7,26,24,0,0,7,0,201,20.1
97,Hampton (CAA),11,4-7,28,28,0,0,8,0,220,20
97,Wofford (SoCon),11,3-8,29,26,1,0,6,0,220,20
99,Delaware St. (MEAC),11,5-6,27,21,1,0,9,0,212,19.3
100,Alabama St. (SWAC),11,6-5,26,21,0,0,10,3,213,19.4
101,The Citadel (SoCon),11,4-7,26,23,0,0,9,0,206,18.7
102,Nicholls (Southland),11,3-8,25,21,0,0,10,1,203,18.5
103,Sam Houston (WAC),9,5-4,17,14,1,0,15,1,165,18.3
104,Tennessee St. (OVC),11,4-7,23,18,0,0,15,0,201,18.3
105,Houston Christian (Southland),11,2-9,24,21,0,0,11,0,198,18
106,Drake (Pioneer),11,3-8,24,21,1,0,9,0,194,17.6
107,Central Conn. St. (NEC),11,2-9,28,15,1,0,2,0,191,17.4
108,Illinois St. (MVFC),11,6-5,25,22,0,0,6,0,190,17.3
109,Lehigh (Patriot),11,2-9,24,20,1,0,7,1,189,17.2
109,Norfolk St. (MEAC),11,2-9,26,24,0,0,3,0,189,17.2
111,South Dakota (MVFC),11,3-8,23,20,0,0,7,0,179,16.3
112,VMI (SoCon),11,1-10,21,16,0,0,11,1,177,16.1
113,Indiana St. (MVFC),11,2-9,23,17,3,0,5,0,176,16
114,Presbyterian (Pioneer),11,1-10,23,23,0,0,4,0,173,15.7
115,Murray St. (OVC),11,2-9,21,15,0,0,8,1,167,15.2
116,Stony Brook (CAA),11,2-9,22,22,0,0,4,0,166,15.1
117,Mississippi Val. (SWAC),11,2-9,20,18,0,0,7,0,159,14.5
118,Idaho St. (Big Sky),11,1-10,19,16,0,0,7,0,151,13.7
118,Wagner (NEC),11,1-10,20,17,1,0,4,0,151,13.7
120,Western Ill. (MVFC),11,0-11,18,15,0,0,9,0,150,13.6
121,Bucknell (Patriot),11,3-8,17,9,3,0,8,0,141,12.8
122,Lafayette (Patriot),11,4-7,19,17,0,1,2,0,139,12.6
123,Robert Morris (Big South),11,0-11,14,10,0,0,5,0,109,9.9
