Rank,Team,G,W-L,Opp 4th Conv,Opp 4th Att,Pct
1,Holy Cross (Patriot),13,10-3,4,17,0.235
2,Harvard (Ivy League),10,8-2,6,24,0.25
3,South Carolina St. (MEAC),12,7-5,5,19,0.263
4,Alcorn (SWAC),11,6-5,5,18,0.278
5,SFA (WAC),12,8-4,6,21,0.286
5,UNI (MVFC),12,6-6,8,28,0.286
7,Illinois St. (MVFC),11,4-7,5,17,0.294
8,Furman (SoCon),11,6-5,4,13,0.308
9,Richmond (CAA),11,6-5,5,16,0.313
10,Columbia (Ivy League),10,7-3,8,25,0.32
11,Sacred Heart (NEC),12,8-4,6,18,0.333
11,Youngstown St. (MVFC),10,3-7,5,15,0.333
13,Morehead St. (Pioneer),11,7-4,12,35,0.343
14,San Diego (Pioneer),11,7-4,9,26,0.346
15,Sacramento St. (Big Sky),12,9-3,8,23,0.348
16,Florida A&M (SWAC),12,9-3,7,20,0.35
17,Central Ark. (ASUN),11,5-6,5,14,0.357
17,Montana St. (Big Sky),15,12-3,10,28,0.357
17,Princeton (Ivy League),10,9-1,10,28,0.357
20,Alabama St. (SWAC),11,5-6,6,16,0.375
21,Dayton (Pioneer),10,6-4,14,36,0.389
21,North Dakota (MVFC),11,5-6,7,18,0.389
21,Robert Morris (Big South),10,4-6,7,18,0.389
24,Lehigh (Patriot),11,3-8,8,20,0.4
24,Mississippi Val. (SWAC),11,4-7,6,15,0.4
26,Bryant (NEC),11,7-4,9,22,0.409
27,Delaware (CAA),11,5-6,7,17,0.412
27,Grambling (SWAC),11,4-7,7,17,0.412
27,Sam Houston (WAC),12,11-1,7,17,0.412
30,Elon (CAA),11,6-5,10,24,0.417
30,Jacksonville St. (ASUN),11,5-6,5,12,0.417
30,Kennesaw St. (Big South),13,11-2,10,24,0.417
33,Missouri St. (MVFC),12,8-4,11,26,0.423
33,Stetson (Pioneer),10,3-7,11,26,0.423
35,Butler (Pioneer),11,3-8,6,14,0.429
35,Maine (CAA),11,6-5,9,21,0.429
37,North Dakota St. (MVFC),15,14-1,16,37,0.432
38,Campbell (Big South),11,3-8,13,30,0.433
39,Southeast Mo. St. (OVC),11,4-7,10,23,0.435
40,Portland St. (Big Sky),11,5-6,8,18,0.444
40,UT Martin (OVC),13,10-3,12,27,0.444
42,Villanova (CAA),13,10-3,13,29,0.448
43,Montana (Big Sky),13,10-3,14,31,0.452
44,Indiana St. (MVFC),11,5-6,10,22,0.455
45,Eastern Ky. (ASUN),11,7-4,11,24,0.458
45,UC Davis (Big Sky),12,8-4,11,24,0.458
47,Duquesne (NEC),10,7-3,12,26,0.462
47,Lamar University (WAC),10,1-9,6,13,0.462
49,Davidson (Pioneer),11,8-3,19,41,0.463
50,ETSU (SoCon),13,11-2,13,28,0.464
50,Jackson St. (SWAC),13,11-2,13,28,0.464
52,Ark.-Pine Bluff (SWAC),11,2-9,7,15,0.467
53,South Dakota St. (MVFC),15,11-4,15,32,0.469
54,Abilene Christian (WAC),11,5-6,8,17,0.471
55,Weber St. (Big Sky),11,6-5,9,19,0.474
56,McNeese (Southland),11,4-7,10,21,0.476
57,Austin Peay (OVC),11,6-5,12,25,0.48
58,Gardner-Webb (Big South),11,4-7,13,27,0.481
58,Monmouth (Big South),11,7-4,13,27,0.481
60,Alabama A&M (SWAC),10,7-3,12,24,0.5
60,Charleston So. (Big South),10,4-6,11,22,0.5
60,Morgan St. (MEAC),11,2-9,14,28,0.5
60,Penn (Ivy League),10,3-7,11,22,0.5
60,Southern U. (SWAC),11,4-7,11,22,0.5
60,The Citadel (SoCon),11,4-7,4,8,0.5
60,Towson (CAA),11,4-7,7,14,0.5
60,Yale (Ivy League),10,5-5,14,28,0.5
68,Presbyterian (Pioneer),11,2-9,16,31,0.516
69,Valparaiso (Pioneer),11,4-7,14,27,0.519
70,Delaware St. (MEAC),11,5-6,11,21,0.524
71,Central Conn. St. (NEC),11,4-7,10,19,0.526
71,Chattanooga (SoCon),11,6-5,10,19,0.526
71,Idaho (Big Sky),11,4-7,10,19,0.526
71,Tennessee St. (OVC),11,5-6,10,19,0.526
71,UAlbany (CAA),11,2-9,10,19,0.526
76,New Hampshire (CAA),11,3-8,9,17,0.529
76,South Dakota (MVFC),12,7-5,9,17,0.529
78,Fordham (Patriot),11,6-5,15,28,0.536
78,Marist (Pioneer),10,5-5,15,28,0.536
78,Southeastern La. (Southland),13,9-4,15,28,0.536
81,Saint Francis (PA) (NEC),11,5-6,14,26,0.538
82,Northwestern St. (Southland),11,3-8,12,22,0.545
83,Cornell (Ivy League),10,2-8,10,18,0.556
84,UIW (Southland),13,10-3,19,34,0.559
85,James Madison (CAA),14,12-2,14,25,0.56
86,Northern Colo. (Big Sky),11,3-8,9,16,0.563
86,Western Caro. (SoCon),11,4-7,9,16,0.563
86,Western Ill. (MVFC),11,2-9,9,16,0.563
89,Northern Ariz. (Big Sky),11,5-6,13,23,0.565
89,Samford (SoCon),11,4-7,13,23,0.565
91,Prairie View (SWAC),12,7-5,17,30,0.567
92,Houston Christian (Southland),11,0-11,12,21,0.571
93,Eastern Wash. (Big Sky),13,10-3,18,31,0.581
93,William & Mary (CAA),11,6-5,18,31,0.581
95,Southern Ill. (MVFC),13,8-5,10,17,0.588
95,Wofford (SoCon),11,1-10,10,17,0.588
97,Wagner (NEC),11,0-11,13,22,0.591
98,Nicholls (Southland),11,6-5,15,25,0.6
99,Bucknell (Patriot),11,1-10,13,21,0.619
99,Georgetown (Patriot),10,2-8,13,21,0.619
99,Norfolk St. (MEAC),11,6-5,13,21,0.619
102,N.C. A&T (Big South),11,5-6,15,24,0.625
103,Murray St. (OVC),11,6-5,12,19,0.632
104,Dartmouth (Ivy League),10,9-1,16,25,0.64
105,VMI (SoCon),11,6-5,20,31,0.645
106,Brown (Ivy League),10,2-8,11,17,0.647
107,Colgate (Patriot),11,5-6,13,20,0.65
107,N.C. Central (MEAC),11,6-5,13,20,0.65
109,Tennessee Tech (OVC),11,3-8,15,23,0.652
110,Cal Poly (Big Sky),11,2-9,10,15,0.667
110,Hampton (Big South),11,5-6,10,15,0.667
110,Idaho St. (Big Sky),11,1-10,8,12,0.667
110,LIU (NEC),10,2-8,16,24,0.667
110,Lafayette (Patriot),11,3-8,14,21,0.667
115,Drake (Pioneer),10,2-8,11,16,0.688
116,Southern Utah (Big Sky),11,1-10,9,13,0.692
116,Stony Brook (CAA),11,5-6,9,13,0.692
118,Texas Southern (SWAC),10,2-8,15,21,0.714
119,Rhode Island (CAA),11,7-4,18,25,0.72
120,Mercer (SoCon),10,7-3,11,15,0.733
121,Eastern Ill. (OVC),11,1-10,14,19,0.737
121,Howard (MEAC),11,3-8,14,19,0.737
123,Bethune-Cookman (SWAC),11,2-9,14,17,0.824
