Team,Conference,rec. vs D1,SP+,rank,pctile,Off. SP+,rank,Def. SP+,rank
Western Illinois,MVC,0-11,-7.5,83,21.4%,18.8,100,26.2,56
Eastern Illinois,OVC,2-9,-7.7,84,20.6%,18.9,96,26.6,64
Southern U.,SWAC,4-6,-7.9,85,20.0%,24.2,71,32.2,119
Alabama A&M,SWAC,4-7,-8.0,86,19.9%,22.0,83,29.9,106
Howard,MEAC,4-6,-8.0,87,19.8%,21.5,86,29.5,102
Nicholls State,Southland,3-8,-8.2,88,19.2%,19.5,91,27.7,79
Tennessee Tech,OVC,4-7,-8.3,89,19.1%,17.8,109,26.1,53
Charleston Southern,Big South,2-8,-8.3,90,19.0%,19.1,92,27.4,73
Dayton,Pioneer,7-3,-8.4,91,18.5%,25.5,62,33.9,124
Davidson,Pioneer,6-4,-8.7,92,17.8%,26.1,56,34.8,126
Texas A&M-Commerce,Southland,3-6,-8.9,93,17.3%,18.1,106,27.0,67
Alabama State,SWAC,5-5,-9.2,94,16.6%,22.8,79,31.9,118
Valparaiso,Pioneer,4-7,-9.3,95,16.3%,21.0,88,30.3,108
VMI,Southern,1-10,-9.3,96,16.3%,15.3,122,24.6,31
Hampton,CAA,3-7,-9.3,97,16.1%,21.8,84,31.2,117
Colgate,Patriot,3-8,-9.5,98,15.7%,17.6,111,27.1,69
McNeese State,Southland,3-7,-9.6,99,15.6%,18.9,95,28.5,88
Murray State,OVC,2-9,-9.7,100,15.1%,15.1,123,24.9,38
Norfolk State,MEAC,2-9,-9.8,101,15.0%,18.8,99,28.6,92
Duquesne,NEC,3-7,-9.8,102,15.0%,23.5,73,33.3,122
SC State,MEAC,2-8,-10.1,103,14.3%,18.8,97,28.9,95
Bucknell,Patriot,3-8,-10.2,104,14.0%,18.7,101,28.9,94
Merrimack,NEC,7-3,-10.2,105,14.0%,20.8,89,31.0,114
Utah Tech,WAC,3-7,-10.2,106,14.0%,17.6,112,27.8,82
Morgan State,MEAC,3-7,-10.4,107,13.6%,18.3,103,28.7,93
Central Connecticut,NEC,2-9,-10.5,108,13.5%,18.8,98,29.3,100
North Alabama,A-Sun,0-10,-10.6,109,13.1%,19.9,90,30.6,113
Lehigh,Patriot,2-9,-10.8,110,12.8%,17.1,115,27.9,83
Texas Southern,SWAC,4-6,-10.9,111,12.5%,22.7,81,33.5,123
San Diego,Pioneer,4-5,-11.1,112,12.1%,18.5,102,29.6,103
Georgetown,Patriot,2-9,-11.5,113,11.2%,15.7,120,27.2,71
Long Island,NEC,4-7,-11.9,114,10.5%,18.3,104,30.1,107
Marist,Pioneer,4-7,-11.9,115,10.5%,17.5,113,29.3,101
Bethune-Cookman,SWAC,2-9,-12.2,116,9.8%,17.0,116,29.2,98
Robert Morris,Big South,0-11,-12.3,117,9.7%,14.1,125,26.4,61
Houston Baptist,Southland,2-9,-12.4,118,9.5%,16.1,119,28.5,90
Butler,Pioneer,5-4,-13.1,119,8.3%,21.8,85,34.9,127
MVSU,SWAC,2-8,-13.6,120,7.5%,16.7,118,30.3,110
Lindenwood,OVC,4-3,-13.8,121,7.3%,18.9,94,32.7,120
Delaware State,MEAC,3-6,-14.3,122,6.6%,14.7,124,29.0,96
Wagner,NEC,1-10,-14.9,123,5.8%,15.6,121,30.5,112
Lamar,Southland,1-10,-15.2,124,5.5%,12.4,126,27.6,77
Stonehill,NEC,2-5,-18.7,125,2.5%,12.4,127,31.1,116
Stetson,Pioneer,2-6,-19.0,126,2.3%,18.0,107,37.0,130
Drake,Pioneer,3-7,-19.0,127,2.3%,10.9,129,29.9,105
UAPB,SWAC,1-8,-19.6,128,1.9%,16.7,117,36.4,128
Morehead State,Pioneer,1-9,-22.5,129,0.9%,12.0,128,34.5,125
Presbyterian,Pioneer,0-10,-27.0,130,0.2%,10.0,130,37.0,129
