Rank,Team,G,W-L,Opp 3rd Conv,Opp 3rd Att,Pct
1,Yale (Ivy League),10,5-5,33,149,0.221
2,Jackson St. (SWAC),13,11-2,54,202,0.267
3,North Dakota St. (MVFC),15,14-1,55,205,0.268
4,Weber St. (Big Sky),11,6-5,41,151,0.272
5,James Madison (CAA),14,12-2,53,195,0.272
6,Harvard (Ivy League),10,8-2,44,156,0.282
7,UAlbany (CAA),11,2-9,35,118,0.297
8,Eastern Wash. (Big Sky),13,10-3,57,187,0.305
9,UNI (MVFC),12,6-6,58,190,0.305
10,Chattanooga (SoCon),11,6-5,48,157,0.306
11,Richmond (CAA),11,6-5,51,166,0.307
12,Prairie View (SWAC),12,7-5,49,159,0.308
13,Northern Ariz. (Big Sky),11,5-6,51,164,0.311
14,Bryant (NEC),11,7-4,42,135,0.311
15,Villanova (CAA),13,10-3,58,184,0.315
16,Duquesne (NEC),10,7-3,40,126,0.317
17,Montana (Big Sky),13,10-3,70,218,0.321
18,SFA (WAC),12,8-4,55,171,0.322
19,San Diego (Pioneer),11,7-4,45,139,0.324
20,Princeton (Ivy League),10,9-1,49,151,0.325
21,Florida A&M (SWAC),12,9-3,55,169,0.325
22,Dartmouth (Ivy League),10,9-1,49,150,0.327
23,Murray St. (OVC),11,6-5,51,155,0.329
24,Alabama St. (SWAC),11,5-6,45,136,0.331
25,Tennessee Tech (OVC),11,3-8,50,151,0.331
26,Missouri St. (MVFC),12,8-4,57,171,0.333
26,North Dakota (MVFC),11,5-6,48,144,0.333
28,Nicholls (Southland),11,6-5,47,140,0.336
29,Delaware St. (MEAC),11,5-6,48,141,0.34
30,Austin Peay (OVC),11,6-5,61,177,0.345
31,South Dakota (MVFC),12,7-5,58,168,0.345
31,William & Mary (CAA),11,6-5,58,168,0.345
33,Gardner-Webb (Big South),11,4-7,57,164,0.348
34,Wagner (NEC),11,0-11,44,126,0.349
35,Montana St. (Big Sky),15,12-3,78,223,0.35
36,Monmouth (Big South),11,7-4,48,137,0.35
37,Sam Houston (WAC),12,11-1,66,188,0.351
38,Cornell (Ivy League),10,2-8,50,141,0.355
39,Valparaiso (Pioneer),11,4-7,55,155,0.355
40,Stony Brook (CAA),11,5-6,52,146,0.356
41,N.C. Central (MEAC),11,6-5,55,154,0.357
42,Holy Cross (Patriot),13,10-3,65,181,0.359
43,Maine (CAA),11,6-5,50,139,0.36
44,Howard (MEAC),11,3-8,50,138,0.362
45,Saint Francis (PA) (NEC),11,5-6,60,165,0.364
45,South Carolina St. (MEAC),12,7-5,60,165,0.364
47,Eastern Ill. (OVC),11,1-10,54,148,0.365
47,Elon (CAA),11,6-5,54,148,0.365
49,Eastern Ky. (ASUN),11,7-4,60,164,0.366
50,Penn (Ivy League),10,3-7,58,158,0.367
51,UC Davis (Big Sky),12,8-4,69,185,0.373
52,Alabama A&M (SWAC),10,7-3,50,134,0.373
53,Northern Colo. (Big Sky),11,3-8,56,150,0.373
54,Charleston So. (Big South),10,4-6,62,166,0.373
55,Lafayette (Patriot),11,3-8,58,155,0.374
56,Norfolk St. (MEAC),11,6-5,53,141,0.376
57,Tennessee St. (OVC),11,5-6,61,162,0.377
58,Kennesaw St. (Big South),13,11-2,58,154,0.377
59,Southeast Mo. St. (OVC),11,4-7,60,158,0.38
60,ETSU (SoCon),13,11-2,65,171,0.38
61,UT Martin (OVC),13,10-3,67,176,0.381
62,VMI (SoCon),11,6-5,64,168,0.381
63,McNeese (Southland),11,4-7,61,159,0.384
64,Sacred Heart (NEC),12,8-4,61,158,0.386
65,Dayton (Pioneer),10,6-4,56,145,0.386
66,Georgetown (Patriot),10,2-8,50,129,0.388
67,Columbia (Ivy League),10,7-3,61,157,0.389
68,Southern Ill. (MVFC),13,8-5,72,183,0.393
69,Portland St. (Big Sky),11,5-6,52,131,0.397
70,Campbell (Big South),11,3-8,58,146,0.397
71,Stetson (Pioneer),10,3-7,56,140,0.4
72,Abilene Christian (WAC),11,5-6,57,142,0.401
73,Presbyterian (Pioneer),11,2-9,51,127,0.402
74,Grambling (SWAC),11,4-7,66,164,0.402
75,Central Conn. St. (NEC),11,4-7,52,129,0.403
76,Delaware (CAA),11,5-6,66,163,0.405
77,South Dakota St. (MVFC),15,11-4,88,216,0.407
78,Lehigh (Patriot),11,3-8,64,157,0.408
79,Indiana St. (MVFC),11,5-6,60,147,0.408
79,Northwestern St. (Southland),11,3-8,60,147,0.408
81,Western Ill. (MVFC),11,2-9,61,149,0.409
82,Rhode Island (CAA),11,7-4,66,161,0.41
83,Alcorn (SWAC),11,6-5,64,156,0.41
84,Colgate (Patriot),11,5-6,60,146,0.411
84,Mercer (SoCon),10,7-3,60,146,0.411
86,Drake (Pioneer),10,2-8,58,141,0.411
87,Central Ark. (ASUN),11,5-6,63,153,0.412
88,Youngstown St. (MVFC),10,3-7,46,111,0.414
89,Marist (Pioneer),10,5-5,59,142,0.415
90,N.C. A&T (Big South),11,5-6,67,161,0.416
91,Towson (CAA),11,4-7,55,132,0.417
92,Morehead St. (Pioneer),11,7-4,71,170,0.418
93,Texas Southern (SWAC),10,2-8,57,136,0.419
94,UIW (Southland),13,10-3,84,199,0.422
95,Sacramento St. (Big Sky),12,9-3,71,167,0.425
96,Southeastern La. (Southland),13,9-4,72,169,0.426
97,Idaho (Big Sky),11,4-7,67,157,0.427
98,Hampton (Big South),11,5-6,59,135,0.437
99,Davidson (Pioneer),11,8-3,60,137,0.438
100,Western Caro. (SoCon),11,4-7,69,156,0.442
101,New Hampshire (CAA),11,3-8,73,165,0.442
102,Ark.-Pine Bluff (SWAC),11,2-9,70,158,0.443
103,Mississippi Val. (SWAC),11,4-7,67,151,0.444
104,The Citadel (SoCon),11,4-7,54,121,0.446
105,Houston Christian (Southland),11,0-11,73,163,0.448
106,Morgan St. (MEAC),11,2-9,74,164,0.451
107,Brown (Ivy League),10,2-8,54,119,0.454
108,Cal Poly (Big Sky),11,2-9,74,161,0.46
109,Jacksonville St. (ASUN),11,5-6,70,151,0.464
110,Illinois St. (MVFC),11,4-7,79,170,0.465
111,Robert Morris (Big South),10,4-6,55,117,0.47
112,Southern U. (SWAC),11,4-7,64,136,0.471
113,Bucknell (Patriot),11,1-10,62,131,0.473
114,Samford (SoCon),11,4-7,85,179,0.475
115,Fordham (Patriot),11,6-5,81,170,0.476
116,Bethune-Cookman (SWAC),11,2-9,74,155,0.477
117,Furman (SoCon),11,6-5,75,157,0.478
118,Butler (Pioneer),11,3-8,62,127,0.488
119,Idaho St. (Big Sky),11,1-10,74,151,0.49
120,LIU (NEC),10,2-8,64,128,0.5
121,Lamar University (WAC),10,1-9,63,125,0.504
122,Wofford (SoCon),11,1-10,74,146,0.507
123,Southern Utah (Big Sky),11,1-10,73,133,0.549
