Rank,Team,G,W-L,RuFD,PaFD,PnFD,FD
1,North Dakota St. (MVFC),16,14-2,162,168,31,361
2,Montana St. (Big Sky),16,15-1,218,121,17,356
3,UC Davis (Big Sky),14,11-3,102,221,20,343
4,Abilene Christian (ASUN),14,9-5,109,195,22,326
5,South Dakota St. (MVFC),15,12-3,169,132,20,321
5,UIW (Southland),14,11-3,139,157,25,321
7,Southeast Mo. St. (OVC),13,9-4,65,210,31,306
8,Montana (Big Sky),14,9-5,145,140,20,305
8,Western Caro. (SoCon),12,7-5,92,184,29,305
10,Illinois St. (MVFC),14,10-4,130,149,24,303
11,South Dakota (MVFC),14,11-3,157,124,19,300
11,Tarleton St. (ASUN),14,10-4,138,138,24,300
13,Idaho St. (Big Sky),12,5-7,89,174,35,298
14,Eastern Wash. (Big Sky),12,4-8,167,111,14,292
15,Monmouth (CAA),12,6-6,93,171,21,285
16,Jackson St. (SWAC),14,12-2,147,110,26,283
17,Western Ill. (OVC),12,4-8,85,163,27,275
18,Alabama A&M (SWAC),12,6-6,114,135,25,274
19,Northern Ariz. (Big Sky),13,8-5,130,122,18,270
20,SFA (Southland),12,7-5,106,140,20,266
21,Idaho (Big Sky),14,10-4,109,136,18,263
21,William & Mary (CAA),12,7-5,145,98,20,263
23,Central Ark. (ASUN),12,6-6,103,130,28,261
23,Delaware (CAA),11,9-2,127,115,19,261
23,Rhode Island (CAA),14,11-3,103,133,25,261
26,Stony Brook (CAA),12,8-4,109,135,16,260
27,Butler (Pioneer),12,9-3,133,99,27,259
27,Missouri St. (MVFC),12,8-4,81,158,20,259
27,UT Martin (OVC),14,9-5,112,118,29,259
27,Youngstown St. (MVFC),12,4-8,133,113,13,259
31,Sacramento St. (Big Sky),12,3-9,93,146,19,258
32,Richmond (CAA),13,10-3,131,116,10,257
32,Weber St. (Big Sky),12,4-8,130,104,23,257
34,Eastern Ky. (ASUN),13,8-5,121,110,25,256
34,Mercer (SoCon),14,11-3,121,117,18,256
36,Southern Utah (ASUN),12,7-5,125,107,23,255
37,Gardner-Webb (OVC),12,4-8,85,132,36,253
38,Bucknell (Patriot),12,6-6,75,150,27,252
39,North Dakota (MVFC),12,5-7,117,97,37,251
40,Davidson (Pioneer),11,6-5,174,58,18,250
41,Hampton (CAA),12,5-7,129,95,25,249
41,Villanova (CAA),14,10-4,118,97,34,249
43,South Carolina St. (MEAC),12,9-3,100,131,17,248
