Rank,Team,G,W-L,TDs,PAT,2PT,Def Pts,FG,Saf,Pts,PPG
1,Southeastern La. (Southland),13,9-4,80,74,1,0,10,0,584,44.9
2,Eastern Wash. (Big Sky),13,10-3,77,63,6,0,11,1,558,43.1
3,Sam Houston (WAC),12,11-1,67,60,3,0,8,0,486,40.5
4,UIW (Southland),13,10-3,71,64,1,0,7,0,511,39.3
5,James Madison (CAA),14,12-2,64,63,0,0,29,1,534,38.3
6,Samford (SoCon),11,4-7,54,52,1,0,13,0,415,37.7
7,Alabama A&M (SWAC),10,7-3,51,48,2,0,7,0,375,37.5
8,Davidson (Pioneer),11,8-3,56,52,0,0,4,0,400,36.4
9,South Dakota St. (MVFC),15,11-4,69,67,1,1,19,0,538,35.9
10,Central Ark. (ASUN),11,5-6,53,52,0,0,3,0,379,34.5
11,SFA (WAC),12,8-4,50,49,0,0,20,1,409,34.3
12,Missouri St. (MVFC),12,8-4,50,46,1,0,21,0,409,34.1
13,North Dakota St. (MVFC),15,14-1,66,61,1,0,16,2,505,33.9
14,Fordham (Patriot),11,6-5,50,47,0,0,7,1,368,33.6
15,Nicholls (Southland),11,6-5,48,46,0,0,11,0,367,33.4
16,Presbyterian (Pioneer),11,2-9,57,20,18,0,0,2,362,33.3
17,Norfolk St. (MEAC),11,6-5,50,44,0,0,7,0,365,33.2
18,Kennesaw St. (Big South),13,11-2,56,55,0,0,10,0,427,32.8
19,Princeton (Ivy League),10,9-1,41,37,3,0,15,0,328,32.8
20,Morehead St. (Pioneer),11,7-4,47,40,0,1,12,0,358,32.5
21,ETSU (SoCon),13,11-2,53,51,1,0,18,0,423,32.5
22,Harvard (Ivy League),10,8-2,40,39,0,0,15,0,324,32.4
23,Holy Cross (Patriot),13,10-3,56,53,0,0,10,0,419,32.2
24,Austin Peay (OVC),11,6-5,46,36,2,0,14,0,354,32.2
24,Western Caro. (SoCon),11,4-7,46,42,1,0,12,0,354,32.2
26,Mercer (SoCon),10,7-3,41,39,1,0,10,0,315,31.5
27,Monmouth (Big South),11,7-4,47,40,3,0,8,0,346,31.5
28,VMI (SoCon),11,6-5,42,39,1,0,17,0,342,31.1
