Rank,Team,G,W-L,KO Ret,KO Ret Yds,Kick Ret TDs,Avg
1,LIU (NEC),12,4-8,15,421,2,28.07
2,South Dakota (MVFC),14,11-3,15,418,2,27.87
3,Eastern Wash. (Big Sky),12,4-8,43,"1,154",1,26.84
4,UNI (MVFC),12,3-9,17,456,1,26.82
5,Houston Christian (Southland),12,5-7,34,909,3,26.74
6,Presbyterian (Pioneer),12,6-6,29,753,1,25.97
7,North Dakota St. (MVFC),16,14-2,34,881,2,25.91
8,Tennessee St. (OVC),13,9-4,36,930,2,25.83
9,Merrimack (FCS Independent),11,5-6,35,891,2,25.46
10,Samford (SoCon),11,4-7,32,806,1,25.19
11,North Dakota (MVFC),12,5-7,28,699,0,24.96
12,Idaho (Big Sky),14,10-4,27,672,1,24.89
13,Elon (CAA),12,6-6,40,994,2,24.85
14,N.C. Central (MEAC),11,8-3,16,396,0,24.75
15,Colgate (Patriot),12,2-10,37,915,1,24.73
16,Chattanooga (SoCon),12,7-5,19,467,1,24.58
17,Southeastern La. (Southland),12,7-5,27,651,1,24.11
18,Missouri St. (MVFC),12,8-4,24,567,1,23.63
19,Butler (Pioneer),12,9-3,23,540,0,23.48
20,Abilene Christian (ASUN),14,9-5,34,787,0,23.15
21,Penn (Ivy League),10,4-6,28,646,0,23.07
22,Tennessee Tech (OVC),12,7-5,27,622,0,23.04
23,Weber St. (Big Sky),12,4-8,34,775,1,22.79
24,Texas Southern (SWAC),11,5-6,44,"1,002",1,22.77
25,Holy Cross (Patriot),12,6-6,40,892,1,22.30
26,Robert Morris (NEC),12,7-5,29,642,1,22.14
27,Indiana St. (MVFC),12,4-8,34,751,0,22.09
28,Furman (SoCon),11,3-8,41,901,1,21.98
29,Lehigh (Patriot),13,9-4,32,700,0,21.88
30,Gardner-Webb (OVC),12,4-8,40,874,0,21.85
31,North Ala. (ASUN),12,3-9,25,545,0,21.80
32,Montana (Big Sky),14,9-5,43,935,0,21.74
33,N.C. A&T (CAA),12,1-11,49,"1,056",2,21.55
34,Maine (CAA),12,5-7,38,818,1,21.53
35,Saint Francis (NEC),11,4-7,22,473,1,21.50
36,Wofford (SoCon),12,5-7,21,450,0,21.43
37,Southeast Mo. St. (OVC),13,9-4,34,720,0,21.18
38,Mercer (SoCon),14,11-3,32,676,0,21.13
39,San Diego (Pioneer),11,8-3,25,523,0,20.92
40,Northern Ariz. (Big Sky),13,8-5,28,585,0,20.89
41,Villanova (CAA),14,10-4,37,772,0,20.86
42,Davidson (Pioneer),11,6-5,37,769,0,20.78
43,Grambling (SWAC),12,5-7,47,975,1,20.74
44,UAlbany (CAA),12,4-8,43,890,0,20.70
45,Eastern Ky. (ASUN),13,8-5,33,682,1,20.67
46,Florida A&M (SWAC),12,7-5,41,845,1,20.61
47,Cal Poly (Big Sky),11,3-8,39,798,0,20.46
48,Bethune-Cookman (SWAC),12,2-10,48,982,2,20.46
49,Bryant (CAA),12,2-10,45,919,1,20.42
50,Austin Peay (ASUN),12,4-8,31,633,0,20.42
51,Jackson St. (SWAC),14,12-2,42,852,2,20.29
52,Central Conn. St. (NEC),13,7-6,33,667,0,20.21
53,Stetson (Pioneer),11,2-9,24,485,0,20.21
54,Valparaiso (Pioneer),11,4-7,46,929,0,20.20
55,Wagner (NEC),12,4-8,32,645,0,20.16
56,Yale (Ivy League),10,7-3,19,382,0,20.11
57,Howard (MEAC),12,4-8,36,722,0,20.06
58,Portland St. (Big Sky),11,3-8,34,680,0,20.00
59,Southern Ill. (MVFC),12,4-8,23,458,0,19.91
60,UT Martin (OVC),14,9-5,30,597,0,19.90
61,Monmouth (CAA),12,6-6,38,756,2,19.89
61,VMI (SoCon),12,1-11,38,756,0,19.89
63,UIW (Southland),14,11-3,26,515,0,19.81
64,The Citadel (SoCon),12,5-7,25,495,0,19.80
65,Dayton (Pioneer),11,6-5,37,731,0,19.76
66,Lamar University (Southland),12,7-5,31,611,0,19.71
67,Western Ill. (OVC),12,4-8,41,806,0,19.66
68,ETSU (SoCon),12,7-5,22,432,0,19.64
69,Georgetown (Patriot),11,5-6,33,642,0,19.45
70,New Hampshire (CAA),13,8-5,43,834,1,19.40
71,William & Mary (CAA),12,7-5,31,601,0,19.39
72,Idaho St. (Big Sky),12,5-7,31,600,1,19.35
73,SFA (Southland),12,7-5,21,406,0,19.33
74,Stony Brook (CAA),12,8-4,24,463,0,19.29
75,Charleston So. (OVC),12,1-11,33,636,0,19.27
75,Sacramento St. (Big Sky),12,3-9,33,636,0,19.27
77,Utah Tech (ASUN),12,1-11,11,211,0,19.18
78,Tarleton St. (ASUN),14,10-4,24,459,0,19.13
79,Alabama A&M (SWAC),12,6-6,46,879,0,19.11
80,Southern Utah (ASUN),12,7-5,28,535,0,19.11
81,Mississippi Val. (SWAC),12,1-11,58,"1,102",0,19.00
81,Norfolk St. (MEAC),12,4-8,31,589,1,19.00
83,Ark.-Pine Bluff (SWAC),12,3-9,33,626,0,18.97
84,Alcorn (SWAC),12,6-6,35,663,0,18.94
85,Delaware (CAA),11,9-2,30,568,0,18.93
86,Marist (Pioneer),11,1-10,40,754,0,18.85
87,Northwestern St. (Southland),12,0-12,41,772,0,18.83
88,UC Davis (Big Sky),14,11-3,23,430,0,18.70
89,Sacred Heart (FCS Independent),11,5-6,29,541,0,18.66
90,Central Ark. (ASUN),12,6-6,31,577,0,18.61
91,Lafayette (Patriot),12,6-6,33,609,0,18.45
92,Richmond (CAA),13,10-3,24,441,0,18.38
93,Prairie View (SWAC),12,5-7,40,732,0,18.30
94,Bucknell (Patriot),12,6-6,45,822,1,18.27
95,Western Caro. (SoCon),12,7-5,28,509,0,18.18
96,Drake (Pioneer),11,8-3,18,327,0,18.17
97,Montana St. (Big Sky),16,15-1,24,435,0,18.13
98,South Carolina St. (MEAC),12,9-3,23,414,0,18.00
99,Nicholls (Southland),12,4-8,25,446,0,17.84
100,Brown (Ivy League),10,3-7,19,334,0,17.58
101,Morgan St. (MEAC),12,6-6,30,524,0,17.47
102,Alabama St. (SWAC),12,7-5,35,609,1,17.40
103,Illinois St. (MVFC),14,10-4,27,467,0,17.30
104,Harvard (Ivy League),10,8-2,10,172,0,17.20
105,Campbell (CAA),12,3-9,41,698,1,17.02
106,Princeton (Ivy League),10,3-7,13,221,0,17.00
107,Fordham (Patriot),12,2-10,34,577,0,16.97
108,Eastern Ill. (OVC),12,3-9,19,322,0,16.95
109,Morehead St. (Pioneer),12,7-5,31,524,0,16.90
110,Cornell (Ivy League),10,4-6,15,253,0,16.87
111,Dartmouth (Ivy League),10,8-2,14,235,0,16.79
112,Delaware St. (MEAC),12,1-11,53,882,0,16.64
113,Murray St. (MVFC),12,1-11,36,593,0,16.47
114,McNeese (Southland),12,6-6,19,309,0,16.26
115,South Dakota St. (MVFC),15,12-3,32,518,1,16.19
116,Southern U. (SWAC),13,8-5,43,691,0,16.07
117,Towson (CAA),12,7-5,21,333,0,15.86
118,Youngstown St. (MVFC),12,4-8,32,507,0,15.84
119,Duquesne (NEC),11,8-3,29,435,0,15.00
120,Northern Colo. (Big Sky),12,1-11,19,280,0,14.74
121,Hampton (CAA),12,5-7,22,319,0,14.50
122,Rhode Island (CAA),14,11-3,36,505,0,14.03
123,Columbia (Ivy League),10,7-3,11,142,0,12.91
