Rank,Team,G,W-L,Opp 3rd Conv,Opp 3rd Att,Pct
1,Dayton (Pioneer),11,6-5,37,141,0.262
2,Mercer (SoCon),14,11-3,55,202,0.272
3,N.C. Central (MEAC),11,8-3,40,140,0.286
4,Southern U. (SWAC),13,8-5,49,171,0.287
5,SFA (Southland),12,7-5,54,185,0.292
6,Nicholls (Southland),12,4-8,46,156,0.295
7,Jackson St. (SWAC),14,12-2,58,193,0.301
8,South Dakota St. (MVFC),15,12-3,61,200,0.305
9,UT Martin (OVC),14,9-5,59,193,0.306
10,ETSU (SoCon),12,7-5,55,178,0.309
11,Alabama St. (SWAC),12,7-5,51,164,0.311
12,Saint Francis (NEC),11,4-7,50,158,0.316
13,Northern Ariz. (Big Sky),13,8-5,52,162,0.321
14,Duquesne (NEC),11,8-3,46,141,0.326
15,New Hampshire (CAA),13,8-5,59,180,0.328
16,Butler (Pioneer),12,9-3,51,152,0.336
17,Montana St. (Big Sky),16,15-1,73,215,0.34
18,Elon (CAA),12,6-6,54,159,0.34
19,San Diego (Pioneer),11,8-3,51,150,0.34
20,Hampton (CAA),12,5-7,50,146,0.342
21,Grambling (SWAC),12,5-7,57,166,0.343
21,South Carolina St. (MEAC),12,9-3,57,166,0.343
23,Stony Brook (CAA),12,8-4,50,145,0.345
24,The Citadel (SoCon),12,5-7,49,142,0.345
25,Samford (SoCon),11,4-7,59,168,0.351
26,Abilene Christian (ASUN),14,9-5,67,190,0.353
27,Villanova (CAA),14,10-4,66,187,0.353
28,Georgetown (Patriot),11,5-6,53,149,0.356
29,UIW (Southland),14,11-3,73,204,0.358
30,Davidson (Pioneer),11,6-5,45,125,0.36
31,Chattanooga (SoCon),12,7-5,62,172,0.36
32,Robert Morris (NEC),12,7-5,64,177,0.362
33,Tennessee St. (OVC),13,9-4,67,184,0.364
34,Prairie View (SWAC),12,5-7,62,170,0.365
35,Florida A&M (SWAC),12,7-5,54,148,0.365
35,William & Mary (CAA),12,7-5,54,148,0.365
37,Drake (Pioneer),11,8-3,54,147,0.367
38,Alcorn (SWAC),12,6-6,61,166,0.367
39,Tennessee Tech (OVC),12,7-5,63,171,0.368
40,Central Conn. St. (NEC),13,7-6,61,165,0.37
41,Dartmouth (Ivy League),10,8-2,52,140,0.371
42,McNeese (Southland),12,6-6,68,183,0.372
43,Southeast Mo. St. (OVC),13,9-4,71,191,0.372
44,Morehead St. (Pioneer),12,7-5,58,153,0.379
45,Holy Cross (Patriot),12,6-6,59,155,0.381
46,Montana (Big Sky),14,9-5,70,183,0.383
47,UAlbany (CAA),12,4-8,53,138,0.384
48,Austin Peay (ASUN),12,4-8,61,158,0.386
49,Alabama A&M (SWAC),12,6-6,57,147,0.388
50,Illinois St. (MVFC),14,10-4,78,201,0.388
51,Wagner (NEC),12,4-8,59,151,0.391
52,Howard (MEAC),12,4-8,58,148,0.392
53,UC Davis (Big Sky),14,11-3,86,219,0.393
54,Gardner-Webb (OVC),12,4-8,59,150,0.393
55,Sacred Heart (FCS Independent),11,5-6,62,157,0.395
56,Houston Christian (Southland),12,5-7,76,192,0.396
57,Richmond (CAA),13,10-3,64,161,0.398
58,Morgan St. (MEAC),12,6-6,55,138,0.399
59,Presbyterian (Pioneer),12,6-6,65,163,0.399
60,Central Ark. (ASUN),12,6-6,72,180,0.4
60,Western Caro. (SoCon),12,7-5,68,170,0.4
62,Fordham (Patriot),12,2-10,67,167,0.401
63,Lafayette (Patriot),12,6-6,63,157,0.401
63,North Ala. (ASUN),12,3-9,63,157,0.401
65,Columbia (Ivy League),10,7-3,61,152,0.401
66,Harvard (Ivy League),10,8-2,57,142,0.401
67,Lamar University (Southland),12,7-5,66,163,0.405
68,Lehigh (Patriot),13,9-4,69,170,0.406
69,Furman (SoCon),11,3-8,63,154,0.409
69,Southern Utah (ASUN),12,7-5,63,154,0.409
71,Monmouth (CAA),12,6-6,67,163,0.411
72,Tarleton St. (ASUN),14,10-4,80,194,0.412
73,Delaware (CAA),11,9-2,59,143,0.413
74,South Dakota (MVFC),14,11-3,81,196,0.413
75,Stetson (Pioneer),11,2-9,59,142,0.415
75,Texas Southern (SWAC),11,5-6,59,142,0.415
77,Southeastern La. (Southland),12,7-5,63,151,0.417
78,Eastern Ky. (ASUN),13,8-5,71,170,0.418
79,Charleston So. (OVC),12,1-11,70,167,0.419
80,Towson (CAA),12,7-5,68,162,0.42
81,Yale (Ivy League),10,7-3,58,138,0.42
82,Cal Poly (Big Sky),11,3-8,60,142,0.423
83,Weber St. (Big Sky),12,4-8,68,160,0.425
84,Merrimack (FCS Independent),11,5-6,60,141,0.426
85,Penn (Ivy League),10,4-6,62,144,0.431
86,LIU (NEC),12,4-8,63,146,0.432
87,North Dakota St. (MVFC),16,14-2,87,201,0.433
88,Cornell (Ivy League),10,4-6,59,136,0.434
89,Colgate (Patriot),12,2-10,60,138,0.435
90,Indiana St. (MVFC),12,4-8,67,154,0.435
91,Missouri St. (MVFC),12,8-4,68,156,0.436
92,VMI (SoCon),12,1-11,77,175,0.44
93,Rhode Island (CAA),14,11-3,94,212,0.443
94,Idaho (Big Sky),14,10-4,88,198,0.444
95,Bethune-Cookman (SWAC),12,2-10,69,155,0.445
96,Brown (Ivy League),10,3-7,62,139,0.446
97,Bucknell (Patriot),12,6-6,75,168,0.446
98,Valparaiso (Pioneer),11,4-7,69,154,0.448
99,Utah Tech (ASUN),12,1-11,71,158,0.449
100,Campbell (CAA),12,3-9,66,146,0.452
101,Youngstown St. (MVFC),12,4-8,53,117,0.453
102,N.C. A&T (CAA),12,1-11,65,143,0.455
103,Norfolk St. (MEAC),12,4-8,72,158,0.456
104,North Dakota (MVFC),12,5-7,72,157,0.459
105,Marist (Pioneer),11,1-10,67,146,0.459
106,Southern Ill. (MVFC),12,4-8,79,170,0.465
107,Eastern Ill. (OVC),12,3-9,71,152,0.467
108,Delaware St. (MEAC),12,1-11,65,139,0.468
109,Maine (CAA),12,5-7,77,161,0.478
110,Northern Colo. (Big Sky),12,1-11,70,145,0.483
111,Mississippi Val. (SWAC),12,1-11,76,156,0.487
112,Northwestern St. (Southland),12,0-12,84,172,0.488
113,Sacramento St. (Big Sky),12,3-9,85,174,0.489
114,Murray St. (MVFC),12,1-11,78,159,0.491
115,Wofford (SoCon),12,5-7,88,179,0.492
116,Princeton (Ivy League),10,3-7,67,136,0.493
117,Bryant (CAA),12,2-10,72,145,0.497
118,Idaho St. (Big Sky),12,5-7,73,147,0.497
119,Portland St. (Big Sky),11,3-8,64,127,0.504
120,UNI (MVFC),12,3-9,69,136,0.507
121,Ark.-Pine Bluff (SWAC),12,3-9,74,143,0.517
122,Western Ill. (OVC),12,4-8,75,140,0.536
123,Eastern Wash. (Big Sky),12,4-8,80,149,0.537
