Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,YPG
1,Fordham (Patriot),12,9-3,940,"7,307",7.77,79,608.9
2,UIW (Southland),14,12-2,"1,035","8,137",7.86,92,581.2
3,Sacramento St. (Big Sky),13,12-1,"1,018","6,498",6.38,67,499.8
4,Montana St. (Big Sky),14,12-2,980,"6,931",7.07,70,495.1
5,UC Davis (Big Sky),11,6-5,793,"5,351",6.75,47,486.5
6,Western Caro. (SoCon),11,6-5,801,"5,339",6.67,43,485.4
7,Mercer (SoCon),11,7-4,747,"5,175",6.93,52,470.5
8,Southeast Mo. St. (OVC),12,9-3,833,"5,618",6.74,48,468.2
9,Monmouth (CAA),11,5-6,730,"5,079",6.96,54,461.7
10,Eastern Ky. (ASUN),12,7-5,820,"5,416",6.60,53,451.3
11,Holy Cross (Patriot),13,12-1,861,"5,842",6.79,62,449.4
12,Davidson (Pioneer),12,8-4,856,"5,392",6.30,49,449.3
13,William & Mary (CAA),13,11-2,828,"5,835",7.05,54,448.8
14,Jackson St. (SWAC),13,12-1,950,"5,797",6.10,59,445.9
15,N.C. Central (MEAC),12,10-2,789,"5,344",6.77,60,445.3
16,UNI (MVFC),11,6-5,713,"4,894",6.86,44,444.9
17,UT Martin (OVC),11,7-4,738,"4,867",6.59,47,442.5
18,Gardner-Webb (Big South),13,7-6,958,"5,740",5.99,55,441.5
19,Southeastern La. (Southland),13,9-4,936,"5,717",6.11,56,439.8
20,Samford (SoCon),13,11-2,981,"5,651",5.76,57,434.7
21,Central Ark. (ASUN),11,5-6,723,"4,776",6.61,39,434.2
22,Idaho (Big Sky),12,7-5,812,"5,192",6.39,51,432.7
23,Bryant (Big South),11,4-7,784,"4,728",6.03,45,429.8
24,Saint Francis (PA) (NEC),12,9-3,791,"5,146",6.51,51,428.8
25,Richmond (CAA),13,9-4,990,"5,513",5.57,46,424.1
26,Austin Peay (ASUN),11,7-4,813,"4,662",5.73,42,423.8
27,Jacksonville St. (ASUN),11,9-2,721,"4,660",6.46,48,423.6
28,SFA (ASUN),11,6-5,776,"4,647",5.99,41,422.5
29,Furman (SoCon),13,10-3,924,"5,485",5.94,49,421.9
30,Campbell (Big South),11,5-6,793,"4,584",5.78,39,416.7
31,Yale (Ivy League),10,8-2,674,"4,128",6.12,36,412.8
32,Chattanooga (SoCon),11,7-4,740,"4,501",6.08,38,409.2
33,Delaware (CAA),13,8-5,936,"5,314",5.68,48,408.8
34,Rhode Island (CAA),11,7-4,697,"4,451",6.39,42,404.6
35,Cal Poly (Big Sky),11,2-9,791,"4,433",5.60,32,403
36,Weber St. (Big Sky),13,10-3,945,"5,237",5.54,50,402.8
37,UAlbany (CAA),11,3-8,732,"4,421",6.04,41,401.9
38,Sacred Heart (NEC),11,5-6,804,"4,412",5.49,33,401.1
