Rank,Team,G,W-L,TDs,Opp XP,2PT,Opp DXP,Opp FGM,Opp Saf,Pts,Avg
1,South Dakota St. (MVFC),15,12-3,23,21,1,0,16,0,209,13.9
2,Columbia (Ivy League),10,7-3,18,12,1,0,13,0,161,16.1
3,Butler (Pioneer),12,9-3,26,22,0,0,6,0,196,16.3
4,Alabama St. (SWAC),12,7-5,24,20,2,0,10,1,200,16.7
5,Dayton (Pioneer),11,6-5,21,19,2,0,12,1,187,17
6,Jackson St. (SWAC),14,12-2,30,27,0,0,11,0,240,17.1
7,South Dakota (MVFC),14,11-3,32,29,1,0,8,0,247,17.6
8,Richmond (CAA),13,10-3,29,26,0,0,10,0,230,17.7
9,SFA (Southland),12,7-5,27,22,0,0,10,0,214,17.8
10,Villanova (CAA),14,10-4,31,28,1,0,13,0,255,18.2
11,Montana St. (Big Sky),16,15-1,38,33,2,0,9,0,292,18.3
12,N.C. Central (MEAC),11,8-3,25,22,0,0,10,0,202,18.4
13,San Diego (Pioneer),11,8-3,26,23,0,0,8,0,203,18.5
14,North Dakota St. (MVFC),16,14-2,37,31,3,0,13,0,298,18.6
15,Northern Ariz. (Big Sky),13,8-5,27,24,0,0,18,2,244,18.8
16,Mercer (SoCon),14,11-3,35,34,0,0,12,1,282,20.1
17,Robert Morris (NEC),12,7-5,30,26,2,0,10,1,242,20.2
18,ETSU (SoCon),12,7-5,31,29,1,0,11,0,250,20.8
19,Delaware (CAA),11,9-2,31,25,1,0,6,0,231,21
20,Saint Francis (NEC),11,4-7,27,24,1,0,14,1,232,21.1
21,Sacred Heart (FCS Independent),11,5-6,31,31,0,0,6,0,235,21.4
22,South Carolina St. (MEAC),12,9-3,34,32,2,0,6,0,258,21.5
23,Harvard (Ivy League),10,8-2,27,22,1,0,10,0,216,21.6
24,Lehigh (Patriot),13,9-4,37,29,3,0,8,0,281,21.6
25,Drake (Pioneer),11,8-3,30,18,3,0,11,1,239,21.7
26,Tennessee Tech (OVC),12,7-5,33,29,1,0,10,1,261,21.8
27,Rhode Island (CAA),14,11-3,40,37,0,0,10,0,307,21.9
28,Chattanooga (SoCon),12,7-5,33,30,0,0,12,1,266,22.2
29,New Hampshire (CAA),13,8-5,36,31,1,0,13,2,292,22.5
30,Morehead St. (Pioneer),12,7-5,34,29,2,0,10,2,271,22.6
31,Lamar University (Southland),12,7-5,33,29,1,0,15,0,274,22.8
32,UC Davis (Big Sky),14,11-3,42,34,2,0,11,0,323,23.1
33,Southeast Mo. St. (OVC),13,9-4,39,29,3,1,9,1,300,23.1
34,Holy Cross (Patriot),12,6-6,36,30,2,0,9,0,277,23.1
34,The Citadel (SoCon),12,5-7,36,32,1,0,9,0,277,23.1
36,McNeese (Southland),12,6-6,33,27,0,0,17,1,278,23.2
37,Nicholls (Southland),12,4-8,35,32,0,0,11,2,279,23.3
38,Merrimack (FCS Independent),11,5-6,33,31,0,0,9,0,256,23.3
39,Southern U. (SWAC),13,8-5,37,34,0,0,15,1,303,23.3
40,Morgan St. (MEAC),12,6-6,38,31,0,0,7,0,280,23.3
41,William & Mary (CAA),12,7-5,35,33,0,0,13,0,282,23.5
42,Eastern Ky. (ASUN),13,8-5,38,37,1,0,13,1,308,23.7
43,UIW (Southland),14,11-3,40,37,2,0,17,0,332,23.7
44,Central Conn. St. (NEC),13,7-6,41,37,0,0,9,0,310,23.8
45,Dartmouth (Ivy League),10,8-2,31,27,0,0,8,1,239,23.9
46,Duquesne (NEC),11,8-3,36,32,2,0,4,0,264,24
47,Lafayette (Patriot),12,6-6,37,35,0,0,11,0,290,24.2
