Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,Opp TDs,YPG
1,Dayton (Pioneer),11,6-5,624,"2,672",4.28,18,21,242.9
2,Saint Francis (NEC),11,4-7,704,"2,906",4.13,21,27,264.2
3,Alabama St. (SWAC),12,7-5,767,"3,180",4.15,22,24,265
4,Jackson St. (SWAC),14,12-2,851,"3,860",4.54,28,30,275.7
5,South Dakota St. (MVFC),15,12-3,919,"4,255",4.63,22,23,283.7
6,Butler (Pioneer),12,9-3,697,"3,515",5.04,26,26,292.9
7,N.C. Central (MEAC),11,8-3,661,"3,258",4.93,22,25,296.2
8,Nicholls (Southland),12,4-8,723,"3,564",4.93,32,35,297
9,Southern U. (SWAC),13,8-5,809,"3,875",4.79,34,37,298.1
10,South Carolina St. (MEAC),12,9-3,741,"3,628",4.90,33,34,302.3
11,Lehigh (Patriot),13,9-4,823,"3,949",4.80,33,37,303.8
12,Merrimack (FCS Independent),11,5-6,679,"3,408",5.02,32,33,309.8
13,ETSU (SoCon),12,7-5,805,"3,718",4.62,28,31,309.8
14,San Diego (Pioneer),11,8-3,691,"3,421",4.95,25,26,311
15,Montana St. (Big Sky),16,15-1,969,"4,991",5.15,35,38,311.9
16,Morgan St. (MEAC),12,6-6,667,"3,770",5.65,34,38,314.2
17,South Dakota (MVFC),14,11-3,891,"4,418",4.96,32,32,315.6
18,Northern Ariz. (Big Sky),13,8-5,780,"4,114",5.27,27,27,316.5
19,Hampton (CAA),12,5-7,709,"3,812",5.38,40,42,317.7
20,Mercer (SoCon),14,11-3,902,"4,452",4.94,31,35,318
21,Delaware (CAA),11,9-2,666,"3,516",5.28,28,31,319.6
22,North Dakota St. (MVFC),16,14-2,936,"5,138",5.49,37,37,321.1
23,Central Conn. St. (NEC),13,7-6,804,"4,182",5.20,33,41,321.7
24,Drake (Pioneer),11,8-3,740,"3,540",4.78,28,30,321.8
25,Wagner (NEC),12,4-8,722,"3,864",5.35,37,40,322
26,Villanova (CAA),14,10-4,894,"4,567",5.11,31,32,326.2
27,Richmond (CAA),13,10-3,777,"4,264",5.49,28,29,328
28,LIU (NEC),12,4-8,740,"3,948",5.34,43,45,329
29,Morehead St. (Pioneer),12,7-5,782,"3,951",5.05,33,34,329.3
30,Tennessee Tech (OVC),12,7-5,783,"3,965",5.06,31,33,330.4
31,Robert Morris (NEC),12,7-5,776,"3,998",5.15,29,30,333.2
32,UT Martin (OVC),14,9-5,908,"4,685",5.16,38,42,334.6
33,Rhode Island (CAA),14,11-3,971,"4,691",4.83,37,40,335.1
34,Dartmouth (Ivy League),10,8-2,684,"3,370",4.93,30,31,337
35,Southeast Mo. St. (OVC),13,9-4,854,"4,383",5.13,36,39,337.2
36,Tennessee St. (OVC),13,9-4,865,"4,388",5.07,34,38,337.5
37,New Hampshire (CAA),13,8-5,825,"4,409",5.34,35,36,339.2
38,Duquesne (NEC),11,8-3,686,"3,741",5.45,35,36,340.1
39,Howard (MEAC),12,4-8,728,"4,087",5.61,38,42,340.6
40,Lafayette (Patriot),12,6-6,765,"4,090",5.35,36,37,340.8
41,Presbyterian (Pioneer),12,6-6,782,"4,115",5.26,38,42,342.9
42,SFA (Southland),12,7-5,836,"4,121",4.93,27,27,343.4
43,UIW (Southland),14,11-3,941,"4,853",5.16,38,40,346.6
44,Samford (SoCon),11,4-7,746,"3,814",5.11,34,38,346.7
45,Harvard (Ivy League),10,8-2,660,"3,470",5.26,26,27,347
46,Alcorn (SWAC),12,6-6,787,"4,166",5.29,36,43,347.2
47,Sacred Heart (FCS Independent),11,5-6,714,"3,830",5.36,29,31,348.2
48,Southeastern La. (Southland),12,7-5,731,"4,182",5.72,35,40,348.5
49,Holy Cross (Patriot),12,6-6,778,"4,194",5.39,33,36,349.5
50,Florida A&M (SWAC),12,7-5,728,"4,196",5.76,36,40,349.7
51,Elon (CAA),12,6-6,765,"4,210",5.50,37,40,350.8
52,Columbia (Ivy League),10,7-3,672,"3,517",5.23,18,18,351.7
53,UAlbany (CAA),12,4-8,726,"4,242",5.84,40,46,353.5
54,Charleston So. (OVC),12,1-11,798,"4,244",5.32,34,37,353.7
55,Texas Southern (SWAC),11,5-6,711,"3,893",5.48,34,39,353.9
56,Georgetown (Patriot),11,5-6,709,"3,913",5.52,31,34,355.7
57,Montana (Big Sky),14,9-5,928,"5,014",5.40,41,44,358.1
58,Valparaiso (Pioneer),11,4-7,693,"3,941",5.69,36,38,358.3
59,Wofford (SoCon),12,5-7,842,"4,324",5.14,29,34,360.3
60,The Citadel (SoCon),12,5-7,751,"4,337",5.77,32,37,361.4
61,William & Mary (CAA),12,7-5,776,"4,338",5.59,32,35,361.5
62,UC Davis (Big Sky),14,11-3,963,"5,062",5.26,39,42,361.6
63,Davidson (Pioneer),11,6-5,614,"3,993",6.50,39,42,363
64,Prairie View (SWAC),12,5-7,789,"4,357",5.52,35,39,363.1
65,Chattanooga (SoCon),12,7-5,816,"4,398",5.39,31,33,366.5
66,Alabama A&M (SWAC),12,6-6,701,"4,408",6.29,40,48,367.3
67,Lamar University (Southland),12,7-5,828,"4,415",5.33,31,33,367.9
68,Idaho (Big Sky),14,10-4,978,"5,167",5.28,40,42,369.1
69,Central Ark. (ASUN),12,6-6,843,"4,444",5.27,39,40,370.3
70,Towson (CAA),12,7-5,816,"4,511",5.53,34,36,375.9
71,North Ala. (ASUN),12,3-9,757,"4,512",5.96,44,46,376
72,Norfolk St. (MEAC),12,4-8,800,"4,515",5.64,42,44,376.3
73,Grambling (SWAC),12,5-7,794,"4,516",5.69,34,35,376.3
74,Tarleton St. (ASUN),14,10-4,978,"5,297",5.42,43,44,378.4
75,Fordham (Patriot),12,2-10,780,"4,546",5.83,40,46,378.8
76,Weber St. (Big Sky),12,4-8,795,"4,564",5.74,43,43,380.3
77,McNeese (Southland),12,6-6,865,"4,570",5.28,32,33,380.8
78,Gardner-Webb (OVC),12,4-8,759,"4,602",6.06,43,44,383.5
79,Princeton (Ivy League),10,3-7,700,"3,856",5.51,38,41,385.6
80,North Dakota (MVFC),12,5-7,773,"4,637",6.00,48,49,386.4
81,Eastern Ky. (ASUN),13,8-5,859,"5,044",5.87,36,38,388
82,Yale (Ivy League),10,7-3,694,"3,904",5.63,35,35,390.4
83,Missouri St. (MVFC),12,8-4,811,"4,700",5.80,47,47,391.7
84,Maine (CAA),12,5-7,778,"4,704",6.05,45,47,392
85,Austin Peay (ASUN),12,4-8,804,"4,757",5.92,41,44,396.4
86,Stony Brook (CAA),12,8-4,770,"4,790",6.22,38,40,399.2
87,Abilene Christian (ASUN),14,9-5,935,"5,622",6.01,52,54,401.6
88,Youngstown St. (MVFC),12,4-8,643,"4,875",7.58,56,59,406.3
89,Campbell (CAA),12,3-9,809,"4,877",6.03,49,51,406.4
90,Eastern Ill. (OVC),12,3-9,793,"4,888",6.16,50,51,407.3
90,VMI (SoCon),12,1-11,836,"4,888",5.85,46,50,407.3
92,Southern Ill. (MVFC),12,4-8,833,"4,900",5.88,47,48,408.3
93,Marist (Pioneer),11,1-10,723,"4,534",6.27,46,52,412.2
94,Colgate (Patriot),12,2-10,783,"5,004",6.39,50,50,417
95,Indiana St. (MVFC),12,4-8,794,"5,035",6.34,47,49,419.6
96,UNI (MVFC),12,3-9,745,"5,059",6.79,50,52,421.6
97,Bucknell (Patriot),12,6-6,847,"5,060",5.97,41,47,421.7
98,Monmouth (CAA),12,6-6,870,"5,077",5.84,46,51,423.1
99,Cal Poly (Big Sky),11,3-8,747,"4,654",6.23,37,42,423.1
100,Illinois St. (MVFC),14,10-4,"1,003","5,927",5.91,44,45,423.4
101,Sacramento St. (Big Sky),12,3-9,836,"5,084",6.08,50,55,423.7
102,Southern Utah (ASUN),12,7-5,795,"5,105",6.42,44,44,425.4
103,Ark.-Pine Bluff (SWAC),12,3-9,809,"5,115",6.32,54,56,426.3
104,Penn (Ivy League),10,4-6,710,"4,275",6.02,33,34,427.5
105,Western Caro. (SoCon),12,7-5,842,"5,131",6.09,43,45,427.6
106,Furman (SoCon),11,3-8,775,"4,741",6.12,44,46,431
107,Cornell (Ivy League),10,4-6,726,"4,312",5.94,40,40,431.2
108,Bryant (CAA),12,2-10,805,"5,180",6.43,56,58,431.7
109,Delaware St. (MEAC),12,1-11,762,"5,188",6.81,54,58,432.3
110,Brown (Ivy League),10,3-7,678,"4,348",6.41,45,46,434.8
111,Houston Christian (Southland),12,5-7,952,"5,258",5.52,50,54,438.2
112,N.C. A&T (CAA),12,1-11,777,"5,259",6.77,57,62,438.3
113,Stetson (Pioneer),11,2-9,764,"4,838",6.33,49,56,439.8
114,Mississippi Val. (SWAC),12,1-11,779,"5,434",6.98,59,62,452.8
115,Bethune-Cookman (SWAC),12,2-10,836,"5,452",6.52,50,51,454.3
116,Utah Tech (ASUN),12,1-11,852,"5,591",6.56,55,59,465.9
117,Idaho St. (Big Sky),12,5-7,844,"5,605",6.64,57,60,467.1
118,Northern Colo. (Big Sky),12,1-11,834,"5,665",6.79,60,61,472.1
119,Eastern Wash. (Big Sky),12,4-8,809,"5,712",7.06,58,59,476
120,Western Ill. (OVC),12,4-8,797,"5,913",7.42,68,70,492.8
121,Northwestern St. (Southland),12,0-12,857,"5,988",6.99,63,70,499
