Rank,Team,G,W-L,TDs,PAT,2PT,Def Pts,FG,Saf,Pts,PPG
1,Davidson (Pioneer),11,7-4,60,59,0,0,7,0,440,40
2,Montana St. (Big Sky),12,8-4,65,57,1,0,10,0,479,39.9
3,North Dakota St. (MVFC),15,11-4,74,71,0,0,19,0,572,38.1
4,Western Caro. (SoCon),11,7-4,53,51,1,0,14,0,413,37.5
5,New Hampshire (CAA),11,6-5,53,46,2,0,14,1,412,37.5
6,South Dakota St. (MVFC),15,15-0,73,68,0,0,18,0,560,37.3
7,Holy Cross (Patriot),11,7-4,57,55,0,0,3,0,406,36.9
8,N.C. Central (MEAC),12,9-3,58,52,0,0,10,0,430,35.8
9,Austin Peay (ASUN),12,9-3,53,48,1,0,13,1,409,34.1
10,Portland St. (Big Sky),11,5-6,50,46,1,0,8,0,372,33.8
11,UIW (Southland),10,8-2,45,43,0,1,7,0,334,33.6
12,Illinois St. (MVFC),11,6-5,49,39,2,0,8,0,361,32.8
13,Monmouth (CAA),11,4-7,50,41,2,0,4,0,357,32.5
14,Idaho (Big Sky),13,9-4,52,43,4,0,19,0,420,32.3
15,Eastern Wash. (Big Sky),11,4-7,45,41,1,0,14,0,355,32.3
16,Youngstown St. (MVFC),13,8-5,52,48,1,0,18,0,416,32
17,Villanova (CAA),13,10-3,55,53,0,0,10,1,415,31.9
18,Southern Utah (ASUN),11,6-5,48,44,0,0,6,0,350,31.8
19,Harvard (Ivy League),10,8-2,43,35,2,0,7,0,318,31.8
20,UT Martin (OVC),11,8-3,46,43,0,0,10,0,349,31.7
21,Delaware (CAA),13,9-4,56,45,3,0,8,0,411,31.6
22,Central Ark. (ASUN),11,7-4,45,37,0,0,13,0,346,31.5
23,North Dakota (MVFC),12,7-5,53,43,1,1,4,0,375,31.4
24,Bryant (OVC),11,6-5,45,38,2,0,9,2,343,31.2
25,Florida A&M (SWAC),13,12-1,52,49,1,1,11,0,396,30.6
26,Sacramento St. (Big Sky),13,8-5,51,49,0,0,14,0,397,30.5
27,Fordham (Patriot),11,6-5,43,33,1,0,14,0,335,30.5
28,Montana (Big Sky),15,13-2,57,46,5,0,18,1,454,30.3
29,Lafayette (Patriot),12,9-3,49,46,0,0,6,1,360,30
30,Yale (Ivy League),10,7-3,40,36,1,0,7,0,299,29.9
31,Missouri St. (MVFC),11,4-7,43,43,0,0,9,0,328,29.8
32,Alabama A&M (SWAC),11,5-6,43,40,2,1,6,2,324,29.6
33,Eastern Ky. (ASUN),11,5-6,38,31,4,0,19,0,324,29.5
34,SFA (ASUN),11,3-8,38,37,1,0,17,2,322,29.3
