Rank,Team,G,W-L,RuFD,PaFD,PnFD,FD
1,South Dakota St. (MVFC),15,15-0,169,147,12,328
2,North Dakota St. (MVFC),15,11-4,166,134,20,320
3,Montana (Big Sky),15,13-2,147,130,20,297
3,Sacramento St. (Big Sky),13,8-5,136,144,17,297
3,UAlbany (CAA),15,11-4,113,158,26,297
6,Delaware (CAA),13,9-4,115,150,28,293
7,Western Caro. (SoCon),11,7-4,108,154,26,288
8,Idaho (Big Sky),13,9-4,116,147,21,284
9,Chattanooga (SoCon),13,8-5,94,146,33,273
10,Youngstown St. (MVFC),13,8-5,113,137,21,271
11,Illinois St. (MVFC),11,6-5,109,133,26,268
12,Eastern Ky. (ASUN),11,5-6,99,144,22,265
12,Florida A&M (SWAC),13,12-1,102,136,27,265
14,Eastern Wash. (Big Sky),11,4-7,111,133,18,262
15,Fordham (Patriot),11,6-5,99,142,20,261
16,Holy Cross (Patriot),11,7-4,143,92,22,257
16,Samford (SoCon),11,6-5,95,144,18,257
18,Montana St. (Big Sky),12,8-4,152,94,10,256
19,Villanova (CAA),13,10-3,140,97,16,253
20,Davidson (Pioneer),11,7-4,159,74,19,252
21,Furman (SoCon),13,10-3,112,120,19,251
22,Campbell (CAA),11,5-6,101,127,22,250
23,Richmond (CAA),13,9-4,95,126,28,249
24,New Hampshire (CAA),11,6-5,62,168,17,247
24,North Dakota (MVFC),12,7-5,115,114,18,247
26,Austin Peay (ASUN),12,9-3,104,114,27,245
26,Georgetown (Patriot),11,5-6,83,134,28,245
28,Idaho St. (Big Sky),11,3-8,57,163,23,243
28,UIW (Southland),10,8-2,86,135,22,243
30,Brown (Ivy League),10,5-5,66,152,20,238
31,UNI (MVFC),11,6-5,75,140,22,237
32,Lafayette (Patriot),12,9-3,120,94,22,236
32,SFA (ASUN),11,3-8,87,126,23,236
32,UT Martin (OVC),11,8-3,100,119,17,236
35,Southern Ill. (MVFC),13,8-5,78,132,25,235
36,Howard (MEAC),12,6-6,94,114,25,233
36,N.C. Central (MEAC),12,9-3,111,101,21,233
38,Bucknell (Patriot),11,4-7,69,139,24,232
38,Rhode Island (CAA),11,6-5,85,125,22,232
38,UC Davis (Big Sky),11,7-4,79,126,27,232
41,Central Ark. (ASUN),11,7-4,95,114,22,231
42,Jackson St. (SWAC),11,7-4,98,107,24,229
43,Mercer (SoCon),13,9-4,103,100,25,228
