Rank,Team,G,W-L,Opp KO Ret,KO TB,Opp KO Ret Yds,Opp Kick Ret TDs,Avg
114,Abilene Christian (ASUN),14,9-5,30,40,741,1,24.70
115,Texas Southern (SWAC),11,5-6,41,4,"1,020",2,24.88
116,Wagner (NEC),12,4-8,22,18,556,1,25.27
117,UNI (MVFC),12,3-9,23,16,586,1,25.48
118,Western Ill. (OVC),12,4-8,33,21,857,0,25.97
119,Murray St. (MVFC),12,1-11,14,28,365,1,26.07
120,Idaho St. (Big Sky),12,5-7,27,38,715,1,26.48
121,Fordham (Patriot),12,2-10,27,10,732,3,27.11
122,Northern Colo. (Big Sky),12,1-11,9,23,258,0,28.67
123,Northwestern St. (Southland),12,0-12,20,9,589,2,29.45
