Rank,Team,G,W-L,Rush,Rush Yds,Yds/Rush,Rush TD,YPG
1,Davidson (Pioneer),11,7-4,562,"3,396",6.04,40,308.7
2,Montana St. (Big Sky),12,8-4,480,"3,492",7.28,41,291
3,Holy Cross (Patriot),11,7-4,460,"2,906",6.32,31,264.2
4,North Dakota St. (MVFC),15,11-4,618,"3,562",5.76,47,237.5
5,South Dakota St. (MVFC),15,15-0,541,"3,415",6.31,38,227.7
6,South Carolina St. (MEAC),11,5-6,426,"2,478",5.82,21,225.3
7,Portland St. (Big Sky),11,5-6,462,"2,464",5.33,30,224
8,UT Martin (OVC),11,8-3,439,"2,453",5.59,19,223
9,Hampton (CAA),11,5-6,445,"2,380",5.35,20,216.4
10,Villanova (CAA),13,10-3,504,"2,789",5.53,34,214.5
11,Butler (Pioneer),11,7-4,422,"2,223",5.27,20,202.1
12,Illinois St. (MVFC),11,6-5,378,"2,179",5.76,26,198.1
13,William & Mary (CAA),11,6-5,437,"2,166",4.96,14,196.9
14,Kennesaw St. (FCS Independent),9,3-6,362,"1,760",4.86,21,195.6
15,Harvard (Ivy League),10,8-2,394,"1,946",4.94,24,194.6
16,Texas Southern (SWAC),11,3-8,400,"2,106",5.27,20,191.5
17,Lafayette (Patriot),12,9-3,480,"2,276",4.74,28,189.7
18,Central Ark. (ASUN),11,7-4,363,"2,077",5.72,18,188.8
19,Monmouth (CAA),11,4-7,393,"2,065",5.25,27,187.7
20,Central Conn. St. (NEC),11,3-8,417,"2,055",4.93,18,186.8
21,Merrimack (NEC),11,5-6,489,"2,046",4.18,23,186
22,Western Caro. (SoCon),11,7-4,363,"2,012",5.54,19,182.9
23,Sacramento St. (Big Sky),13,8-5,486,"2,312",4.76,28,177.8
24,Montana (Big Sky),15,13-2,637,"2,652",4.16,32,176.8
25,Dartmouth (Ivy League),10,6-4,392,"1,744",4.45,18,174.4
26,Norfolk St. (MEAC),11,3-8,458,"1,912",4.17,14,173.8
27,Howard (MEAC),12,6-6,434,"2,071",4.77,26,172.6
28,Dayton (Pioneer),11,4-7,444,"1,856",4.18,18,168.7
29,Saint Francis (PA) (NEC),10,4-6,345,"1,686",4.89,16,168.6
30,Yale (Ivy League),10,7-3,403,"1,645",4.08,15,164.5
31,Youngstown St. (MVFC),13,8-5,490,"2,137",4.36,27,164.4
32,UC Davis (Big Sky),11,7-4,390,"1,807",4.63,20,164.3
33,Grambling (SWAC),11,5-6,381,"1,791",4.70,22,162.8
34,North Ala. (ASUN),11,3-8,415,"1,786",4.30,11,162.4
35,Jackson St. (SWAC),11,7-4,396,"1,781",4.50,17,161.9
36,Eastern Ky. (ASUN),11,5-6,347,"1,778",5.12,17,161.6
37,Prairie View (SWAC),12,6-6,479,"1,924",4.02,19,160.3
38,Delaware (CAA),13,9-4,450,"2,083",4.63,25,160.2
39,LIU (NEC),11,4-7,383,"1,761",4.60,13,160.1
40,Idaho (Big Sky),13,9-4,473,"2,077",4.39,22,159.8
41,Houston Christian (Southland),10,5-5,363,"1,584",4.36,15,158.4
42,UIW (Southland),10,8-2,335,"1,571",4.69,16,157.1
43,Furman (SoCon),13,10-3,490,"2,040",4.16,24,156.9
44,N.C. A&T (CAA),11,1-10,392,"1,724",4.40,12,156.7
45,North Dakota (MVFC),12,7-5,399,"1,876",4.70,30,156.3
46,Southern Utah (ASUN),11,6-5,385,"1,715",4.45,16,155.9
47,ETSU (SoCon),11,3-8,416,"1,704",4.10,15,154.9
48,Gardner-Webb (OVC),12,7-5,481,"1,854",3.85,19,154.5
49,Nicholls (Southland),11,6-5,414,"1,699",4.10,19,154.5
50,N.C. Central (MEAC),12,9-3,407,"1,852",4.55,28,154.3
51,Eastern Wash. (Big Sky),11,4-7,409,"1,697",4.15,20,154.3
52,Alabama A&M (SWAC),11,5-6,402,"1,689",4.20,22,153.5
53,Towson (CAA),11,5-6,360,"1,688",4.69,17,153.5
54,Northern Ariz. (Big Sky),11,5-6,413,"1,687",4.08,22,153.4
55,Austin Peay (ASUN),12,9-3,444,"1,832",4.13,18,152.7
56,Fordham (Patriot),11,6-5,398,"1,676",4.21,16,152.4
57,Sacred Heart (NEC),11,2-9,452,"1,659",3.67,9,150.8
58,Campbell (CAA),11,5-6,402,"1,647",4.10,22,149.7
59,Abilene Christian (ASUN),11,5-6,356,"1,641",4.61,14,149.2
60,Duquesne (NEC),12,7-5,416,"1,785",4.29,17,148.8
61,Southeastern La. (Southland),11,3-8,384,"1,634",4.26,20,148.5
62,Lamar University (Southland),11,6-5,430,"1,628",3.79,16,148
63,Tennessee St. (OVC),11,6-5,420,"1,625",3.87,21,147.7
64,Mercer (SoCon),13,9-4,510,"1,913",3.75,23,147.2
65,South Dakota (MVFC),13,10-3,413,"1,877",4.54,23,144.4
66,Georgetown (Patriot),11,5-6,378,"1,579",4.18,13,143.5
67,SFA (ASUN),11,3-8,366,"1,560",4.26,14,141.8
68,Alcorn (SWAC),11,7-4,350,"1,540",4.40,12,140
69,Chattanooga (SoCon),13,8-5,476,"1,810",3.80,16,139.2
70,Weber St. (Big Sky),11,6-5,380,"1,524",4.01,17,138.5
71,Samford (SoCon),11,6-5,371,"1,519",4.09,24,138.1
72,Florida A&M (SWAC),13,12-1,413,"1,795",4.35,24,138.1
73,Ark.-Pine Bluff (SWAC),11,2-9,405,"1,488",3.67,12,135.3
74,Wagner (NEC),11,4-7,386,"1,485",3.85,10,135
75,Rhode Island (CAA),11,6-5,358,"1,466",4.09,21,133.3
76,Richmond (CAA),13,9-4,446,"1,713",3.84,15,131.8
77,McNeese (Southland),10,0-10,308,"1,310",4.25,12,131
78,Columbia (Ivy League),10,3-7,351,"1,290",3.68,11,129
79,Elon (CAA),11,6-5,396,"1,418",3.58,10,128.9
80,Tennessee Tech (OVC),11,4-7,429,"1,384",3.23,10,125.8
81,Southeast Mo. St. (OVC),11,4-7,377,"1,383",3.67,18,125.7
82,Bethune-Cookman (SWAC),11,3-8,410,"1,365",3.33,14,124.1
83,Wofford (SoCon),11,2-9,370,"1,364",3.69,10,124
84,Eastern Ill. (OVC),11,8-3,374,"1,362",3.64,16,123.8
85,The Citadel (SoCon),11,0-11,394,"1,357",3.44,6,123.4
86,Colgate (Patriot),11,6-5,404,"1,354",3.35,17,123.1
87,San Diego (Pioneer),11,4-7,388,"1,348",3.47,12,122.5
88,Presbyterian (Pioneer),11,4-7,344,"1,345",3.91,8,122.3
89,UAlbany (CAA),15,11-4,496,"1,829",3.69,15,121.9
90,Indiana St. (MVFC),11,1-10,390,"1,324",3.39,8,120.4
91,VMI (SoCon),11,5-6,403,"1,296",3.22,15,117.8
92,Southern Ill. (MVFC),13,8-5,423,"1,531",3.62,23,117.8
93,New Hampshire (CAA),11,6-5,319,"1,282",4.02,18,116.5
94,Bryant (OVC),11,6-5,342,"1,275",3.73,14,115.9
95,Murray St. (MVFC),11,2-9,355,"1,270",3.58,7,115.5
96,Penn (Ivy League),10,6-4,277,"1,150",4.15,14,115
97,UNI (MVFC),11,6-5,363,"1,249",3.44,16,113.5
98,Lehigh (Patriot),11,2-9,304,"1,236",4.07,11,112.4
99,Morgan St. (MEAC),10,4-6,359,"1,121",3.12,8,112.1
100,Southern U. (SWAC),11,6-5,360,"1,231",3.42,16,111.9
101,Northern Colo. (Big Sky),11,0-11,356,"1,221",3.43,7,111
102,Bucknell (Patriot),11,4-7,389,"1,216",3.13,13,110.5
103,Alabama St. (SWAC),11,7-4,348,"1,213",3.49,10,110.3
104,Delaware St. (MEAC),11,1-10,334,"1,197",3.58,8,108.8
105,Charleston So. (OVC),11,4-7,358,"1,193",3.33,9,108.5
106,Cornell (Ivy League),10,3-7,333,"1,062",3.19,9,106.2
107,Stony Brook (CAA),10,0-10,286,"1,041",3.64,5,104.1
108,Princeton (Ivy League),10,5-5,324,"1,030",3.18,13,103
109,Drake (Pioneer),12,8-4,374,"1,207",3.23,10,100.6
110,Missouri St. (MVFC),11,4-7,305,"1,106",3.63,12,100.5
111,Marist (Pioneer),11,4-7,346,"1,098",3.17,8,99.8
112,Northwestern St. (Southland),6,0-6,230,591,2.57,5,98.5
113,Robert Morris (OVC),11,4-7,360,"1,075",2.99,8,97.7
114,Valparaiso (Pioneer),11,3-8,348,"1,069",3.07,8,97.2
115,Stetson (Pioneer),11,3-8,363,"1,059",2.92,16,96.3
116,Brown (Ivy League),10,5-5,312,962,3.08,13,96.2
117,Mississippi Val. (SWAC),11,1-10,390,993,2.55,8,90.3
118,Morehead St. (Pioneer),11,4-7,328,941,2.87,9,85.5
119,Maine (CAA),11,2-9,291,877,3.01,7,79.7
120,Cal Poly (Big Sky),11,3-8,307,827,2.69,6,75.2
121,Idaho St. (Big Sky),11,3-8,243,652,2.68,14,59.3
122,Western Ill. (MVFC),11,0-11,344,524,1.52,5,47.6
