Rank,Team,G,W-L,Fum Lost,Int,Turn Lost
1,Kennesaw St. (FCS Independent),9,3-6,2,3,5
2,Montana St. (Big Sky),12,8-4,3,4,7
2,N.C. Central (MEAC),12,9-3,3,4,7
4,Fordham (Patriot),11,6-5,7,1,8
5,North Dakota (MVFC),12,7-5,4,5,9
6,Abilene Christian (ASUN),11,5-6,3,7,10
6,Eastern Ill. (OVC),11,8-3,3,7,10
6,Furman (SoCon),13,10-3,2,8,10
6,Harvard (Ivy League),10,8-2,1,9,10
6,North Dakota St. (MVFC),15,11-4,6,4,10
6,William & Mary (CAA),11,6-5,6,4,10
12,Bryant (OVC),11,6-5,4,7,11
12,Bucknell (Patriot),11,4-7,6,5,11
12,Butler (Pioneer),11,7-4,4,7,11
12,Central Ark. (ASUN),11,7-4,6,5,11
12,Columbia (Ivy League),10,3-7,5,6,11
12,Elon (CAA),11,6-5,5,6,11
12,Merrimack (NEC),11,5-6,7,4,11
12,Monmouth (CAA),11,4-7,5,6,11
12,New Hampshire (CAA),11,6-5,5,6,11
12,Southeast Mo. St. (OVC),11,4-7,6,5,11
12,Youngstown St. (MVFC),13,8-5,4,7,11
23,Charleston So. (OVC),11,4-7,4,8,12
23,Howard (MEAC),12,6-6,4,8,12
23,Portland St. (Big Sky),11,5-6,5,7,12
23,Samford (SoCon),11,6-5,4,8,12
23,Towson (CAA),11,5-6,5,7,12
23,Weber St. (Big Sky),11,6-5,4,8,12
23,Yale (Ivy League),10,7-3,4,8,12
30,Alcorn (SWAC),11,7-4,5,8,13
30,Cornell (Ivy League),10,3-7,5,8,13
30,Davidson (Pioneer),11,7-4,3,10,13
30,Holy Cross (Patriot),11,7-4,6,7,13
30,Jackson St. (SWAC),11,7-4,9,4,13
30,Lafayette (Patriot),12,9-3,7,6,13
30,Princeton (Ivy League),10,5-5,7,6,13
30,South Dakota (MVFC),13,10-3,6,7,13
30,South Dakota St. (MVFC),15,15-0,8,5,13
30,Southern Utah (ASUN),11,6-5,4,9,13
40,Brown (Ivy League),10,5-5,3,11,14
40,Eastern Wash. (Big Sky),11,4-7,4,10,14
40,Northern Colo. (Big Sky),11,0-11,4,10,14
40,Sacred Heart (NEC),11,2-9,3,11,14
44,Alabama St. (SWAC),11,7-4,7,8,15
44,Austin Peay (ASUN),12,9-3,5,10,15
44,Illinois St. (MVFC),11,6-5,9,6,15
44,Lamar University (Southland),11,6-5,6,9,15
44,Montana (Big Sky),15,13-2,6,9,15
44,Morehead St. (Pioneer),11,4-7,4,11,15
44,Western Ill. (MVFC),11,0-11,6,9,15
44,Wofford (SoCon),11,2-9,8,7,15
52,Central Conn. St. (NEC),11,3-8,7,9,16
52,Chattanooga (SoCon),13,8-5,4,12,16
52,Dartmouth (Ivy League),10,6-4,8,8,16
52,Drake (Pioneer),12,8-4,7,9,16
52,Grambling (SWAC),11,5-6,8,8,16
52,Norfolk St. (MEAC),11,3-8,6,10,16
52,Northwestern St. (Southland),6,0-6,6,10,16
52,Rhode Island (CAA),11,6-5,6,10,16
52,Sacramento St. (Big Sky),13,8-5,5,11,16
52,Saint Francis (PA) (NEC),10,4-6,5,11,16
52,San Diego (Pioneer),11,4-7,10,6,16
52,Tennessee St. (OVC),11,6-5,8,8,16
52,Texas Southern (SWAC),11,3-8,8,8,16
52,VMI (SoCon),11,5-6,6,10,16
52,Wagner (NEC),11,4-7,7,9,16
67,Campbell (CAA),11,5-6,9,8,17
67,Eastern Ky. (ASUN),11,5-6,5,12,17
67,Georgetown (Patriot),11,5-6,5,12,17
67,Morgan St. (MEAC),10,4-6,8,9,17
67,Prairie View (SWAC),12,6-6,5,12,17
67,Southern Ill. (MVFC),13,8-5,9,8,17
73,Colgate (Patriot),11,6-5,5,13,18
73,Mercer (SoCon),13,9-4,13,5,18
73,Murray St. (MVFC),11,2-9,7,11,18
73,N.C. A&T (CAA),11,1-10,10,8,18
73,Nicholls (Southland),11,6-5,5,13,18
73,UC Davis (Big Sky),11,7-4,7,11,18
79,Ark.-Pine Bluff (SWAC),11,2-9,11,8,19
79,Delaware St. (MEAC),11,1-10,6,13,19
79,Florida A&M (SWAC),13,12-1,8,11,19
79,LIU (NEC),11,4-7,8,11,19
79,Missouri St. (MVFC),11,4-7,8,11,19
79,Southeastern La. (Southland),11,3-8,9,10,19
79,UIW (Southland),10,8-2,10,9,19
79,Villanova (CAA),13,10-3,9,10,19
87,Hampton (CAA),11,5-6,6,14,20
87,Houston Christian (Southland),10,5-5,9,11,20
87,Northern Ariz. (Big Sky),11,5-6,7,13,20
87,Penn (Ivy League),10,6-4,8,12,20
87,Presbyterian (Pioneer),11,4-7,10,10,20
87,South Carolina St. (MEAC),11,5-6,9,11,20
87,Stony Brook (CAA),10,0-10,10,10,20
87,UT Martin (OVC),11,8-3,11,9,20
95,Idaho (Big Sky),13,9-4,12,9,21
95,Maine (CAA),11,2-9,8,13,21
95,Mississippi Val. (SWAC),11,1-10,11,10,21
95,Robert Morris (OVC),11,4-7,12,9,21
95,The Citadel (SoCon),11,0-11,12,9,21
95,Western Caro. (SoCon),11,7-4,8,13,21
101,Indiana St. (MVFC),11,1-10,8,14,22
101,Lehigh (Patriot),11,2-9,8,14,22
101,Marist (Pioneer),11,4-7,9,13,22
101,McNeese (Southland),10,0-10,11,11,22
101,SFA (ASUN),11,3-8,10,12,22
101,UAlbany (CAA),15,11-4,9,13,22
107,Bethune-Cookman (SWAC),11,3-8,13,10,23
107,Cal Poly (Big Sky),11,3-8,10,13,23
107,Richmond (CAA),13,9-4,8,15,23
107,Stetson (Pioneer),11,3-8,8,15,23
107,UNI (MVFC),11,6-5,8,15,23
112,Alabama A&M (SWAC),11,5-6,11,13,24
112,Delaware (CAA),13,9-4,9,15,24
112,Duquesne (NEC),12,7-5,5,19,24
112,North Ala. (ASUN),11,3-8,11,13,24
112,Southern U. (SWAC),11,6-5,11,13,24
112,Tennessee Tech (OVC),11,4-7,10,14,24
112,Valparaiso (Pioneer),11,3-8,11,13,24
119,ETSU (SoCon),11,3-8,13,12,25
120,Dayton (Pioneer),11,4-7,15,12,27
120,Gardner-Webb (OVC),12,7-5,16,11,27
122,Idaho St. (Big Sky),11,3-8,6,22,28
