Rank,Team,G,W-L,Pass Att,Pass Com,Int,Pass Yds,Yds/Att,Yds/Comp,Pass TD,YPG
101,Murray St. (OVC),11,2-9,312,144,15,"1,840",5.90,12.78,12,167.3
102,Norfolk St. (MEAC),11,2-9,290,157,15,"1,835",6.33,11.69,15,166.8
103,Texas Southern (SWAC),11,5-6,271,150,6,"1,832",6.76,12.21,13,166.5
104,Alcorn (SWAC),11,5-6,272,151,10,"1,820",6.69,12.05,8,165.5
105,Dartmouth (Ivy League),10,3-7,265,157,6,"1,636",6.17,10.42,8,163.6
106,South Dakota (MVFC),11,3-8,270,158,6,"1,796",6.65,11.37,12,163.3
107,Towson (CAA),11,6-5,301,168,6,"1,760",5.85,10.48,14,160
108,Robert Morris (Big South),11,0-11,368,180,18,"1,748",4.75,9.71,7,158.9
109,Colgate (Patriot),11,3-8,307,159,8,"1,735",5.65,10.91,7,157.7
110,Grambling (SWAC),11,3-8,298,130,11,"1,623",5.45,12.48,11,147.5
111,Bucknell (Patriot),11,3-8,336,162,10,"1,611",4.79,9.94,6,146.5
112,Prairie View (SWAC),11,6-5,226,128,7,"1,610",7.12,12.58,12,146.4
113,Eastern Ill. (OVC),11,2-9,272,140,15,"1,609",5.92,11.49,16,146.3
114,McNeese (Southland),11,4-7,257,131,17,"1,593",6.20,12.16,9,144.8
115,Kennesaw St. (ASUN),11,5-6,194,96,7,"1,505",7.76,15.68,8,136.8
116,Lafayette (Patriot),11,4-7,292,166,8,"1,503",5.15,9.05,9,136.6
117,Delaware St. (MEAC),11,5-6,232,129,4,"1,502",6.47,11.64,13,136.5
118,North Dakota St. (MVFC),15,12-3,256,168,6,"2,026",7.91,12.06,13,135.1
119,Dayton (Pioneer),11,8-3,224,135,9,"1,458",6.51,10.80,11,132.5
120,Mississippi Val. (SWAC),11,2-9,282,131,9,"1,398",4.96,10.67,12,127.1
121,Morgan St. (MEAC),11,4-7,261,113,12,"1,353",5.18,11.97,11,123
122,Davidson (Pioneer),12,8-4,136,85,5,"1,414",10.40,16.64,15,117.8
123,The Citadel (SoCon),11,4-7,138,72,6,"1,021",7.40,14.18,10,92.8
