Rank,Team,G,W-L,TDs,Opp XP,2PT,Opp DXP,Opp FGM,Opp Saf,Pts,Avg
1,North Dakota St. (MVFC),15,14-1,19,18,0,0,11,1,505,11.1
2,Sacred Heart (NEC),12,8-4,20,17,0,0,10,0,235,13.9
3,Dartmouth (Ivy League),10,9-1,17,15,1,0,8,2,306,14.7
4,Jackson St. (SWAC),13,11-2,21,17,1,0,16,0,358,14.8
5,Harvard (Ivy League),10,8-2,17,16,1,1,9,0,324,14.9
6,Montana St. (Big Sky),15,12-3,26,22,0,0,16,0,426,15.1
7,James Madison (CAA),14,12-2,25,22,1,0,14,0,534,15.4
8,Montana (Big Sky),13,10-3,28,22,2,0,6,0,381,16.3
9,Villanova (CAA),13,10-3,26,25,0,0,12,0,389,16.7
10,Florida A&M (SWAC),12,9-3,27,27,0,0,5,0,331,17
11,Chattanooga (SoCon),11,6-5,21,18,1,0,14,0,293,17.1
12,Princeton (Ivy League),10,9-1,22,21,0,0,7,0,328,17.4
13,UNI (MVFC),12,6-6,22,21,0,0,21,0,297,18
14,Holy Cross (Patriot),13,10-3,31,28,1,0,8,0,419,18.5
15,Sacramento St. (Big Sky),12,9-3,31,27,1,0,4,1,360,19.1
16,Saint Francis (PA) (NEC),11,5-6,26,23,2,0,9,0,250,19.1
17,SFA (WAC),12,8-4,29,26,1,0,10,0,409,19.3
18,Kennesaw St. (Big South),13,11-2,34,26,1,0,7,0,427,19.5
19,Weber St. (Big Sky),11,6-5,26,23,0,0,12,0,340,19.5
20,South Dakota St. (MVFC),15,11-4,37,33,0,0,13,1,538,19.7
21,Richmond (CAA),11,6-5,26,25,0,0,13,0,260,20
22,North Dakota (MVFC),11,5-6,27,26,1,0,11,0,265,20.3
23,South Dakota (MVFC),12,7-5,30,29,0,0,13,0,324,20.7
24,Sam Houston (WAC),12,11-1,34,32,0,0,7,0,486,21.4
25,Penn (Ivy League),10,3-7,26,24,1,0,11,0,191,21.5
26,Bryant (NEC),11,7-4,31,28,1,0,9,0,324,22.1
26,William & Mary (CAA),11,6-5,27,26,1,0,17,1,239,22.1
28,Illinois St. (MVFC),11,4-7,32,29,2,0,7,0,202,22.4
29,Columbia (Ivy League),10,7-3,29,24,3,0,7,0,247,22.5
30,ETSU (SoCon),13,11-2,38,31,3,0,10,0,423,22.7
31,Drake (Pioneer),10,2-8,29,27,1,0,8,0,127,22.7
31,Mercer (SoCon),10,7-3,30,29,0,0,6,0,315,22.7
33,UC Davis (Big Sky),12,8-4,35,31,1,0,10,0,330,22.8
34,Duquesne (NEC),10,7-3,31,28,0,0,5,0,291,22.9
34,Marist (Pioneer),10,5-5,30,23,1,0,8,0,226,22.9
36,Stony Brook (CAA),11,5-6,33,30,0,0,8,0,231,22.9
37,Delaware (CAA),11,5-6,30,26,0,0,17,0,215,23.4
38,Furman (SoCon),11,6-5,32,29,1,0,12,0,267,23.5
38,Lafayette (Patriot),11,3-8,32,27,1,0,12,1,182,23.5
40,Yale (Ivy League),10,5-5,31,31,0,0,10,0,293,24.7
41,Austin Peay (OVC),11,6-5,36,27,1,0,9,1,354,24.9
41,McNeese (Southland),11,4-7,35,32,1,0,10,0,266,24.9
43,Eastern Ky. (ASUN),11,7-4,35,31,2,0,10,0,298,25
43,UT Martin (OVC),13,10-3,39,37,0,0,18,0,388,25
45,San Diego (Pioneer),11,7-4,37,31,3,0,6,0,271,25.2
46,Delaware St. (MEAC),11,5-6,39,27,0,1,5,0,258,25.3
46,Murray St. (OVC),11,6-5,38,32,0,0,6,0,235,25.3
48,Rhode Island (CAA),11,7-4,35,31,1,0,12,0,275,25.4
49,Abilene Christian (WAC),11,5-6,36,34,0,0,10,0,307,25.5
50,Alcorn (SWAC),11,6-5,35,29,0,0,15,0,284,25.8
51,Southern Ill. (MVFC),13,8-5,43,40,1,0,12,0,398,25.8
52,Lehigh (Patriot),11,3-8,34,31,0,0,16,1,127,25.9
52,N.C. A&T (Big South),11,5-6,36,32,2,0,11,0,245,25.9
54,Colgate (Patriot),11,5-6,38,35,0,0,8,0,204,26.1
54,Elon (CAA),11,6-5,37,33,1,0,10,0,265,26.1
54,N.C. Central (MEAC),11,6-5,37,32,0,0,11,0,262,26.1
57,Missouri St. (MVFC),12,8-4,40,31,2,0,13,0,409,26.2
57,South Carolina St. (MEAC),12,7-5,42,38,2,0,6,1,295,26.2
59,UAlbany (CAA),11,2-9,36,34,0,0,12,1,208,26.2
60,Prairie View (SWAC),12,7-5,40,35,2,0,12,0,305,26.3
61,Tennessee St. (OVC),11,5-6,36,32,0,0,16,0,213,26.9
62,UIW (Southland),13,10-3,44,42,1,0,14,0,511,26.9
63,Maine (CAA),11,6-5,38,29,2,0,12,0,271,27
64,Monmouth (Big South),11,7-4,40,35,2,0,7,1,346,27.5
65,Alabama St. (SWAC),11,5-6,41,37,0,0,6,1,240,27.5
66,Grambling (SWAC),11,4-7,38,35,0,0,13,1,183,27.6
67,Eastern Wash. (Big Sky),13,10-3,46,42,2,0,12,2,558,27.8
68,Eastern Ill. (OVC),11,1-10,40,38,1,0,10,1,158,28.4
68,Jacksonville St. (ASUN),11,5-6,40,38,2,0,10,0,242,28.4
70,Nicholls (Southland),11,6-5,41,38,0,0,10,0,367,28.5
71,Campbell (Big South),11,3-8,39,37,1,0,14,0,280,28.6
71,Towson (CAA),11,4-7,42,37,0,0,8,1,213,28.6
73,Central Ark. (ASUN),11,5-6,38,30,4,0,16,1,379,28.7
74,Charleston So. (Big South),10,4-6,37,34,2,0,9,1,239,28.9
74,Cornell (Ivy League),10,2-8,38,34,0,0,9,0,195,28.9
