Rank,Team,G,W-L,Opp KO Ret,KO TB,Opp KO Ret Yds,Opp Kick Ret TDs,Avg
1,Presbyterian (Pioneer),11,2-9,18,4,123,0,6.83
2,Abilene Christian (WAC),11,5-6,12,30,127,0,10.58
3,Southern U. (SWAC),11,4-7,31,11,411,1,13.26
4,Saint Francis (PA) (NEC),11,5-6,16,20,223,0,13.94
5,Lehigh (Patriot),11,3-8,24,1,358,0,14.92
6,Norfolk St. (MEAC),11,6-5,35,8,529,1,15.11
7,James Madison (CAA),14,12-2,75,9,"1,144",0,15.25
8,Hampton (Big South),11,5-6,27,20,424,0,15.70
9,Sacred Heart (NEC),12,8-4,35,6,550,0,15.71
10,Fordham (Patriot),11,6-5,41,21,651,0,15.88
11,Mercer (SoCon),10,7-3,39,11,626,0,16.05
12,Jacksonville St. (ASUN),11,5-6,18,24,293,0,16.28
13,Penn (Ivy League),10,3-7,16,9,261,0,16.31
14,Montana St. (Big Sky),15,12-3,34,37,556,0,16.35
15,Eastern Ill. (OVC),11,1-10,18,8,296,1,16.44
16,Drake (Pioneer),10,2-8,19,7,313,0,16.47
17,Campbell (Big South),11,3-8,16,20,264,0,16.50
18,Colgate (Patriot),11,5-6,18,20,299,0,16.61
19,N.C. A&T (Big South),11,5-6,34,12,566,0,16.65
20,Murray St. (OVC),11,6-5,12,24,201,0,16.75
21,William & Mary (CAA),11,6-5,29,18,487,0,16.79
22,VMI (SoCon),11,6-5,38,5,642,0,16.89
23,Morehead St. (Pioneer),11,7-4,47,6,801,0,17.04
24,N.C. Central (MEAC),11,6-5,46,2,784,0,17.04
25,Morgan St. (MEAC),11,2-9,28,1,485,0,17.32
26,Rhode Island (CAA),11,7-4,32,7,555,0,17.34
27,Princeton (Ivy League),10,9-1,28,16,488,0,17.43
28,Richmond (CAA),11,6-5,30,15,525,0,17.50
29,UNI (MVFC),12,6-6,23,23,406,0,17.65
30,Furman (SoCon),11,6-5,31,20,552,0,17.81
31,Monmouth (Big South),11,7-4,31,27,557,0,17.97
32,South Dakota St. (MVFC),15,11-4,35,48,631,0,18.03
33,McNeese (Southland),11,4-7,25,13,451,0,18.04
34,Montana (Big Sky),13,10-3,22,30,399,0,18.14
35,UC Davis (Big Sky),12,8-4,29,37,526,0,18.14
36,UAlbany (CAA),11,2-9,24,13,436,0,18.17
37,Valparaiso (Pioneer),11,4-7,32,10,586,0,18.31
38,Delaware (CAA),11,5-6,15,31,275,0,18.33
39,UT Martin (OVC),13,10-3,35,18,642,0,18.34
40,Austin Peay (OVC),11,6-5,22,34,406,0,18.45
41,Alabama St. (SWAC),11,5-6,34,6,632,0,18.59
42,Southeast Mo. St. (OVC),11,4-7,26,11,485,1,18.65
43,Delaware St. (MEAC),11,5-6,28,12,523,0,18.68
44,Alabama A&M (SWAC),10,7-3,40,7,750,1,18.75
45,Florida A&M (SWAC),12,9-3,37,25,694,0,18.76
46,Weber St. (Big Sky),11,6-5,34,22,640,0,18.82
47,Bryant (NEC),11,7-4,30,30,570,0,19.00
48,UIW (Southland),13,10-3,37,32,712,0,19.24
49,Yale (Ivy League),10,5-5,23,19,443,0,19.26
50,Maine (CAA),11,6-5,33,16,639,0,19.36
51,Sam Houston (WAC),12,11-1,38,39,737,1,19.39
52,Butler (Pioneer),11,3-8,37,5,721,0,19.49
53,Bucknell (Patriot),11,1-10,22,0,432,0,19.64
54,Southeastern La. (Southland),13,9-4,41,48,809,0,19.73
55,Wofford (SoCon),11,1-10,29,3,574,0,19.79
56,Indiana St. (MVFC),11,5-6,22,10,438,0,19.91
57,New Hampshire (CAA),11,3-8,22,4,439,1,19.95
58,Chattanooga (SoCon),11,6-5,45,1,900,1,20.00
58,Grambling (SWAC),11,4-7,24,9,480,0,20.00
60,Tennessee St. (OVC),11,5-6,29,13,581,0,20.03
61,Idaho (Big Sky),11,4-7,13,36,261,0,20.08
62,Howard (MEAC),11,3-8,47,3,947,0,20.15
63,Holy Cross (Patriot),13,10-3,40,26,806,1,20.15
64,South Carolina St. (MEAC),12,7-5,50,4,"1,009",1,20.18
65,Charleston So. (Big South),10,4-6,31,8,627,0,20.23
66,Texas Southern (SWAC),10,2-8,28,18,567,0,20.25
67,Tennessee Tech (OVC),11,3-8,23,9,468,0,20.35
68,Cal Poly (Big Sky),11,2-9,19,7,387,1,20.37
68,Eastern Ky. (ASUN),11,7-4,19,31,387,0,20.37
70,Southern Ill. (MVFC),13,8-5,28,34,575,0,20.54
71,Davidson (Pioneer),11,8-3,53,1,"1,092",0,20.60
72,Ark.-Pine Bluff (SWAC),11,2-9,25,12,517,1,20.68
73,Marist (Pioneer),10,5-5,28,4,582,0,20.79
74,SFA (WAC),12,8-4,36,34,751,0,20.86
75,Dartmouth (Ivy League),10,9-1,23,15,483,1,21.00
76,Jackson St. (SWAC),13,11-2,31,32,652,0,21.03
77,Lafayette (Patriot),11,3-8,32,5,674,0,21.06
78,Stetson (Pioneer),10,3-7,30,2,632,1,21.07
79,Lamar University (WAC),10,1-9,10,17,211,0,21.10
80,North Dakota (MVFC),11,5-6,14,36,298,0,21.29
81,Southern Utah (Big Sky),11,1-10,25,19,533,0,21.32
82,Bethune-Cookman (SWAC),11,2-9,36,1,772,1,21.44
83,Kennesaw St. (Big South),13,11-2,47,7,"1,008",1,21.45
84,Mississippi Val. (SWAC),11,4-7,27,12,582,0,21.56
85,LIU (NEC),10,2-8,26,4,561,2,21.58
86,Gardner-Webb (Big South),11,4-7,36,18,779,1,21.64
87,Harvard (Ivy League),10,8-2,9,45,195,0,21.67
88,Elon (CAA),11,6-5,37,9,802,1,21.68
89,Central Conn. St. (NEC),11,4-7,40,4,870,0,21.75
90,Houston Christian (Southland),11,0-11,19,17,414,0,21.79
91,Idaho St. (Big Sky),11,1-10,22,14,480,1,21.82
92,Central Ark. (ASUN),11,5-6,37,18,808,1,21.84
93,Villanova (CAA),13,10-3,38,15,841,1,22.13
94,Sacramento St. (Big Sky),12,9-3,43,19,952,2,22.14
95,Western Ill. (MVFC),11,2-9,28,14,620,0,22.14
96,Youngstown St. (MVFC),10,3-7,24,22,532,0,22.17
97,North Dakota St. (MVFC),15,14-1,60,14,"1,334",0,22.23
98,Portland St. (Big Sky),11,5-6,31,16,692,1,22.32
99,Eastern Wash. (Big Sky),13,10-3,59,20,"1,322",2,22.41
100,Samford (SoCon),11,4-7,34,26,767,0,22.56
101,Illinois St. (MVFC),11,4-7,12,20,273,0,22.75
102,San Diego (Pioneer),11,7-4,14,38,319,0,22.79
103,Missouri St. (MVFC),12,8-4,32,37,730,1,22.81
104,Western Caro. (SoCon),11,4-7,44,18,"1,005",0,22.84
105,Duquesne (NEC),10,7-3,39,14,891,2,22.85
106,Northwestern St. (Southland),11,3-8,27,6,619,0,22.93
107,ETSU (SoCon),13,11-2,56,16,"1,286",1,22.96
108,Columbia (Ivy League),10,7-3,14,38,322,0,23.00
109,Wagner (NEC),11,0-11,26,1,601,0,23.12
110,Stony Brook (CAA),11,5-6,32,4,741,0,23.16
111,Brown (Ivy League),10,2-8,22,24,512,0,23.27
112,Prairie View (SWAC),12,7-5,36,11,843,1,23.42
113,Alcorn (SWAC),11,6-5,31,15,731,1,23.58
114,Northern Colo. (Big Sky),11,3-8,8,23,194,0,24.25
115,Nicholls (Southland),11,6-5,40,15,982,2,24.55
116,Georgetown (Patriot),10,2-8,25,1,627,1,25.08
117,South Dakota (MVFC),12,7-5,15,41,383,0,25.53
118,Dayton (Pioneer),10,6-4,25,25,643,1,25.72
119,Robert Morris (Big South),10,4-6,26,12,676,0,26.00
120,The Citadel (SoCon),11,4-7,22,20,585,1,26.59
121,Northern Ariz. (Big Sky),11,5-6,17,33,465,0,27.35
122,Towson (CAA),11,4-7,22,14,604,1,27.45
123,Cornell (Ivy League),10,2-8,13,24,397,2,30.54
