Rank,Team,G,W-L,3rd Att,3rd Conv,Pct
1,N.C. Central (MEAC),12,10-2,154,86,0.558
2,Fordham (Patriot),12,9-3,166,87,0.524
3,UIW (Southland),14,12-2,184,96,0.522
4,UNI (MVFC),11,6-5,123,64,0.52
5,Eastern Ky. (ASUN),12,7-5,156,81,0.519
6,Davidson (Pioneer),12,8-4,168,85,0.506
6,North Dakota St. (MVFC),15,12-3,168,85,0.506
8,Bryant (Big South),11,4-7,148,74,0.5
9,Samford (SoCon),13,11-2,204,99,0.485
10,Sacramento St. (Big Sky),13,12-1,170,82,0.482
11,South Dakota St. (MVFC),15,14-1,185,89,0.481
12,Mercer (SoCon),11,7-4,144,68,0.472
13,Columbia (Ivy League),10,6-4,150,70,0.467
14,North Dakota (MVFC),12,7-5,149,69,0.463
15,Montana (Big Sky),13,8-5,182,84,0.462
16,Richmond (CAA),13,9-4,196,90,0.459
17,N.C. A&T (Big South),11,7-4,156,71,0.455
18,Princeton (Ivy League),10,8-2,141,64,0.454
19,Idaho (Big Sky),12,7-5,161,73,0.453
20,Gardner-Webb (Big South),13,7-6,173,78,0.451
21,Holy Cross (Patriot),13,12-1,163,73,0.448
22,Montana St. (Big Sky),14,12-2,169,75,0.444
23,Weber St. (Big Sky),13,10-3,192,85,0.443
24,Howard (MEAC),11,5-6,147,65,0.442
25,Southern U. (SWAC),12,7-5,161,71,0.441
26,UAlbany (CAA),11,3-8,148,65,0.439
27,Southern Ill. (MVFC),11,5-6,164,72,0.439
28,William & Mary (CAA),13,11-2,155,68,0.439
29,Furman (SoCon),13,10-3,198,86,0.434
30,Abilene Christian (WAC),11,7-4,166,72,0.434
31,Illinois St. (MVFC),11,6-5,160,69,0.431
32,Jacksonville St. (ASUN),11,9-2,137,59,0.431
33,Yale (Ivy League),10,8-2,142,61,0.43
34,Maine (CAA),11,2-9,166,71,0.428
35,Southeastern La. (Southland),13,9-4,190,81,0.426
36,Chattanooga (SoCon),11,7-4,141,60,0.426
37,Southeast Mo. St. (OVC),12,9-3,153,65,0.425
38,Penn (Ivy League),10,8-2,146,62,0.425
39,Dartmouth (Ivy League),10,3-7,130,55,0.423
40,Butler (Pioneer),11,7-4,147,62,0.422
41,Rhode Island (CAA),11,7-4,133,56,0.421
42,Austin Peay (ASUN),11,7-4,169,71,0.42
43,The Citadel (SoCon),11,4-7,165,69,0.418
44,Kennesaw St. (ASUN),11,5-6,187,78,0.417
45,Delaware (CAA),13,8-5,180,75,0.417
46,Dayton (Pioneer),11,8-3,150,62,0.413
47,Florida A&M (SWAC),11,9-2,155,64,0.413
47,Towson (CAA),11,6-5,155,64,0.413
49,Brown (Ivy League),10,3-7,177,73,0.412
50,Campbell (Big South),11,5-6,170,70,0.412
50,Jackson St. (SWAC),13,12-1,170,70,0.412
52,Monmouth (CAA),11,5-6,134,55,0.41
53,SFA (ASUN),11,6-5,162,66,0.407
54,Western Caro. (SoCon),11,6-5,145,59,0.407
55,UC Davis (Big Sky),11,6-5,148,60,0.405
56,Saint Francis (PA) (NEC),12,9-3,158,64,0.405
57,Georgetown (Patriot),11,2-9,151,61,0.404
58,New Hampshire (CAA),13,9-4,169,68,0.402
59,North Ala. (ASUN),11,1-10,147,59,0.401
60,Northern Ariz. (Big Sky),11,3-8,178,71,0.399
61,Eastern Wash. (Big Sky),11,3-8,163,65,0.399
62,Cornell (Ivy League),10,5-5,147,58,0.395
63,Bethune-Cookman (SWAC),11,2-9,150,59,0.393
64,Elon (CAA),12,8-4,168,66,0.393
65,Prairie View (SWAC),11,6-5,144,56,0.389
66,Alabama St. (SWAC),11,6-5,136,52,0.382
67,Sacred Heart (NEC),11,5-6,158,60,0.38
68,Duquesne (NEC),11,4-7,153,58,0.379
69,Central Conn. St. (NEC),11,2-9,151,57,0.377
70,McNeese (Southland),11,4-7,137,51,0.372
71,Lehigh (Patriot),11,2-9,159,59,0.371
72,Missouri St. (MVFC),11,5-6,138,51,0.37
73,Hampton (CAA),11,4-7,122,45,0.369
74,Nicholls (Southland),11,3-8,160,59,0.369
75,Idaho St. (Big Sky),11,1-10,171,63,0.368
76,Northwestern St. (Southland),11,4-7,196,72,0.367
77,Villanova (CAA),11,6-5,123,45,0.366
78,Portland St. (Big Sky),11,4-7,148,54,0.365
79,Harvard (Ivy League),10,6-4,130,47,0.362
80,Eastern Ill. (OVC),11,2-9,150,54,0.36
81,Norfolk St. (MEAC),11,2-9,139,50,0.36
82,Morehead St. (Pioneer),11,2-9,184,66,0.359
83,Youngstown St. (MVFC),11,7-4,138,49,0.355
84,Cal Poly (Big Sky),11,2-9,164,58,0.354
85,LIU (NEC),11,4-7,156,55,0.353
86,Northern Colo. (Big Sky),11,3-8,157,55,0.35
87,Stetson (Pioneer),10,4-6,143,50,0.35
88,Alcorn (SWAC),11,5-6,170,59,0.347
89,Drake (Pioneer),11,3-8,173,60,0.347
90,Delaware St. (MEAC),11,5-6,153,53,0.346
91,Colgate (Patriot),11,3-8,156,54,0.346
92,Marist (Pioneer),11,4-7,165,57,0.345
93,San Diego (Pioneer),10,5-5,131,45,0.344
94,Lamar University (Southland),11,1-10,172,59,0.343
95,Sam Houston (WAC),9,5-4,138,47,0.341
96,Wagner (NEC),11,1-10,165,56,0.339
97,Texas Southern (SWAC),11,5-6,148,50,0.338
98,Wofford (SoCon),11,3-8,155,52,0.335
99,Central Ark. (ASUN),11,5-6,141,47,0.333
99,Tennessee St. (OVC),11,4-7,165,55,0.333
101,Tennessee Tech (OVC),11,4-7,150,49,0.327
102,Ark.-Pine Bluff (SWAC),11,3-8,160,51,0.319
103,Valparaiso (Pioneer),12,5-7,154,49,0.318
104,South Dakota (MVFC),11,3-8,139,44,0.317
105,Indiana St. (MVFC),11,2-9,165,52,0.315
106,Mississippi Val. (SWAC),11,2-9,160,50,0.312
107,ETSU (SoCon),11,3-8,139,43,0.309
108,Presbyterian (Pioneer),11,1-10,152,47,0.309
109,Southern Utah (WAC),11,5-6,149,46,0.309
110,VMI (SoCon),11,1-10,163,49,0.301
111,UT Martin (OVC),11,7-4,131,39,0.298
112,Charleston So. (Big South),10,2-8,155,46,0.297
113,South Carolina St. (MEAC),11,3-8,152,45,0.296
114,Alabama A&M (SWAC),11,4-7,145,42,0.29
115,Houston Christian (Southland),11,2-9,177,51,0.288
116,Lafayette (Patriot),11,4-7,159,44,0.277
117,Grambling (SWAC),11,3-8,138,38,0.275
118,Bucknell (Patriot),11,3-8,167,45,0.269
119,Murray St. (OVC),11,2-9,162,43,0.265
120,Stony Brook (CAA),11,2-9,148,38,0.257
121,Western Ill. (MVFC),11,0-11,147,37,0.252
122,Morgan St. (MEAC),11,4-7,136,34,0.25
123,Robert Morris (Big South),11,0-11,172,42,0.244
