Rank,Team,G,W-L,KO Ret,KO Ret Yds,Kick Ret TDs,Avg
1,Weber St. (Big Sky),13,10-3,37,"1,181",4,31.92
2,Montana (Big Sky),13,8-5,28,820,2,29.29
3,Lamar University (Southland),11,1-10,33,952,2,28.85
4,Montana St. (Big Sky),14,12-2,38,"1,069",1,28.13
5,Penn (Ivy League),10,8-2,17,449,1,26.41
6,Eastern Ky. (ASUN),12,7-5,22,573,0,26.05
7,North Dakota (MVFC),12,7-5,30,780,0,26.00
8,Gardner-Webb (Big South),13,7-6,20,516,0,25.80
9,Bryant (Big South),11,4-7,41,"1,048",1,25.56
10,Jacksonville St. (ASUN),11,9-2,7,176,0,25.14
11,Dartmouth (Ivy League),10,3-7,3,73,0,24.33
12,Southeastern La. (Southland),13,9-4,33,802,0,24.30
13,Idaho (Big Sky),12,7-5,15,361,1,24.07
14,Sacramento St. (Big Sky),13,12-1,37,883,3,23.86
15,Southeast Mo. St. (OVC),12,9-3,33,768,2,23.27
16,Central Ark. (ASUN),11,5-6,29,664,2,22.90
17,Mercer (SoCon),11,7-4,32,730,1,22.81
18,Abilene Christian (WAC),11,7-4,24,543,0,22.62
19,Davidson (Pioneer),12,8-4,29,652,2,22.48
20,Nicholls (Southland),11,3-8,32,713,0,22.28
21,Towson (CAA),11,6-5,40,885,2,22.12
22,Austin Peay (ASUN),11,7-4,25,550,1,22.00
23,Villanova (CAA),11,6-5,34,741,0,21.79
24,Mississippi Val. (SWAC),11,2-9,35,762,1,21.77
25,Texas Southern (SWAC),11,5-6,35,761,0,21.74
26,Youngstown St. (MVFC),11,7-4,26,564,1,21.69
27,South Dakota (MVFC),11,3-8,38,824,0,21.68
28,Maine (CAA),11,2-9,40,862,0,21.55
29,Butler (Pioneer),11,7-4,35,753,0,21.51
30,Samford (SoCon),13,11-2,34,730,0,21.47
31,Illinois St. (MVFC),11,6-5,19,407,1,21.42
32,UT Martin (OVC),11,7-4,22,471,0,21.41
33,Sam Houston (WAC),9,5-4,20,427,0,21.35
34,Eastern Ill. (OVC),11,2-9,38,810,0,21.32
35,Fordham (Patriot),12,9-3,42,892,0,21.24
36,Jackson St. (SWAC),13,12-1,38,806,0,21.21
37,Southern Utah (WAC),11,5-6,29,613,0,21.14
