Rank,Team,G,W-L,Penalties,PYards,YPG
1,Northern Colo. (Big Sky),12,1-11,35,296,24.67
2,Columbia (Ivy League),10,7-3,37,314,31.40
3,Dayton (Pioneer),11,6-5,49,373,33.91
4,Lehigh (Patriot),13,9-4,49,444,34.15
5,New Hampshire (CAA),13,8-5,61,457,35.15
6,Harvard (Ivy League),10,8-2,35,356,35.60
7,Butler (Pioneer),12,9-3,49,440,36.67
8,Richmond (CAA),13,10-3,59,482,37.08
9,Samford (SoCon),11,4-7,45,411,37.36
10,Southeastern La. (Southland),12,7-5,53,450,37.50
11,Princeton (Ivy League),10,3-7,49,382,38.20
12,North Dakota (MVFC),12,5-7,48,465,38.75
13,UNI (MVFC),12,3-9,52,468,39.00
14,Eastern Ill. (OVC),12,3-9,52,471,39.25
15,Fordham (Patriot),12,2-10,58,476,39.67
16,Illinois St. (MVFC),14,10-4,65,568,40.57
17,Montana St. (Big Sky),16,15-1,72,661,41.31
18,Eastern Wash. (Big Sky),12,4-8,45,502,41.83
19,Marist (Pioneer),11,1-10,68,463,42.09
20,Georgetown (Patriot),11,5-6,52,468,42.55
21,Norfolk St. (MEAC),12,4-8,60,512,42.67
22,Monmouth (CAA),12,6-6,61,516,43.00
23,The Citadel (SoCon),12,5-7,61,520,43.33
23,VMI (SoCon),12,1-11,63,520,43.33
25,Indiana St. (MVFC),12,4-8,54,523,43.58
26,UC Davis (Big Sky),14,11-3,74,611,43.64
27,Sacred Heart (FCS Independent),11,5-6,55,482,43.82
28,Northwestern St. (Southland),12,0-12,62,527,43.92
29,Stetson (Pioneer),11,2-9,59,491,44.64
30,Idaho (Big Sky),14,10-4,76,642,45.86
31,Morehead St. (Pioneer),12,7-5,61,553,46.08
31,SFA (Southland),12,7-5,64,553,46.08
33,Cal Poly (Big Sky),11,3-8,66,507,46.09
34,Cornell (Ivy League),10,4-6,56,461,46.10
35,North Dakota St. (MVFC),16,14-2,92,748,46.75
36,Wofford (SoCon),12,5-7,74,562,46.83
37,Saint Francis (NEC),11,4-7,56,516,46.91
38,Idaho St. (Big Sky),12,5-7,66,566,47.17
39,South Dakota St. (MVFC),15,12-3,73,712,47.47
40,Lafayette (Patriot),12,6-6,60,570,47.50
41,Colgate (Patriot),12,2-10,62,571,47.58
42,Chattanooga (SoCon),12,7-5,65,574,47.83
43,Sacramento St. (Big Sky),12,3-9,63,577,48.08
44,LIU (NEC),12,4-8,65,578,48.17
45,Alabama St. (SWAC),12,7-5,78,581,48.42
46,Southern Ill. (MVFC),12,4-8,67,584,48.67
47,Delaware (CAA),11,9-2,55,537,48.82
48,Mississippi Val. (SWAC),12,1-11,69,587,48.92
49,South Dakota (MVFC),14,11-3,80,691,49.36
50,Brown (Ivy League),10,3-7,49,496,49.60
51,Ark.-Pine Bluff (SWAC),12,3-9,75,605,50.42
51,Missouri St. (MVFC),12,8-4,69,605,50.42
51,Tennessee Tech (OVC),12,7-5,64,605,50.42
54,North Ala. (ASUN),12,3-9,71,606,50.50
55,UT Martin (OVC),14,9-5,86,717,51.21
56,Murray St. (MVFC),12,1-11,72,620,51.67
56,Utah Tech (ASUN),12,1-11,76,620,51.67
58,Youngstown St. (MVFC),12,4-8,69,621,51.75
59,ETSU (SoCon),12,7-5,73,623,51.92
60,Portland St. (Big Sky),11,3-8,66,575,52.27
61,Austin Peay (ASUN),12,4-8,71,629,52.42
62,Rhode Island (CAA),14,11-3,92,736,52.57
63,Dartmouth (Ivy League),10,8-2,58,526,52.60
64,Penn (Ivy League),10,4-6,59,532,53.20
65,Maine (CAA),12,5-7,72,644,53.67
66,Tennessee St. (OVC),13,9-4,83,701,53.92
67,Texas Southern (SWAC),11,5-6,73,594,54.00
68,Morgan St. (MEAC),12,6-6,74,650,54.17
69,Tarleton St. (ASUN),14,10-4,82,763,54.50
70,Elon (CAA),12,6-6,68,665,55.42
71,Valparaiso (Pioneer),11,4-7,70,621,56.45
72,Robert Morris (NEC),12,7-5,80,682,56.83
73,Stony Brook (CAA),12,8-4,73,686,57.17
74,N.C. A&T (CAA),12,1-11,81,689,57.42
75,Northern Ariz. (Big Sky),13,8-5,80,751,57.77
76,Charleston So. (OVC),12,1-11,82,695,57.92
77,Wagner (NEC),12,4-8,80,697,58.08
78,Hampton (CAA),12,5-7,76,701,58.42
79,Furman (SoCon),11,3-8,68,644,58.55
80,Bucknell (Patriot),12,6-6,74,707,58.92
81,Montana (Big Sky),14,9-5,88,825,58.93
82,Holy Cross (Patriot),12,6-6,74,712,59.33
83,Abilene Christian (ASUN),14,9-5,98,833,59.50
83,UIW (Southland),14,11-3,98,833,59.50
85,Weber St. (Big Sky),12,4-8,81,715,59.58
86,Yale (Ivy League),10,7-3,70,603,60.30
87,South Carolina St. (MEAC),12,9-3,86,725,60.42
88,Villanova (CAA),14,10-4,95,849,60.64
89,Drake (Pioneer),11,8-3,84,673,61.18
90,Eastern Ky. (ASUN),13,8-5,84,797,61.31
91,Mercer (SoCon),14,11-3,101,860,61.43
92,N.C. Central (MEAC),11,8-3,75,677,61.55
93,Duquesne (NEC),11,8-3,80,683,62.09
94,Nicholls (Southland),12,4-8,85,760,63.33
95,Bethune-Cookman (SWAC),12,2-10,86,764,63.67
96,William & Mary (CAA),12,7-5,77,765,63.75
97,Alabama A&M (SWAC),12,6-6,90,771,64.25
98,Howard (MEAC),12,4-8,94,772,64.33
98,Towson (CAA),12,7-5,90,772,64.33
100,Southeast Mo. St. (OVC),13,9-4,92,837,64.38
101,Western Ill. (OVC),12,4-8,88,781,65.08
102,UAlbany (CAA),12,4-8,81,784,65.33
103,Jackson St. (SWAC),14,12-2,97,919,65.64
104,Delaware St. (MEAC),12,1-11,88,790,65.83
105,San Diego (Pioneer),11,8-3,80,738,67.09
106,Houston Christian (Southland),12,5-7,92,826,68.83
107,Davidson (Pioneer),11,6-5,80,770,70.00
108,Central Conn. St. (NEC),13,7-6,98,917,70.54
109,Lamar University (Southland),12,7-5,96,855,71.25
110,Southern U. (SWAC),13,8-5,102,927,71.31
111,Merrimack (FCS Independent),11,5-6,89,798,72.55
112,McNeese (Southland),12,6-6,90,871,72.58
113,Florida A&M (SWAC),12,7-5,93,876,73.00
114,Bryant (CAA),12,2-10,101,883,73.58
115,Southern Utah (ASUN),12,7-5,97,884,73.67
116,Presbyterian (Pioneer),12,6-6,101,900,75.00
117,Central Ark. (ASUN),12,6-6,102,934,77.83
118,Western Caro. (SoCon),12,7-5,105,938,78.17
119,Gardner-Webb (OVC),12,4-8,103,944,78.67
120,Prairie View (SWAC),12,5-7,100,954,79.50
121,Campbell (CAA),12,3-9,102,974,81.17
122,Alcorn (SWAC),12,6-6,110,"1,018",84.83
123,Grambling (SWAC),12,5-7,111,"1,057",88.08
