Rank,Team,G,W-L,Opp Punt Ret,Opp Punt Ret Yds,Opp Punt Ret TDs,Avg
1,Penn (Ivy League),10,4-6,5,1,0,0.20
2,South Dakota St. (MVFC),15,12-3,13,6,0,0.46
3,Southern Utah (ASUN),12,7-5,9,13,0,1.44
4,Tarleton St. (ASUN),14,10-4,12,33,0,2.75
5,Drake (Pioneer),11,8-3,18,51,0,2.83
6,Portland St. (Big Sky),11,3-8,22,72,0,3.27
7,Texas Southern (SWAC),11,5-6,23,77,0,3.35
8,Harvard (Ivy League),10,8-2,10,36,0,3.60
8,Robert Morris (NEC),12,7-5,10,36,0,3.60
10,Dayton (Pioneer),11,6-5,20,77,0,3.85
11,Brown (Ivy League),10,3-7,16,65,0,4.06
12,N.C. Central (MEAC),11,8-3,9,37,0,4.11
13,UIW (Southland),14,11-3,10,43,0,4.30
14,Idaho (Big Sky),14,10-4,23,101,0,4.39
15,Bucknell (Patriot),12,6-6,14,63,1,4.50
16,Weber St. (Big Sky),12,4-8,14,64,0,4.57
17,San Diego (Pioneer),11,8-3,13,61,0,4.69
18,Montana St. (Big Sky),16,15-1,10,49,0,4.90
19,Missouri St. (MVFC),12,8-4,13,66,0,5.08
20,Southeast Mo. St. (OVC),13,9-4,10,51,0,5.10
21,LIU (NEC),12,4-8,18,93,0,5.17
22,ETSU (SoCon),12,7-5,18,96,1,5.33
23,Fordham (Patriot),12,2-10,30,163,0,5.43
24,Wofford (SoCon),12,5-7,17,97,1,5.71
25,Mercer (SoCon),14,11-3,18,103,0,5.72
26,Lafayette (Patriot),12,6-6,17,98,0,5.76
27,Howard (MEAC),12,4-8,11,64,0,5.82
28,Illinois St. (MVFC),14,10-4,22,130,0,5.91
29,Villanova (CAA),14,10-4,13,77,0,5.92
30,Dartmouth (Ivy League),10,8-2,11,66,0,6.00
31,Stony Brook (CAA),12,8-4,19,119,0,6.26
32,Montana (Big Sky),14,9-5,17,108,0,6.35
33,South Dakota (MVFC),14,11-3,15,96,0,6.40
34,Southern Ill. (MVFC),12,4-8,12,78,0,6.50
35,Furman (SoCon),11,3-8,16,106,0,6.63
36,Rhode Island (CAA),14,11-3,19,126,0,6.63
37,Valparaiso (Pioneer),11,4-7,24,161,0,6.71
38,North Dakota (MVFC),12,5-7,8,55,0,6.88
39,Maine (CAA),12,5-7,21,149,0,7.10
40,Youngstown St. (MVFC),12,4-8,6,43,0,7.17
41,Charleston So. (OVC),12,1-11,22,159,0,7.23
42,Eastern Wash. (Big Sky),12,4-8,17,123,0,7.24
42,Grambling (SWAC),12,5-7,17,123,0,7.24
44,Abilene Christian (ASUN),14,9-5,20,145,0,7.25
45,New Hampshire (CAA),13,8-5,27,199,0,7.37
46,Jackson St. (SWAC),14,12-2,9,69,0,7.67
46,Southern U. (SWAC),13,8-5,18,138,1,7.67
48,Georgetown (Patriot),11,5-6,20,154,1,7.70
49,Hampton (CAA),12,5-7,21,162,0,7.71
50,Morehead St. (Pioneer),12,7-5,19,147,0,7.74
51,Butler (Pioneer),12,9-3,8,62,0,7.75
52,Western Ill. (OVC),12,4-8,15,117,0,7.80
53,Morgan St. (MEAC),12,6-6,11,86,0,7.82
54,Central Ark. (ASUN),12,6-6,23,181,0,7.87
55,Gardner-Webb (OVC),12,4-8,12,96,0,8.00
56,Colgate (Patriot),12,2-10,12,97,0,8.08
56,Wagner (NEC),12,4-8,24,194,1,8.08
58,UT Martin (OVC),14,9-5,21,172,1,8.19
59,Western Caro. (SoCon),12,7-5,13,107,0,8.23
60,SFA (Southland),12,7-5,18,150,0,8.33
61,Northern Ariz. (Big Sky),13,8-5,20,167,0,8.35
62,Richmond (CAA),13,10-3,5,42,0,8.40
62,VMI (SoCon),12,1-11,30,252,2,8.40
64,The Citadel (SoCon),12,5-7,20,173,1,8.65
65,Samford (SoCon),11,4-7,21,184,1,8.76
66,Bethune-Cookman (SWAC),12,2-10,19,167,1,8.79
67,Austin Peay (ASUN),12,4-8,17,151,1,8.88
68,Indiana St. (MVFC),12,4-8,18,162,1,9.00
68,South Carolina St. (MEAC),12,9-3,14,126,0,9.00
70,Saint Francis (NEC),11,4-7,18,166,1,9.22
71,Campbell (CAA),12,3-9,17,157,1,9.24
72,Sacred Heart (FCS Independent),11,5-6,17,159,0,9.35
73,Alabama St. (SWAC),12,7-5,29,272,0,9.38
74,Holy Cross (Patriot),12,6-6,13,122,1,9.38
75,Monmouth (CAA),12,6-6,12,113,1,9.42
76,N.C. A&T (CAA),12,1-11,13,123,2,9.46
77,UNI (MVFC),12,3-9,13,125,1,9.62
78,Delaware St. (MEAC),12,1-11,17,165,1,9.71
79,Idaho St. (Big Sky),12,5-7,18,175,0,9.72
80,Cornell (Ivy League),10,4-6,12,117,0,9.75
81,Chattanooga (SoCon),12,7-5,14,137,1,9.79
82,Nicholls (Southland),12,4-8,29,286,1,9.86
83,North Dakota St. (MVFC),16,14-2,12,119,0,9.92
84,Elon (CAA),12,6-6,24,239,0,9.96
85,Davidson (Pioneer),11,6-5,9,90,0,10.00
86,William & Mary (CAA),12,7-5,13,131,0,10.08
87,Ark.-Pine Bluff (SWAC),12,3-9,20,202,0,10.10
88,Southeastern La. (Southland),12,7-5,13,132,1,10.15
89,North Ala. (ASUN),12,3-9,8,83,0,10.38
90,Yale (Ivy League),10,7-3,11,115,0,10.45
91,Tennessee Tech (OVC),12,7-5,14,147,1,10.50
92,Princeton (Ivy League),10,3-7,21,221,1,10.52
93,Columbia (Ivy League),10,7-3,9,95,0,10.56
94,Eastern Ky. (ASUN),13,8-5,18,193,1,10.72
95,UAlbany (CAA),12,4-8,15,161,1,10.73
96,Northwestern St. (Southland),12,0-12,40,436,2,10.90
97,Duquesne (NEC),11,8-3,20,221,0,11.05
98,Lamar University (Southland),12,7-5,24,266,0,11.08
99,Merrimack (FCS Independent),11,5-6,20,222,0,11.10
100,Prairie View (SWAC),12,5-7,20,229,1,11.45
101,Towson (CAA),12,7-5,12,141,1,11.75
102,Utah Tech (ASUN),12,1-11,28,332,0,11.86
103,Central Conn. St. (NEC),13,7-6,20,239,1,11.95
104,Sacramento St. (Big Sky),12,3-9,18,217,1,12.06
105,Cal Poly (Big Sky),11,3-8,26,322,2,12.38
106,Bryant (CAA),12,2-10,15,187,1,12.47
107,Presbyterian (Pioneer),12,6-6,10,125,1,12.50
108,Lehigh (Patriot),13,9-4,13,163,0,12.54
109,McNeese (Southland),12,6-6,18,227,0,12.61
110,Marist (Pioneer),11,1-10,23,307,3,13.35
111,Eastern Ill. (OVC),12,3-9,25,335,0,13.40
112,Tennessee St. (OVC),13,9-4,26,352,2,13.54
113,Northern Colo. (Big Sky),12,1-11,26,367,1,14.12
114,Stetson (Pioneer),11,2-9,23,332,3,14.43
115,Mississippi Val. (SWAC),12,1-11,31,451,1,14.55
116,Norfolk St. (MEAC),12,4-8,20,294,0,14.70
117,Houston Christian (Southland),12,5-7,28,418,2,14.93
118,Delaware (CAA),11,9-2,8,121,0,15.13
119,UC Davis (Big Sky),14,11-3,15,231,1,15.40
120,Murray St. (MVFC),12,1-11,12,186,0,15.50
121,Florida A&M (SWAC),12,7-5,11,182,1,16.55
122,Alabama A&M (SWAC),12,6-6,14,257,2,18.36
123,Alcorn (SWAC),12,6-6,23,464,4,20.17
