Rank,Team,G,W-L,Opp Punt Ret,Opp Punt Ret Yds,Opp Punt Ret TDs,Avg
1,Campbell (Big South),11,3-8,13,29,0,2.23
2,Wofford (SoCon),11,1-10,10,29,0,2.90
3,Montana (Big Sky),13,10-3,26,83,0,3.19
4,Southern Ill. (MVFC),13,8-5,12,39,0,3.25
5,Kennesaw St. (Big South),13,11-2,5,17,0,3.40
6,UIW (Southland),13,10-3,7,24,0,3.43
7,McNeese (Southland),11,4-7,14,51,0,3.64
8,Dayton (Pioneer),10,6-4,7,26,0,3.71
8,James Madison (CAA),14,12-2,14,52,0,3.71
10,Saint Francis (PA) (NEC),11,5-6,11,41,0,3.73
11,Lehigh (Patriot),11,3-8,17,64,0,3.76
12,Abilene Christian (WAC),11,5-6,12,48,0,4.00
12,Rhode Island (CAA),11,7-4,19,76,0,4.00
14,Austin Peay (OVC),11,6-5,12,49,0,4.08
15,Elon (CAA),11,6-5,13,54,0,4.15
16,Maine (CAA),11,6-5,12,52,1,4.33
17,Samford (SoCon),11,4-7,7,31,0,4.43
18,Holy Cross (Patriot),13,10-3,10,45,0,4.50
19,Lafayette (Patriot),11,3-8,16,74,1,4.63
20,Houston Christian (Southland),11,0-11,15,72,0,4.80
21,UC Davis (Big Sky),12,8-4,22,106,0,4.82
22,Illinois St. (MVFC),11,4-7,27,132,1,4.89
22,North Dakota (MVFC),11,5-6,9,44,0,4.89
24,Texas Southern (SWAC),10,2-8,19,93,2,4.89
25,Chattanooga (SoCon),11,6-5,10,49,0,4.90
26,Central Conn. St. (NEC),11,4-7,16,80,0,5.00
26,Murray St. (OVC),11,6-5,13,65,0,5.00
28,Eastern Wash. (Big Sky),13,10-3,19,96,0,5.05
29,Missouri St. (MVFC),12,8-4,21,112,0,5.33
30,Sam Houston (WAC),12,11-1,12,65,0,5.42
31,Southern U. (SWAC),11,4-7,12,68,0,5.67
32,Cal Poly (Big Sky),11,2-9,25,143,1,5.72
33,North Dakota St. (MVFC),15,14-1,15,88,1,5.87
34,Princeton (Ivy League),10,9-1,11,65,0,5.91
35,Hampton (Big South),11,5-6,19,114,0,6.00
35,Weber St. (Big Sky),11,6-5,10,60,0,6.00
37,Brown (Ivy League),10,2-8,20,125,0,6.25
37,Yale (Ivy League),10,5-5,20,125,1,6.25
39,Dartmouth (Ivy League),10,9-1,3,19,0,6.33
40,Northwestern St. (Southland),11,3-8,18,115,0,6.39
41,Stony Brook (CAA),11,5-6,13,84,0,6.46
42,New Hampshire (CAA),11,3-8,20,130,0,6.50
43,Jackson St. (SWAC),13,11-2,21,138,0,6.57
44,Fordham (Patriot),11,6-5,13,86,0,6.62
45,Georgetown (Patriot),10,2-8,18,120,0,6.67
46,Richmond (CAA),11,6-5,19,127,1,6.68
47,Youngstown St. (MVFC),10,3-7,18,121,0,6.72
48,Tennessee Tech (OVC),11,3-8,19,128,1,6.74
49,Montana St. (Big Sky),15,12-3,20,135,0,6.75
50,ETSU (SoCon),13,11-2,18,122,0,6.78
51,Nicholls (Southland),11,6-5,5,34,0,6.80
52,Sacramento St. (Big Sky),12,9-3,14,97,0,6.93
53,Cornell (Ivy League),10,2-8,21,146,1,6.95
54,Drake (Pioneer),10,2-8,11,77,0,7.00
54,Stetson (Pioneer),10,3-7,10,70,0,7.00
56,N.C. Central (MEAC),11,6-5,15,106,1,7.07
57,Colgate (Patriot),11,5-6,8,57,0,7.13
58,Western Caro. (SoCon),11,4-7,7,50,0,7.14
59,South Dakota St. (MVFC),15,11-4,8,58,0,7.25
60,Davidson (Pioneer),11,8-3,7,51,1,7.29
61,South Dakota (MVFC),12,7-5,13,95,0,7.31
62,Duquesne (NEC),10,7-3,12,91,0,7.58
63,Alabama St. (SWAC),11,5-6,20,156,0,7.80
64,Idaho St. (Big Sky),11,1-10,21,166,2,7.90
65,Bryant (NEC),11,7-4,8,66,0,8.25
65,Marist (Pioneer),10,5-5,4,33,0,8.25
67,William & Mary (CAA),11,6-5,18,149,0,8.28
