Rank,Team,G,W-L,Punt Ret,Punt Ret Yds,Punt Ret TDs,Avg
1,Austin Peay (ASUN),12,9-3,15,319,2,21.27
2,Delaware St. (MEAC),11,1-10,8,170,2,21.25
3,Idaho (Big Sky),13,9-4,18,332,2,18.44
4,New Hampshire (CAA),11,6-5,19,349,3,18.37
5,N.C. Central (MEAC),12,9-3,16,287,2,17.94
6,South Dakota St. (MVFC),15,15-0,27,476,2,17.63
7,Portland St. (Big Sky),11,5-6,8,138,1,17.25
8,ETSU (SoCon),11,3-8,13,222,2,17.08
9,Alabama A&M (SWAC),11,5-6,14,222,1,15.86
10,Saint Francis (PA) (NEC),10,4-6,12,190,1,15.83
11,Lehigh (Patriot),11,2-9,14,215,1,15.36
12,Samford (SoCon),11,6-5,19,290,1,15.26
13,Delaware (CAA),13,9-4,9,137,1,15.22
14,Montana (Big Sky),15,13-2,30,446,3,14.87
15,Northern Ariz. (Big Sky),11,5-6,11,160,1,14.55
16,Florida A&M (SWAC),13,12-1,26,365,1,14.04
17,North Dakota St. (MVFC),15,11-4,17,237,2,13.94
18,Alabama St. (SWAC),11,7-4,27,374,1,13.85
19,Southeastern La. (Southland),11,3-8,16,221,0,13.81
20,Texas Southern (SWAC),11,3-8,20,266,0,13.30
21,Mercer (SoCon),13,9-4,29,375,2,12.93
22,Richmond (CAA),13,9-4,13,161,2,12.38
23,Southern U. (SWAC),11,6-5,13,157,1,12.08
24,Weber St. (Big Sky),11,6-5,25,290,0,11.60
25,Dartmouth (Ivy League),10,6-4,21,239,1,11.38
26,Morehead St. (Pioneer),11,4-7,11,125,1,11.36
27,Brown (Ivy League),10,5-5,20,223,0,11.15
28,Southeast Mo. St. (OVC),11,4-7,18,200,1,11.11
29,Lamar University (Southland),11,6-5,10,110,0,11.00
30,LIU (NEC),11,4-7,18,197,0,10.94
31,Western Caro. (SoCon),11,7-4,24,261,0,10.88
32,Missouri St. (MVFC),11,4-7,11,116,0,10.55
33,Georgetown (Patriot),11,5-6,18,188,0,10.44
34,Central Conn. St. (NEC),11,3-8,18,186,1,10.33
35,Merrimack (NEC),11,5-6,13,134,1,10.31
36,Campbell (CAA),11,5-6,7,72,1,10.29
37,Columbia (Ivy League),10,3-7,16,163,0,10.19
38,Idaho St. (Big Sky),11,3-8,6,60,0,10.00
38,Montana St. (Big Sky),12,8-4,26,260,1,10.00
40,Grambling (SWAC),11,5-6,24,239,0,9.96
41,Kennesaw St. (FCS Independent),9,3-6,16,159,0,9.94
42,Harvard (Ivy League),10,8-2,14,134,1,9.57
43,UIW (Southland),10,8-2,23,215,0,9.35
44,Gardner-Webb (OVC),12,7-5,24,223,0,9.29
45,Cornell (Ivy League),10,3-7,13,120,0,9.23
46,Howard (MEAC),12,6-6,15,137,0,9.13
47,Charleston So. (OVC),11,4-7,21,189,0,9.00
48,Western Ill. (MVFC),11,0-11,9,80,0,8.89
49,Mississippi Val. (SWAC),11,1-10,11,96,0,8.73
50,Ark.-Pine Bluff (SWAC),11,2-9,13,109,1,8.38
51,Houston Christian (Southland),10,5-5,12,100,0,8.33
51,Stony Brook (CAA),10,0-10,3,25,0,8.33
53,Drake (Pioneer),12,8-4,18,146,0,8.11
54,Davidson (Pioneer),11,7-4,9,72,0,8.00
54,Jackson St. (SWAC),11,7-4,11,88,0,8.00
54,Morgan St. (MEAC),10,4-6,14,112,0,8.00
54,Rhode Island (CAA),11,6-5,22,176,0,8.00
58,UC Davis (Big Sky),11,7-4,23,183,0,7.96
59,Cal Poly (Big Sky),11,3-8,7,55,0,7.86
60,UAlbany (CAA),15,11-4,12,94,0,7.83
61,Elon (CAA),11,6-5,19,148,0,7.79
62,Tennessee St. (OVC),11,6-5,14,108,0,7.71
63,Yale (Ivy League),10,7-3,11,84,0,7.64
64,Lafayette (Patriot),12,9-3,8,60,0,7.50
65,Furman (SoCon),13,10-3,19,142,0,7.47
66,Fordham (Patriot),11,6-5,5,37,1,7.40
67,N.C. A&T (CAA),11,1-10,12,86,0,7.17
