Rank,Team,G,W-L,Pass Att,Pass Com,Int,Pass Yds,Yds/Att,Yds/Comp,Pass TD,YPG
1,Idaho St. (Big Sky),11,3-8,543,325,22,"3,631",6.69,11.17,24,330.1
2,UIW (Southland),10,8-2,371,241,9,"3,231",8.71,13.41,25,323.1
3,Western Caro. (SoCon),11,7-4,401,261,13,"3,533",8.81,13.54,33,321.2
4,New Hampshire (CAA),11,6-5,467,295,6,"3,496",7.49,11.85,30,317.8
5,Missouri St. (MVFC),11,4-7,378,249,11,"3,303",8.74,13.27,29,300.3
6,Brown (Ivy League),10,5-5,468,292,11,"3,000",6.41,10.27,19,300
7,Samford (SoCon),11,6-5,452,324,8,"3,154",6.98,9.73,18,286.7
8,Penn (Ivy League),10,6-4,435,281,12,"2,861",6.58,10.18,16,286.1
9,Rhode Island (CAA),11,6-5,377,223,10,"3,133",8.31,14.05,19,284.8
10,Maine (CAA),11,2-9,425,273,13,"3,081",7.25,11.29,27,280.1
11,Eastern Ky. (ASUN),11,5-6,421,265,12,"3,033",7.20,11.45,20,275.7
12,Fordham (Patriot),11,6-5,379,242,1,"3,032",8.00,12.53,26,275.6
13,Austin Peay (ASUN),12,9-3,372,248,10,"3,289",8.84,13.26,30,274.1
14,Cal Poly (Big Sky),11,3-8,439,257,13,"2,981",6.79,11.60,23,271
15,UNI (MVFC),11,6-5,344,211,15,"2,949",8.57,13.98,17,268.1
16,Bryant (OVC),11,6-5,395,248,7,"2,947",7.46,11.88,29,267.9
17,SFA (ASUN),11,3-8,459,259,12,"2,904",6.33,11.21,22,264
18,Eastern Wash. (Big Sky),11,4-7,416,269,10,"2,897",6.96,10.77,21,263.4
19,Bucknell (Patriot),11,4-7,400,242,5,"2,854",7.14,11.79,24,259.5
20,Cornell (Ivy League),10,3-7,395,258,8,"2,594",6.57,10.05,10,259.4
21,Idaho (Big Sky),13,9-4,394,260,9,"3,353",8.51,12.90,26,257.9
22,Delaware (CAA),13,9-4,441,255,15,"3,289",7.46,12.90,27,253
23,Eastern Ill. (OVC),11,8-3,400,240,7,"2,741",6.85,11.42,17,249.2
24,Georgetown (Patriot),11,5-6,396,251,12,"2,737",6.91,10.90,22,248.8
25,Youngstown St. (MVFC),13,8-5,388,270,7,"3,196",8.24,11.84,24,245.8
26,Chattanooga (SoCon),13,8-5,384,230,12,"3,189",8.30,13.87,22,245.3
27,Monmouth (CAA),11,4-7,340,221,6,"2,682",7.89,12.14,21,243.8
28,Sacramento St. (Big Sky),13,8-5,416,256,11,"3,158",7.59,12.34,23,242.9
29,UAlbany (CAA),15,11-4,477,279,13,"3,634",7.62,13.03,37,242.3
30,Campbell (CAA),11,5-6,339,238,8,"2,659",7.84,11.17,20,241.7
31,Southern Utah (ASUN),11,6-5,360,215,9,"2,655",7.38,12.35,29,241.4
32,Stetson (Pioneer),11,3-8,360,201,15,"2,654",7.37,13.20,15,241.3
33,Florida A&M (SWAC),13,12-1,399,228,11,"3,075",7.71,13.49,22,236.5
34,Illinois St. (MVFC),11,6-5,390,269,6,"2,599",6.66,9.66,21,236.3
35,Southeastern La. (Southland),11,3-8,354,213,10,"2,582",7.29,12.12,15,234.7
36,Southeast Mo. St. (OVC),11,4-7,373,230,5,"2,576",6.91,11.20,15,234.2
37,Morehead St. (Pioneer),11,4-7,363,187,11,"2,556",7.04,13.67,21,232.4
38,Central Ark. (ASUN),11,7-4,385,242,5,"2,530",6.57,10.45,25,230
39,North Ala. (ASUN),11,3-8,413,240,13,"2,505",6.07,10.44,23,227.7
40,Jackson St. (SWAC),11,7-4,364,237,4,"2,504",6.88,10.57,21,227.6
41,Northern Ariz. (Big Sky),11,5-6,316,217,13,"2,492",7.89,11.48,18,226.5
42,Princeton (Ivy League),10,5-5,354,210,6,"2,253",6.36,10.73,14,225.3
43,UC Davis (Big Sky),11,7-4,382,238,11,"2,474",6.48,10.39,15,224.9
44,Southern Ill. (MVFC),13,8-5,394,252,8,"2,910",7.39,11.55,18,223.8
45,South Dakota St. (MVFC),15,15-0,342,227,5,"3,333",9.75,14.68,30,222.2
46,Drake (Pioneer),12,8-4,409,223,9,"2,661",6.51,11.93,16,221.8
47,Alabama A&M (SWAC),11,5-6,353,203,13,"2,432",6.89,11.98,19,221.1
48,N.C. Central (MEAC),12,9-3,331,203,4,"2,616",7.90,12.89,26,218
49,UT Martin (OVC),11,8-3,365,199,9,"2,385",6.53,11.98,26,216.8
50,Southern U. (SWAC),11,6-5,305,171,13,"2,372",7.78,13.87,14,215.6
51,Alcorn (SWAC),11,7-4,315,195,8,"2,354",7.47,12.07,15,214
52,Richmond (CAA),13,9-4,379,258,15,"2,779",7.33,10.77,26,213.8
53,Grambling (SWAC),11,5-6,337,201,8,"2,343",6.95,11.66,16,213
54,Villanova (CAA),13,10-3,279,160,10,"2,735",9.80,17.09,20,210.4
55,Stony Brook (CAA),10,0-10,326,184,10,"2,101",6.44,11.42,12,210.1
56,San Diego (Pioneer),11,4-7,325,199,6,"2,306",7.10,11.59,14,209.6
57,Houston Christian (Southland),10,5-5,309,177,11,"2,093",6.77,11.82,15,209.3
58,Marist (Pioneer),11,4-7,383,215,13,"2,284",5.96,10.62,14,207.6
59,Presbyterian (Pioneer),11,4-7,321,167,10,"2,280",7.10,13.65,17,207.3
60,North Dakota (MVFC),12,7-5,320,225,5,"2,484",7.76,11.04,20,207
