Rank,Team,G,W-L,Opp Pass,Opp Int,Int Ret Yds,Int Ret TDs
1,North Dakota St. (MVFC),15,11-4,398,21,346,2
2,South Dakota St. (MVFC),15,15-0,446,19,214,2
3,Furman (SoCon),13,10-3,406,18,254,2
4,Morehead St. (Pioneer),11,4-7,305,17,144,1
4,Jackson St. (SWAC),11,7-4,325,17,47,0
4,Florida A&M (SWAC),13,12-1,379,17,197,3
4,Montana (Big Sky),15,13-2,510,17,166,2
8,Richmond (CAA),13,9-4,365,16,276,4
8,Nicholls (Southland),11,6-5,367,16,196,1
8,UAlbany (CAA),15,11-4,533,16,224,3
11,Alcorn (SWAC),11,7-4,304,15,190,1
11,San Diego (Pioneer),11,4-7,346,15,269,5
13,Grambling (SWAC),11,5-6,282,14,123,2
13,Eastern Ill. (OVC),11,8-3,361,14,145,2
13,Sacramento St. (Big Sky),13,8-5,385,14,73,0
13,Southern Utah (ASUN),11,6-5,397,14,177,1
13,Mercer (SoCon),13,9-4,414,14,179,3
18,Brown (Ivy League),10,5-5,317,13,150,1
18,Harvard (Ivy League),10,8-2,380,13,154,2
18,Villanova (CAA),13,10-3,383,13,217,1
18,Delaware (CAA),13,9-4,392,13,249,3
18,Southeast Mo. St. (OVC),11,4-7,438,13,215,2
23,Stetson (Pioneer),11,3-8,266,12,71,1
23,Tennessee Tech (OVC),11,4-7,295,12,250,2
23,Southeastern La. (Southland),11,3-8,334,12,81,1
23,Northern Colo. (Big Sky),11,0-11,347,12,49,0
23,Abilene Christian (ASUN),11,5-6,358,12,133,1
23,Southern Ill. (MVFC),13,8-5,380,12,89,1
29,Morgan St. (MEAC),10,4-6,282,11,175,1
29,UIW (Southland),10,8-2,287,11,151,3
29,Alabama A&M (SWAC),11,5-6,298,11,98,0
29,Illinois St. (MVFC),11,6-5,310,11,106,1
29,Alabama St. (SWAC),11,7-4,335,11,193,1
29,Northern Ariz. (Big Sky),11,5-6,346,11,162,0
29,Bryant (OVC),11,6-5,354,11,105,1
29,Montana St. (Big Sky),12,8-4,357,11,100,3
29,UC Davis (Big Sky),11,7-4,374,11,35,0
29,Idaho (Big Sky),13,9-4,386,11,123,1
29,Austin Peay (ASUN),12,9-3,477,11,107,2
40,William & Mary (CAA),11,6-5,245,10,80,1
40,Sacred Heart (NEC),11,2-9,252,10,60,0
40,Merrimack (NEC),11,5-6,261,10,117,1
40,Kennesaw St. (FCS Independent),9,3-6,263,10,224,2
40,Wagner (NEC),11,4-7,269,10,126,2
40,Central Conn. St. (NEC),11,3-8,284,10,116,1
40,Georgetown (Patriot),11,5-6,298,10,154,1
40,Eastern Wash. (Big Sky),11,4-7,313,10,188,3
40,Charleston So. (OVC),11,4-7,321,10,107,1
40,Columbia (Ivy League),10,3-7,346,10,148,2
40,Elon (CAA),11,6-5,350,10,109,2
40,Chattanooga (SoCon),13,8-5,366,10,186,2
40,New Hampshire (CAA),11,6-5,367,10,147,0
40,Princeton (Ivy League),10,5-5,369,10,98,0
40,Missouri St. (MVFC),11,4-7,373,10,54,1
40,Bucknell (Patriot),11,4-7,377,10,56,0
40,Weber St. (Big Sky),11,6-5,398,10,92,1
40,Central Ark. (ASUN),11,7-4,401,10,69,1
40,Gardner-Webb (OVC),12,7-5,452,10,119,3
59,Norfolk St. (MEAC),11,3-8,231,9,94,0
59,South Carolina St. (MEAC),11,5-6,272,9,38,0
59,Howard (MEAC),12,6-6,287,9,78,1
59,Butler (Pioneer),11,7-4,292,9,148,2
59,SFA (ASUN),11,3-8,292,9,43,0
59,Western Caro. (SoCon),11,7-4,302,9,103,1
59,Portland St. (Big Sky),11,5-6,308,9,87,1
59,Bethune-Cookman (SWAC),11,3-8,310,9,179,1
59,Duquesne (NEC),12,7-5,317,9,133,2
59,Dayton (Pioneer),11,4-7,322,9,175,2
59,Wofford (SoCon),11,2-9,323,9,7,0
59,South Dakota (MVFC),13,10-3,329,9,46,0
59,Dartmouth (Ivy League),10,6-4,335,9,66,1
59,UNI (MVFC),11,6-5,337,9,31,0
59,Rhode Island (CAA),11,6-5,340,9,55,0
59,Yale (Ivy League),10,7-3,365,9,217,2
59,Lafayette (Patriot),12,9-3,397,9,143,1
59,Eastern Ky. (ASUN),11,5-6,412,9,59,0
59,UT Martin (OVC),11,8-3,420,9,60,0
78,Cornell (Ivy League),10,3-7,260,8,93,1
78,Presbyterian (Pioneer),11,4-7,267,8,58,1
78,Lamar University (Southland),11,6-5,299,8,100,1
78,Marist (Pioneer),11,4-7,299,8,199,2
78,Monmouth (CAA),11,4-7,300,8,35,1
78,Stony Brook (CAA),10,0-10,303,8,165,2
78,North Ala. (ASUN),11,3-8,326,8,72,1
78,Towson (CAA),11,5-6,338,8,67,0
78,Campbell (CAA),11,5-6,350,8,50,0
78,Prairie View (SWAC),12,6-6,355,8,98,1
78,Penn (Ivy League),10,6-4,358,8,48,0
78,Idaho St. (Big Sky),11,3-8,361,8,85,0
78,Fordham (Patriot),11,6-5,373,8,60,0
78,Youngstown St. (MVFC),13,8-5,389,8,53,0
92,Robert Morris (OVC),11,4-7,257,7,80,0
92,LIU (NEC),11,4-7,295,7,33,0
92,Maine (CAA),11,2-9,298,7,79,0
92,Hampton (CAA),11,5-6,304,7,13,0
92,Mississippi Val. (SWAC),11,1-10,314,7,86,1
92,N.C. Central (MEAC),12,9-3,315,7,106,0
92,Tennessee St. (OVC),11,6-5,315,7,36,1
92,Samford (SoCon),11,6-5,332,7,44,0
92,Southern U. (SWAC),11,6-5,340,7,77,0
92,North Dakota (MVFC),12,7-5,357,7,130,1
92,ETSU (SoCon),11,3-8,401,7,172,0
103,Saint Francis (PA) (NEC),10,4-6,241,6,35,0
103,The Citadel (SoCon),11,0-11,289,6,83,0
103,Murray St. (MVFC),11,2-9,294,6,113,0
103,Davidson (Pioneer),11,7-4,307,6,84,0
103,Houston Christian (Southland),10,5-5,319,6,99,2
103,Colgate (Patriot),11,6-5,419,6,75,1
109,McNeese (Southland),10,0-10,263,5,0,0
109,N.C. A&T (CAA),11,1-10,273,5,97,1
109,Holy Cross (Patriot),11,7-4,284,5,68,1
109,Indiana St. (MVFC),11,1-10,321,5,109,1
109,Texas Southern (SWAC),11,3-8,331,5,50,0
109,Drake (Pioneer),12,8-4,373,5,29,0
115,Northwestern St. (Southland),6,0-6,175,4,0,0
115,Cal Poly (Big Sky),11,3-8,293,4,32,0
115,VMI (SoCon),11,5-6,295,4,41,0
115,Ark.-Pine Bluff (SWAC),11,2-9,309,4,23,0
119,Delaware St. (MEAC),11,1-10,238,3,25,1
119,Western Ill. (MVFC),11,0-11,261,3,14,0
119,Valparaiso (Pioneer),11,3-8,301,3,33,0
119,Lehigh (Patriot),11,2-9,348,3,30,0
