Rank,Team,G,W-L,3rd Att,3rd Conv,Pct
1,Eastern Wash. (Big Sky),12,4-8,165,93,0.564
2,Montana St. (Big Sky),16,15-1,198,111,0.561
3,North Dakota St. (MVFC),16,14-2,202,110,0.545
4,Butler (Pioneer),12,9-3,148,79,0.534
5,South Dakota St. (MVFC),15,12-3,186,95,0.511
6,Youngstown St. (MVFC),12,4-8,166,83,0.5
7,Southern Utah (ASUN),12,7-5,164,81,0.494
8,Delaware (CAA),11,9-2,160,78,0.488
9,Hampton (CAA),12,5-7,178,86,0.483
10,William & Mary (CAA),12,7-5,144,69,0.479
11,Yale (Ivy League),10,7-3,143,68,0.476
12,Lehigh (Patriot),13,9-4,153,72,0.471
13,Portland St. (Big Sky),11,3-8,141,66,0.468
14,Abilene Christian (ASUN),14,9-5,198,92,0.465
15,UC Davis (Big Sky),14,11-3,183,85,0.464
16,Penn (Ivy League),10,4-6,125,58,0.464
17,Richmond (CAA),13,10-3,169,78,0.462
18,Monmouth (CAA),12,6-6,148,68,0.459
19,Illinois St. (MVFC),14,10-4,206,94,0.456
20,North Dakota (MVFC),12,5-7,160,73,0.456
21,South Dakota (MVFC),14,11-3,142,64,0.451
22,Idaho St. (Big Sky),12,5-7,160,72,0.45
23,Harvard (Ivy League),10,8-2,136,61,0.449
24,Eastern Ky. (ASUN),13,8-5,177,78,0.441
25,Davidson (Pioneer),11,6-5,168,74,0.44
26,Columbia (Ivy League),10,7-3,134,59,0.44
27,Brown (Ivy League),10,3-7,169,74,0.438
28,Missouri St. (MVFC),12,8-4,140,61,0.436
29,N.C. Central (MEAC),11,8-3,122,53,0.434
30,Western Caro. (SoCon),12,7-5,189,82,0.434
31,Western Ill. (OVC),12,4-8,162,70,0.432
32,Northern Ariz. (Big Sky),13,8-5,153,66,0.431
33,Campbell (CAA),12,3-9,158,68,0.43
34,Rhode Island (CAA),14,11-3,175,75,0.429
35,Duquesne (NEC),11,8-3,145,62,0.428
36,Florida A&M (SWAC),12,7-5,149,63,0.423
37,Cornell (Ivy League),10,4-6,135,57,0.422
38,Jackson St. (SWAC),14,12-2,171,72,0.421
39,Montana (Big Sky),14,9-5,179,75,0.419
40,Dartmouth (Ivy League),10,8-2,134,56,0.418
41,Drake (Pioneer),11,8-3,139,58,0.417
