Rank,Team,G,W-L,TDs,Opp XP,2PT,Opp DXP,Opp FGM,Opp Saf,Pts,Avg
1,South Dakota St. (MVFC),15,15-0,15,13,0,0,12,0,139,9.3
2,Alabama St. (SWAC),11,7-4,19,16,0,0,9,1,159,14.5
3,Florida A&M (SWAC),13,12-1,26,24,0,0,5,1,197,15.2
4,Southern Ill. (MVFC),13,8-5,23,20,1,0,16,1,210,16.2
5,Montana (Big Sky),15,13-2,34,25,1,0,9,0,258,17.2
6,Princeton (Ivy League),10,5-5,20,18,1,0,11,1,175,17.5
7,Butler (Pioneer),11,7-4,25,21,2,0,6,0,193,17.5
8,South Dakota (MVFC),13,10-3,28,26,0,0,12,0,230,17.7
9,Kennesaw St. (FCS Independent),9,3-6,19,17,0,0,10,0,161,17.9
10,Columbia (Ivy League),10,3-7,23,23,0,0,7,0,182,18.2
11,Furman (SoCon),13,10-3,31,24,3,0,7,0,237,18.2
12,William & Mary (CAA),11,6-5,24,24,0,0,12,0,204,18.5
13,Villanova (CAA),13,10-3,30,24,1,0,13,0,245,18.8
14,Dartmouth (Ivy League),10,6-4,24,23,0,0,8,1,193,19.3
15,UIW (Southland),10,8-2,24,22,1,0,9,0,195,19.5
16,Eastern Ill. (OVC),11,8-3,29,28,0,0,5,0,217,19.7
17,Yale (Ivy League),10,7-3,25,22,0,0,9,0,199,19.9
18,North Dakota St. (MVFC),15,11-4,36,33,1,0,16,0,299,19.9
19,UAlbany (CAA),15,11-4,36,32,2,0,16,0,300,20
20,Harvard (Ivy League),10,8-2,25,22,0,0,10,0,202,20.2
21,Southern U. (SWAC),11,6-5,28,22,1,1,9,1,223,20.3
22,Illinois St. (MVFC),11,6-5,30,24,0,0,7,0,225,20.5
23,Morgan St. (MEAC),10,4-6,26,25,0,0,11,0,214,21.4
24,Merrimack (NEC),11,5-6,33,25,2,0,3,0,236,21.5
25,Penn (Ivy League),10,6-4,25,20,4,0,13,0,217,21.7
26,Montana St. (Big Sky),12,8-4,34,29,1,0,9,0,262,21.8
27,Alcorn (SWAC),11,7-4,29,27,0,0,12,2,241,21.9
28,Idaho (Big Sky),13,9-4,35,33,1,0,14,0,287,22.1
29,Central Ark. (ASUN),11,7-4,31,25,2,0,12,1,253,23
30,Lafayette (Patriot),12,9-3,37,26,1,0,10,0,280,23.3
31,Lamar University (Southland),11,6-5,34,29,1,0,8,0,259,23.5
32,Richmond (CAA),13,9-4,38,34,0,0,15,0,307,23.6
33,Southern Utah (ASUN),11,6-5,33,27,0,0,12,0,261,23.7
34,Howard (MEAC),12,6-6,35,33,0,1,12,2,285,23.8
35,Jackson St. (SWAC),11,7-4,37,31,2,0,2,0,263,23.9
36,Mercer (SoCon),13,9-4,37,35,0,0,18,0,311,23.9
37,Delaware (CAA),13,9-4,38,35,0,0,15,2,312,24
37,Elon (CAA),11,6-5,34,28,1,0,10,0,264,24
37,UT Martin (OVC),11,8-3,34,33,0,0,9,0,264,24
40,Weber St. (Big Sky),11,6-5,35,26,4,0,7,0,265,24.1
41,Samford (SoCon),11,6-5,34,31,1,0,10,0,267,24.3
42,Austin Peay (ASUN),12,9-3,37,30,1,0,13,0,293,24.4
43,UC Davis (Big Sky),11,7-4,33,32,0,0,13,0,269,24.5
44,Chattanooga (SoCon),13,8-5,39,37,0,0,16,0,319,24.5
45,Fordham (Patriot),11,6-5,36,32,2,1,6,0,272,24.7
45,Sacred Heart (NEC),11,2-9,34,29,0,0,13,0,272,24.7
45,Tennessee St. (OVC),11,6-5,36,31,1,0,7,1,272,24.7
45,Wofford (SoCon),11,2-9,30,30,1,0,20,0,272,24.7
49,Cornell (Ivy League),10,3-7,34,27,1,0,5,0,248,24.8
50,Valparaiso (Pioneer),11,3-8,35,31,0,0,10,1,273,24.8
51,Dayton (Pioneer),11,4-7,36,29,1,0,9,0,274,24.9
51,VMI (SoCon),11,5-6,34,34,0,0,12,0,274,24.9
53,San Diego (Pioneer),11,4-7,34,29,2,0,12,2,277,25.2
54,Tennessee Tech (OVC),11,4-7,37,35,0,0,7,0,278,25.3
55,Youngstown St. (MVFC),13,8-5,43,42,0,0,10,0,330,25.4
56,Presbyterian (Pioneer),11,4-7,34,32,0,0,14,1,280,25.5
57,Nicholls (Southland),11,6-5,34,29,1,1,14,1,281,25.5
58,Holy Cross (Patriot),11,7-4,37,34,0,0,9,0,283,25.7
58,South Carolina St. (MEAC),11,5-6,36,34,0,0,11,0,283,25.7
60,Georgetown (Patriot),11,5-6,37,32,2,0,8,1,284,25.8
61,Bethune-Cookman (SWAC),11,3-8,37,31,2,0,9,1,286,26
62,Bryant (OVC),11,6-5,37,33,1,0,10,0,287,26.1
63,Drake (Pioneer),12,8-4,41,35,2,0,10,0,315,26.3
63,North Dakota (MVFC),12,7-5,42,34,1,0,9,0,315,26.3
65,LIU (NEC),11,4-7,36,32,1,0,12,2,290,26.4
66,Saint Francis (PA) (NEC),10,4-6,35,33,0,0,7,0,264,26.4
67,UNI (MVFC),11,6-5,37,35,0,0,12,0,293,26.6
68,Alabama A&M (SWAC),11,5-6,37,36,1,0,11,1,295,26.8
69,Mississippi Val. (SWAC),11,1-10,38,34,0,0,12,0,298,27.1
70,Sacramento St. (Big Sky),13,8-5,44,38,1,0,16,1,354,27.2
71,Grambling (SWAC),11,5-6,41,36,0,0,6,1,302,27.5
72,Monmouth (CAA),11,4-7,41,39,0,0,6,0,303,27.5
73,Western Caro. (SoCon),11,7-4,40,33,4,0,8,0,305,27.7
74,Houston Christian (Southland),10,5-5,38,35,0,0,5,0,278,27.8
75,Rhode Island (CAA),11,6-5,41,34,1,0,8,0,306,27.8
76,Gardner-Webb (OVC),12,7-5,42,38,1,0,15,0,337,28.1
77,Southeastern La. (Southland),11,3-8,40,38,0,1,11,0,313,28.5
78,N.C. Central (MEAC),12,9-3,47,43,1,0,6,0,345,28.8
79,Morehead St. (Pioneer),11,4-7,43,40,1,0,6,0,318,28.9
79,Robert Morris (OVC),11,4-7,43,40,0,0,6,1,318,28.9
81,Abilene Christian (ASUN),11,5-6,41,38,1,0,11,0,319,29
81,Brown (Ivy League),10,5-5,38,31,1,0,9,1,290,29
83,Davidson (Pioneer),11,7-4,43,31,2,0,9,0,320,29.1
84,Charleston So. (OVC),11,4-7,41,41,0,0,10,2,321,29.2
85,Indiana St. (MVFC),11,1-10,42,35,0,0,11,2,324,29.5
86,New Hampshire (CAA),11,6-5,43,37,3,0,8,0,325,29.5
86,Norfolk St. (MEAC),11,3-8,43,36,2,0,9,0,325,29.5
88,Marist (Pioneer),11,4-7,44,41,0,0,7,0,326,29.6
88,Southeast Mo. St. (OVC),11,4-7,44,38,0,0,8,0,326,29.6
90,Wagner (NEC),11,4-7,45,40,0,0,6,0,328,29.8
91,Missouri St. (MVFC),11,4-7,41,38,2,0,15,0,333,30.3
92,Northern Ariz. (Big Sky),11,5-6,42,38,3,1,12,0,334,30.4
