Rank,Team,G,W-L,Penalties,PYards,YPG
1,Harvard (Ivy League),10,8-2,34,294,29.40
2,North Dakota (MVFC),12,7-5,42,379,31.58
3,Bethune-Cookman (SWAC),11,3-8,49,389,35.36
4,Brown (Ivy League),10,5-5,36,355,35.50
5,Columbia (Ivy League),10,3-7,47,373,37.30
6,Stetson (Pioneer),11,3-8,52,413,37.55
7,UC Davis (Big Sky),11,7-4,50,414,37.64
8,Butler (Pioneer),11,7-4,46,419,38.09
9,Penn (Ivy League),10,6-4,45,391,39.10
10,Chattanooga (SoCon),13,8-5,63,510,39.23
11,Western Ill. (MVFC),11,0-11,55,438,39.82
12,Cal Poly (Big Sky),11,3-8,52,439,39.91
13,Northwestern St. (Southland),6,0-6,27,245,40.83
14,Eastern Wash. (Big Sky),11,4-7,50,450,40.91
15,Yale (Ivy League),10,7-3,50,412,41.20
16,Eastern Ky. (ASUN),11,5-6,55,455,41.36
17,Charleston So. (OVC),11,4-7,49,456,41.45
18,Lafayette (Patriot),12,9-3,54,517,43.08
19,Illinois St. (MVFC),11,6-5,57,476,43.27
19,South Carolina St. (MEAC),11,5-6,52,476,43.27
21,Houston Christian (Southland),10,5-5,53,434,43.40
22,VMI (SoCon),11,5-6,49,480,43.64
23,Furman (SoCon),13,10-3,64,568,43.69
24,Villanova (CAA),13,10-3,70,578,44.46
25,Northern Colo. (Big Sky),11,0-11,52,491,44.64
26,South Dakota (MVFC),13,10-3,76,590,45.38
27,Sacramento St. (Big Sky),13,8-5,69,592,45.54
28,Sacred Heart (NEC),11,2-9,59,508,46.18
29,The Citadel (SoCon),11,0-11,63,511,46.45
30,Delaware (CAA),13,9-4,61,607,46.69
31,Davidson (Pioneer),11,7-4,55,519,47.18
32,Howard (MEAC),12,6-6,65,576,48.00
33,Indiana St. (MVFC),11,1-10,54,532,48.36
34,Idaho St. (Big Sky),11,3-8,56,534,48.55
34,Monmouth (CAA),11,4-7,65,534,48.55
36,Richmond (CAA),13,9-4,63,634,48.77
37,Abilene Christian (ASUN),11,5-6,66,538,48.91
38,N.C. Central (MEAC),12,9-3,63,591,49.25
39,Princeton (Ivy League),10,5-5,57,494,49.40
40,N.C. A&T (CAA),11,1-10,67,547,49.73
41,Dartmouth (Ivy League),10,6-4,51,498,49.80
42,Wagner (NEC),11,4-7,70,551,50.09
43,Alabama St. (SWAC),11,7-4,72,556,50.55
43,Ark.-Pine Bluff (SWAC),11,2-9,67,556,50.55
45,Cornell (Ivy League),10,3-7,49,506,50.60
46,Montana St. (Big Sky),12,8-4,68,611,50.92
47,Eastern Ill. (OVC),11,8-3,64,564,51.27
47,Lehigh (Patriot),11,2-9,65,564,51.27
49,Colgate (Patriot),11,6-5,63,565,51.36
50,Lamar University (Southland),11,6-5,60,568,51.64
51,Norfolk St. (MEAC),11,3-8,71,571,51.91
52,Alabama A&M (SWAC),11,5-6,74,572,52.00
53,Gardner-Webb (OVC),12,7-5,64,626,52.17
54,Bucknell (Patriot),11,4-7,66,575,52.27
54,Maine (CAA),11,2-9,65,575,52.27
56,Southeastern La. (Southland),11,3-8,71,576,52.36
56,Tennessee Tech (OVC),11,4-7,73,576,52.36
58,McNeese (Southland),10,0-10,59,524,52.40
59,Elon (CAA),11,6-5,63,580,52.73
60,Saint Francis (PA) (NEC),10,4-6,64,528,52.80
61,Southern Ill. (MVFC),13,8-5,85,687,52.85
62,Robert Morris (OVC),11,4-7,78,583,53.00
63,Mercer (SoCon),13,9-4,79,690,53.08
63,Youngstown St. (MVFC),13,8-5,82,690,53.08
65,North Dakota St. (MVFC),15,11-4,93,797,53.13
66,Bryant (OVC),11,6-5,67,585,53.18
66,LIU (NEC),11,4-7,59,585,53.18
68,Dayton (Pioneer),11,4-7,63,588,53.45
69,Morehead St. (Pioneer),11,4-7,76,596,54.18
70,Valparaiso (Pioneer),11,3-8,68,601,54.64
71,Idaho (Big Sky),13,9-4,74,711,54.69
72,UNI (MVFC),11,6-5,66,603,54.82
73,SFA (ASUN),11,3-8,74,608,55.27
74,Samford (SoCon),11,6-5,61,620,56.36
75,Duquesne (NEC),12,7-5,83,678,56.50
76,Merrimack (NEC),11,5-6,73,623,56.64
77,Holy Cross (Patriot),11,7-4,67,625,56.82
78,Missouri St. (MVFC),11,4-7,66,627,57.00
79,Delaware St. (MEAC),11,1-10,71,628,57.09
79,Hampton (CAA),11,5-6,74,628,57.09
81,Campbell (CAA),11,5-6,75,629,57.18
82,Nicholls (Southland),11,6-5,71,632,57.45
83,Austin Peay (ASUN),12,9-3,76,691,57.58
84,Rhode Island (CAA),11,6-5,70,634,57.64
85,Marist (Pioneer),11,4-7,70,642,58.36
86,Portland St. (Big Sky),11,5-6,68,643,58.45
87,Prairie View (SWAC),12,6-6,79,704,58.67
88,UT Martin (OVC),11,8-3,73,648,58.91
89,William & Mary (CAA),11,6-5,66,649,59.00
90,Tennessee St. (OVC),11,6-5,76,655,59.55
91,ETSU (SoCon),11,3-8,69,656,59.64
