Date,Time (ET),Game,Proj_winner,Proj_margin,Win_prob,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
19-Nov,7:00 PM,Akron at Kent State,Akron,5.4,63%,30-24,Akron -10,Kent State,4.6,49.5,Over,4.1
19-Nov,7:30 PM,Western Michigan at Central Michigan,Western Michigan,3.3,58%,31-28,Western Michigan -7,Central Michigan,3.7,55.5,Over,4.0
19-Nov,8:00 PM,Northern Illinois at Miami-OH,Miami-OH,3.8,59%,24-20,Miami-OH -2.5,Miami-OH,1.3,43.5,Over,0.1
20-Nov,7:00 PM,Buffalo at Eastern Michigan,Buffalo,0.0,50%,28-28,Eastern Michigan -2,Buffalo,2.0,53.5,Over,1.7
20-Nov,7:00 PM,Ohio at Toledo,Toledo,5.2,63%,27-22,Toledo -2.5,Toledo,2.7,48.5,Under,-0.2
21-Nov,7:30 PM,NC State at Georgia Tech,Georgia Tech,3.4,58%,30-26,Georgia Tech -9,NC State,5.6,52.5,Over,3.6
22-Nov,7:00 PM,Temple at UTSA,UTSA,19.4,89%,38-19,UTSA -16.5,UTSA,2.9,55.5,Over,2.0
22-Nov,8:00 PM,Purdue at Michigan State,Michigan State,11.4,76%,30-19,Michigan State -14,Purdue,2.6,48.5,Over,0.7
22-Nov,10:00 PM,UNLV at San Jose State,UNLV,8.0,69%,34-26,UNLV -8,UNLV,0.0,62.5,Under,-3.2
23-Nov,12:00 PM,Connecticut at Syracuse,Syracuse,8.9,71%,32-23,Syracuse -10.5,Connecticut,1.6,54.5,Over,0.1
23-Nov,12:00 PM,Illinois at Rutgers,Rutgers,1.0,53%,24-23,Rutgers -1.5,Illinois,0.5,48.5,Under,-0.6
23-Nov,12:00 PM,Indiana at Ohio State,Ohio State,12.4,78%,31-19,Ohio State -11.5,Ohio State,0.9,51.5,Under,-1.4
23-Nov,12:00 PM,Iowa at Maryland,Iowa,12.9,79%,29-16,Iowa -6.5,Iowa,6.4,46.5,Under,-0.9
23-Nov,12:00 PM,North Carolina at Boston College,North Carolina,7.1,67%,32-25,North Carolina -2,North Carolina,5.1,56.5,Under,-0.3
23-Nov,12:00 PM,Ole Miss at Florida,Ole Miss,16.1,84%,35-19,Ole Miss -9.5,Ole Miss,6.6,55.5,Under,-1.1
