Date,Time (ET),Game,Proj_winner,Proj_margin,Win_prob,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
5-Oct,7:00 PM,SMU at UCF,UCF,1.5,54%,30-28,UCF -3,SMU,1.5,64.0,Under,-6.0
7-Oct,7:00 PM,Nebraska at Rutgers,Nebraska,1.9,54%,27-25,Nebraska -3,Rutgers,1.1,50.5,Over,1.1
7-Oct,7:30 PM,Houston at Memphis,Memphis,1.3,53%,31-29,Memphis -2.5,Houston,1.2,57.5,Over,2.7
7-Oct,10:30 PM,Colorado State at Nevada,Nevada,7.5,67%,29-22,Nevada -3,Nevada,4.5,45.5,Over,5.7
7-Oct,10:30 PM,UNLV at San Jose State,San Jose State,3.7,58%,26-23,San Jose State -5.5,UNLV,1.8,51.5,Under,-2.5
8-Oct,12:00 PM,Arkansas at Mississippi State,Mississippi State,8.2,68%,33-25,Mississippi State -6.5,Mississippi State,1.7,62.0,Under,-3.6
8-Oct,12:00 PM,Buffalo at Bowling Green,Bowling Green,0.3,51%,30-30,Buffalo -1.5,Bowling Green,1.8,54.5,Over,5.5
8-Oct,12:00 PM,Eastern Michigan at Western Michigan,Western Michigan,2.4,56%,30-28,Western Michigan -5,Eastern Michigan,2.6,58.0,Over,0.1
8-Oct,12:00 PM,Louisville at Virginia,Louisville,2.8,56%,30-27,Louisville -3.5,Virginia,0.7,52.0,Over,5.6
8-Oct,12:00 PM,Michigan at Indiana,Michigan,24.9,93%,40-15,Michigan -22,Michigan,2.9,59.0,Under,-4.1
8-Oct,12:00 PM,Missouri at Florida,Florida,4.8,61%,31-26,Florida -10,Missouri,5.2,54.5,Over,2.4
8-Oct,12:00 PM,Purdue at Maryland,Maryland,2.5,56%,30-27,Maryland -3,Purdue,0.5,60.0,Under,-2.9
8-Oct,12:00 PM,TCU at Kansas,TCU,7.3,66%,35-28,TCU -6,TCU,1.3,67.5,Under,-4.1
8-Oct,12:00 PM,Tennessee at LSU,Tennessee,1.9,54%,31-29,Tennessee -2.5,LSU,0.6,62.0,Under,-2.6
8-Oct,12:00 PM,Texas vs. Oklahoma,Texas,0.5,51%,31-31,Texas -7,Oklahoma,6.5,65.0,Under,-3.1
8-Oct,2:00 PM,Akron at Ohio,Ohio,9.2,70%,33-24,Ohio -11.5,Akron,2.3,58.0,Under,-0.6
8-Oct,2:00 PM,Georgia Southern at Georgia State,Georgia State,3.2,57%,31-28,Georgia State -2.5,Georgia State,0.7,66.0,Under,-7.7
8-Oct,2:30 PM,USF at Cincinnati,Cincinnati,30.2,96%,44-14,Cincinnati -28,Cincinnati,2.2,59.0,Under,-1.0
8-Oct,3:30 PM,Auburn at Georgia,Georgia,18.8,86%,36-17,Georgia -29.5,Auburn,10.7,49.0,Over,3.3
8-Oct,3:30 PM,Ball State at Central Michigan,Central Michigan,6.3,64%,32-25,Central Michigan -8.5,Ball State,2.2,63.5,Under,-6.7
8-Oct,3:30 PM,East Carolina at Tulane,Tulane,5.3,62%,30-25,Tulane -2.5,Tulane,2.8,54.0,Over,1.2
8-Oct,3:30 PM,Kent State at Miami-OH,Miami-OH,3.7,58%,31-27,Kent State -5,Miami-OH,8.7,58.5,Under,-0.4
8-Oct,3:30 PM,Liberty at Massachusetts,Liberty,25.9,93%,38-12,Liberty -24.5,Liberty,1.4,50.5,Under,-0.3
8-Oct,3:30 PM,Middle Tennessee at UAB,UAB,14.7,80%,34-19,UAB -9,UAB,5.7,55.0,Under,-2.0
8-Oct,3:30 PM,Texas Tech at Oklahoma State,Oklahoma State,12.1,76%,36-23,Oklahoma State -10.5,Oklahoma State,1.6,64.0,Under,-5.0
8-Oct,3:30 PM,Toledo at Northern Illinois,Toledo,7.7,67%,33-25,Toledo -5.5,Toledo,2.2,58.5,Over,0.1
8-Oct,3:30 PM,Tulsa at Navy,Tulsa,9.7,71%,30-20,Tulsa -4,Tulsa,5.7,47.0,Over,3.3
8-Oct,3:30 PM,Utah at UCLA,Utah,0.2,50%,31-31,Utah -4,UCLA,3.8,64.0,Under,-2.6
