Date,Time (ET),Game,Proj_winner,Proj_margin,Win_prob,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
8-Nov,7:00 PM,Eastern Michigan at Akron,Eastern Michigan,12.5,76%,35-22,Eastern Michigan -7,Eastern Michigan,5.5,55.0,Over,1.7
8-Nov,7:30 PM,Ohio at Miami-OH,Miami-OH,1.2,53%,26-25,Ohio -1,Miami-OH,2.2,50.5,Over,1.2
8-Nov,8:00 PM,Ball State at Toledo,Toledo,16.9,84%,34-17,Toledo -11.5,Toledo,5.4,51.5,Under,-1.0
9-Nov,7:00 PM,Buffalo at Central Michigan,Central Michigan,0.2,50%,29-28,Buffalo -2,Central Michigan,2.2,55.5,Over,1.5
9-Nov,7:00 PM,Kent State at Bowling Green,Bowling Green,1.4,53%,31-30,Kent State -2.5,Bowling Green,3.9,57.5,Over,3.6
9-Nov,7:00 PM,Northern Illinois at Western Michigan,Northern Illinois,0.8,52%,30-29,PICK,Northern Illinois,0.8,52.0,Over,7.0
10-Nov,7:30 PM,Georgia Southern at UL-Lafayette,UL-Lafayette,8.2,68%,32-24,UL-Lafayette -3,UL-Lafayette,5.2,59.0,Under,-3.4
10-Nov,7:30 PM,Tulsa at Memphis,Memphis,9.9,72%,38-29,Memphis -6.5,Memphis,3.4,62.0,Over,5.1
11-Nov,8:00 PM,East Carolina at Cincinnati,Cincinnati,11.0,74%,32-21,Cincinnati -5.5,Cincinnati,5.5,53.5,Under,-0.6
11-Nov,9:30 PM,Colorado at USC,USC,36.2,98%,50-14,USC -34,USC,2.2,64.0,Under,-0.5
11-Nov,10:30 PM,Fresno State at UNLV,Fresno State,10.8,73%,33-22,Fresno State -8.5,Fresno State,2.3,58.0,Under,-2.7
12-Nov,12:00 PM,Indiana at Ohio State,Ohio State,40.8,99%,49-8,Ohio State -41,Indiana,0.2,58.0,Under,-0.9
12-Nov,12:00 PM,Liberty at Connecticut,Liberty,15.8,82%,31-15,Liberty -14.5,Liberty,1.3,48.5,Under,-3.1
12-Nov,12:00 PM,LSU at Arkansas,LSU,2.5,56%,31-29,LSU -3,Arkansas,0.5,62.0,Under,-1.6
12-Nov,12:00 PM,Missouri at Tennessee,Tennessee,19.4,87%,37-18,Tennessee -21,Missouri,1.6,56.5,Under,-1.7
12-Nov,12:00 PM,Notre Dame vs. Navy,Notre Dame,22.8,91%,34-12,Notre Dame -17,Notre Dame,5.8,42.5,Over,3.4
12-Nov,12:00 PM,Oklahoma at West Virginia,Oklahoma,13.3,78%,40-27,Oklahoma -7.5,Oklahoma,5.8,65.5,Over,1.4
12-Nov,12:00 PM,Pittsburgh at Virginia,Pittsburgh,6.5,65%,30-24,Pittsburgh -4,Pittsburgh,2.5,41.5,Over,12.7
12-Nov,12:00 PM,Purdue at Illinois,Illinois,8.0,68%,27-19,Illinois -6.5,Illinois,1.5,47.0,Under,-1.6
12-Nov,12:00 PM,Rutgers at Michigan State,Michigan State,12.4,76%,31-18,Michigan State -10.5,Michigan State,1.9,40.0,Over,8.8
12-Nov,12:00 PM,SMU at USF,SMU,16.4,83%,45-28,SMU -17.5,USF,1.1,74.5,Under,-1.3
12-Nov,12:00 PM,Vanderbilt at Kentucky,Kentucky,24.4,92%,38-14,Kentucky -17,Kentucky,7.4,50.0,Over,1.5
12-Nov,12:00 PM,Virginia Tech at Duke,Duke,9.4,71%,30-20,Duke -10,Virginia Tech,0.6,50.5,Under,-0.3
12-Nov,1:00 PM,James Madison at Old Dominion,James Madison,7.8,67%,30-22,James Madison -7.5,James Madison,0.3,47.5,Over,4.6
12-Nov,1:00 PM,UL-Monroe at Georgia State,Georgia State,16.3,83%,39-23,Georgia State -13.5,Georgia State,2.8,60.0,Over,1.8
12-Nov,2:00 PM,Lamar at New Mexico State,New Mexico State,19.9,87%,30-11,,,,,,
12-Nov,2:00 PM,Rice at Western Kentucky,Western Kentucky,17.0,84%,39-22,Western Kentucky -13,Western Kentucky,4.0,62.5,Under,-2.3
12-Nov,3:00 PM,Massachusetts at Arkansas State,Arkansas State,21.5,89%,38-16,Arkansas State -17.5,Arkansas State,4.0,50.0,Over,4.0
12-Nov,3:00 PM,Temple at Houston,Houston,21.0,89%,39-18,Houston -20,Houston,1.0,58.0,Under,-1.8
12-Nov,3:30 PM,Alabama at Ole Miss,Alabama,7.2,66%,33-26,Alabama -12,Ole Miss,4.8,63.5,Under,-4.5
12-Nov,3:30 PM,Appalachian State at Marshall,Marshall,0.8,52%,25-25,PICK,Marshall,0.8,46.0,Over,3.8
12-Nov,3:30 PM,Arizona State at Washington State,Washington State,9.7,71%,32-22,Washington State -9,Washington State,0.7,56.0,Under,-2.6
12-Nov,3:30 PM,Army at Troy,Troy,14.1,79%,32-18,Troy -9,Troy,5.1,45.5,Over,4.8
12-Nov,3:30 PM,Boston College at NC State,NC State,21.2,89%,33-12,NC State -19.5,NC State,1.7,42.0,Over,3.6
12-Nov,3:30 PM,Charlotte at Middle Tennessee,Middle Tennessee,6.6,65%,35-28,Middle Tennessee -11.5,Charlotte,4.9,68.5,Under,-5.1
12-Nov,3:30 PM,Iowa State at Oklahoma State,Oklahoma State,5.4,62%,30-24,Iowa State -1,Oklahoma State,6.4,48.5,Over,5.6
12-Nov,3:30 PM,Louisiana Tech at UTSA,UTSA,21.3,89%,46-25,UTSA -18,UTSA,3.3,68.5,Over,2.2
12-Nov,3:30 PM,Louisville at Clemson,Clemson,7.8,67%,31-23,Clemson -7.5,Clemson,0.3,52.0,Over,1.4
