Team,Conference,Division,Record,SP+,Rk,Off. SP+,Rk,Def. SP+,Rk,ST SP+,Rk,,Date,Time (ET),Game,Proj_winner,Proj_margin,Win_prob,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
Georgia,SEC,SEC East,3-0,33.5,1,42.2,4,9.0,1,0.3,15,,22-Sep,7:30 PM,Coastal Carolina at Georgia State,Coastal Carolina,5.7,63%,33-27,Coastal Carolina -2,Coastal Carolina,3.7,63.5,Under,-3.3
Alabama,SEC,SEC West,3-0,32.2,2,44.5,2,12.6,5,0.3,16,,22-Sep,7:30 PM,West Virginia at Virginia Tech,Virginia Tech,1.6,54%,25-24,West Virginia -3,Virginia Tech,4.6,53.0,Under,-3.8
Ohio State,Big Ten,Big Ten East,3-0,30.0,3,46.9,1,16.6,16,-0.2,104,,22-Sep,8:30 PM,Chattanooga at Illinois,Illinois,12.5,77%,27-14,,,,,,
Oklahoma,Big 12,Big 12,3-0,26.2,4,42.1,5,15.9,14,0.0,64,,23-Sep,7:00 PM,Virginia at Syracuse,Syracuse,9.2,70%,32-23,Syracuse -9.5,Virginia,0.3,54.5,Over,0.9
Michigan,Big Ten,Big Ten East,3-0,25.4,5,40.4,6,15.4,10,0.4,6,,23-Sep,8:00 PM,Nevada at Air Force,Air Force,22.2,90%,36-14,Air Force -24.5,Nevada,2.3,48.5,Over,0.9
Ole Miss,SEC,SEC West,3-0,21.9,6,37.3,13,15.7,11,0.3,26,,23-Sep,9:00 PM,Boise State at UTEP,Boise State,20.3,88%,33-12,Boise State -16,Boise State,4.3,46.5,Under,-1.5
Clemson,ACC,ACC Atlantic,3-0,21.3,7,33.0,34,11.7,2,0.0,62,,24-Sep,12:00 PM,Baylor at Iowa State,Baylor,1.6,54%,25-23,Iowa State -2,Baylor,3.6,44.5,Over,3.3
Tennessee,SEC,SEC East,3-0,20.7,8,43.0,3,22.3,40,0.1,55,,24-Sep,12:00 PM,Bowling Green at Mississippi State,Mississippi State,32.6,97%,45-13,Mississippi State -30,Mississippi State,2.6,57.0,Over,0.9
Penn State,Big Ten,Big Ten East,3-0,18.8,9,33.5,32,14.9,9,0.1,44,,24-Sep,12:00 PM,Buffalo at Eastern Michigan,Eastern Michigan,7.2,66%,34-27,Eastern Michigan -4.5,Eastern Michigan,2.7,60.5,Over,0.8
Kentucky,SEC,SEC East,3-0,18.5,10,31.6,43,13.2,7,0.1,48,,24-Sep,12:00 PM,Central Michigan at Penn State,Penn State,27,94%,41-14,Penn State -26,Penn State,1.0,60.5,Under,-5.1
Texas A&M,SEC,SEC West,2-1,18.2,11,29.9,55,11.9,4,0.2,42,,24-Sep,12:00 PM,Clemson at Wake Forest,Clemson,10.2,72%,34-23,Clemson -7,Clemson,3.2,56.5,Over,0.4
Utah,Pac-12,Pac-12,2-1,18.0,12,37.5,12,19.8,27,0.3,14,,24-Sep,12:00 PM,Duke at Kansas,Kansas,7.3,66%,34-26,Kansas -8.5,Duke,1.2,64.0,Under,-4.2
Oklahoma State,Big 12,Big 12,3-0,17.7,13,37.2,14,19.9,29,0.4,7,,24-Sep,12:00 PM,Kent State at Georgia,Georgia,47.9,100%,53-5,Georgia -44,Georgia,3.9,59.5,Under,-1.1
Texas,Big 12,Big 12,2-1,17.5,14,39.3,8,21.9,35,0.0,61,,24-Sep,12:00 PM,Maryland at Michigan,Michigan,18.5,86%,38-20,Michigan -17,Michigan,1.5,62.0,Under,-3.9
Wisconsin,Big Ten,Big Ten West,2-1,17.2,15,29.8,58,12.6,6,0.1,57,,24-Sep,12:00 PM,Missouri at Auburn,Auburn,9.6,71%,33-23,Auburn -7,Auburn,2.6,52.0,Over,3.5
Minnesota,Big Ten,Big Ten West,3-0,16.8,16,30.7,50,14.1,8,0.2,31,,24-Sep,12:00 PM,Rhode Island at Pittsburgh,Pittsburgh,28.8,95%,48-19,,,,,,
Cincinnati,AAC,AAC,2-1,16.5,17,35.8,21,19.2,24,-0.1,76,,24-Sep,12:00 PM,TCU at SMU,SMU,3,57%,33-30,SMU -1,SMU,2.0,68.5,Under,-5.2
Notre Dame,Indies,Independents,1-2,15.9,18,33.1,33,17.6,18,0.4,5,,24-Sep,12:00 PM,USF at Louisville,Louisville,16.1,82%,39-23,Louisville -13,Louisville,3.1,63.5,Under,-1.5
NC State,ACC,ACC Atlantic,3-0,15.8,19,32.1,38,16.6,15,0.4,10,,24-Sep,2:00 PM,Fordham at Ohio,Ohio,7.9,68%,34-26,,,,,,
Oregon,Pac-12,Pac-12,2-1,14.8,20,37.9,10,23.1,43,0.0,59,,24-Sep,2:00 PM,Massachusetts at Temple,Temple,12.6,77%,31-19,Temple -9,Temple,3.6,44.5,Over,5.6
