Team,Conference,Record,SP+,Rk,Off. SP+,Rk,Def. SP+,Rk,ST SP+,Rk,,Date,Time (ET),Game,Proj_winner,Proj_margin,Win_prob,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
Ohio State,Big Ten,2-0,30.7,1,36.9,12,6.5,1,0.2,32,,19-Sep,7:30 PM,South Alabama at Appalachian State,Appalachian State,3.7,59%,33-29,Appalachian State -7.5,South Alabama,3.8,64.5,Under,-2.9
Alabama,SEC,3-0,30.1,2,43.8,3,13.6,6,-0.1,91,,20-Sep,7:30 PM,Stanford at Syracuse,Syracuse,7.0,67%,32-25,Syracuse -8.5,Stanford,1.5,58.5,Under,-1.3
Texas,SEC,3-0,29.1,3,44.2,2,14.8,9,-0.2,103,,20-Sep,8:00 PM,Illinois at Nebraska,Nebraska,9.0,71%,24-16,Nebraska -8.5,Nebraska,0.5,43.5,Under,-3.5
Ole Miss,SEC,3-0,29.0,4,44.3,1,15.4,13,0.1,48,,20-Sep,10:00 PM,San Jose State at Washington State,Washington State,11.7,77%,34-22,Washington State -14,San Jose State,2.3,55.5,Under,-0.1
Georgia,SEC,3-0,28.9,5,40.3,9,11.7,5,0.4,5,,21-Sep,12:00 PM,Charlotte at Indiana,Indiana,29.3,97%,40-11,Indiana -28,Indiana,1.3,50.5,Over,0.5
Tennessee,SEC,3-0,26.4,6,41.4,7,15.2,10,0.2,27,,21-Sep,12:00 PM,Florida at Mississippi State,Florida,5.5,64%,32-26,Florida -4.5,Florida,1.0,56.5,Over,1.3
Missouri,SEC,3-0,23.0,7,39.3,10,16.6,15,0.3,13,,21-Sep,12:00 PM,Houston at Cincinnati,Cincinnati,6.3,65%,31-25,Cincinnati -5.5,Cincinnati,0.8,48.5,Over,7.4
Oregon,Big Ten,3-0,22.7,8,42.9,5,20.4,32,0.1,43,,21-Sep,12:00 PM,James Madison at North Carolina,North Carolina,11.4,76%,33-21,North Carolina -10.5,North Carolina,0.9,47.5,Over,6.8
Miami-FL,ACC,3-0,21.3,9,40.3,8,19.1,22,0.0,71,,21-Sep,12:00 PM,Kansas at West Virginia,Kansas,2.9,57%,32-29,West Virginia -2.5,Kansas,5.4,57.5,Over,3.2
Notre Dame,Indies,2-1,21.3,10,35.3,16,14.3,8,0.2,31,,21-Sep,12:00 PM,Marshall at Ohio State,Ohio State,40.1,99%,45-4,Ohio State -39.5,Ohio State,0.6,51.5,Under,-2.4
Penn State,Big Ten,2-0,20.5,11,34.3,24,13.8,7,0.1,55,,21-Sep,12:00 PM,NC State at Clemson,Clemson,11.4,76%,32-21,Clemson -16,NC State,4.6,48.5,Over,4.0
Michigan,Big Ten,2-1,17.4,12,28.4,58,11.3,4,0.3,11,,21-Sep,12:00 PM,Rice at Army,Army,8.5,70%,30-21,Army -6,Army,2.5,42.5,Over,8.8
Utah,Big 12,3-0,17.2,13,32.8,35,15.3,11,-0.3,112,,21-Sep,12:00 PM,Tulane at UL-Lafayette,UL-Lafayette,5.2,63%,32-27,Tulane -3.5,UL-Lafayette,8.7,55.5,Over,3.6
Kansas State,Big 12,3-0,17.1,14,36.3,13,19.3,23,0.2,39,,21-Sep,12:00 PM,Villanova at Maryland,Maryland,18.3,87%,32-14,,,,,,
Oklahoma,SEC,3-0,16.8,15,32.7,36,16.1,14,0.3,12,,21-Sep,12:45 PM,Ohio at Kentucky,Kentucky,20.9,91%,32-12,Kentucky -18,Kentucky,2.9,41.5,Over,2.5
Louisville,ACC,2-0,16.1,16,34.1,25,17.8,18,-0.1,92,,21-Sep,1:00 PM,Ball State at Central Michigan,Central Michigan,8.6,70%,30-22,Central Michigan -6.5,Central Michigan,2.1,53.5,Under,-1.8
USC,Big Ten,2-0,16.0,17,43.3,4,27.4,70,0.1,50,,21-Sep,2:00 PM,Arkansas State at Iowa State,Iowa State,22.9,92%,38-15,Iowa State -21,Iowa State,1.9,51.5,Over,1.9
LSU,SEC,2-1,15.4,18,42.8,6,27.3,68,-0.1,89,,21-Sep,2:00 PM,Saint Francis-PA at Eastern Michigan,Eastern Michigan,20.3,90%,33-13,,,,,,
