Date,Time (ET),Game,Proj_winner,Proj_margin,Win_prob,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
12-Nov,7:00 PM,Ball State at Buffalo,Buffalo,9.3,72%,33-24,Buffalo -6.5,Buffalo,2.8,53.5,Over,3.1
12-Nov,7:00 PM,Central Michigan at Toledo,Toledo,17.1,86%,35-18,Toledo -14.5,Toledo,2.6,49.5,Over,3.7
12-Nov,7:00 PM,Western Michigan at Bowling Green,Bowling Green,9.9,73%,35-25,Bowling Green -8.5,Bowling Green,1.4,56.5,Over,2.9
13-Nov,7:00 PM,Akron at Northern Illinois,Northern Illinois,22.0,92%,35-13,Northern Illinois -15.5,Northern Illinois,6.5,46.5,Over,1.1
13-Nov,7:00 PM,Eastern Michigan at Ohio,Ohio,9.2,72%,30-21,Ohio -9,Ohio,0.2,48.5,Over,3.2
13-Nov,7:00 PM,Kent State at Miami-OH,Miami-OH,29.7,97%,40-11,Miami-OH -30.5,Kent State,0.8,45.5,Over,5.7
14-Nov,7:30 PM,East Carolina at Tulsa,East Carolina,12.1,78%,34-22,East Carolina -13,Tulsa,0.9,61.5,Under,-5.4
15-Nov,8:00 PM,North Texas at UTSA,North Texas,0.0,50%,33-33,North Texas -1.5,UTSA,1.5,71.5,Under,-5.2
15-Nov,8:00 PM,Wyoming at Colorado State,Colorado State,13.0,79%,33-20,Colorado State -10,Colorado State,3.0,47.5,Over,4.6
15-Nov,9:00 PM,UCLA at Washington,Washington,10.3,74%,29-19,Washington -3.5,Washington,6.8,46.5,Over,1.2
15-Nov,10:15 PM,Houston at Arizona,Arizona,4.4,61%,27-22,Arizona -1.5,Arizona,2.9,44.5,Over,4.9
16-Nov,12:00 PM,Clemson at Pittsburgh,Clemson,6.4,66%,31-24,Clemson -9.5,Pittsburgh,3.1,55.5,Under,-0.2
16-Nov,12:00 PM,Liberty at Massachusetts,Liberty,22.6,92%,40-17,Liberty -14,Liberty,8.6,51.5,Over,5.6
16-Nov,12:00 PM,Louisiana Tech at Western Kentucky,Western Kentucky,17.6,87%,34-16,Western Kentucky -13.5,Western Kentucky,4.1,52.5,Under,-2.2
16-Nov,12:00 PM,Ohio State at Northwestern,Ohio State,31.2,97%,37-6,Ohio State -30,Ohio State,1.2,44.5,Under,-1.5
16-Nov,12:00 PM,Texas at Arkansas,Texas,18.5,88%,36-18,Texas -16.5,Texas,2.0,56.5,Under,-2.1
16-Nov,12:00 PM,Tulane at Navy,Tulane,4.1,60%,30-26,Tulane -6.5,Navy,2.4,54.5,Over,1.8
16-Nov,12:00 PM,Utah at Colorado,Colorado,3.4,58%,26-22,Colorado -10,Utah,6.6,47.5,Over,0.9
16-Nov,12:45 PM,UL-Monroe at Auburn,Auburn,27.0,95%,36-9,Auburn -24.5,Auburn,2.5,45.5,Under,-0.2
16-Nov,1:00 PM,Coastal Carolina at Marshall,Marshall,6.3,65%,32-26,Marshall -9,Coastal Carolina,2.7,55.5,Over,1.9
16-Nov,1:30 PM,Murray State at Kentucky,Kentucky,46.7,100%,47-0,,,,,,
16-Nov,2:00 PM,Florida Atlantic at Temple,Florida Atlantic,4.9,62%,30-25,Temple -2.5,Florida Atlantic,7.4,49.5,Over,5.1
16-Nov,2:00 PM,Florida International at Jacksonville State,Jacksonville State,13.2,80%,34-21,Jacksonville State -14,Florida International,0.8,57.5,Under,-2.1
16-Nov,2:00 PM,Mercer at Alabama,Alabama,39.4,99%,49-9,,,,,,
16-Nov,2:30 PM,Michigan State at Illinois,Illinois,9.4,72%,27-17,Illinois -3,Illinois,6.4,47.5,Under,-3.5
16-Nov,3:00 PM,Hawaii at Utah State,Hawaii,6.6,66%,33-27,Hawaii -2.5,Hawaii,4.1,58.5,Over,1.6
16-Nov,3:00 PM,Sam Houston at Kennesaw State,Sam Houston,17.7,87%,32-14,Sam Houston -13,Sam Houston,4.7,42.5,Over,4.0
16-Nov,3:00 PM,Syracuse at California,California,8.7,71%,33-24,California -7,California,1.7,55.5,Over,1.6
16-Nov,3:30 PM,Boston College at SMU,SMU,19.3,89%,38-18,SMU -16.5,SMU,2.8,53.5,Over,2.7
16-Nov,3:30 PM,Louisville at Stanford,Louisville,21.6,91%,40-18,Louisville -20.5,Louisville,1.1,58.5,Under,-0.7
16-Nov,3:30 PM,LSU at Florida,LSU,6.1,65%,33-27,LSU -4.5,LSU,1.6,55.5,Over,3.9
16-Nov,3:30 PM,Oregon State at Air Force,Oregon State,8.3,70%,30-22,Oregon State -4.5,Oregon State,3.8,44.5,Over,8.1
16-Nov,3:30 PM,Penn State at Purdue,Penn State,34.1,98%,42-8,Penn State -28,Penn State,6.1,49.5,Over,1.0
16-Nov,3:30 PM,USF at Charlotte,USF,7.6,68%,33-25,USF -3,USF,4.6,52.5,Over,5.3
16-Nov,3:30 PM,Virginia at Notre Dame,Notre Dame,27.0,95%,40-13,Notre Dame -23.5,Notre Dame,3.5,50.5,Over,1.8
16-Nov,4:00 PM,Baylor at West Virginia,West Virginia,1.2,53%,30-28,Baylor -1.5,West Virginia,2.7,58.5,Under,-0.5
16-Nov,4:00 PM,James Madison at Old Dominion,James Madison,14.0,81%,32-18,James Madison -3.5,James Madison,10.5,51.5,Under,-0.7
16-Nov,4:00 PM,Nebraska at USC,USC,8.1,69%,29-21,USC -9.5,Nebraska,1.4,50.5,Under,-1.1
16-Nov,4:00 PM,Troy at Georgia Southern,Georgia Southern,5.2,63%,31-25,Georgia Southern -8,Troy,2.8,54.5,Over,1.4
16-Nov,4:15 PM,Missouri at South Carolina,South Carolina,2.6,56%,26-24,South Carolina -14,Missouri,11.4,44.5,Over,5.3
16-Nov,5:00 PM,Arkansas State at Georgia State,Arkansas State,0.2,51%,29-29,Georgia State -1,Arkansas State,1.2,58.5,Under,-0.7
16-Nov,6:00 PM,Rutgers at Maryland,Maryland,0.8,52%,24-24,Maryland -3.5,Rutgers,2.7,50.5,Under,-2.4
16-Nov,7:00 PM,Arizona State at Kansas State,Kansas State,11.8,77%,33-21,Kansas State -8.5,Kansas State,3.3,50.5,Over,2.8
16-Nov,7:00 PM,Boise State at San Jose State,Boise State,12.8,79%,36-23,Boise State -14,San Jose State,1.2,60.5,Under,-1.2
