Team,Conference,Division,Record,SP+,Rk,Off. SP+,Rk,Def. SP+,Rk,ST SP+,Rk,,Date,Time (ET),Game,Proj_winner,Proj_margin,Win_prob,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
Arkansas,SEC,SEC West,3-1,12.2,28,37.2,17,24.7,56,-0.3,109,,1-Oct,3:30 PM,Iowa State at Kansas,Iowa State,4.3,60%,31-27,Iowa State -3,Iowa State,1.3,58.0,Over,0.2
Wisconsin,Big Ten,Big Ten West,2-2,12,29,30.1,56,17.9,16,-0.2,93,,1-Oct,3:30 PM,Miami-OH at Buffalo,Miami-OH,1.7,54%,29-27,Miami-OH -1,Miami-OH,0.7,53.0,Over,2.7
Maryland,Big Ten,Big Ten East,3-1,11.9,30,37.4,14,25.9,66,0.4,2,,1-Oct,3:30 PM,Michigan State at Maryland,Maryland,4,59%,33-29,Maryland -7.5,Michigan State,3.5,60.5,Over,0.7
Iowa State,Big 12,Big 12,3-1,11.4,31,31.3,49,19.7,26,-0.1,87,,1-Oct,3:30 PM,Northwestern at Penn State,Penn State,30,96%,39-9,Penn State -25.5,Penn State,4.5,52.0,Under,-3.9
TCU,Big 12,Big 12,3-0,11.3,32,36.1,20,24.9,58,0,65,,1-Oct,3:30 PM,Ohio at Kent State,Kent State,8.9,70%,38-29,Kent State -10,Ohio,1.1,68.0,Under,-1.4
Florida State,ACC,ACC Atlantic,4-0,11.2,33,33.7,35,22.2,36,-0.3,104,,1-Oct,3:30 PM,Oklahoma State at Baylor,Baylor,1.5,53%,27-25,Baylor -2.5,Oklahoma State,1.0,54.5,Under,-2.0
BYU,Indies,Independents,3-1,10.8,34,34.1,32,23.1,42,-0.2,101,,1-Oct,3:30 PM,Rutgers at Ohio State,Ohio State,31.7,97%,42-11,Ohio State -41,Rutgers,9.3,59.5,Under,-6.3
Michigan State,Big Ten,Big Ten East,2-2,10.4,35,34.9,27,24.2,50,-0.3,116,,1-Oct,3:30 PM,SMU at UCF,UCF,2.9,57%,30-27,UCF -3.5,SMU,0.6,65.0,Under,-7.4
Purdue,Big Ten,Big Ten West,2-2,10.3,36,33.7,34,23.1,43,-0.3,113,,1-Oct,3:30 PM,The Citadel at Appalachian State,Appalachian State,35.3,98%,49-13,,,,,,
Pittsburgh,ACC,ACC Coastal,3-1,9.7,37,37.9,12,27.8,74,-0.3,119,,1-Oct,3:30 PM,Virginia Tech at North Carolina,North Carolina,5.9,63%,31-25,North Carolina -9,Virginia Tech,3.1,50.5,Over,5.2
Auburn,SEC,SEC West,3-1,9.1,38,29.5,60,20.7,29,0.3,25,,1-Oct,3:30 PM,Wake Forest at Florida State,Florida State,5.4,62%,35-29,Florida State -7,Wake Forest,1.6,66.0,Under,-2.2
UCF,AAC,AAC,3-1,8.7,39,29,61,20.1,27,-0.2,89,,1-Oct,4:00 PM,Florida Atlantic at North Texas,Florida Atlantic,0.3,51%,30-30,Florida Atlantic -3,North Texas,2.7,68.0,Under,-7.9
West Virginia,Big 12,Big 12,2-2,8.7,40,33.5,36,24.9,59,0.1,52,,1-Oct,4:00 PM,Georgia Southern at Coastal Carolina,Coastal Carolina,11.7,75%,36-25,Coastal Carolina -10,Coastal Carolina,1.7,65.5,Under,-4.6
Wake Forest,ACC,ACC Atlantic,3-1,8.3,41,39.9,8,31.9,100,0.3,20,,1-Oct,4:00 PM,Texas A&M at Mississippi State,Mississippi State,3.9,59%,25-21,Mississippi State -3,Mississippi State,0.9,46.0,Over,0.2
SMU,AAC,AAC,2-2,8.2,42,37.3,16,29.1,82,0.1,53,,1-Oct,5:00 PM,South Alabama at UL-Lafayette,UL-Lafayette,0.2,50%,23-23,South Alabama -9.5,UL-Lafayette,9.7,49.5,Under,-2.9
Oregon State,Pac-12,Pac-12,3-1,8.1,43,32.1,45,23.6,45,-0.4,127,,1-Oct,5:00 PM,Wagner at Syracuse,Syracuse,50,100%,51-1,,,,,,
Florida,SEC,SEC East,2-2,7.7,44,35.8,23,28.2,76,0,63,,1-Oct,5:30 PM,California at Washington State,Washington State,4.1,59%,23-19,Washington State -4,Washington State,0.1,53.0,Under,-10.8
Miami-FL,ACC,ACC Coastal,2-2,7.5,45,32.3,42,25.1,60,0.3,13,,1-Oct,6:00 PM,Liberty at Old Dominion,Liberty,4.8,61%,28-24,Liberty -1.5,Liberty,3.3,44.0,Over,8.1
Texas Tech,Big 12,Big 12,3-1,7.1,46,32.5,41,25.4,63,-0.1,76,,1-Oct,6:00 PM,New Hampshire at Western Michigan,Western Michigan,8.3,68%,31-23,,,,,,
Illinois,Big Ten,Big Ten West,3-1,6.6,47,23.1,98,16.3,10,-0.2,94,,1-Oct,6:00 PM,UTEP at Charlotte,UTEP,3.9,59%,29-26,UTEP -2.5,UTEP,1.4,52.5,Over,2.6
Louisville,ACC,ACC Atlantic,2-2,5.7,48,32.2,44,26.7,70,0.2,37,,1-Oct,7:00 PM,Cincinnati at Tulsa,Cincinnati,13.9,79%,36-23,Cincinnati -9,Cincinnati,4.9,61.0,Under,-2.0
Western Kentucky,C-USA,C-USA,3-1,5.6,49,34.4,30,28.7,79,-0.1,81,,1-Oct,7:00 PM,East Carolina at USF,East Carolina,12.5,76%,35-22,East Carolina -8,East Carolina,4.5,59.0,Under,-1.9
Tulane,AAC,AAC,3-1,5.2,50,29.7,59,24.3,51,-0.2,97,,1-Oct,7:00 PM,LSU at Auburn,LSU,5.7,63%,28-23,LSU -8,Auburn,2.3,46.0,Over,5.2
Coastal Carolina,Sun Belt,Sun Belt East,4-0,4.9,51,34.5,29,29.7,86,0.1,57,,1-Oct,7:00 PM,Troy at Western Kentucky,Western Kentucky,10.1,72%,32-21,Western Kentucky -6,Western Kentucky,4.1,57.5,Under,-4.5
Kansas,Big 12,Big 12,4-0,4.6,52,35,26,30.3,88,-0.1,79,,1-Oct,7:00 PM,UL-Monroe at Arkansas State,Arkansas State,7.1,66%,33-25,Arkansas State -7.5,UL-Monroe,0.4,59.5,Under,-1.5
Appalachian State,Sun Belt,Sun Belt East,2-2,4.5,53,33.5,37,28.7,78,-0.3,106,,1-Oct,7:30 PM,Georgia at Missouri,Georgia,22.5,90%,38-15,Georgia -28,Missouri,5.5,54.5,Under,-1.4
Air Force,MWC,MWC Mountain,3-1,4.4,54,27.3,71,23.1,41,0.1,44,,1-Oct,7:30 PM,Indiana at Nebraska,Nebraska,5.6,63%,32-26,Nebraska -3.5,Nebraska,2.1,61.5,Under,-3.8
Washington State,Pac-12,Pac-12,3-1,4.1,55,24.8,83,20.8,30,0.1,49,,1-Oct,7:30 PM,NC State at Clemson,Clemson,4.4,60%,27-23,Clemson -6.5,NC State,2.1,42.5,Over,7.6
South Carolina,SEC,SEC East,2-2,4,56,29.9,58,26.2,68,0.4,9,,1-Oct,7:30 PM,San Jose State at Wyoming,San Jose State,0.2,50%,23-22,San Jose State -1.5,Wyoming,1.3,43.5,Over,1.6
Syracuse,ACC,ACC Atlantic,4-0,3.7,57,27.7,69,24.2,49,0.1,54,,1-Oct,7:30 PM,UAB at Rice,UAB,14.1,79%,33-19,UAB -10,UAB,4.1,51.5,Over,0.4
UAB,C-USA,C-USA,2-1,3.6,58,26.1,77,22.2,37,-0.3,111,,1-Oct,7:30 PM,Virginia at Duke,Duke,0.1,50%,29-28,Duke -2,Virginia,1.9,50.5,Over,6.5
Missouri,SEC,SEC East,2-2,3.6,59,27.8,68,24,48,-0.2,96,,1-Oct,7:30 PM,West Virginia at Texas,Texas,12.2,76%,36-24,Texas -9,Texas,3.2,62.0,Under,-1.6
Houston,AAC,AAC,2-2,3.2,60,34.7,28,31.9,99,0.3,14,,1-Oct,8:00 PM,Florida International at New Mexico State,New Mexico State,9.9,72%,33-23,New Mexico State -15,Florida International,5.1,55.0,Over,0.5
East Carolina,AAC,AAC,2-2,2.8,61,28.3,65,25.2,61,-0.3,124,,1-Oct,8:00 PM,Georgia Tech at Pittsburgh,Pittsburgh,23.3,91%,43-19,Pittsburgh -24,Georgia Tech,0.7,50.5,Over,11.6
Memphis,AAC,AAC,3-1,2.6,62,33.3,38,31,93,0.3,18,,1-Oct,9:30 PM,Colorado at Arizona,Arizona,9.6,71%,33-24,Arizona -18,Colorado,8.4,55.5,Over,1.8
South Alabama,Sun Belt,Sun Belt West,3-1,2.6,63,25.5,80,22.9,40,0.1,59,,1-Oct,10:30 PM,Arizona State at USC,USC,14,79%,35-21,USC -26,Arizona State,12.0,61.5,Under,-5.7
Marshall,Sun Belt,Sun Belt East,2-2,2.5,64,26.1,78,23.6,44,0,62,,1-Oct,11:00 PM,Stanford at Oregon,Oregon,18.8,86%,41-22,Oregon -16.5,Oregon,2.3,62.5,Over,0.9
North Carolina,ACC,ACC Coastal,3-1,2.5,65,38.1,10,36,113,0.3,10,,,,,,,,,,,,,,
California,Pac-12,Pac-12,3-1,2.4,66,20.6,106,18.2,18,0,69,,,,,,,,,,,,,,
Arizona State,Pac-12,Pac-12,1-3,2.3,67,27.4,70,25.4,62,0.3,19,,,,,,,,,,,,,,
James Madison,Sun Belt,Sun Belt East,3-0,1.7,68,26.5,76,24.6,54,-0.2,88,,,,,,,,,,,,,,
Fresno State,MWC,MWC West,1-2,1.4,69,30.4,54,28.8,80,-0.2,100,,,,,,,,,,,,,,
Nebraska,Big Ten,Big Ten West,1-3,1.4,70,31.9,46,30.2,87,-0.3,121,,,,,,,,,,,,,,
