Date,Time (ET),Game,Proj_winner,Proj_margin,Win_prob,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
27-Oct,7:30 PM,UL-Lafayette at Southern Miss,UL-Lafayette,2.2,55%,22-20,UL-Lafayette -2.5,Southern Miss,0.3,43.5,Under,-1.6
27-Oct,7:30 PM,Virginia Tech at NC State,NC State,16.2,82%,29-13,NC State -13.5,NC State,2.7,40.0,Over,2.3
27-Oct,10:00 PM,Utah at Washington State,Utah,8.5,69%,32-23,Utah -8,Utah,0.5,56.0,Under,-0.8
28-Oct,8:00 PM,East Carolina at BYU,East Carolina,2.3,55%,31-28,BYU -3,East Carolina,5.3,60.5,Under,-1.4
28-Oct,8:00 PM,Louisiana Tech at Florida International,Louisiana Tech,3.9,59%,32-28,Louisiana Tech -7.5,Florida International,3.6,58.5,Over,1.9
29-Oct,12:00 PM,Arkansas at Auburn,Auburn,0.2,50%,30-29,Arkansas -4,Auburn,4.2,61.0,Under,-2.2
29-Oct,12:00 PM,Boston College at Connecticut,Boston College,11.8,75%,30-19,Boston College -9,Boston College,2.8,46.0,Over,3.1
29-Oct,12:00 PM,Georgia Tech at Florida State,Florida State,17.3,84%,35-18,Florida State -21.5,Georgia Tech,4.2,47.5,Over,5.2
29-Oct,12:00 PM,Miami-OH at Akron,Miami-OH,10.8,73%,30-19,Miami-OH -8.5,Miami-OH,2.3,46.5,Over,3.0
29-Oct,12:00 PM,Notre Dame at Syracuse,Syracuse,4.1,59%,27-23,Syracuse -2,Syracuse,2.1,46.0,Over,4.5
29-Oct,12:00 PM,Ohio State at Penn State,Ohio State,11.3,74%,33-21,Ohio State -15,Penn State,3.7,61.5,Under,-7.6
29-Oct,12:00 PM,Oklahoma at Iowa State,Oklahoma,4.2,59%,30-26,Oklahoma -2,Oklahoma,2.2,55.0,Over,0.5
29-Oct,12:00 PM,TCU at West Virginia,TCU,10.0,72%,38-28,TCU -7.5,TCU,2.5,70.0,Under,-4.8
29-Oct,12:00 PM,Toledo at Eastern Michigan,Toledo,9.8,71%,33-24,Toledo -8.5,Toledo,1.3,58.0,Under,-1.1
29-Oct,12:00 PM,USF at Houston,Houston,16.5,83%,41-24,Houston -17.5,USF,1.0,61.5,Over,4.0
29-Oct,12:30 PM,Miami-FL at Virginia,Miami-FL,3.6,58%,28-25,Miami-FL -2.5,Miami-FL,1.1,47.5,Over,5.5
29-Oct,2:00 PM,Charlotte at Rice,Rice,13.1,78%,38-25,Rice -16.5,Charlotte,3.4,61.5,Over,1.2
29-Oct,2:30 PM,Rutgers at Minnesota,Minnesota,15.8,82%,29-13,Minnesota -14.5,Minnesota,1.3,41.0,Over,1.4
29-Oct,3:00 PM,Old Dominion at Georgia State,Georgia State,1.5,54%,30-28,Georgia State -3.5,Old Dominion,2.0,56.5,Over,1.3
29-Oct,3:30 PM,Cincinnati at UCF,Cincinnati,1.7,54%,27-25,Cincinnati -1,Cincinnati,0.7,56.0,Under,-3.8
29-Oct,3:30 PM,Florida vs. Georgia,Georgia,18.8,86%,38-20,Georgia -22,Florida,3.2,56.0,Over,2.0
29-Oct,3:30 PM,Illinois at Nebraska,Illinois,6.0,64%,27-21,Illinois -7,Nebraska,1.0,51.5,Under,-4.0
29-Oct,3:30 PM,New Mexico State at Massachusetts,New Mexico State,4.0,59%,25-21,New Mexico State -3,New Mexico State,1.0,37.5,Over,8.8
29-Oct,3:30 PM,North Texas at Western Kentucky,Western Kentucky,13.7,79%,39-25,Western Kentucky -9.5,Western Kentucky,4.2,70.5,Under,-5.9
29-Oct,3:30 PM,Northwestern at Iowa,Iowa,18.0,85%,29-11,Iowa -11,Iowa,7.0,35.5,Over,5.2
29-Oct,3:30 PM,Oklahoma State at Kansas State,Kansas State,0.0,50%,28-28,Oklahoma State -1,Kansas State,1.0,58.0,Under,-1.4
29-Oct,3:30 PM,Oregon at California,Oregon,16.9,84%,36-19,Oregon -15.5,Oregon,1.4,57.0,Under,-2.4
29-Oct,3:30 PM,Robert Morris at Appalachian State,Appalachian State,43.3,99%,51-8,,,,,,
29-Oct,3:30 PM,SMU at Tulsa,SMU,3.0,57%,33-30,SMU -3,SMU,0.0,68.0,Under,-5.1
29-Oct,3:30 PM,Temple at Navy,Navy,5.9,63%,25-19,Navy -14,Temple,8.1,40.0,Over,4.3
29-Oct,3:30 PM,Wake Forest at Louisville,Wake Forest,4.1,59%,32-28,Wake Forest -5.5,Louisville,1.4,62.5,Under,-2.0
29-Oct,4:00 PM,Missouri at South Carolina,South Carolina,6.9,66%,28-21,South Carolina -5.5,South Carolina,1.4,47.0,Over,2.6
29-Oct,4:00 PM,South Alabama at Arkansas State,South Alabama,10.8,73%,32-22,South Alabama -11.5,Arkansas State,0.7,55.5,Under,-1.4
29-Oct,6:00 PM,USC at Arizona,USC,17.2,84%,41-24,USC -15.5,USC,1.7,76.5,Under,-11.5
29-Oct,7:00 PM,Coastal Carolina at Marshall,Marshall,4.7,61%,31-26,Marshall -2.5,Marshall,2.2,55.0,Over,1.4
29-Oct,7:00 PM,Colorado State at Boise State,Boise State,24.3,92%,33-9,Boise State -27.5,Colorado State,3.2,44.0,Under,-1.9
29-Oct,7:00 PM,Kentucky at Tennessee,Tennessee,8.5,69%,33-24,Tennessee -12.5,Kentucky,4.0,63.5,Under,-6.4
29-Oct,7:00 PM,UAB at Florida Atlantic,UAB,10.9,73%,32-21,UAB -6,UAB,4.9,48.0,Over,4.9
29-Oct,7:30 PM,Arizona State at Colorado,Arizona State,15.0,81%,35-20,Arizona State -13,Arizona State,2.0,46.5,Over,9.0
29-Oct,7:30 PM,Baylor at Texas Tech,Baylor,3.0,57%,30-27,Texas Tech -2,Baylor,5.0,61.5,Under,-4.8
29-Oct,7:30 PM,Michigan State at Michigan,Michigan,22.4,90%,40-17,Michigan -22.5,Michigan State,0.1,54.5,Over,2.4
29-Oct,7:30 PM,Ole Miss at Texas A&M,Ole Miss,5.7,63%,29-23,Ole Miss -2.5,Ole Miss,3.2,55.5,Under,-3.9
29-Oct,8:00 PM,Pittsburgh at North Carolina,North Carolina,3.1,57%,35-32,North Carolina -4,Pittsburgh,0.9,64.0,Over,3.0
29-Oct,9:00 PM,Middle Tennessee at UTEP,Middle Tennessee,0.4,51%,26-26,UTEP -1.5,Middle Tennessee,1.9,53.0,Under,-0.4
29-Oct,10:30 PM,Nevada at San Jose State,San Jose State,17.3,84%,32-14,San Jose State -24.5,Nevada,7.2,44.0,Over,2.2
29-Oct,10:30 PM,San Diego State at Fresno State,Fresno State,11.1,74%,30-19,Fresno State -8,Fresno State,3.1,40.0,Over,8.6
29-Oct,10:30 PM,Stanford at UCLA,UCLA,19.5,87%,41-22,UCLA -16,UCLA,3.5,63.5,Under,-0.3
