Date,Time (ET),Game,Proj_winner,Proj_margin,Win_prob,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
10-Dec,3:00 PM,Army vs. Navy,Army,5.7,63%,26-20,PICK,Army,5.7,33.0,Over,12.6
16-Dec,11:30 AM,Miami-OH vs. UAB,UAB,12.1,76%,26-14,UAB -9.5,UAB,2.6,44.0,Under,-3.8
16-Dec,3:00 PM,UTSA vs. Troy,Troy,1.3,53%,27-25,UTSA -1.5,Troy,2.8,54.5,Under,-2.2
17-Dec,11:00 AM,Cincinnati vs. Louisville,Cincinnati,3.8,59%,24-20,Louisville -2,Cincinnati,5.8,45.0,Under,-0.9
17-Dec,2:30 PM,Florida vs. Oregon State,Oregon State,3.9,59%,32-28,Oregon State -10,Florida,6.1,52.0,Over,7.6
17-Dec,3:30 PM,Washington State vs. Fresno State,Washington State,6.6,65%,26-20,PICK,Washington State,6.6,55.0,Under,-9.2
17-Dec,5:45 PM,Rice vs. Southern Miss,Southern Miss,11.7,75%,31-19,Southern Miss -6,Southern Miss,5.7,46.5,Over,3.8
17-Dec,7:30 PM,SMU vs. BYU,SMU,6.2,64%,42-35,PICK,SMU,6.2,71.5,Over,5.4
17-Dec,9:15 PM,North Texas vs. Boise State,Boise State,6.9,65%,31-24,Boise State -9.5,North Texas,2.6,56.0,Under,-0.7
19-Dec,2:30 PM,Marshall vs. Connecticut,Marshall,17.1,84%,25-8,Marshall -10,Marshall,7.1,40.0,Under,-6.3
20-Dec,3:30 PM,Eastern Michigan vs. San Jose State,San Jose State,2.8,57%,26-23,San Jose State -3.5,Eastern Michigan,0.7,54.5,Under,-6.1
20-Dec,7:30 PM,Liberty vs. Toledo,Liberty,2.0,55%,26-24,Toledo -4,Liberty,6.0,53.5,Under,-3.9
21-Dec,9:00 PM,Western Kentucky vs. South Alabama,South Alabama,9.3,70%,31-22,South Alabama -7,South Alabama,2.3,54.5,Under,-2.1
22-Dec,7:30 PM,Baylor vs. Air Force,Baylor,7.6,67%,27-19,Baylor -6.5,Baylor,1.1,49.5,Under,-4.0
23-Dec,3:00 PM,UL-Lafayette vs. Houston,Houston,2.4,55%,32-29,Houston -6.5,UL-Lafayette,4.1,60.5,Over,0.8
23-Dec,6:30 PM,Wake Forest vs. Missouri,Wake Forest,0.0,50%,31-31,Wake Forest -3,Missouri,3.0,63.0,Under,-1.8
24-Dec,8:00 PM,Middle Tennessee vs. San Diego State,San Diego State,2.4,56%,25-23,San Diego State -6,Middle Tennessee,3.6,49.0,Under,-1.5
26-Dec,2:30 PM,New Mexico State vs. Bowling Green,New Mexico State,4.5,60%,28-23,Bowling Green -2,New Mexico State,6.5,48.0,Over,3.0
27-Dec,12:00 PM,Georgia Southern vs. Buffalo,Georgia Southern,3.9,59%,35-31,Georgia Southern -3.5,Georgia Southern,0.4,67.5,Under,-1.6
27-Dec,3:15 PM,Memphis vs. Utah State,Memphis,19.9,87%,44-24,Memphis -8,Memphis,11.9,62.5,Over,6.0
27-Dec,6:45 PM,Coastal Carolina vs. East Carolina,East Carolina,2.6,56%,33-31,East Carolina -9.5,Coastal Carolina,6.9,59.5,Over,4.4
27-Dec,10:15 PM,Wisconsin vs. Oklahoma State,Oklahoma State,3.1,57%,29-26,Wisconsin -3,Oklahoma State,6.1,43.5,Over,10.7
28-Dec,2:00 PM,UCF vs. Duke,UCF,3.9,59%,29-25,UCF -2.5,UCF,1.4,61.5,Under,-6.8
28-Dec,5:30 PM,Kansas vs. Arkansas,Arkansas,9.2,70%,40-31,Arkansas -5,Arkansas,4.2,67.5,Over,3.6
28-Dec,8:00 PM,Oregon vs. North Carolina,Oregon,14.0,79%,44-30,Oregon -10.5,Oregon,3.5,74.0,Over,0.1
28-Dec,9:00 PM,Texas Tech vs. Ole Miss,Ole Miss,7.9,68%,37-29,Ole Miss -4,Ole Miss,3.9,66.0,Under,0.0
29-Dec,2:00 PM,Syracuse vs. Minnesota,Minnesota,13.6,78%,28-14,Minnesota -7,Minnesota,6.6,42.0,Under,-0.4
29-Dec,5:30 PM,Oklahoma vs. Florida State,Oklahoma,2.3,55%,32-29,Florida State -8,Oklahoma,10.3,62.0,Under,-0.8
29-Dec,9:00 PM,Texas vs. Washington,Texas,7.2,66%,34-26,Texas -4,Texas,3.2,66.5,Under,-6.3
30-Dec,12:00 PM,Maryland vs. NC State,Maryland,4.6,60%,26-21,Maryland -1.5,Maryland,3.1,45.0,Over,1.5
30-Dec,2:00 PM,Pittsburgh vs. UCLA,UCLA,6.5,65%,37-30,UCLA -5.5,UCLA,1.0,60.5,Over,6.2
30-Dec,3:30 PM,Notre Dame vs. South Carolina,South Carolina,3.1,57%,30-27,Notre Dame -4,South Carolina,7.1,53.5,Over,3.1
30-Dec,4:30 PM,Ohio vs. Wyoming,Ohio,4.3,60%,28-24,Ohio -3,Ohio,1.3,44.5,Over,6.9
30-Dec,8:00 PM,Tennessee vs. Clemson,Tennessee,6.2,64%,34-27,Clemson -6,Tennessee,12.2,63.0,Under,-2.0
31-Dec,12:00 PM,Alabama vs. Kansas State,Alabama,7.6,67%,31-24,Alabama -6,Alabama,1.6,56.0,Under,-1.1
31-Dec,12:00 PM,Iowa vs. Kentucky,Kentucky,0.4,51%,13-13,Kentucky -2.5,Iowa,2.1,31.5,Under,-5.6
31-Dec,4:00 PM,TCU vs. Michigan,Michigan,9.0,70%,32-23,Michigan -7.5,Michigan,1.5,59.5,Under,-3.9
31-Dec,8:00 PM,Ohio State vs. Georgia,Georgia,5.3,62%,29-24,Georgia -6.5,Ohio State,1.2,61.5,Under,-9.0
2-Jan,12:00 PM,Mississippi State vs. Illinois,Illinois,0.5,51%,20-19,PICK,Illinois,0.5,46.5,Under,-7.0
2-Jan,1:00 PM,LSU vs. Purdue,LSU,8.2,68%,33-25,LSU -8,LSU,0.2,57.5,Over,0.6
2-Jan,1:00 PM,Tulane vs. USC,USC,4.0,59%,34-30,USC -2.5,USC,1.5,62.0,Over,2.4
2-Jan,5:00 PM,Penn State vs. Utah,Penn State,1.1,53%,27-26,Utah -2.5,Penn State,3.6,51.5,Over,1.3
