Date,Time (ET),Game,Proj_winner,Proj_margin,Win_prob,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
1-Nov,7:00 PM,Ball State at Kent State,Kent State,2.5,56%,30-28,Kent State -4,Ball State,1.5,61.5,Under,-3.1
1-Nov,7:30 PM,Buffalo at Ohio,Buffalo,4.0,59%,32-28,Buffalo -3,Buffalo,1.0,58.5,Over,2.4
2-Nov,7:00 PM,Central Michigan at Northern Illinois,Northern Illinois,4.4,60%,33-29,Northern Illinois -4,Northern Illinois,0.4,55.5,Over,6.8
2-Nov,7:00 PM,Western Michigan at Bowling Green,Bowling Green,3.2,57%,30-26,Bowling Green -3.5,Western Michigan,0.3,47.0,Over,9.2
3-Nov,7:00 PM,UTEP at Rice,Rice,3.5,58%,28-25,Rice -3.5,Rice,0.0,48.0,Over,4.9
3-Nov,7:30 PM,Appalachian State at Coastal Carolina,Appalachian State,1.6,54%,31-30,Appalachian State -2.5,Coastal Carolina,0.9,61.0,Under,-0.2
4-Nov,7:00 PM,Duke at Boston College,Duke,6.8,65%,29-22,Duke -9.5,Boston College,2.7,48.5,Over,3.1
4-Nov,7:00 PM,Massachusetts at Connecticut,Connecticut,13.3,78%,30-17,Connecticut -15.5,Massachusetts,2.2,41.0,Over,5.6
4-Nov,10:30 PM,Oregon State at Washington,Washington,4.5,60%,31-27,Washington -4.5,Washington,0.0,60.0,Under,-2.0
5-Nov,11:30 AM,Air Force vs. Army,Air Force,7.0,66%,32-25,Air Force -6.5,Air Force,0.5,40.5,Over,15.6
5-Nov,12:00 PM,Florida at Texas A&M,Texas A&M,6.3,64%,31-24,Texas A&M -3,Texas A&M,3.3,54.5,Over,0.4
5-Nov,12:00 PM,Iowa at Purdue,Purdue,0.4,51%,23-23,Purdue -4,Iowa,3.6,43.0,Over,3.1
5-Nov,12:00 PM,Kentucky at Missouri,Kentucky,4.2,60%,25-20,Kentucky -2,Kentucky,2.2,43.5,Over,1.6
5-Nov,12:00 PM,Maryland at Wisconsin,Wisconsin,2.0,54%,29-27,Wisconsin -5.5,Maryland,3.5,53.0,Over,2.7
5-Nov,12:00 PM,Minnesota at Nebraska,Minnesota,9.9,72%,31-21,Minnesota -12,Nebraska,2.1,47.0,Over,4.1
5-Nov,12:00 PM,North Carolina at Virginia,North Carolina,9.2,70%,35-26,North Carolina -9.5,Virginia,0.3,59.5,Over,1.4
5-Nov,12:00 PM,Ohio State at Northwestern,Ohio State,39.6,99%,47-8,Ohio State -38,Ohio State,1.6,62.5,Under,-7.5
5-Nov,12:00 PM,Texas Tech at TCU,TCU,14.0,79%,39-25,TCU -10,TCU,4.0,71.0,Under,-6.5
5-Nov,12:00 PM,Tulane at Tulsa,Tulane,7.2,66%,33-26,Tulane -8,Tulsa,0.8,58.5,Over,0.4
5-Nov,12:00 PM,Western Kentucky at Charlotte,Western Kentucky,13.4,78%,40-26,Western Kentucky -16.5,Charlotte,3.1,71.0,Under,-4.7
5-Nov,12:30 PM,Georgia Tech at Virginia Tech,Virginia Tech,5.5,63%,26-20,Virginia Tech -3.5,Virginia Tech,2.0,41.5,Over,4.7
5-Nov,2:00 PM,Marshall at Old Dominion,Marshall,7.1,66%,28-21,Marshall -2.5,Marshall,4.6,46.0,Over,2.3
5-Nov,2:00 PM,USF at Temple,USF,0.6,51%,27-27,USF -3.5,Temple,2.9,51.5,Over,2.7
5-Nov,3:00 PM,Baylor at Oklahoma,Oklahoma,4.5,60%,32-27,Oklahoma -3.5,Oklahoma,1.0,58.5,Over,0.6
5-Nov,3:00 PM,Georgia State at Southern Miss,Southern Miss,4.7,61%,28-23,Southern Miss -2.5,Southern Miss,2.2,50.5,Over,0.7
5-Nov,3:00 PM,Middle Tennessee at Louisiana Tech,Middle Tennessee,3.8,59%,34-30,Middle Tennessee -2,Middle Tennessee,1.8,64.0,Over,0.1
5-Nov,3:30 PM,Michigan State at Illinois,Illinois,10.5,73%,28-17,Illinois -16,Michigan State,5.5,43.5,Over,1.7
5-Nov,3:30 PM,New Mexico at Utah State,Utah State,10.2,72%,29-19,Utah State -14.5,New Mexico,4.3,43.5,Over,4.6
5-Nov,3:30 PM,Oklahoma State at Kansas,Oklahoma State,7.1,66%,37-30,Oklahoma State -3.5,Oklahoma State,3.6,69.0,Under,-2.8
5-Nov,3:30 PM,Oregon at Colorado,Oregon,33.8,97%,48-15,Oregon -31,Oregon,2.8,60.5,Over,2.5
5-Nov,3:30 PM,Penn State at Indiana,Penn State,18.0,85%,36-18,Penn State -13.5,Penn State,4.5,54.5,Under,-1.4
5-Nov,3:30 PM,Syracuse at Pittsburgh,Pittsburgh,1.1,53%,29-28,Pittsburgh -3.5,Syracuse,2.4,50.5,Over,6.6
5-Nov,3:30 PM,Tennessee at Georgia,Georgia,9.2,70%,34-25,Georgia -8,Georgia,1.2,65.5,Under,-5.9
5-Nov,3:30 PM,UCF at Memphis,UCF,5.3,62%,32-27,UCF -5,UCF,0.3,61.5,Under,-2.7
5-Nov,3:30 PM,UTSA at UAB,UAB,1.6,54%,30-28,UTSA -2,UAB,3.6,52.0,Over,6.1
5-Nov,3:30 PM,Washington State at Stanford,Washington State,5.5,62%,28-23,Washington State -4.5,Washington State,1.0,48.5,Over,2.3
5-Nov,3:30 PM,West Virginia at Iowa State,Iowa State,7.6,67%,31-23,Iowa State -6.5,Iowa State,1.1,51.0,Over,3.3
5-Nov,4:00 PM,Florida International at North Texas,North Texas,19.5,87%,40-21,North Texas -21.5,Florida International,2.0,63.0,Under,-2.0
5-Nov,4:00 PM,Liberty at Arkansas,Arkansas,13.2,78%,36-23,Arkansas -14,Liberty,0.8,64.5,Under,-5.1
5-Nov,4:00 PM,Navy at Cincinnati,Cincinnati,26.4,94%,38-11,Cincinnati -20.5,Cincinnati,5.9,48.5,Over,0.6
5-Nov,4:00 PM,South Alabama at Georgia Southern,South Alabama,6.6,65%,30-24,South Alabama -5,South Alabama,1.6,60.0,Under,-5.9
5-Nov,5:00 PM,Texas State at UL-Monroe,Texas State,4.6,60%,30-25,Texas State -1,Texas State,3.6,52.0,Over,2.9
5-Nov,5:00 PM,Troy at UL-Lafayette,Troy,0.1,50%,21-21,Troy -4,UL-Lafayette,3.9,43.0,Under,-0.2
5-Nov,7:00 PM,Alabama at LSU,Alabama,11.6,75%,33-22,Alabama -13,LSU,1.4,58.0,Under,-2.9
5-Nov,7:00 PM,BYU at Boise State,Boise State,5.9,63%,29-23,Boise State -8,BYU,2.1,55.5,Under,-3.2
5-Nov,7:00 PM,Houston at SMU,SMU,2.1,55%,35-33,SMU -1,SMU,1.1,67.5,Over,0.6
5-Nov,7:00 PM,Texas at Kansas State,Texas,1.3,53%,27-26,Texas -3,Kansas State,1.7,54.5,Under,-1.2
5-Nov,7:00 PM,UNLV at San Diego State,San Diego State,5.9,63%,28-22,San Diego State -6.5,UNLV,0.6,48.0,Over,1.8
5-Nov,7:30 PM,Arizona at Utah,Utah,25.4,93%,45-20,Utah -16.5,Utah,8.9,67.5,Under,-3
5-Nov,7:30 PM,Auburn at Mississippi State,Mississippi State,11.5,75%,33-21,Mississippi State -10.5,Mississippi State,1,52.5,Over,1.6
5-Nov,7:30 PM,Clemson at Notre Dame,Clemson,5.2,62%,29-24,Clemson -4,Clemson,1.2,48,Over,4.2
5-Nov,7:30 PM,Florida State at Miami-FL,Florida State,4,59%,29-25,Florida State -8.5,Miami-FL,4.5,53,Over,0.8
5-Nov,7:30 PM,James Madison at Louisville,Louisville,1.7,54%,28-26,Louisville -7.5,James Madison,5.8,55,Under,-0.7
5-Nov,7:30 PM,Michigan at Rutgers,Michigan,28.4,95%,37-8,Michigan -26.5,Michigan,1.9,46,Under,-1
5-Nov,7:30 PM,South Carolina at Vanderbilt,South Carolina,13.9,79%,34-20,South Carolina -7.5,South Carolina,6.4,49.5,Over,4.9
5-Nov,8:00 PM,Wake Forest at NC State,NC State,0.4,51%,28-27,Wake Forest -3.5,NC State,3.9,54,Over,1
5-Nov,9:30 PM,UCLA at Arizona State,UCLA,14.2,79%,38-24,UCLA -10.5,UCLA,3.7,62,Over,0.4
5-Nov,10:30 PM,California at USC,USC,21,89%,37-16,USC -19.5,USC,1.5,58,Under,-4.3
5-Nov,10:30 PM,Colorado State at San Jose State,San Jose State,20.7,88%,32-12,San Jose State -22,Colorado State,1.3,45,Under,-0.7
5-Nov,10:30 PM,Hawaii at Fresno State,Fresno State,25.2,93%,41-16,Fresno State -23,Fresno State,2.2,57.5,Under,-1.2
