Date,Time (ET),Game,Proj_winner,Proj_margin,Win_prob,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff,
2-Sep,8:00 PM,Old Dominion at Virginia Tech,VT,17.8,85%,29-12,VT -16,VT,1.8,50,Under,-9.1,
2-Sep,8:00 PM,South Alabama at Tulane,Tulane,8.4,69%,31-23,Tulane -6,Tulane,2.4,55.5,Under,-1.5,
2-Sep,8:30 PM,Northwestern State at UL-Lafayette,Louisiana,30.2,96%,42-12,,,,,,,
2-Sep,9:00 PM,Incarnate Word at UTEP,Incarnate Word,9.8,71%,35-25,,,,,,,
2-Sep,9:00 PM,Western Illinois at New Mexico State,NMSU,15,81%,33-18,,,,,,,
2-Sep,10:00 PM,Northern Arizona at Arizona,Arizona,26.2,93%,44-18,,,,,,,
2-Sep,10:15 PM,Sam Houston at BYU,BYU,24.5,92%,36-11,BYU -20,BYU,4.5,50,Under,-3.4,
2-Sep,10:30 PM,Coastal Carolina at UCLA,UCLA,16.1,82%,38-22,UCLA -14.5,UCLA,1.6,65,Under,-4.5,
2-Sep,10:30 PM,Idaho State at San Diego State,SDSU,32.3,97%,39-7,,,,,,,
3-Sep,12:00 PM,Northwestern at Rutgers,Rutgers,3.6,58%,21-17,Rutgers -6.5,Northwestern,2.9,40.5,Under,-2,
3-Sep,3:30 PM,Oregon State at San Jose State,Oregon St.,21.6,89%,38-16,Oregon St. -17.5,Oregon St.,4.1,54.5,Under,-0.9,
3-Sep,7:30 PM,Florida State vs. LSU,LSU,4.4,60%,29-25,LSU -2.5,LSU,1.9,58,Under,-4.3,
4-Sep,8:00 PM,Clemson at Duke,Clemson,15,81%,33-18,Clemson -12.5,Clemson,2.5,55,Under,-3,
