Team,Conference,Record,SP+,Rk,Off. SP+,Rk,Def. SP+,Rk,ST SP+,Rk,,Date,Time (ET),Game,Proj_winner,Proj_margin,Win_prob,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
Ohio State,Big Ten,5-1,29.1,1,39.7,8,11.0,1,0.4,4,,22-Oct,7:30 PM,Sam Houston at Florida International,Sam Houston,5.3,63%,29-24,Sam Houston -6.5,Florida International,1.2,45.5,Over,7.8
Texas,SEC,6-1,27.4,2,40.4,5,12.6,4,-0.3,115,,22-Oct,8:00 PM,UTEP at Louisiana Tech,Louisiana Tech,11.6,77%,30-19,Louisiana Tech -7.5,Louisiana Tech,4.1,50.5,Under,-1.1
Ole Miss,SEC,5-2,26.8,3,39.8,7,13.4,6,0.4,3,,23-Oct,7:00 PM,Liberty at Kennesaw State,Liberty,27.4,96%,40-13,Liberty -23.5,Liberty,3.9,45.5,Over,6.9
Georgia,SEC,6-1,25.6,4,39.8,6,14.6,9,0.4,10,,23-Oct,7:30 PM,Middle Tennessee at Jacksonville State,Jacksonville State,17.1,86%,37-20,Jacksonville State -24.5,Middle Tennessee,7.4,64.5,Under,-8.0
Oregon,Big Ten,7-0,24.6,5,42.2,2,17.9,20,0.3,27,,24-Oct,7:00 PM,Georgia Southern at Old Dominion,Georgia Southern,1.7,54%,28-26,Old Dominion -2,Georgia Southern,3.7,54.5,Under,-0.2
Penn State,Big Ten,6-0,24.4,6,36.9,11,12.4,2,0.0,76,,24-Oct,7:30 PM,Syracuse at Pittsburgh,Pittsburgh,7.9,69%,32-25,Pittsburgh -4,Pittsburgh,3.9,60.5,Under,-3.5
Alabama,SEC,5-2,23.9,7,41.8,4,17.8,19,-0.1,84,,25-Oct,7:30 PM,Louisville at Boston College,Louisville,6.4,66%,30-24,Louisville -7,Boston College,0.6,53.5,Over,0.3
Notre Dame,Indies,6-1,22.7,8,35.2,18,12.8,5,0.3,30,,25-Oct,10:30 PM,Boise State at UNLV,Boise State,1.6,54%,33-32,Boise State -2.5,UNLV,0.9,65.5,Under,-0.1
Tennessee,SEC,6-1,21.7,9,34.0,25,12.5,3,0.2,33,,25-Oct,11:00 PM,Rutgers at USC,USC,9.8,73%,33-23,USC -14.5,Rutgers,4.7,54.5,Over,1.2
Miami-FL,ACC,7-0,21.7,10,44.2,1,22.8,43,0.3,28,,26-Oct,12:00 PM,Buffalo at Ohio,Ohio,3.1,58%,25-22,Ohio -6.5,Buffalo,3.4,46.5,Under,0.0
