Team,Conference,Record,SP+,Rk,Off. SP+,Rk,Def. SP+,Rk,ST SP+,Rk,,Date,Time (ET),Game,Proj_winner,Proj_margin,Win_prob,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
Indiana,Big Ten,5-0,11.3,29,32.3,43,21.4,36,0.4,3,,5-Oct,4:00 PM,Rutgers at Nebraska,Nebraska,6.5,66%,25-18,Nebraska -6.5,Nebraska,0.0,43.5,Under,-0.8
Florida,SEC,2-2,11.3,30,37.5,12,26.6,68,0.4,8,,5-Oct,4:00 PM,West Virginia at Oklahoma State,Oklahoma State,6.1,65%,34-28,Oklahoma State -5.5,Oklahoma State,0.6,65.5,Under,-3.1
Pittsburgh,ACC,4-0,10.3,31,33.7,31,23.8,46,0.3,23,,5-Oct,4:15 PM,Alabama at Vanderbilt,Alabama,23.2,93%,42-19,Alabama -24.5,Vanderbilt,1.3,55.5,Over,5.2
TCU,Big 12,3-2,10.2,32,36.5,16,26,58,-0.4,122,,5-Oct,6:30 PM,Colorado State at Oregon State,Oregon State,18.3,87%,36-18,Oregon State -14,Oregon State,4.3,48.5,Over,6.1
James Madison,Sun Belt,4-0,9.5,33,33,38,23.8,47,0.3,22,,5-Oct,7:00 PM,Clemson at Florida State,Clemson,7.4,68%,30-22,Clemson -15,Florida State,7.6,46.5,Over,5.6
Arkansas,SEC,3-2,9.3,34,32.8,41,23.6,44,0.2,47,,5-Oct,7:00 PM,James Madison at UL-Monroe,James Madison,22.5,92%,37-15,James Madison -16.5,James Madison,6.0,48.5,Over,3.5
Arizona,Big 12,3-1,9.2,35,33.4,35,24.5,49,0.3,27,,5-Oct,7:00 PM,Old Dominion at Coastal Carolina,Coastal Carolina,12.8,79%,33-20,Coastal Carolina -5,Coastal Carolina,7.8,55.5,Under,-2.6
Duke,ACC,5-0,9.1,36,26.5,77,17.6,18,0.2,38,,5-Oct,7:00 PM,South Alabama at Arkansas State,South Alabama,11.5,77%,36-25,South Alabama -3.5,South Alabama,8.0,62.5,Under,-1.4
Boise State,MWC,3-1,9.1,37,37.3,13,28,76,-0.3,109,,5-Oct,7:00 PM,UL-Lafayette at Southern Miss,UL-Lafayette,20.3,90%,42-21,UL-Lafayette -14.5,UL-Lafayette,5.8,57.5,Over,5.2
UCF,Big 12,3-1,8.7,38,35,20,26.2,63,-0.1,83,,5-Oct,7:00 PM,Utah State at Boise State,Boise State,26.4,95%,46-20,Boise State -26,Boise State,0.4,65.5,Over,0.6
Oklahoma State,Big 12,3-2,8.5,39,34.2,24,25.8,56,0.1,57,,5-Oct,7:30 PM,Baylor at Iowa State,Iowa State,11.7,77%,30-18,Iowa State -13,Baylor,1.3,46.5,Over,1.6
California,ACC,3-1,8.2,40,29.4,55,21,34,-0.1,86,,5-Oct,7:30 PM,Michigan at Washington,Washington,0.7,52%,24-23,Washington -2,Michigan,1.3,41.5,Over,6.0
North Carolina,ACC,3-2,8.1,41,33,40,24.9,50,0.1,58,,5-Oct,7:30 PM,Nevada at San Jose State,San Jose State,12.5,78%,34-21,San Jose State -7.5,San Jose State,5.0,47.5,Over,7.4
BYU,Big 12,5-0,7.9,42,30.9,49,23.1,41,0.2,48,,5-Oct,7:30 PM,Tennessee at Arkansas,Tennessee,14.4,82%,34-20,Tennessee -13.5,Tennessee,0.9,60.5,Under,-6.3
Virginia Tech,ACC,2-3,7.9,43,31.2,47,23.5,43,0.2,43,,5-Oct,7:30 PM,USC at Minnesota,USC,4.8,62%,29-25,USC -9.5,Minnesota,4.7,52.5,Over,1.3
Rutgers,Big Ten,4-0,7.5,44,27.6,70,20,29,-0.1,79,,5-Oct,7:45 PM,UCF at Florida,Florida,5.1,62%,34-29,Florida -1,Florida,4.1,59.5,Over,3.2
Kansas,Big 12,1-4,7.3,45,33.6,32,26.6,67,0.3,13,,5-Oct,8:00 PM,Duke at Georgia Tech,Duke,0.9,52%,28-27,Georgia Tech -8,Duke,8.9,54.5,Under,-0.3
Maryland,Big Ten,3-2,7,46,28.2,64,21.1,35,-0.1,77,,5-Oct,8:00 PM,Hawaii at San Diego State,Hawaii,0.1,50%,23-23,San Diego State -3,Hawaii,3.1,47.5,Under,-0.9
Minnesota,Big Ten,2-3,6.9,47,24.3,88,17.1,16,-0.3,120,,5-Oct,8:00 PM,Kansas at Arizona State,Kansas,1.3,53%,29-27,Arizona State -3,Kansas,4.3,50.5,Over,5.8
