Team,Conference,Record,SP+,Rk,Off. SP+,Rk,Def. SP+,Rk,ST SP+,Rk,,Date,Time (ET),Game,Proj_winner,Proj_margin,Win_prob,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
Texas,SEC,4-0,31.2,1,44.8,2,13.6,9,-0.1,80,,26-Sep,7:30 PM,Army at Temple,Army,18.1,87%,35-17,Army -13,Army,5.1,45.5,Over,6.9
Ohio State,Big Ten,3-0,30.9,2,38.5,11,7.9,1,0.3,12,,27-Sep,7:30 PM,Virginia Tech at Miami-FL,Miami-FL,18.8,88%,38-19,Miami-FL -16.5,Miami-FL,2.3,56.5,Over,0.1
Alabama,SEC,3-0,30.7,3,44.2,3,13.4,6,-0.1,84,,27-Sep,8:00 PM,Washington at Rutgers,Washington,3.0,58%,26-23,Rutgers -2.5,Washington,5.5,45.5,Over,3.6
Ole Miss,SEC,4-0,30.7,4,44.9,1,14.4,11,0.1,50,,28-Sep,12:00 PM,Buffalo at Connecticut,Connecticut,2.7,57%,24-21,Connecticut -4,Buffalo,1.3,46.5,Under,-1.1
Georgia,SEC,3-0,29.9,5,40.5,7,10.9,3,0.4,4,,28-Sep,12:00 PM,BYU at Baylor,BYU,0.0,50%,26-26,Baylor -3,BYU,3.0,45.5,Over,6.8
Tennessee,SEC,4-0,25.9,6,39.5,9,13.9,10,0.3,10,,28-Sep,12:00 PM,Holy Cross at Syracuse,Syracuse,18.3,87%,37-19,,,,,,
Miami-FL,ACC,4-0,24.0,7,42.1,6,18.2,21,0.0,64,,28-Sep,12:00 PM,Kentucky at Ole Miss,Ole Miss,20.0,89%,37-17,Ole Miss -17.5,Ole Miss,2.5,51.5,Over,2.2
Penn State,Big Ten,3-0,23.6,8,36.5,15,12.8,4,0.0,75,,28-Sep,12:00 PM,Maryland at Indiana,Indiana,4.5,61%,27-22,Indiana -7,Maryland,2.5,55.5,Under,-6.1
Oregon,Big Ten,3-0,23.0,9,43.1,4,20.2,32,0.2,48,,28-Sep,12:00 PM,Minnesota at Michigan,Michigan,12.0,77%,27-15,Michigan -10,Michigan,2.0,39.5,Over,1.8
Missouri,SEC,4-0,22.0,10,38.8,10,17.1,15,0.2,32,,28-Sep,12:00 PM,Navy at UAB,Navy,5.4,63%,33-27,Navy -2.5,Navy,2.9,55.5,Over,4.2
Notre Dame,Indies,3-1,21.1,11,34.3,26,13.5,7,0.3,25,,28-Sep,12:00 PM,Nebraska at Purdue,Nebraska,14.1,81%,31-17,Nebraska -10,Nebraska,4.1,49.5,Under,-2.4
Louisville,ACC,3-0,17.2,12,35.1,21,17.6,18,-0.3,109,,28-Sep,12:00 PM,Northern Illinois at NC State,NC State,11.1,76%,30-19,NC State -7.5,NC State,3.6,47.5,Over,1.1
Utah,Big 12,4-0,16.5,13,31.2,45,14.5,12,-0.2,95,,28-Sep,12:00 PM,Oklahoma State at Kansas State,Kansas State,2.7,57%,30-27,Kansas State -4.5,Oklahoma State,1.8,54.5,Over,2.7
LSU,SEC,3-1,16.4,14,42.8,5,26.3,58,0.0,70,,28-Sep,12:00 PM,USF at Tulane,Tulane,7.4,68%,34-27,Tulane -6.5,Tulane,0.9,63.5,Under,-2.9
Michigan,Big Ten,3-1,15.8,15,28.5,61,13.1,5,0.4,2,,28-Sep,12:00 PM,Western Kentucky at Boston College,Boston College,11.3,76%,33-22,Boston College -12,Western Kentucky,0.7,56.5,Under,-1.5
Oklahoma,SEC,3-1,15.5,16,30.5,49,15.4,13,0.3,16,,28-Sep,1:30 PM,Ball State at James Madison,James Madison,26.4,95%,41-15,James Madison -20,James Madison,6.4,56.5,Under,-0.1
Clemson,ACC,2-1,15.0,17,36.9,12,22.0,36,0.1,56,,28-Sep,3:00 PM,Sam Houston vs. Texas State,Texas State,6.3,65%,32-25,Texas State -8.5,Sam Houston,2.2,55.5,Over,1.5
Iowa,Big Ten,3-1,14.8,18,23.9,88,9.4,2,0.4,8,,28-Sep,3:30 PM,Akron at Ohio,Ohio,15.4,83%,30-14,Ohio -11.5,Ohio,3.9,46.5,Under,-2.2
Texas A&M,SEC,3-1,14.5,19,33.7,30,19.4,29,0.2,37,,28-Sep,3:30 PM,Arkansas vs. Texas A&M,Texas A&M,4.1,60%,30-26,Texas A&M -4,Texas A&M,0.1,52.0,Over,3.9
Auburn,SEC,2-2,14.5,20,32.9,35,18.7,23,0.3,17,,28-Sep,3:30 PM,Colorado at UCF,UCF,12.3,78%,36-24,UCF -13.5,Colorado,1.2,63.5,Under,-3.7
Washington,Big Ten,3-1,13.2,21,33.1,32,19.7,30,-0.1,90,,28-Sep,3:30 PM,Eastern Michigan at Kent State,Eastern Michigan,16.1,84%,32-16,Eastern Michigan -14,Eastern Michigan,2.1,48.5,Over,0.2
Kansas State,Big 12,3-1,13.2,22,33.9,29,20.8,34,0.1,55,,28-Sep,3:30 PM,Fresno State at UNLV,UNLV,2.6,56%,31-29,UNLV -3.5,Fresno State,0.9,51.5,Over,8.5
Kentucky,SEC,2-2,13.2,23,30.4,50,17.6,19,0.4,3,,28-Sep,3:30 PM,Georgia Southern at Georgia State,Georgia State,0.5,51%,30-30,Georgia Southern -2.5,Georgia State,3.0,58.0,Over,2.2
USC,Big Ten,2-1,13.0,24,40.2,8,27.3,65,0.2,33,,28-Sep,3:30 PM,Liberty at Appalachian State,Liberty,8.1,69%,35-27,Liberty -3,Liberty,5.1,63.5,Under,-2.4
Oklahoma State,Big 12,3-1,13.0,25,36.3,16,23.4,41,0.2,43,,28-Sep,3:30 PM,Louisville at Notre Dame,Notre Dame,6.3,65%,28-22,Notre Dame -4.5,Notre Dame,1.8,48.5,Over,1.7
Iowa State,Big 12,3-0,12.9,26,29.3,54,16.3,14,0.0,78,,28-Sep,3:30 PM,Massachusetts at Miami-OH,Miami-OH,12.6,79%,29-17,Miami-OH -17.5,Massachusetts,4.9,47.5,Under,-1.9
South Carolina,SEC,3-1,12.1,27,30.8,47,18.9,26,0.2,40,,28-Sep,3:30 PM,San Diego State at Central Michigan,Central Michigan,0.8,52%,26-25,San Diego State -1.5,Central Michigan,2.3,54.5,Under,-3.5
