Date,Time (ET),Game,Proj_winner,Proj_margin,Win_prob,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
26-Nov,7:00 PM,Kent State at Buffalo,Buffalo,27.6,96%,42-14,Buffalo -21,Buffalo,6.6,50.5,Over,5.2
26-Nov,7:00 PM,Toledo at Akron,Toledo,17.0,86%,33-16,Toledo -8,Toledo,9.0,48.5,Over,1.0
28-Nov,7:30 PM,Memphis at Tulane,Tulane,6.4,66%,33-27,Tulane -13,Memphis,6.6,56.5,Over,3.8
29-Nov,12:00 PM,Ball State at Ohio,Ohio,20.9,90%,38-17,Ohio -14.5,Ohio,6.4,53.5,Over,1.4
29-Nov,12:00 PM,Miami-OH at Bowling Green,Bowling Green,4.6,61%,26-21,Bowling Green -2.5,Bowling Green,2.1,43.5,Over,3.6
29-Nov,12:00 PM,Minnesota at Wisconsin,Minnesota,2.1,55%,23-21,Wisconsin -2,Minnesota,4.1,44.5,Under,-0.6
29-Nov,12:00 PM,Navy at East Carolina,East Carolina,2.4,56%,29-27,Navy -1,East Carolina,3.4,56.5,Under,-0.1
29-Nov,12:00 PM,Oklahoma State at Colorado,Colorado,14.3,82%,38-23,Colorado -17,Oklahoma State,2.7,64.5,Under,-3.4
29-Nov,12:00 PM,Oregon State at Boise State,Boise State,23.5,93%,43-19,Boise State -18.5,Boise State,5.0,55.5,Over,6.0
29-Nov,3:30 PM,Liberty at Sam Houston,Liberty,8.4,70%,30-22,Liberty -2.5,Liberty,5.9,47.5,Over,4.2
29-Nov,3:30 PM,Mississippi State at Ole Miss,Ole Miss,35.6,99%,46-10,Ole Miss -26.5,Ole Miss,9.1,61.5,Under,-5.9
29-Nov,3:30 PM,Texas State at South Alabama,South Alabama,1.0,53%,30-29,South Alabama -1,South Alabama,0.0,62.5,Under,-4.1
29-Nov,3:30 PM,Utah State at Colorado State,Colorado State,9.6,73%,35-25,Colorado State -5.5,Colorado State,4.1,60.5,Under,-0.7
29-Nov,4:00 PM,Stanford at San Jose State,San Jose State,6.7,66%,31-25,San Jose State -1.5,San Jose State,5.2,54.5,Over,1.2
29-Nov,7:30 PM,Georgia Tech at Georgia,Georgia,25.9,95%,41-15,Georgia -20,Georgia,5.9,54.5,Over,0.9
29-Nov,7:30 PM,Nebraska at Iowa,Iowa,14.5,82%,28-14,Iowa -3.5,Iowa,11.0,39.5,Over,2.4
29-Nov,8:00 PM,Utah at UCF,UCF,2.1,55%,26-24,UCF -8.5,Utah,6.4,49.5,Under,-0.4
30-Nov,12:00 PM,Connecticut at Massachusetts,Connecticut,19.8,89%,37-17,Connecticut -10.5,Connecticut,9.3,50.5,Over,3.1
30-Nov,12:00 PM,Duke at Wake Forest,Duke,9.9,73%,32-22,Duke -2.5,Duke,7.4,54.5,Under,-1.3
30-Nov,12:00 PM,Illinois at Northwestern,Illinois,13.5,80%,29-16,Illinois -7.5,Illinois,6.0,44.5,Over,0.8
30-Nov,12:00 PM,Kansas at Baylor,Baylor,3.5,59%,31-28,Baylor -1.5,Baylor,2.0,60.5,Under,-1.6
30-Nov,12:00 PM,Louisville at Kentucky,Louisville,4.0,60%,28-24,Louisville -3,Louisville,1.0,48.5,Over,4.3
30-Nov,12:00 PM,Michigan at Ohio State,Ohio State,25.4,94%,36-10,Ohio State -20.5,Ohio State,4.9,44.5,Over,1.2
