Date,Time (ET),Game,Proj_winner,Proj_margin,Win_prob,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick
3-Sep,7:00 PM,Liberty at Southern Miss,Liberty,5.5,62%,28-22,Liberty -3.5,Liberty,2,49.5,Over
3-Sep,7:00 PM,Massachusetts at Tulane,Tulane,25.0,93%,43-18,Tulane -28.5,Massachusetts,3.5,59,Over
3-Sep,7:00 PM,Mercer at Auburn,Auburn,34.6,98%,42-8,,,,,
3-Sep,7:00 PM,Miami-OH at Kentucky,Kentucky,23.7,91%,38-15,Kentucky -16.5,Kentucky,7.2,54,Under
3-Sep,7:00 PM,South Dakota at Kansas State,Kansas State,24.3,92%,37-12,,,,,
3-Sep,7:00 PM,Southeastern Louisiana at UL-Lafayette,UL-Lafayette,16.3,83%,33-17,,,,,
3-Sep,7:00 PM,Utah at Florida,Utah,0.2,50%,29-29,Utah -3,Florida,2.8,51,Over
3-Sep,7:30 PM,Georgia State at South Carolina,South Carolina,13.4,78%,32-19,South Carolina -12.5,South Carolina,0.9,57,Under
3-Sep,7:30 PM,Memphis at Mississippi State,Mississippi State,15.3,81%,35-20,Mississippi State -15.5,Memphis,0.2,56,Under
3-Sep,7:30 PM,Notre Dame at Ohio State,Ohio State,11.3,74%,35-23,Ohio State -17.5,Notre Dame,6.2,59,Under
3-Sep,7:30 PM,SMU at North Texas,SMU,11.0,74%,36-25,SMU -10.5,SMU,0.5,68.5,Under
3-Sep,7:30 PM,Utah State at Alabama,Alabama,36.6,98%,48-11,Alabama -41.5,Utah State,4.9,62.5,Under
3-Sep,8:00 PM,Colgate at Stanford,Stanford,36.5,98%,47-11,,,,,
3-Sep,8:00 PM,Louisville at Syracuse,Louisville,5.0,61%,29-24,Louisville -4,Louisville,1,56.5,Under
3-Sep,8:00 PM,Maine at New Mexico,New Mexico,3.3,58%,20-16,,,,,
3-Sep,8:00 PM,Murray State at Texas Tech,Texas Tech,37.8,99%,48-11,,,,,
3-Sep,8:00 PM,UL-Monroe at Texas,Texas,38.2,99%,50-11,Texas -37.5,Texas,0.7,64.5,Under
3-Sep,9:30 PM,Idaho at Washington State,Washington State,27.5,94%,36-9,,,,,
3-Sep,10:30 PM,Boise State at Oregon State,Boise State,3.6,58%,26-23,Oregon State -3,Boise State,6.6,57,Under
3-Sep,10:30 PM,Kent State at Washington,Washington,17.2,84%,37-19,Washington -22.5,Kent State,5.3,59.5,Under
3-Sep,11:59 PM,Western Kentucky at Hawaii,Western Kentucky,18.9,86%,42-23,Western Kentucky -16,Western Kentucky,2.9,67.5,Under
4-Sep,7:30 PM,Florida State vs. LSU,LSU,4.6,60%,28-24,LSU -3,LSU,1.6,51.5,Over
5-Sep,8:00 PM,Clemson at Georgia Tech,Clemson,24.5,92%,38-13,Clemson -22,Clemson,2.5,49,Over
