Date,Time (ET),Game,Proj_winner,Proj_margin,Win_prob,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
22-Nov,7:00 PM,Ball State at Miami-OH,Miami-OH,5.1,62%,23-18,Miami-OH -3,Miami-OH,2.1,44.5,Under,-4.2
22-Nov,7:00 PM,Bowling Green at Ohio,Ohio,12.9,77%,40-27,Ohio -7,Ohio,5.9,55.5,Over,11.2
24-Nov,7:00 PM,Mississippi State at Ole Miss,Ole Miss,4.6,61%,33-29,Ole Miss -3.5,Ole Miss,1.1,63.5,Under,-1.8
25-Nov,12:00 PM,Baylor at Texas,Texas,11.0,74%,34-23,Texas -8,Texas,3.0,56.0,Over,1.6
25-Nov,12:00 PM,Central Michigan at Eastern Michigan,Eastern Michigan,6.0,64%,30-24,Eastern Michigan -1.5,Eastern Michigan,4.5,54.5,Under,-0.1
25-Nov,12:00 PM,Toledo at Western Michigan,Toledo,15.4,81%,32-17,Toledo -7.5,Toledo,7.9,53.5,Under,-4.3
25-Nov,12:00 PM,Tulane at Cincinnati,Cincinnati,4.7,61%,26-21,Cincinnati -2.5,Cincinnati,2.2,47.0,Over,0.3
25-Nov,12:00 PM,Utah State at Boise State,Boise State,19.4,87%,35-15,Boise State -16,Boise State,3.4,53.0,Under,-2.9
25-Nov,3:00 PM,Arizona State at Arizona,Arizona,2.3,55%,37-35,Arizona -4,Arizona State,1.7,63.0,Over,8.4
25-Nov,3:30 PM,Arkansas at Missouri,Arkansas,2.4,55%,28-26,Arkansas -4,Missouri,1.6,56.5,Under,-2.4
25-Nov,3:30 PM,NC State at North Carolina,North Carolina,6.0,64%,31-25,North Carolina -6.5,NC State,0.5,56.5,Under,-0.4
25-Nov,3:30 PM,New Mexico at Colorado State,Colorado State,4.3,60%,23-18,Colorado State -7,New Mexico,2.7,35.0,Over,5.9
25-Nov,3:30 PM,Virginia at Virginia Tech,Virginia Tech,2.0,55%,21-19,Virginia Tech -1.5,Virginia Tech,0.5,40.0,Under,-0.4
25-Nov,4:00 PM,Nebraska at Iowa,Iowa,20.3,88%,29-9,Iowa -10.5,Iowa,9.8,37.5,Under,-0.2
25-Nov,4:30 PM,UCLA at California,UCLA,15.7,82%,39-23,UCLA -9,UCLA,6.7,60.5,Over,1.1
25-Nov,7:30 PM,Florida at Florida State,Florida State,6.7,65%,32-26,Florida State -9.5,Florida,2.8,58.0,Over,0.1
25-Nov,10:00 PM,Wyoming at Fresno State,Fresno State,12.4,76%,30-18,Fresno State -14.5,Wyoming,2.1,50.5,Under,-2.0
26-Nov,12:00 PM,Army at Massachusetts,Army,24.6,92%,36-11,Army -20,Army,4.6,45.5,Over,2.1
26-Nov,12:00 PM,Coastal Carolina at James Madison,James Madison,3.1,57%,31-28,James Madison -14,Coastal Carolina,10.9,54.0,Over,5.3
26-Nov,12:00 PM,Georgia State at Marshall,Marshall,8.1,68%,29-21,Marshall -6,Marshall,2.1,49.5,Over,0.2
26-Nov,12:00 PM,Georgia Tech at Georgia,Georgia,48.5,100%,48-0,Georgia -35,Georgia,13.5,49.0,Under,-5.4
26-Nov,12:00 PM,Michigan at Ohio State,Ohio State,5.4,62%,28-22,Ohio State -8.5,Michigan,3.1,57.5,Under,-7.9
26-Nov,12:00 PM,New Mexico State at Liberty,Liberty,22.5,90%,33-10,Liberty -24,New Mexico State,1.5,51.0,Under,-8.3
26-Nov,12:00 PM,Old Dominion at South Alabama,South Alabama,27.8,95%,37-9,South Alabama -16.5,South Alabama,11.3,48.0,Under,-1.8
26-Nov,12:00 PM,Rutgers at Maryland,Maryland,19.8,87%,36-16,Maryland -14,Maryland,5.8,49.5,Over,2.0
26-Nov,12:00 PM,South Carolina at Clemson,Clemson,10.6,73%,33-23,Clemson -14.5,South Carolina,3.9,50.0,Over,5.9
26-Nov,12:00 PM,West Virginia at Oklahoma State,Oklahoma State,14.8,80%,44-29,Oklahoma State -8.5,Oklahoma State,6.3,66.5,Over,7.3
26-Nov,12:00 PM,Western Kentucky at Florida Atlantic,Western Kentucky,6.7,65%,32-25,Western Kentucky -7,Florida Atlantic,0.3,61.0,Under,-3.5
26-Nov,1:00 PM,East Carolina at Temple,East Carolina,12.3,76%,30-17,East Carolina -13,Temple,0.7,51.0,Under,-3.9
26-Nov,1:00 PM,Kent State at Buffalo,Buffalo,6.8,65%,34-27,Buffalo -3,Buffalo,3.8,54.0,Over,7.3
26-Nov,1:30 PM,Akron at Northern Illinois,Northern Illinois,12.4,76%,37-25,Northern Illinois -10,Northern Illinois,2.4,55.0,Over,7.2
26-Nov,2:00 PM,Rice at North Texas,North Texas,16.9,84%,42-25,North Texas -13.5,North Texas,3.4,61.5,Over,6.0
26-Nov,3:00 PM,Louisville at Kentucky,Kentucky,0.9,52%,21-20,Kentucky -3.5,Louisville,2.6,43.0,Under,-1.9
26-Nov,3:00 PM,Troy at Arkansas State,Troy,15.8,82%,30-15,Troy -13.5,Troy,2.3,47.0,Under,-2.1
26-Nov,3:30 PM,Auburn at Alabama,Alabama,26.5,94%,41-15,Alabama -21.5,Alabama,5.0,49.0,Over,7.0
26-Nov,3:30 PM,Hawaii at San Jose State,San Jose State,21.8,90%,36-14,San Jose State -13.5,San Jose State,8.3,56.5,Under,-6.9
26-Nov,3:30 PM,Illinois at Northwestern,Illinois,24.9,93%,30-5,Illinois -12.5,Illinois,12.4,37.0,Under,-2.8
26-Nov,3:30 PM,Memphis at SMU,Memphis,1.7,54%,39-38,SMU -4,Memphis,5.7,72.0,Over,4.7
26-Nov,3:30 PM,Minnesota at Wisconsin,Minnesota,4.5,60%,22-17,Wisconsin -3,Minnesota,7.5,34.5,Over,4.1
26-Nov,3:30 PM,Oregon at Oregon State,Oregon,4.4,60%,31-27,Oregon -3.5,Oregon,0.9,57.0,Over,1.3
26-Nov,3:30 PM,Purdue at Indiana,Purdue,8.6,69%,36-27,Purdue -10,Indiana,1.4,55.5,Over,7.8
26-Nov,3:30 PM,UAB at Louisiana Tech,UAB,14.9,81%,40-25,UAB -17,Louisiana Tech,2.1,56.5,Over,8.0
26-Nov,3:30 PM,UTEP at UTSA,UTSA,21.6,89%,41-19,UTSA -18,UTSA,3.6,56.5,Over,3.8
26-Nov,3:30 PM,Wake Forest at Duke,Wake Forest,2.5,56%,34-31,Wake Forest -4,Duke,1.5,67.0,Under,-1.5
26-Nov,4:00 PM,Iowa State at TCU,TCU,18.2,85%,32-14,TCU -10.5,TCU,7.7,48.0,Under,-2.4
26-Nov,4:00 PM,Michigan State at Penn State,Penn State,23.8,92%,41-17,Penn State -18,Penn State,5.8,54.0,Over,3.2
26-Nov,4:00 PM,Utah at Colorado,Utah,36.5,98%,49-13,Utah -29.5,Utah,7.0,52.5,Over,9.1
26-Nov,5:00 PM,Southern Miss at UL-Monroe,Southern Miss,8.9,70%,33-24,Southern Miss -3.5,Southern Miss,5.4,52.0,Over,5.0
26-Nov,5:00 PM,UL-Lafayette at Texas State,UL-Lafayette,6.7,65%,25-18,UL-Lafayette -5,UL-Lafayette,1.7,45,Under,-1.8
26-Nov,6:00 PM,Appalachian State at Georgia Southern,Appalachian State,7.4,67%,37-30,Appalachian State -4.5,Appalachian State,2.9,60,Over,6.5
26-Nov,6:00 PM,Middle Tennessee at Florida International,Middle Tennessee,17.1,84%,38-21,Middle Tennessee -20,Florida International,2.9,55.5,Over,3.6
26-Nov,6:00 PM,Nevada at UNLV,UNLV,13.9,79%,35-21,UNLV -12.5,UNLV,1.4,51.5,Over,4.4
26-Nov,7:00 PM,LSU at Texas A&M,LSU,9.3,70%,27-18,LSU -9.5,Texas A&M,0.2,46,Under,-1
26-Nov,7:00 PM,UCF at USF,UCF,26.9,94%,46-19,UCF -18,UCF,8.9,70,Under,-5.4
26-Nov,7:30 PM,Notre Dame at USC,USC,10.1,72%,36-25,USC -5.5,USC,4.6,62.5,Under,-1.5
26-Nov,7:30 PM,Oklahoma at Texas Tech,Oklahoma,6.4,64%,35-29,Oklahoma -1.5,Oklahoma,4.9,64.5,Under,-0.2
26-Nov,7:30 PM,Syracuse at Boston College,Syracuse,14.1,79%,34-20,Syracuse -10,Syracuse,4.1,45.5,Over,8
26-Nov,7:30 PM,Tennessee at Vanderbilt,Tennessee,25.1,93%,47-22,Tennessee -15.5,Tennessee,9.6,66.5,Over,2.1
26-Nov,7:30 PM,Tulsa at Houston,Houston,16.9,84%,46-29,Houston -12,Houston,4.9,67,Over,7.5
26-Nov,8:00 PM,Kansas at Kansas State,Kansas State,18.4,86%,41-22,Kansas State -12,Kansas State,6.4,62.5,Over,0.5
26-Nov,8:00 PM,Pittsburgh at Miami-FL,Pittsburgh,4.6,61%,30-25,Pittsburgh -6.5,Miami-FL,1.9,44,Over,11
26-Nov,9:00 PM,Air Force at San Diego State,Air Force,6,64%,20-14,Air Force -1,Air Force,5,43.5,Under,-8.7
26-Nov,10:30 PM,Washington at Washington State,Washington,1.7,54%,26-25,Washington -2,Washington State,0.3,58.5,Under,-7.6
26-Nov,11:00 PM,BYU at Stanford,BYU,0.5,51%,33-33,BYU -6.5,Stanford,6,57.5,Over,8.1
