Team,Conference,Division,Record,SP+,Rk,Off. SP+,Rk,Def. SP+,Rk,ST SP+,Rk,,Date,Time (ET),Game,Proj_winner,Proj_margin,Win_prob,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
Alabama,SEC,SEC West,1-0,37.6,1,47.4,1,9.9,2,0.1,24,,9-Sep,7:30 PM,Louisville at UCF,UCF,10.9,74%,34-23,UCF -6.5,UCF,4.4,61.5,Under,-4.7
Georgia,SEC,SEC East,1-0,35.0,2,44.4,4,9.4,1,0.1,20,,9-Sep,9:00 PM,Boise State at New Mexico,Boise State,18.4,86%,30-11,Boise State -16.5,Boise State,1.9,45.5,Under,-4.9
Ohio State,Big Ten,Big Ten East,1-0,30.1,3,47.3,2,17.2,15,-0.1,107,,10-Sep,12:00 PM,Alabama at Texas,Alabama,18.9,86%,39-20,Alabama -20,Texas,1.1,62,Under,-2.3
Michigan,Big Ten,Big Ten East,1-0,26.1,4,41.8,6,15.8,10,0.1,4,,10-Sep,12:00 PM,Arkansas State at Ohio State,Ohio State,44.4,99%,53-9,Ohio State -43.5,Ohio State,0.9,68,Under,-5.7
Texas A&M,SEC,SEC West,1-0,24.1,5,34.2,31,10.1,3,0.0,57,,10-Sep,12:00 PM,Duke at Northwestern,Northwestern,10.2,72%,32-22,Northwestern -9.5,Northwestern,0.7,54,Under,-0.5
Oklahoma,Big 12,Big 12,1-0,23.1,6,42.1,5,19.0,23,0.0,49,,10-Sep,12:00 PM,Missouri at Kansas State,Kansas State,8.2,68%,31-23,Kansas State -8,Kansas State,0.2,54.5,Under,-0.9
Clemson,ACC,ACC Atlantic,1-0,22.6,7,32.7,38,10.2,4,0.1,22,,10-Sep,12:00 PM,North Carolina at Georgia State,North Carolina,11.8,75%,36-24,North Carolina -7.5,North Carolina,4.3,67.5,Under,-8.0
Tennessee,SEC,SEC East,1-0,22.0,8,44.6,3,22.7,46,0.1,33,,10-Sep,12:00 PM,Ohio at Penn State,Penn State,27.6,94%,38-11,Penn State -24.5,Penn State,3.1,53.5,Under,-4.3
Wisconsin,Big Ten,Big Ten West,1-0,20.0,9,31.3,50,11.3,5,0.1,9,,10-Sep,12:00 PM,South Carolina at Arkansas,Arkansas,8.5,69%,30-21,Arkansas -8.5,Arkansas,0.0,53,Under,-2.1
Notre Dame,Indies,Independents,0-1,19.6,10,34.8,29,15.3,8,0.1,27,,10-Sep,12:00 PM,Southern Miss at Miami-FL,Miami-FL,27.8,95%,40-12,Miami-FL -26.5,Miami-FL,1.3,54.5,Under,-2.6
Arkansas,SEC,SEC West,1-0,18.2,11,36.4,17,18.1,18,0.0,93,,10-Sep,12:00 PM,UTSA at Army,UTSA,8.0,68%,34-26,UTSA -2,UTSA,6.0,56,Over,4.6
Mississippi State,SEC,SEC West,1-0,18.1,12,35.3,23,17.1,14,-0.1,103,,10-Sep,12:00 PM,Wake Forest at Vanderbilt,Wake Forest,15.3,81%,38-22,Wake Forest -8,Wake Forest,7.3,61,Under,-1.0
Baylor,Big 12,Big 12,1-0,18.0,13,32.7,39,14.7,6,0.0,65,,10-Sep,12:00 PM,Western Illinois at Minnesota,Minnesota,40.8,99%,43-2,,,,,,
Miami-FL,ACC,ACC Coastal,1-0,17.8,14,38.5,10,20.8,30,0.0,56,,10-Sep,12:30 PM,Charleston Southern at NC State,NC State,42.8,99%,46-3,,,,,,
Kentucky,SEC,SEC East,1-0,17.4,15,33.5,36,16.2,12,0.1,32,,10-Sep,1:00 PM,South Alabama at Central Michigan,Central Michigan,4.7,61%,30-26,Central Michigan -4.5,Central Michigan,0.2,59,Under,-3.0
Ole Miss,SEC,SEC West,1-0,17.2,16,36.0,19,18.9,22,0.0,51,,10-Sep,1:30 PM,Southern Utah at Utah,Utah,55.3,100%,58-3,,,,,,
BYU,Indies,Independents,1-0,16.9,17,35.5,21,18.5,21,0.0,91,,10-Sep,2:00 PM,Lafayette at Temple,Temple,16.4,83%,34-18,,,,,,
Texas,Big 12,Big 12,1-0,16.2,18,39.2,8,22.9,47,-0.1,100,,10-Sep,2:00 PM,Western Michigan at Ball State,Western Michigan,6.7,65%,30-23,Western Michigan -6.5,Western Michigan,0.2,55,Under,-2.7
Florida,SEC,SEC East,1-0,15.3,19,36.5,16,21.1,32,-0.1,102,,10-Sep,2:30 PM,Marshall at Notre Dame,Notre Dame,16.4,83%,34-18,Notre Dame -20,Marshall,3.6,51.5,Over,0.8
Michigan State,Big Ten,Big Ten East,1-0,15.0,20,34.9,27,19.8,26,-0.1,119,,10-Sep,3:30 PM,Appalachian State at Texas A&M,Texas A&M,21.5,89%,37-15,Texas A&M -17,Texas A&M,4.5,55,Under,-3.1
Penn State,Big Ten,Big Ten East,1-0,15.0,21,30.3,54,15.3,9,0.0,72,,10-Sep,3:30 PM,Colorado at Air Force,Air Force,22.3,90%,37-14,Air Force -17,Air Force,5.3,45.5,Over,5.7
Auburn,SEC,SEC West,1-0,14.8,22,32.4,41,17.6,17,0.1,28,,10-Sep,3:30 PM,Furman at Clemson,Clemson,45.2,100%,45-0,,,,,,
Kansas State,Big 12,Big 12,1-0,14.6,23,31.6,47,16.9,13,-0.1,123,,10-Sep,3:30 PM,Kennesaw State at Cincinnati,Cincinnati,26.0,93%,41-15,,,,,,
Utah,Pac-12,Pac-12 South,0-1,13.9,24,37.4,13,23.6,52,0.1,19,,10-Sep,3:30 PM,Maryland at Charlotte,Maryland,20.9,89%,42-21,Maryland -27,Charlotte,6.1,65.5,Under,-3.0
Oklahoma State,Big 12,Big 12,1-0,13.7,25,35.5,20,21.8,39,0.0,47,,10-Sep,3:30 PM,Memphis at Navy,Memphis,5.0,61%,29-24,Memphis -6.5,Navy,1.5,51.5,Over,1.0
SMU,AAC,AAC,1-0,13.3,26,38.5,11,25.3,61,0.1,5,,10-Sep,3:30 PM,Tennessee at Pittsburgh,Tennessee,7.1,66%,37-30,Tennessee -6.5,Tennessee,0.6,65.5,Over,0.6
UCF,AAC,AAC,1-0,13.1,27,34.4,30,21.2,34,-0.1,120,,10-Sep,3:30 PM,Washington State at Wisconsin,Wisconsin,24.0,92%,34-10,Wisconsin -17,Wisconsin,7.0,46.5,Under,-2.8
Minnesota,Big Ten,Big Ten West,1-0,13.0,28,29.0,61,16.1,11,0.1,29,,10-Sep,4:00 PM,Akron at Michigan State,Michigan State,41.5,99%,48-6,Michigan State -34,Michigan State,7.5,56,Under,-2.4
Cincinnati,AAC,AAC,0-1,12.9,29,34.8,28,21.9,41,0.0,64,,10-Sep,4:00 PM,Eastern Kentucky at Bowling Green,Bowling Green,5.7,63%,30-24,,,,,,
NC State,ACC,ACC Atlantic,1-0,12.4,30,30.9,51,18.5,20,0.0,78,,10-Sep,4:00 PM,Houston at Texas Tech,Texas Tech,4.9,61%,32-27,Texas Tech -3,Texas Tech,1.9,65.5,Under,-6.9
Pittsburgh,ACC,ACC Coastal,1-0,12.4,31,38.7,9,26.3,69,0.0,75,,10-Sep,4:00 PM,Indiana State at Purdue,Purdue,36.4,98%,44-8,,,,,,
South Carolina,SEC,SEC East,1-0,12.2,32,29.7,57,17.6,16,0.1,12,,10-Sep,4:00 PM,Iowa State at Iowa,Iowa,2.7,56%,25-22,Iowa -3.5,Iowa State,0.8,41.5,Over,5.9
