Team,Conference,Division,Record,SP+,Rk,Off. SP+,Rk,Def. SP+,Rk,ST SP+,Rk,,Date,Time (ET),Game,Proj_winner,Proj_margin,Win_prob,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
Georgia,SEC,SEC East,2-0,35.5,1,44.3,3,9,1,0.2,17,,16-Sep,7:30 PM,Florida State at Louisville,Florida State,3.3,58%,29-26,Florida State -2,Florida State,1.3,54.5,Under,0.0
Alabama,SEC,SEC West,2-0,33.1,2,45.2,2,12.2,4,0.1,32,,16-Sep,8:00 PM,Air Force at Wyoming,Air Force,18.8,86%,34-16,Air Force -17,Air Force,1.8,48.5,Over,1.7
Ohio State,Big Ten,Big Ten East,2-0,28.9,3,46.8,1,17.8,17,-0.1,110,,17-Sep,11:00 AM,Wofford at Virginia Tech,Virginia Tech,31.7,97%,37-5,,,,,,
Michigan,Big Ten,Big Ten East,2-0,24.9,4,41.2,6,16.4,12,0.2,14,,17-Sep,12:00 PM,Abilene Christian at Missouri,Missouri,29.3,96%,44-14,,,,,,
Oklahoma,Big 12,Big 12,2-0,23.3,5,41.8,5,18.6,22,0.1,36,,17-Sep,12:00 PM,Cincinnati vs. Miami-OH,Cincinnati,25,93%,40-15,Cincinnati -21.5,Cincinnati,3.5,50.5,Over,5.1
Ole Miss,SEC,SEC West,2-0,22.3,6,38.4,11,16.3,11,0.2,8,,17-Sep,12:00 PM,Connecticut at Michigan,Michigan,50.8,100%,53-2,Michigan -46,Michigan,4.8,57.5,Under,-3.0
Clemson,ACC,ACC Atlantic,2-0,21.7,7,33.8,31,12.2,3,0.1,46,,17-Sep,12:00 PM,Georgia at South Carolina,Georgia,24.7,92%,38-13,Georgia -24.5,Georgia,0.2,52.0,Under,-0.6
Tennessee,SEC,SEC East,2-0,20.4,8,43.7,4,23.5,51,0.1,24,,17-Sep,12:00 PM,Long Island at Kent State,Kent State,29.1,95%,48-19,,,,,,
Texas A&M,SEC,SEC West,1-0,19.5,9,31.4,47,11.9,2,0,63,,17-Sep,12:00 PM,Oklahoma at Nebraska,Oklahoma,13.9,79%,36-22,Oklahoma -11.5,Oklahoma,2.4,65.0,Under,-7.2
Kentucky,SEC,SEC East,2-0,18.5,10,33.6,33,15.2,9,0,60,,17-Sep,12:00 PM,Purdue at Syracuse,Purdue,5.2,62%,29-24,PICK,Purdue,5.2,58.5,Under,-6.1
Utah,Pac-12,Pac-12 South,1-0,18.1,11,39.3,8,21.4,35,0.2,13,,17-Sep,12:00 PM,Southern Illinois at Northwestern,Northwestern,8.5,69%,29-20,,,,,,
Michigan State,Big Ten,Big Ten East,2-0,18.1,12,36.4,21,18.2,20,-0.1,106,,17-Sep,12:00 PM,Texas State at Baylor,Baylor,37.1,98%,45-7,Baylor -30.5,Baylor,6.6,53.0,Under,-0.9
Cincinnati,AAC,AAC,1-0,18.1,13,37.1,18,19,25,-0.1,76,,17-Sep,12:00 PM,Villanova at Army,Army,4.4,60%,32-27,,,,,,
Penn State,Big Ten,Big Ten East,2-0,17.9,14,32,41,14,6,-0.1,84,,17-Sep,12:00 PM,Western Kentucky at Indiana,Western Kentucky,3.4,58%,31-27,Indiana -6.5,Western Kentucky,9.9,60.0,Under,-1.9
Mississippi State,SEC,SEC West,2-0,17.7,15,35,25,17.4,16,0.1,40,,17-Sep,12:00 PM,Youngstown State at Kentucky,Kentucky,31.7,97%,40-9,,,,,,
Texas,Big 12,Big 12,1-0,17.6,16,39.5,7,21.8,40,-0.1,85,,17-Sep,1:00 PM,Bucknell at Central Michigan,Central Michigan,34.9,98%,49-14,,,,,,
Arkansas,SEC,SEC West,2-0,17.2,17,36.8,19,19.4,29,-0.2,117,,17-Sep,1:00 PM,Buffalo at Coastal Carolina,Coastal Carolina,12.8,77%,37-25,Coastal Carolina -14,Buffalo,1.2,59.0,Over,2.9
Notre Dame,Indies,Independents,0-2,16.8,18,33.6,32,17,15,0.2,20,,17-Sep,1:00 PM,Towson at West Virginia,West Virginia,23.3,91%,40-16,,,,,,
BYU,Indies,Independents,2-0,16.8,19,34.9,26,18,18,-0.2,124,,17-Sep,2:00 PM,Murray State at Ball State,Ball State,12.6,77%,33-20,,,,,,
Minnesota,Big Ten,Big Ten West,2-0,16.3,20,30.9,52,14.8,8,0.2,21,,17-Sep,2:00 PM,Ohio at Iowa State,Iowa State,24.8,92%,39-14,Iowa State -17.5,Iowa State,7.3,49.5,Over,3.1
Wisconsin,Big Ten,Big Ten West,1-0,16.2,21,29.3,59,13,5,-0.1,78,,17-Sep,2:00 PM,Old Dominion at Virginia,Virginia,10,72%,36-26,Virginia -10,Old Dominion,0.0,54.0,Over,7.5
Baylor,Big 12,Big 12,1-0,15.9,22,31.5,46,15.5,10,-0.1,88,,17-Sep,2:00 PM,Rutgers at Temple,Rutgers,20.4,88%,35-14,Rutgers -17.5,Rutgers,2.9,44.0,Over,5.0
NC State,ACC,ACC Atlantic,2-0,15.9,23,32.5,37,16.8,14,0.2,11,,17-Sep,2:00 PM,South Alabama at UCLA,UCLA,20.5,88%,38-18,UCLA -15.5,UCLA,5.0,59.0,Under,-3.3
Miami-FL,ACC,ACC Coastal,2-0,15.8,24,37.2,14,21.6,39,0.2,4,,17-Sep,2:30 PM,California at Notre Dame,Notre Dame,19.9,87%,32-12,Notre Dame -10.5,Notre Dame,9.4,41.0,Over,2.8
LSU,SEC,SEC West,1-0,15.7,25,34.5,29,18.6,21,-0.1,112,,17-Sep,3:00 PM,North Texas at UNLV,North Texas,1.2,53%,29-27,UNLV -3,North Texas,4.2,59.0,Under,-3.1
Oklahoma State,Big 12,Big 12,2-0,15.5,26,36.1,22,20.7,33,0.2,15,,17-Sep,3:00 PM,Tulane at Kansas State,Kansas State,14.4,80%,35-20,Kansas State -15,Tulane,0.6,48.0,Over,7.4
Oregon,Pac-12,Pac-12 North,1-0,15.4,27,36.6,20,21.2,34,0,56,,17-Sep,3:30 PM,BYU at Oregon,Oregon,1.2,53%,28-27,Oregon -3.5,BYU,2.3,57.5,Under,-2.2
Kansas State,Big 12,Big 12,2-0,14.6,28,31.1,51,16.4,13,-0.1,82,,17-Sep,3:30 PM,Colorado at Minnesota,Minnesota,31.2,96%,39-8,Minnesota -27.5,Minnesota,3.7,47.0,Over,0.6
Auburn,SEC,SEC West,2-0,14.1,29,32,42,18.1,19,0.2,5,,17-Sep,3:30 PM,Georgia Southern at UAB,UAB,18,85%,35-17,UAB -12,UAB,6.0,56.5,Under,-3.5
Purdue,Big Ten,Big Ten West,1-0,13.9,30,33.2,34,19.3,28,0,55,,17-Sep,3:30 PM,New Mexico State at Wisconsin,Wisconsin,46.9,100%,47-0,Wisconsin -37.5,Wisconsin,9.4,46.5,Under,-1.7
Florida,SEC,SEC East,1-0,12.9,31,34.7,28,21.9,41,0.1,29,,17-Sep,3:30 PM,Ole Miss at Georgia Tech,Ole Miss,27.5,94%,43-15,Ole Miss -16,Ole Miss,11.5,61.5,Under,-3.8
USC,Pac-12,Pac-12 South,2-0,12.5,32,37.2,16,24.6,56,-0.2,113,,17-Sep,3:30 PM,Penn State at Auburn,Penn State,1.5,53%,25-23,Penn State -3,Auburn,1.5,49.5,Under,-1.5
Pittsburgh,ACC,ACC Coastal,1-0,12.3,33,38.6,10,26.1,66,-0.2,125,,17-Sep,3:30 PM,Stony Brook at Massachusetts,Stony Brook,5.5,62%,31-26,,,,,,
SMU,AAC,AAC,2-0,12.1,34,37.9,13,25.9,64,0.2,9,,17-Sep,3:30 PM,Troy at Appalachian State,Appalachian State,12.8,77%,32-19,Appalachian State -12.5,Appalachian State,0.3,54.0,Under,-2.3
Florida State,ACC,ACC Atlantic,2-0,11.7,35,32.1,40,20.4,31,0.1,51,,17-Sep,3:30 PM,Vanderbilt at Northern Illinois,Northern Illinois,3.4,58%,31-28,Northern Illinois -2.5,Northern Illinois,0.9,60.0,Under,-0.7
UCLA,Pac-12,Pac-12 South,2-0,11.6,36,37.2,15,25.4,60,-0.2,116,,17-Sep,4:00 PM,Kansas at Houston,Houston,15.8,82%,38-22,Houston -10,Houston,5.8,62.5,Under,-3.0
Wake Forest,ACC,ACC Atlantic,2-0,11,37,39.2,9,28.4,78,0.2,16,,17-Sep,4:00 PM,UL-Monroe at Alabama,Alabama,56,100%,57-1,Alabama -49,Alabama,7.0,60.5,Under,-2.7
TCU,Big 12,Big 12,2-0,10.9,38,37.1,17,26.3,67,0.1,35,,17-Sep,4:00 PM,UT Martin at Boise State,Boise State,21.3,89%,33-12,,,,,,
Iowa,Big Ten,Big Ten West,1-0,10.1,39,24.8,85,14.7,7,0,62,,17-Sep,5:00 PM,Colorado State at Washington State,Washington State,17.4,84%,32-14,Washington State -16.5,Washington State,0.9,51.5,Under,-5.7
Texas Tech,Big 12,Big 12,2-0,9.6,40,34.1,30,24.5,55,0,71,,17-Sep,5:00 PM,Liberty at Wake Forest,Wake Forest,14.8,80%,38-23,Wake Forest -16.5,Liberty,1.7,62.5,Under,-1.0
UCF,AAC,AAC,1-0,9.3,41,32.1,39,22.6,47,-0.2,128,,17-Sep,5:00 PM,Marshall at Bowling Green,Marshall,18.2,85%,37-18,Marshall -17,Marshall,1.2,52.5,Over,2.6
Air Force,MWC,MWC Mountain,2-0,8.8,42,30.8,54,22.1,43,0,58,,17-Sep,6:00 PM,Campbell at East Carolina,East Carolina,30.4,96%,42-12,,,,,,
Iowa State,Big 12,Big 12,2-0,8.7,43,30.3,55,21.5,38,-0.1,107,,17-Sep,6:00 PM,Mississippi State at LSU,LSU,0.6,51%,27-26,Mississippi State -2,LSU,2.6,55.0,Under,-2.3
North Carolina,ACC,ACC Coastal,3-0,8.7,44,38.2,12,29.9,84,0.4,1,,17-Sep,6:00 PM,NC A&T at Duke,Duke,20.2,88%,40-20,,,,,,
Maryland,Big Ten,Big Ten East,2-0,8.4,45,35.5,23,27.2,73,0.2,18,,17-Sep,7:00 PM,Akron at Tennessee,Tennessee,47.8,100%,54-6,Tennessee -47.5,Tennessee,0.3,65.5,Under,-5.5
South Carolina,SEC,SEC East,1-0,8.3,46,28.8,61,20.7,32,0.2,19,,17-Sep,7:00 PM,Arkansas State at Memphis,Memphis,18.4,86%,39-21,Memphis -14,Memphis,4.4,63.5,Under,-3.8
Washington,Pac-12,Pac-12 North,2-0,8.2,47,27.1,71,19.1,26,0.1,28,,17-Sep,7:00 PM,Charlotte at Georgia State,Georgia State,14.7,80%,37-22,Georgia State -19.5,Charlotte,4.8,60.0,Under,-1.4
Houston,AAC,AAC,1-0,8,48,32.9,36,24.9,58,0.1,45,,17-Sep,7:00 PM,Jacksonville State at Tulsa,Tulsa,0.4,51%,28-27,,,,,,
Fresno State,MWC,MWC West,1-0,7.7,49,31.9,43,24.2,54,0,72,,17-Sep,7:00 PM,Missouri State at Arkansas,Arkansas,25.8,93%,41-15,,,,,,
Oregon State,Pac-12,Pac-12 North,2-0,6.9,50,31.1,50,24,52,-0.2,126,,17-Sep,7:00 PM,Northwestern State at Southern Miss,Southern Miss,27.3,94%,36-9,,,,,,
Arizona State,Pac-12,Pac-12 South,1-0,6.7,51,28.1,64,21.4,36,0,61,,17-Sep,7:00 PM,Tennessee State at Middle Tennessee,Middle Tennessee,17.4,84%,36-19,,,,,,
Nebraska,Big Ten,Big Ten West,2-Jan,6.6,52,30.8,53,24,53,-0.2,130,,17-Sep,7:00 PM,Texas Tech at NC State,NC State,8.7,69%,31-23,NC State -10.5,Texas Tech,1.8,55.5,Under,-1.6
UAB,C-USA,C-USA,1-0,6.4,53,28.4,62,22.2,45,0.2,22,,17-Sep,7:00 PM,Toledo at Ohio State,Ohio State,26.9,94%,42-15,Ohio State -31.5,Toledo,4.6,61.0,Under,-4.4
Syracuse,ACC,ACC Atlantic,2-0,6.3,54,29.3,60,23.1,49,0.1,34,,17-Sep,7:00 PM,UAPB at Oklahoma State,Oklahoma State,65.1,100%,65-0,,,,,,
Louisville,ACC,ACC Atlantic,1-0,5.9,55,31.3,49,25.3,59,0,68,,17-Sep,7:30 PM,Maine at Boston College,Boston College,19.9,88%,31-11,,,,,,
Boise State,MWC,MWC Mountain,1-0,5.7,56,25.2,82,19.3,27,-0.1,108,,17-Sep,7:30 PM,Michigan State at Washington,Michigan State,7.4,67%,29-22,Washington -3.5,Michigan State,10.9,56.5,Under,-6.1
Appalachian State,Sun Belt,Sun Belt East,1-0,5.6,57,31.6,44,25.8,63,-0.2,127,,17-Sep,7:30 PM,Nevada at Iowa,Iowa,24.6,92%,35-11,Iowa -23,Iowa,1.6,40.0,Over,6.3
Missouri,SEC,SEC East,1-0,5.2,58,31.5,45,26.4,69,0.1,42,,17-Sep,7:30 PM,Pittsburgh at Western Michigan,Pittsburgh,18.9,86%,39-20,Pittsburgh -10,Pittsburgh,8.9,53.0,Over,5.6
UTSA,C-USA,C-USA,1-0,5,59,35,24,29.9,85,-0.1,96,,17-Sep,7:30 PM,SMU at Maryland,SMU,1.3,53%,32-31,Maryland -3.5,SMU,4.8,69.5,Under,-6.2
Marshall,Sun Belt,Sun Belt East,2-0,4.8,60,29.7,57,24.9,57,0,73,,17-Sep,7:30 PM,UCF at Florida Atlantic,UCF,10.9,74%,32-21,UCF -9,UCF,1.9,58.0,Under,-4.3
UL-Lafayette,Sun Belt,Sun Belt West,2-0,4.6,61,26.7,73,22,42,-0.1,111,,17-Sep,7:30 PM,UL-Lafayette at Rice,UL-Lafayette,18.6,86%,35-17,UL-Lafayette -11.5,UL-Lafayette,7.1,53.0,Under,-0.8
Toledo,MAC,MAC West,2-0,4.5,62,26.5,77,22.1,44,0.1,33,,17-Sep,7:30 PM,USF at Florida,Florida,23.7,91%,41-17,Florida -24.5,USF,0.8,59.0,Under,-0.6
Illinois,Big Ten,Big Ten West,1-Feb,3.3,63,22.3,97,18.9,24,-0.1,109,,17-Sep,8:00 PM,Louisiana Tech at Clemson,Clemson,34.8,98%,44-9,Clemson -34,Clemson,0.8,54.5,Under,-1.5
Tulane,AAC,AAC,2-0,2.5,64,32.9,35,30.5,90,0.2,10,,17-Sep,8:00 PM,Montana State at Oregon State,Oregon State,12.5,77%,34-21,,,,,,
Virginia Tech,ACC,ACC Coastal,1-0,2.3,65,21.9,98,19.7,30,0.1,43,,17-Sep,8:00 PM,UTEP at New Mexico,UTEP,0.8,52%,22-21,UTEP -3,New Mexico,2.2,39.5,Over,2.7
Western Kentucky,C-USA,C-USA,2-0,2.2,66,34.8,27,32.5,99,-0.1,92,,17-Sep,8:00 PM,UTSA at Texas,Texas,15.1,81%,39-24,Texas -11,Texas,4.1,61.5,Over,1.7
East Carolina,AAC,AAC,1-0,2.1,67,28,68,25.8,62,-0.2,122,,17-Sep,9:00 PM,Miami-FL at Texas A&M,Texas A&M,6.2,64%,29-22,Texas A&M -5.5,Texas A&M,0.7,48.5,Over,2.5
Memphis,AAC,AAC,1-0,1.5,68,30,56,28.6,80,0.1,52,,17-Sep,10:00 PM,San Diego State at Utah,Utah,22,90%,37-15,Utah -21,Utah,1.0,50.0,Over,2.3
Washington State,Pac-12,Pac-12 North,2-0,1.3,69,22.8,95,21.4,37,-0.1,80,,17-Sep,10:30 PM,Fresno State at USC,USC,7.3,66%,33-26,USC -12.5,Fresno State,5.2,71.5,Under,-12.6
Rutgers,Big Ten,Big Ten East,2-0,0.8,70,24,90,23.3,50,0.1,49,,17-Sep,11:00 PM,Eastern Michigan at Arizona State,Arizona State,21,89%,38-18,Arizona State -20,Arizona State,1.0,57.5,Under,-1.5
James Madison,Sun Belt,Sun Belt East,2-0,-0.1,71,27.1,72,27.1,72,-0.1,91,,17-Sep,11:00 PM,North Dakota State at Arizona,North Dakota State,5.2,62%,27-22,,,,,,
West Virginia,Big 12,Big 12,0-2,-0.1,72,28,69,28.1,76,0.1,50,,17-Sep,11:59 PM,Duquesne at Hawaii,Hawaii,3.5,58%,34-31,,,,,,
