Date,Time (ET),Game,Proj_winner,Proj_margin,Win_prob,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
12-Oct,7:30 PM,UL-Lafayette at Marshall,Marshall,4.7,61%,26-21,Marshall -9.5,UL-Lafayette,4.8,47.5,Under,-0.6
13-Oct,7:00 PM,Baylor at West Virginia,Baylor,5.7,63%,30-24,Baylor -3.5,Baylor,2.2,54.5,Under,-0.8
13-Oct,7:00 PM,Temple at UCF,UCF,24.3,92%,35-11,UCF -23,UCF,1.3,46.0,Over,0.3
14-Oct,7:30 PM,Navy at SMU,SMU,17.1,84%,36-19,SMU -13.5,SMU,3.6,57.0,Under,-1.7
14-Oct,8:00 PM,UTSA at Florida International,UTSA,27.1,94%,45-18,UTSA -32,Florida International,4.9,63.0,Under,-0.1
15-Oct,12:00 PM,Auburn at Ole Miss,Ole Miss,17.0,84%,35-18,Ole Miss -16,Ole Miss,1.0,54.5,Under,-2.1
15-Oct,12:00 PM,Central Michigan at Akron,Central Michigan,12.7,77%,34-21,Central Michigan -13,Akron,0.3,59.0,Under,-4.2
15-Oct,12:00 PM,Colgate at Army,Army,24.2,92%,43-19,,,,,,
15-Oct,12:00 PM,Iowa State at Texas,Texas,17.7,85%,35-18,Texas -16.5,Texas,1.2,49.5,Over,3.2
15-Oct,12:00 PM,Kansas at Oklahoma,Oklahoma,9.4,71%,37-27,Oklahoma -7.5,Oklahoma,1.9,64.0,Over,0.0
15-Oct,12:00 PM,Miami-OH at Bowling Green,Miami-OH,6.9,66%,31-24,Miami-OH -6.5,Miami-OH,0.4,47.0,Over,7.6
15-Oct,12:00 PM,Minnesota at Illinois,Minnesota,4.7,61%,23-19,Minnesota -6.5,Illinois,1.8,39.0,Over,3.0
15-Oct,12:00 PM,Old Dominion at Coastal Carolina,Coastal Carolina,16.2,83%,38-22,Coastal Carolina -12,Coastal Carolina,4.2,57.0,Over,2.8
15-Oct,12:00 PM,Penn State at Michigan,Michigan,12.2,76%,32-20,Michigan -7,Michigan,5.2,51.5,Over,0.2
15-Oct,12:30 PM,Miami-FL at Virginia Tech,Miami-FL,8.5,69%,29-21,Miami-FL -7.5,Miami-FL,1.0,47.5,Over,2.1
15-Oct,1:00 PM,Buffalo at Massachusetts,Buffalo,13.8,79%,33-20,Buffalo -16.5,Massachusetts,2.7,46.5,Over,6.7
15-Oct,2:00 PM,California at Colorado,California,11.9,75%,30-18,California -15,Colorado,3.1,48.5,Under,-0.3
15-Oct,2:00 PM,Connecticut at Ball State,Ball State,7.6,67%,29-22,Ball State -9,Connecticut,1.4,46.5,Over,4.2
15-Oct,3:30 PM,Alabama at Tennessee,Alabama,5.5,62%,33-28,Alabama -7.5,Tennessee,2.0,65.5,Under,-4.4
15-Oct,3:30 PM,Arkansas at BYU,Arkansas,0.8,52%,31-30,BYU -3,Arkansas,3.8,59.5,Over,0.9
15-Oct,3:30 PM,Charlotte at UAB,UAB,27.9,95%,45-17,UAB -23.5,UAB,4.4,62.0,Under,-0.5
15-Oct,3:30 PM,Gardner-Webb at Liberty,Liberty,30.9,96%,42-11,,,,,,
