Team,Conference,Record,SP+,Rk,Off. SP+,Rk,Def. SP+,Rk,ST SP+,Rk,,Date,Time (ET),Game,Proj_winner,Proj_margin,Win_prob,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
Georgia,SEC,1-0,34.5,1,45.1,2,10.7,5,0.1,21,,6-Sep,7:00 PM,BYU at SMU,SMU,11.1,76%,35-24,SMU -11,SMU,0.1,55.5,Over,3.6
Alabama,SEC,1-0,30.3,2,44.0,4,13.7,7,0.0,58,,6-Sep,7:00 PM,Western Illinois at Indiana,Indiana,41.6,100%,45-3,,,,,,
Texas,SEC,1-0,29.6,3,44.8,3,15.4,11,0.1,3,,6-Sep,9:00 PM,Duke at Northwestern,Duke,5.1,62%,23-17,Northwestern -2.5,Duke,7.6,38.5,Over,1.5
Ole Miss,SEC,1-0,27.6,4,45.1,1,17.4,14,0.0,97,,7-Sep,12:00 PM,Akron at Rutgers,Rutgers,32.8,98%,36-4,Rutgers -23,Rutgers,9.8,41.5,Under,-1.3
Ohio State,Big Ten,1-0,27.5,5,35.0,21,7.6,2,0.1,4,,7-Sep,12:00 PM,Arkansas at Oklahoma State,Oklahoma State,7.4,68%,34-27,Oklahoma State -7.5,Arkansas,0.1,60.5,Over,0.4
Penn State,Big Ten,1-0,25.3,6,35.4,18,10.0,4,-0.1,109,,7-Sep,12:00 PM,Army at Florida Atlantic,Army,2.4,56%,24-21,Florida Atlantic -3.5,Army,5.9,42.5,Over,2.5
Missouri,SEC,1-0,24.5,7,41.2,8,16.8,13,0.1,15,,7-Sep,12:00 PM,Bowling Green at Penn State,Penn State,34.9,99%,42-8,Penn State -34.5,Penn State,0.4,48.5,Over,1.6
Oregon,Big Ten,1-0,23.0,8,42.5,6,19.4,25,0.0,77,,7-Sep,12:00 PM,Georgia Tech at Syracuse,Georgia Tech,0.9,52%,30-29,Georgia Tech -3,Syracuse,2.1,60.5,Under,-1.2
Tennessee,SEC,1-0,22.5,9,39.9,10,17.5,15,0.0,46,,7-Sep,12:00 PM,Kansas State at Tulane,Kansas State,12.8,79%,33-21,Kansas State -10,Kansas State,2.8,49.5,Over,4.3
Notre Dame,Indies,1-0,22.1,10,36.6,17,14.6,9,0.0,45,,7-Sep,12:00 PM,Merrimack at Connecticut,Connecticut,15.7,84%,32-16,,,,,,
Oklahoma,SEC,1-0,21.5,11,37.3,15,15.9,12,0.1,19,,7-Sep,12:00 PM,Pittsburgh at Cincinnati,Cincinnati,0.7,52%,27-27,Cincinnati -2,Pittsburgh,1.3,59.5,Under,-5.5
Michigan,Big Ten,1-0,20.6,12,29.1,56,8.6,3,0.1,8,,7-Sep,12:00 PM,Rhode Island at Minnesota,Minnesota,22.6,92%,31-9,,,,,,
Utah,Big 12,1-0,18.9,13,34.1,25,15.2,10,0.0,53,,7-Sep,12:00 PM,Texas at Michigan,Texas,6.5,66%,28-21,Texas -7,Michigan,0.5,44.5,Over,4.5
Kansas State,Big 12,1-0,18.8,14,36.9,16,18.2,19,0.1,16,,7-Sep,12:00 PM,Troy at Memphis,Memphis,18.3,87%,40-22,Memphis -18,Memphis,0.3,57.5,Over,3.8
Miami-FL,ACC,1-0,17.2,15,38.4,14,21.1,32,-0.1,113,,7-Sep,12:45 PM,McNeese State at Texas A&M,Texas A&M,51.9,100%,53-1,,,,,,
Auburn,SEC,1-0,17.1,16,35.4,19,18.3,21,0.1,36,,7-Sep,2:00 PM,Missouri State at Ball State,Missouri State,1.4,53%,24-22,,,,,,
Iowa,Big Ten,1-0,15.5,17,19.7,107,4.2,1,0.0,60,,7-Sep,2:00 PM,Tennessee Tech at Georgia,Georgia,72.6,100%,73-0,,,,,,
Oklahoma State,Big 12,1-0,15.5,18,39.1,11,23.6,39,0.1,38,,7-Sep,2:30 PM,Saint Francis-PA at Kent State,Kent State,10.3,74%,31-21,,,,,,
LSU,SEC,0-1,15.4,19,41.4,7,26.0,56,0.0,68,,7-Sep,3:00 PM,Utah Tech at UNLV,UNLV,36.1,99%,50-14,,,,,,
Louisville,ACC,1-0,15.2,20,33.2,34,17.9,18,0.0,70,,7-Sep,3:30 PM,Baylor at Utah,Utah,15.7,84%,34-19,Utah -14,Utah,1.7,53.5,Under,-0.5
USC,Big Ten,1-0,14.3,21,43.3,5,29.0,77,0.0,55,,7-Sep,3:30 PM,California at Auburn,Auburn,14.8,82%,36-21,Auburn -13.5,Auburn,1.3,53.5,Over,3.5
Kentucky,SEC,1-0,13.2,22,33.0,36,19.9,27,0.1,2,,7-Sep,3:30 PM,Charlotte at North Carolina,North Carolina,28.8,96%,41-12,North Carolina -22,North Carolina,6.8,47.5,Over,5.9
Washington,Big Ten,1-0,13.1,23,35.2,20,22.0,37,0.0,71,,7-Sep,3:30 PM,Duquesne at Boston College,Boston College,35.8,99%,44-8,,,,,,
Texas A&M,SEC,0-1,12.8,24,33.1,35,20.4,28,0.1,23,,7-Sep,3:30 PM,Eastern Michigan at Washington,Washington,28.1,96%,39-11,Washington -27.5,Washington,0.6,47.5,Over,1.8
Kansas,Big 12,1-0,12.5,25,38.4,13,25.9,54,-0.1,103,,7-Sep,3:30 PM,Idaho at Wyoming,Idaho,0.8,52%,25-24,,,,,,
SMU,ACC,2-0,10.6,26,34.5,23,23.9,42,0.0,94,,7-Sep,3:30 PM,Iowa State at Iowa,Iowa,7.8,69%,21-14,Iowa -2.5,Iowa,5.3,35.5,Under,-0.6
Arkansas,SEC,1-0,10.6,27,34.8,22,24.2,43,0.0,63,,7-Sep,3:30 PM,Jacksonville State at Louisville,Louisville,34.3,98%,44-10,Louisville -27.5,Louisville,6.8,58.5,Under,-4.6
Iowa State,Big 12,1-0,10.4,28,28.1,63,17.7,17,0.0,49,,7-Sep,3:30 PM,Massachusetts at Toledo,Toledo,23.8,93%,37-13,Toledo -20,Toledo,3.8,51.5,Under,-0.8
UCF,Big 12,1-0,10.3,29,33.3,33,23.1,38,0.1,13,,7-Sep,3:30 PM,Michigan State at Maryland,Maryland,16.1,84%,28-12,Maryland -8,Maryland,8.1,44.5,Under,-5.2
Florida State,ACC,0-2,10.0,30,30.3,50,20.5,29,0.2,1,,7-Sep,3:30 PM,Northern Illinois at Notre Dame,Notre Dame,30.0,97%,39-9,Notre Dame -28.5,Notre Dame,1.5,45.5,Over,2.6
Clemson,ACC,0-1,9.8,31,30.8,47,20.9,30,0.0,98,,7-Sep,3:30 PM,South Carolina at Kentucky,Kentucky,11.1,76%,31-20,Kentucky -10,Kentucky,1.1,45.5,Over,4.9
Nebraska,Big Ten,1-0,9.7,32,21.4,96,11.8,6,0.0,73,,7-Sep,3:30 PM,South Dakota at Wisconsin,Wisconsin,20.2,90%,29-9,,,,,,
Memphis,AAC,1-0,9.6,33,39.9,9,30.4,85,0.1,35,,7-Sep,3:30 PM,Temple at Navy,Navy,20.6,90%,36-15,Navy -13,Navy,7.6,42.5,Over,8.7
Arizona,Big 12,1-0,9.0,34,38.6,12,29.7,79,0.1,6,,7-Sep,4:00 PM,UTSA at Texas State,UTSA,5.4,63%,34-28,Texas State -2,UTSA,7.4,61.5,Over,0.8
Wisconsin,Big Ten,1-0,8.9,35,23.4,88,14.5,8,0.0,76,,7-Sep,4:15 PM,Middle Tennessee at Ole Miss,Ole Miss,47.1,100%,53-6,Ole Miss -41,Ole Miss,6.1,63.5,Under,-5.0
Maryland,Big Ten,1-0,8.7,36,27.0,72,18.2,20,0.0,90,,7-Sep,4:30 PM,Marshall at Virginia Tech,Virginia Tech,10.7,75%,33-23,Virginia Tech -19.5,Marshall,8.8,48.5,Over,7.2
NC State,ACC,1-0,8.4,37,29.5,52,21.1,31,0.1,34,,7-Sep,6:00 PM,Albany-NY at West Virginia,West Virginia,21.0,91%,41-20,,,,,,
Rutgers,Big Ten,1-0,7.0,38,24.4,85,17.5,16,0.1,5,,7-Sep,6:00 PM,Central Michigan at Florida International,Central Michigan,12.0,78%,33-21,Central Michigan -6.5,Central Michigan,5.5,51.5,Over,2.9
Baylor,Big 12,1-0,5.7,39,31.1,45,25.5,50,0.1,33,,7-Sep,6:00 PM,East Carolina at Old Dominion,East Carolina,4.8,62%,27-23,East Carolina -2.5,East Carolina,2.3,52.5,Under,-2.5
TCU,Big 12,1-0,5.6,40,31.9,41,26.2,59,-0.1,107,,7-Sep,6:00 PM,Florida A&M at Miami-FL,Miami-FL,43.5,100%,52-8,,,,,,
Mississippi State,SEC,1-0,5.6,41,29.4,53,23.8,40,-0.1,99,,7-Sep,6:00 PM,Gardner-Webb at James Madison,James Madison,30.0,97%,43-13,,,,,,
Duke,ACC,1-0,5.5,42,25.2,82,19.8,26,0.1,37,,7-Sep,6:00 PM,South Alabama at Ohio,South Alabama,1.7,54%,26-24,South Alabama -1.5,South Alabama,0.2,53.5,Under,-4.0
Florida,SEC,0-1,5.0,43,32.9,37,28.0,72,0.1,7,,7-Sep,6:30 PM,Sam Houston at UCF,UCF,23.3,93%,38-15,UCF -21,UCF,2.3,58.5,Under,-5.5
North Carolina,ACC,1-0,5.0,44,30.8,46,25.9,55,0.1,17,,7-Sep,7:00 PM,Buffalo at Missouri,Missouri,39.5,99%,44-5,Missouri -34,Missouri,5.5,51.5,Under,-2.2
UCLA,Big Ten,1-0,4.9,45,26.5,76,21.5,34,-0.1,102,,7-Sep,7:00 PM,Cal Poly at Stanford,Stanford,36.8,99%,48-11,,,,,,
Boise State,MWC,1-0,4.9,46,33.8,29,28.9,75,0.0,91,,7-Sep,7:00 PM,Chattanooga at Georgia State,Georgia State,2.4,56%,29-27,,,,,,
California,ACC,1-0,4.7,47,32.5,39,27.9,70,0.0,42,,7-Sep,7:00 PM,Eastern Kentucky at Western Kentucky,Western Kentucky,10.2,74%,36-25,,,,,,
