Date,Time (ET),Game,Proj_winner,Proj_margin,Win_prob,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
15-Nov,7:00 PM,Bowling Green at Toledo,Toledo,22.7,90%,39-16,Toledo -15,Toledo,7.7,50.5,Over,4.9
15-Nov,7:00 PM,Ohio at Ball State,Ohio,1.9,54%,30-28,Ohio -4,Ball State,2.1,53.0,Over,5.6
16-Nov,6:00 PM,Eastern Michigan at Kent State,Kent State,0.8,52%,31-31,Kent State -7.5,Eastern Michigan,6.7,61.5,Over,0.5
16-Nov,7:00 PM,Miami-OH at Northern Illinois,Northern Illinois,2.5,56%,27-24,Northern Illinois -2.5,Miami-OH,0.0,47.5,Over,3.3
16-Nov,8:00 PM,Western Michigan at Central Michigan,Central Michigan,10.5,73%,30-20,Central Michigan -10,Central Michigan,0.5,49.5,Over,0.5
17-Nov,7:30 PM,SMU at Tulane,Tulane,5.9,63%,35-29,Tulane -3,Tulane,2.9,65.0,Under,-1.5
18-Nov,9:00 PM,USF at Tulsa,Tulsa,12.8,77%,42-29,Tulsa -13,USF,0.2,60.0,Over,11.8
18-Nov,9:45 PM,San Diego State at New Mexico,San Diego State,14.5,80%,27-13,San Diego State -14.5,San Diego State,0.0,39.5,Over,0.5
19-Nov,12:00 PM,Austin Peay at Alabama,Alabama,34.2,98%,46-12,,,,,,
19-Nov,12:00 PM,Connecticut at Army,Army,11.0,74%,31-20,Army -10,Army,1.0,43.5,Over,6.6
19-Nov,12:00 PM,Duke at Pittsburgh,Pittsburgh,4.5,60%,30-26,Pittsburgh -8,Duke,3.5,53.0,Over,2.7
19-Nov,12:00 PM,ETSU at Mississippi State,Mississippi State,27.4,94%,42-15,,,,,,
19-Nov,12:00 PM,Florida at Vanderbilt,Florida,14.6,80%,39-25,Florida -14.5,Florida,0.1,57.5,Over,6.6
19-Nov,12:00 PM,Illinois at Michigan,Michigan,21.0,89%,30-9,Michigan -17,Michigan,4.0,44.0,Under,-5.9
19-Nov,12:00 PM,Indiana at Michigan State,Michigan State,14.7,80%,37-23,Michigan State -11.5,Michigan State,3.2,46.0,Over,14.1
19-Nov,12:00 PM,Massachusetts at Texas A&M,Texas A&M,38.5,99%,42-4,Texas A&M -33,Texas A&M,5.5,50.5,Under,-4.8
19-Nov,12:00 PM,Navy at UCF,UCF,24.0,92%,37-13,UCF -16.5,UCF,7.5,53.0,Under,-3.5
19-Nov,12:00 PM,Northwestern at Purdue,Purdue,20.5,88%,38-17,Purdue -17.5,Purdue,3.0,49.0,Over,5.9
19-Nov,12:00 PM,TCU at Baylor,TCU,6.0,64%,34-28,TCU -3,TCU,3.0,56.5,Over,5.5
19-Nov,12:00 PM,UL-Lafayette at Florida State,Florida State,13.3,78%,29-16,Florida State -23.5,UL-Lafayette,10.2,52.5,Under,-6.8
19-Nov,12:00 PM,Virginia Tech at Liberty,Liberty,12.5,77%,29-16,Liberty -9.5,Liberty,3.0,47.0,Under,-2.5
19-Nov,12:00 PM,Wisconsin at Nebraska,Wisconsin,9.4,71%,30-21,Wisconsin -13,Nebraska,3.6,41.0,Over,10.3
19-Nov,1:00 PM,UTSA at Rice,UTSA,15.2,81%,41-26,UTSA -13,UTSA,2.2,61.0,Over,6.1
19-Nov,2:00 PM,Georgia State at James Madison,James Madison,11.2,74%,35-24,James Madison -9.5,James Madison,1.7,54.5,Over,4.3
19-Nov,2:00 PM,Houston at East Carolina,East Carolina,3.1,57%,35-32,East Carolina -6.5,Houston,3.4,67.0,Over,0.5
19-Nov,2:00 PM,Kansas State at West Virginia,Kansas State,14.1,79%,36-22,Kansas State -7.5,Kansas State,6.6,55.0,Over,3.3
19-Nov,2:00 PM,North Alabama at Memphis,Memphis,36.5,98%,53-16,,,,,,
19-Nov,2:00 PM,Washington State at Arizona,Washington State,10.4,73%,34-24,Washington State -4,Washington State,6.4,63.0,Under,-5.1
19-Nov,2:15 PM,Oregon State at Arizona State,Oregon State,11.8,75%,35-23,Oregon State -7.5,Oregon State,4.3,55.0,Over,3.1
19-Nov,2:30 PM,Boston College at Notre Dame,Notre Dame,22.4,90%,37-14,Notre Dame -21,Notre Dame,1.4,46.5,Over,4.3
19-Nov,2:30 PM,Old Dominion at Appalachian State,Appalachian State,16.2,82%,35-19,Appalachian State -14.5,Appalachian State,1.7,52.0,Over,2.4
19-Nov,3:30 PM,Akron at Buffalo,Buffalo,18.9,86%,38-19,Buffalo -16.5,Buffalo,2.4,55.0,Over,2.2
19-Nov,3:30 PM,Coastal Carolina at Virginia,Coastal Carolina,9.7,71%,31-22,Virginia -3.5,Coastal Carolina,13.2,44.5,Over,8.2
19-Nov,3:30 PM,Florida Atlantic at Middle Tennessee,Florida Atlantic,3.5,58%,29-25,Florida Atlantic -5,Middle Tennessee,1.5,53.0,Over,1.1
19-Nov,3:30 PM,Georgia at Kentucky,Georgia,20.0,88%,32-12,Georgia -22.5,Kentucky,2.5,49.5,Under,-6.2
19-Nov,3:30 PM,Louisiana Tech at Charlotte,Charlotte,2.1,55%,36-34,Louisiana Tech -3,Charlotte,5.1,64.5,Over,6.3
19-Nov,3:30 PM,Miami-FL at Clemson,Clemson,18.4,86%,35-17,Clemson -19.5,Miami-FL,1.1,46.5,Over,5.7
19-Nov,3:30 PM,NC State at Louisville,Louisville,3.9,59%,24-20,Louisville -4.5,NC State,0.6,47.5,Under,-2.7
19-Nov,3:30 PM,Ohio State at Maryland,Ohio State,22.3,90%,39-16,Ohio State -27.5,Maryland,5.2,63.0,Under,-8.0
19-Nov,3:30 PM,Penn State at Rutgers,Penn State,23.3,91%,35-12,Penn State -19.5,Penn State,3.8,45.0,Over,1.5
19-Nov,3:30 PM,South Alabama at Southern Miss,South Alabama,10.9,74%,28-17,South Alabama -7.5,South Alabama,3.4,46.5,Under,-1.1
19-Nov,3:30 PM,Texas at Kansas,Texas,10.3,72%,36-26,Texas -9,Texas,1.3,64.0,Under,-2.0
19-Nov,3:30 PM,UL-Monroe at Troy,Troy,21.1,89%,34-13,Troy -15.5,Troy,5.6,46.5,Over,1.2
19-Nov,3:30 PM,Utah Tech at BYU,BYU,37.7,99%,53-15,,,,,,
19-Nov,4:00 PM,Cincinnati at Temple,Cincinnati,22.6,90%,34-11,Cincinnati -18,Cincinnati,4.6,54.0,Under,-9.1
19-Nov,4:00 PM,Florida International at UTEP,UTEP,11.4,75%,33-21,UTEP -14.5,Florida International,3.1,51.0,Over,3.3
19-Nov,4:00 PM,Iowa at Minnesota,Minnesota,4.8,61%,18-14,Minnesota -2.5,Minnesota,2.3,32.5,Under,-0.6
19-Nov,4:00 PM,Western Kentucky at Auburn,Western Kentucky,2.0,55%,30-28,Auburn -6.5,Western Kentucky,8.5,53.5,Over,3.5
19-Nov,5:00 PM,Arkansas State at Texas State,Texas State,3.9,59%,30-26,Texas State -5,Arkansas State,1.1,52.5,Over,3.8
19-Nov,5:30 PM,Georgia Tech at North Carolina,North Carolina,24.6,92%,45-20,North Carolina -20,North Carolina,4.6,63.5,Over,1.9
19-Nov,5:30 PM,Stanford at California,California,4.6,61%,29-25,California -5.5,Stanford,0.9,46.5,Over,7.8
19-Nov,6:00 PM,Marshall at Georgia Southern,Marshall,6.6,65%,30-23,Marshall -3.5,Marshall,3.1,54,Under,-1
19-Nov,7:00 PM,Boise State at Wyoming,Boise State,12.4,76%,28-15,Boise State -12.5,Wyoming,0.1,44,Under,-1.2
19-Nov,7:00 PM,Tennessee at South Carolina,Tennessee,16.3,83%,39-22,Tennessee -21,South Carolina,4.7,65,Under,-4.1
19-Nov,7:00 PM,Texas Tech at Iowa State,Iowa State,4.6,60%,27-23,Iowa State -3.5,Iowa State,1.1,47.5,Over,2.5
19-Nov,7:30 PM,New Mexico State at Missouri,Missouri,25,93%,33-8,Missouri -28,New Mexico State,3,47,Under,-6.7
19-Nov,7:30 PM,Oklahoma State at Oklahoma,Oklahoma,3.4,58%,36-32,Oklahoma -7,Oklahoma State,3.6,64.5,Over,3.1
19-Nov,7:30 PM,Ole Miss at Arkansas,Ole Miss,5.5,63%,34-29,Ole Miss -3,Ole Miss,2.5,59,Over,4.4
19-Nov,8:00 PM,Syracuse at Wake Forest,Wake Forest,8.5,69%,35-26,Wake Forest -10,Syracuse,1.5,55.5,Over,5.1
19-Nov,8:00 PM,USC at UCLA,UCLA,0.5,51%,35-34,USC -2.5,UCLA,3,73.5,Under,-5
19-Nov,9:00 PM,Colorado at Washington,Washington,35.5,98%,50-15,Washington -31,Washington,4.5,62.5,Over,2.9
19-Nov,9:00 PM,Colorado State at Air Force,Air Force,29.7,96%,35-5,Air Force -22,Air Force,7.7,44,Under,-4.3
19-Nov,9:00 PM,UAB at LSU,LSU,14,79%,32-18,LSU -14.5,UAB,0.5,52.5,Under,-2.4
19-Nov,9:45 PM,San Jose State at Utah State,San Jose State,5,61%,27-22,San Jose State -3,San Jose State,2,51,Under,-2.8
19-Nov,10:30 PM,Fresno State at Nevada,Fresno State,19.3,87%,37-18,Fresno State -22.5,Nevada,3.2,54.5,Over,0.8
19-Nov,10:30 PM,Utah at Oregon,Oregon,2.2,55%,33-31,Oregon -3,Utah,0.8,62,Over,2.3
19-Nov,11:00 PM,UNLV at Hawaii,UNLV,10.9,74%,34-23,UNLV -10,UNLV,0.9,59.5,Under,-3.4
